Company,StatEntityKey,MarketShare2024
Orange Insurance Exchange,C10014,0.019544100721256213
Manatee Insurance Exchange,C10040,0.005765134274116244
Ovation Home Ins Exchange,C10067,0.005480987708043582
Lexington Insurance Co.,C1046,0.12331493891337252
Liberty Mutual Fire Ins Co.,C1051,0.009099908253911942
Farmers Casualty Ins Co.,C1142,0.01169533890884428
Narragansett Bay Insurance Co.,C1250,0.013418986191732948
National Fire & Marine Ins Co.,C1265,0.004120379901704378
Nationwide Mutual Insurance Co,C1298,0.0075197697017708315
Nationwide P&C Insurance Co.,C1299,0.0038178873672823264
AIG Specialty Insurance Co.,C134,0.010401058701785214
American Modern Home Ins Co.,C144,0.007905445282629136
Garrison P&C Insurance Co.,C1581,0.0047242631740093905
Homesite Insurance Co.,C1621,0.005147483894218155
MS Transverse Spclty Ins Co.,C1622,0.005308350017089666
Scottsdale Insurance Co.,C1650,0.004318973543190348
Berkley Insurance Co.,C1685,0.005867399791830898
Southern-Owners Insurance Co.,C1712,0.004372048860305174
Topa Insurance Co.,C1803,0.003941216718101186
Truck Insurance Exchange,C1847,0.008338679728571646
Sutton National Insurance Co.,C1866,0.004789313843528687
United Svcs Automobile Assn,C1904,0.00454048599583758
USAA Casualty Insurance Co.,C1927,0.004599936368951843
USAA General Indemnity Co.,C1929,0.0031480007819943154
GeoVera Specialty Insurance Co,C1936,0.004482736925621027
Spinnaker Insurance Co.,C1937,0.0032547183258713093
Amica Mutual Insurance Co.,C194,0.0038580230523475143
Voyager Indemnity Insurance Co,C1975,0.003630484694758787
Wilshire Insurance Co.,C2027,0.010037681779619377
Trisura Insurance Co.,C284,0.00717399808884555
AIG Property Casualty Co.,C295,0.029409977470569892
First Floridian Auto & Home,C2962,0.0034001939228084687
Florida Family Insurance Co.,C2971,0.005973839510484136
Unique Insurance Co.,C2999,0.003340277731542412
State Farm FL Ins Co,C3205,0.04067875935316781
Castle Key Indemnity Co.,C3244,0.008115563651810272
American Strategic Ins Corp.,C3253,0.005071082596294925
Cypress P&C Insurance Co.,C3431,0.010795437721899837
QBE Specialty Insurance Co.,C3736,0.0032272811986747783
Chubb Custom Insurance Co.,C385,0.0036662972833958547
ACE Ins Co. of the Midwest,C397,0.008576088757195488
Amer Integrity Ins Co FL,C3986,0.004426614608635963
American Traditions Ins Co.,C3993,0.003740365298034039
Cincinnati Insurance Co.,C405,0.00938995876659798
Edison Insurance Co.,C4152,0.004168083584962267
First Protective Insurance Co.,C4202,0.0034947565789763746
Florida Peninsula Insurance Co,C4209,0.0068620568680301764
Centauri Specialty Ins Co.,C4297,0.005572148759105045
Safe Harbor Insurance Co.,C4520,0.018109295023430342
Security First Insurance Co.,C4528,0.0212628602389289
Southern Oak Insurance Co.,C4548,0.004661167308354094
Universal North America Ins Co,C4614,0.00632104099212044
Universal P&C Insurance Co.,C4615,0.0033112001285071774
Auto Club Insurance Co. of FL,C5107,0.003527609890265999
Evanston Insurance Co.,C603,0.006084724616821438
Privilege Underwriters Recpl,C6187,0.005226524820946294
Homeowners Choice P&C Ins Co.,C6245,0.012783699549265518
Olympus Insurance Co.,C6248,0.004997186298395762
Covington Specialty Ins Co.,C6404,0.0077071836820857805
Cincinnati Spclty Underwriters,C6408,0.0038991207190883555
People's Trust Insurance Co.,C6513,0.003122536592093092
ASI Preferred Insurance Corp.,C6525,0.006717208282861122
Federal Insurance Co.,C674,0.03402825578401157
Kinsale Insurance Co.,C681,0.0034625837778088082
Castle Key Insurance Co.,C714,0.07082583373817544
Stillwater P&C Insurance Co.,C717,0.007014128072731276
First Liberty Insurance Corp.,C725,0.003778679086520242
American Modern P&C Ins Co.,C726,0.0035611663685757356
American Platinum P&C Ins Co.,C7302,0.0033699362444930487
Florida Farm Bureau Cas Ins Co,C741,0.0037029146550944824
FL Farm Bureau General Ins Co.,C742,0.005393115094340544
Florida Family Home Ins Co.,C7460,0.004856415176012169
Foremost Ins Co. Grand Rapids,C752,0.014931837796908178
Foremost P&C Insurance Co.,C754,0.025997839610289546
Heritage P&C Insurance Co.,C8002,0.0032003590566913676
American Bankers Ins Co. of FL,C82,0.004925669523849511
Safepoint Insurance Co.,C8520,0.014130017017097964
Monarch National Insurance Co.,C8792,0.005666793743914973
Hartford Ins Co. of the MW,C888,0.0035954497068708814
TypTap Insurance Co.,C8884,0.006579062414570961
US Coastal P&C Insurance Co.,C8911,0.00644714887765995
Dover Bay Specialty Ins Co.,C8913,0.0034310698093547097
Lemonade Insurance Co.,C8979,0.008829267621451439
Vault Reciprocal Exchange,C9125,0.00620035077630964
Vault E&S Insurance Co.,C9151,0.004217048171049933
KW Specialty Insurance Co.,C9175,0.015843860512772184
Kin Interinsurance Network,C9365,0.011225138174201689
Sutton Specialty Insurance Co.,C9661,0.004028558689442472
Trusted Resource Underwriters,C9699,0.00970167448201739
Accredited Specialty Ins Co.,C9700,0.003984349289644204
SureChoice Underwriters Recpl,C9757,0.01689159637047175
Spinnaker Specialty Ins Co.,C9779,0.004073887324755694
Vyrd Insurance Co.,C9805,0.003282685926669551
Tower Hill Insurance Exchange,C9817,0.003173937018925552
PURE Specialty Exchange,C9832,0.023363811976152057
Slide Insurance Co.,C9834,0.004267326276607896
Loggerhead Recpl Interinsuranc,C9910,0.012212306289494742
Victor Insurance Exchange,C9979,0.007342307321508819
Beazley Excess & Surplus Ins I,C9994,0.05120574490706188
