Company,StatEntityKey,SurplusUSD,GroupSurplusUSD,GroupToEntityRatio
Orange Insurance Exchange,C10014,273902971,461167417,1.684
Manatee Insurance Exchange,C10040,140145541,154478428,1.102
Ovation Home Ins Exchange,C10067,125994623,129397081,1.027
Lexington Insurance Co.,C1046,2757732885,5491826313,1.991
Liberty Mutual Fire Ins Co.,C1051,114379001,115702125,1.012
Farmers Casualty Ins Co.,C1142,166097560,310128872,1.867
Narragansett Bay Insurance Co.,C1250,169170702,349106762,2.064
National Fire & Marine Ins Co.,C1265,93726266,128402836,1.37
Nationwide Mutual Insurance Co,C1298,168471470,183113721,1.087
Nationwide P&C Insurance Co.,C1299,60918142,71181008,1.168
AIG Specialty Insurance Co.,C134,253658951,469101881,1.849
American Modern Home Ins Co.,C144,121085636,156568473,1.293
Garrison P&C Insurance Co.,C1581,80657427,81503375,1.01
Homesite Insurance Co.,C1621,82492194,97877638,1.187
MS Transverse Spclty Ins Co.,C1622,123169503,138316693,1.123
Scottsdale Insurance Co.,C1650,56557334,61781675,1.092
Berkley Insurance Co.,C1685,92093662,127943136,1.389
Southern-Owners Insurance Co.,C1712,91182991,107013714,1.174
Topa Insurance Co.,C1803,65519008,85460156,1.304
Truck Insurance Exchange,C1847,115294729,124880584,1.083
Sutton National Insurance Co.,C1866,100352948,102535808,1.022
United Svcs Automobile Assn,C1904,105887846,111710454,1.055
USAA Casualty Insurance Co.,C1927,64974616,73228897,1.127
USAA General Indemnity Co.,C1929,69100447,87643683,1.268
GeoVera Specialty Insurance Co,C1936,85184496,88866326,1.043
Spinnaker Insurance Co.,C1937,39901636,49673549,1.245
Amica Mutual Insurance Co.,C194,54891012,72007657,1.312
Voyager Indemnity Insurance Co,C1975,73250524,80952359,1.105
Wilshire Insurance Co.,C2027,252172462,480441162,1.905
Trisura Insurance Co.,C284,120704523,154648174,1.281
AIG Property Casualty Co.,C295,375125628,723723662,1.929
First Floridian Auto & Home,C2962,83440919,115582079,1.385
Florida Family Insurance Co.,C2971,101642174,102075202,1.004
Unique Insurance Co.,C2999,53621147,54287953,1.012
State Farm FL Ins Co,C3205,1008711696,1574345398,1.561
Castle Key Indemnity Co.,C3244,109863442,118044226,1.074
American Strategic Ins Corp.,C3253,86449378,103460472,1.197
Cypress P&C Insurance Co.,C3431,136071483,201853593,1.483
QBE Specialty Insurance Co.,C3736,43721875,57140137,1.307
Chubb Custom Insurance Co.,C385,42437031,48897333,1.152
ACE Ins Co. of the Midwest,C397,169793826,211893453,1.248
Amer Integrity Ins Co FL,C3986,54353619,67358985,1.239
American Traditions Ins Co.,C3993,92104802,117352549,1.274
Cincinnati Insurance Co.,C405,175007303,197039991,1.126
Edison Insurance Co.,C4152,71765209,94400520,1.315
First Protective Insurance Co.,C4202,63168276,74881037,1.185
Florida Peninsula Insurance Co,C4209,113428149,147575818,1.301
Centauri Specialty Ins Co.,C4297,137954805,183563606,1.331
Safe Harbor Insurance Co.,C4520,378785855,772655851,2.04
Security First Insurance Co.,C4528,348622135,631778055,1.812
Southern Oak Insurance Co.,C4548,111527104,153451134,1.376
Universal North America Ins Co,C4614,106425940,147989551,1.391
Universal P&C Insurance Co.,C4615,66501530,84997233,1.278
Auto Club Insurance Co. of FL,C5107,85943282,112214171,1.306
