iteration,scenario,total_damage_usd,wind_total_usd,water_total_usd,underinsured_wind_usd,uninsured_wind_usd,nfip_policyholder_shortfall_usd,wind_insured_private_usd,wind_insured_citizens_usd,wind_underinsured_usd,wind_uninsured_usd,flood_insured_capped_usd,flood_un_derinsured_usd,wind_insured_private_pct,wind_insured_citizens_pct,wind_underinsured_pct,wind_uninsured_pct,flood_insured_capped_pct,flood_un_derinsured_pct,insured_private_wind_pre_usd,insured_citizens_wind_pre_usd,insured_flood_pre_usd,defaults_pre,defaults_post,rescued_defaults,group_contrib_total_usd,group_supported_companies,defaulted_premium_base_pct,largest_entity_deficit_usd,diag_group_shortfall_total_usd,diag_groups_with_shortfall,diag_groups_fully_funded_share,figa_residual_deficit_usd,figa_collected_usd,citizens_residual_deficit_usd,citizens_tier1_usd,citizens_tier2_usd,citizens_tier1_capacity_usd,citizens_tier2_capacity_usd,nfip_borrowed_usd,nfip_claims_paid_usd,nfip_pool_used_usd,nfip_fl_premium_base_usd,nfip_fl_premium_depletion_usd,underinsured_flood_usd,fhcf_cap_binding,fhcf_total_precap_usd,fhcf_total_postcap_usd,fhcf_shortfall_usd,fhcf_scaling_factor,fhcf_recovery_private_usd,fhcf_recovery_citizens_usd,catbond_payout_usd,catbond_unfilled_usd,catbond_triggers,catbond_limit_in_force_usd,catbond_issue_volume_year_usd
0,great_miami,170354720952.15982,115476747614.36989,54877973337.78994,19922993240.624397,24553881974.775215,0.0,53458808825.40357,17541063573.566692,19922993240.624397,24553881974.775215,16139856022.83992,38738117314.95003,31.380878983926863,10.29678747705072,11.695005063123146,14.413385104643272,9.474264013717839,22.739679357538165,53458808825.40357,17541063573.566692,16139856022.83992,99,99,0,0.0,0,85.23525817251503,4247223251.0238247,0.0,0,1.0,27471626927.99214,941278680.0,8005774534.118271,539937478.65,359958319.1,539937478.65,359958319.1,12698856022.83992,16139856022.83992,3441000000.0,1395853723.0,1395853723.0,0.0,False,13935481757.096535,13935481757.096535,0.0,1.0,5473510334.741239,8461971422.355295,1551057600.0133169,0.0,13,9464500000.0,9464500000.0
1,great_miami,170354720952.1598,122098397451.71487,48256323500.44493,15762687260.102915,55410418620.68648,0.0,41836063857.78985,9089227713.135649,15762687260.102915,55410418620.68648,14204949013.943722,34051374486.501213,24.55820632616254,5.335471575036744,9.25286201169001,32.52649431197578,8.338453395684207,19.988512379450736,41836063857.78985,9089227713.135649,14204949013.943722,99,99,0,0.0,0,85.23525817251503,1847907774.7794952,0.0,0,1.0,16940417000.38509,941278680.0,4108730524.887568,539937478.65,359958319.1,539937478.65,359958319.1,10763949013.943722,14204949013.943722,3441000000.0,1395853723.0,1395853723.0,0.0,False,8446029489.190157,8446029489.190157,0.0,1.0,4497331940.826147,3948697548.3640094,1394182976.712678,0.0,12,9464500000.0,9464500000.0
2,great_miami,170354720952.1598,124331914921.63553,46022806030.52427,25564149557.369484,51690190320.26562,0.0,33176782616.97474,13900792427.025713,25564149557.369484,51690190320.26562,13552294658.428234,32470511372.09603,19.47511781977071,8.159910303236874,15.006422724585711,30.34268145394199,7.955338474144244,19.060529224320486,33176782616.97474,13900792427.025713,13552294658.428234,95,95,0,0.0,0,84.1708047859382,1077450872.3015776,0.0,0,1.0,10094789994.523338,11755080.0,8213523397.958416,539937478.65,359958319.1,539937478.65,359958319.1,10111294658.428234,13552294658.428234,3441000000.0,1395853723.0,1395853723.0,0.0,False,8476119291.616998,8476119291.616998,0.0,1.0,3953561880.535925,4522557411.081073,1248056013.1970077,0.0,11,9464500000.0,9464500000.0
3,great_miami,170354720952.15982,107083692470.4876,63271028481.672226,8729358727.163004,40365032050.28331,0.0,45442356828.50877,12546944864.532501,8729358727.163004,40365032050.28331,18592383961.173428,44678644520.498795,26.675137955977284,7.365187647518157,5.124224722609503,23.69469529501263,10.913923522198523,26.22683085668389,45442356828.50877,12546944864.532501,18592383961.173428,98,98,0,0.0,0,85.07790849291106,3028802351.669552,0.0,0,1.0,21069588689.67308,1737660.0,6944248057.464965,539937478.65,359958319.1,539937478.65,359958319.1,15151383961.173428,18592383961.173428,3441000000.0,1395853723.0,1395853723.0,0.0,False,9462849659.014431,9462849659.014431,0.0,1.0,4940292247.933359,4522557411.081073,1421970008.587481,0.0,12,9464500000.0,9464500000.0
4,great_miami,170354720952.15982,118083066287.2435,52271654664.91632,25822658431.74582,44535224779.3661,0.0,39122248529.24953,8602934546.882042,25822658431.74582,44535224779.3661,15378265725.642593,36893388939.27373,22.965168391333343,5.050012408695135,15.158170133129165,26.142641971086196,9.027202556928977,21.65680453882718,39122248529.24953,8602934546.882042,15378265725.642593,98,98,0,0.0,0,84.80863576507527,2335063786.7793617,0.0,0,1.0,15271997592.276318,4711320.0,4640250686.710558,539937478.65,359958319.1,539937478.65,359958319.1,11937265725.642593,15378265725.642593,3441000000.0,1395853723.0,1395853723.0,0.0,False,7397574039.701924,7397574039.701924,0.0,1.0,4488688312.727419,2908885726.9745054,1328823075.1938968,0.0,11,9464500000.0,9464500000.0
5,great_miami,170354720952.15985,121538505912.46906,48816215039.690796,16960629736.145027,43610328583.410446,0.0,47979714501.32375,12987833091.589804,16960629736.145027,43610328583.410446,14368554473.32616,34447660566.36463,28.16459340436931,7.623993640444596,9.956066753740288,25.599718246527132,8.434491508668687,20.22113644624997,47979714501.32375,12987833091.589804,14368554473.32616,99,99,0,0.0,0,85.23525817251503,3365962557.4350147,0.0,0,1.0,22136800602.51609,941278680.0,5143704589.203147,539937478.65,359958319.1,539937478.65,359958319.1,10927554473.32616,14368554473.32616,3441000000.0,1395853723.0,1395853723.0,0.0,False,12176947335.58641,12176947335.58641,0.0,1.0,5370816130.432811,6806131205.153599,1474163485.8579118,0.0,13,9464500000.0,9464500000.0
6,great_miami,170354720952.1598,97264918575.59146,73089802376.56834,28242729817.268394,43394947710.84364,0.0,20419750064.869946,5207490982.609483,28242729817.268394,43394947710.84364,21461520036.725723,51628282339.84263,11.986606505964906,3.05685158210079,16.578777306206685,25.473287425377617,12.598136357343861,30.30634082300616,20419750064.869946,5207490982.609483,21461520036.725723,48,48,0,0.0,0,52.454828319552036,174851316.3549512,0.0,0,1.0,1098674101.753395,362004180.0,4063110433.095225,539937478.65,359958319.1,539937478.65,359958319.1,18020520036.725723,21461520036.725723,3441000000.0,1395853723.0,1395853723.0,0.0,False,2410393656.8594837,2410393656.8594837,0.0,1.0,2410393656.8594837,0.0,1140000000.0000002,0.0,8,9464500000.0,9464500000.0
7,great_miami,170354720952.15982,108075072340.85918,62279648611.30064,30790590380.416714,50871222697.03714,0.0,20284693785.114315,6128565478.291003,30790590380.416714,50871222697.03714,18302693641.27126,43976954970.02937,11.907327059524697,3.597531928693699,18.074398060892914,29.86193890765325,10.743872279542606,25.814931763692822,20284693785.114315,6128565478.291003,18302693641.27126,41,41,0,0.0,0,41.0444963117824,154975803.27451116,0.0,0,1.0,690857793.3970141,488011920.0,3591662111.821719,539937478.65,359958319.1,539937478.65,359958319.1,14861693641.27126,18302693641.27126,3441000000.0,1395853723.0,1395853723.0,0.0,False,3776739875.469894,3776739875.469894,0.0,1.0,2366952213.2833786,1409787662.1865153,1139999999.9999998,0.0,8,9464500000.0,9464500000.0
8,great_miami,170354720952.15985,137227641023.11108,33127079929.048756,19875363451.55645,62436267461.76841,0.0,41231004890.83631,13685005218.94988,19875363451.55645,62436267461.76841,9784044836.786303,23343035092.26245,24.20303039468749,8.033240958900691,11.667045879601998,36.650740943834585,5.743336481725049,13.702605341250154,41231004890.83631,13685005218.94988,9784044836.786303,99,99,0,0.0,0,85.23525817251503,2185882056.1908865,0.0,0,1.0,16346999013.00531,941278680.0,6848999558.994175,539937478.65,359958319.1,539937478.65,359958319.1,6343044836.786303,9784044836.786303,3441000000.0,1395853723.0,1395853723.0,0.0,False,10328972564.404402,10328972564.404402,0.0,1.0,4587043649.120401,5741928915.284,1355107393.6323192,0.0,12,9464500000.0,9464500000.0
9,great_miami,170354720952.15982,144354729782.52716,25999991169.63265,29513455742.44471,72436612410.17064,0.0,33812100457.425327,8592561172.486473,29513455742.44471,72436612410.17064,7701443924.269789,18298547245.36286,19.84805602594405,5.043923129608774,17.324706692885183,42.521047849629475,4.520828000083755,10.741438301848754,33812100457.425327,8592561172.486473,7701443924.269789,93,93,0,0.0,0,83.72443828348511,1418646329.055029,0.0,0,1.0,10585965221.067034,16684440.0,4547232416.416262,539937478.65,359958319.1,539937478.65,359958319.1,4260443924.2697887,7701443924.269789,3441000000.0,1395853723.0,1395853723.0,0.0,False,6967980843.734306,6967980843.734306,0.0,1.0,3995413781.551305,2972567062.183001,1289766886.5327277,0.0,11,9464500000.0,9464500000.0
