 NAIC,Company,CoveragePct,FHCFPremium
26417,ACE Insurance Company of the Midwest,0.9,4059985
10014,Affiliated FM Insurance Company,0.45,59180
19402,AIG Property Casualty Company,0.45,7078025
10111,American Bankers Insurance Company of Florida,0.9,2055656
12968,American Coastal Insurance Company,0.9,43019473
29068,American Family Connect Property and Casualty Insurance Company,0.9,254485
19380,American Home Assurance Company,0.45,132891
12841,American Integrity Insurance Company of Florida,0.9,26337676
23469,American Modern Home Insurance Company,0.9,441551
42722,American Modern Property and Casualty Insurance Company,0.9,801152
28401,American National Property & Casualty Company,0.45,53205
13563,American Platinum Property and Casualty Insurance Company,0.9,1722746
19615,American Reliable Insurance Company,0.45,15717
42978,American Security Insurance Company,0.9,17202080
10872,American Strategic Insurance Corporation,0.9,6086350
12359,American Traditions Insurance Company,0.9,13811313
19976,AMICA Mutual Insurance Company,0.9,6243064
41459,Armed Forces Insurance Exchange,0.9,602962
12196,ASI Assurance Corporation,0.9,226145
13142,ASI Preferred Insurance Corporation,0.9,14332205
12813,Auto Club Insurance Company of Florida,0.9,12410131
18988,Auto-Owners Insurance Company,0.9,56367
32603,Berkley Insurance Company,0.9,1555476
10835,Castle Key Indemnity Company,0.9,11327155
30511,Castle Key Insurance Company,0.9,4196474
12573,Centauri Specialty Insurance Company,0.9,2047538
26905,Century-National Insurance Company,0.9,19596
18767,Church Mutual Insurance Company S.I.,0.45,278
10677,Cincinnati Insurance Company,0.9,1834734
10064,Citizens Property Insurance Corporation,0.9,406542771
28860,Clear Blue Insurance Company,0.9,39315
17547,Condo Owners Reciprocal Exchange,0.9,4737521
18961,Crestbrook Insurance Company,0.9,53537
10953,Cypress Property & Casualty Insurance Company,0.9,6047020
12482,Edison Insurance Company,0.9,30754896
40169,Farmers Casualty Insurance Company,0.9,2018336
10178,FCCI Insurance Company,0.9,132524
20281,Federal Insurance Company,0.9,29167583
39306,Fidelity and Deposit Company of Maryland,0.9,49936
21873,Fireman's Fund Insurance Company,0.45,13818
13990,First Community Insurance Company,0.9,78331
10647,First Floridian Auto and Home Insurance Company,0.9,1337595
33588,First Liberty Insurance Corporation,0.9,1334018
24724,First National Insurance Company of America,0.9,1565
10897,First Protective Insurance Company,0.9,67890652
13648,Florida Family Home Insurance Company,0.9,2284470
10688,Florida Family Insurance Company,0.9,1286985
31216,Florida Farm Bureau Casualty Insurance Co.,0.9,4479106
21817,Florida Farm Bureau General Insurance Company,0.9,4450441
10132,Florida Peninsula Insurance Company,0.9,39109608
11185,Foremost Insurance Company Grand Rapids Michigan,0.9,4451969
11800,Foremost Property and Casualty Insurance Co.,0.9,1408109
21253,Garrison Property and Casualty Insurance Company,0.9,3053069
10799,GeoVera Insurance Company,0.9,4263
26832,Great American Alliance Insurance Company,0.45,156
26344,Great American Assurance Company,0.45,126259
16691,Great American Insurance Company,0.45,3612
22136,Great American Insurance Company of New York,0.45,11443
20303,Great Northern Insurance Company,0.9,262004
42803,GuideOne Elite Insurance Company,0.9,22700
15032,GuideOne Insurance Company,0.9,7264
14559,GuideOne Specialty Insurance Company,0.9,2009
22292,Hanover Insurance Company,0.45,52414
29424,Hartford Casualty Insurance Company,0.9,18880
19682,Hartford Fire Insurance Company,0.9,88467
37478,Hartford Insurance Company of the Midwest,0.9,2943062
30104,Hartford Underwriters Insurance Company,0.9,24238
14407,Heritage Property and Casualty Insurance Company,0.9,44507216
12944,Homeowners Choice Property and Casualty Insurance Company,0.9,51562923
17221,Homesite Insurance Company,0.9,2544380
43575,Indemnity Insurance Company of North America,0.9,17338
29742,Integon National Insurance Company,0.9,3828805
16603,Kin Interinsurance Network,0.9,17076385
16023,Lemonade Insurance Company,0.9,181319
23035,Liberty Mutual Fire Insurance Company,0.9,2701212
17360,Loggerhead Reciprocal Interinsurance Exchange,0.9,6096835
17580,Manatee Insurance Exchange,0.9,1036847
38970,Markel Insurance Company,0.9,7855
22306,Massachusetts Bay Insurance Company,0.45,351
15715,Monarch National Insurance Company,0.9,18738993
22608,National Specialty Insurance Company,0.9,136909
20141,National Trust Insurance Company,0.9,11759
23787,Nationwide Mutual Insurance Company,0.9,2440912
37877,Nationwide Property and Casualty Insurance Co,0.9,1290854
23248,Occidental Fire and Casualty Company of North Carolina,0.9,14684
40231,Old Dominion Insurance Company,0.9,75605
12954,Olympus Insurance Company,0.9,21833149
17522,Orange Insurance Exchange,0.9,4717737
17621,Ovation Home Insurance Exchange,0.9,928454
20346,Pacific Indemnity Company,0.9,139226
13125,People's Trust Insurance Company,0.9,17260095
18058,Philadelphia Indemnity Insurance Company,0.9,444788
37257,Praetorian Insurance Company,0.9,100922
12873,Privilege Underwriters Reciprocal Exchange,0.9,14168277
24252,Progressive American Insurance Company,0.9,150586
39217,QBE Insurance Corporation,0.9,7300684
21261,RiverStone International Insurance Inc.,0.9,453131
12563,Safe Harbor Insurance Company,0.9,6097317
15341,Safepoint Insurance Company,0.9,9986056
36560,SafePort Insurance Company,0.9,280165
10117,Security First Insurance Company,0.9,13275586
17227,Slide Insurance Company,0.9,60088068
12247,Southern Oak Insurance Company,0.9,14102157
10190,Southern-Owners Insurance Company,0.9,681964
24376,Spinnaker Insurance Company,0.9,2192008
10739,State Farm Florida Insurance Company,0.45,43788800
12831,State National Insurance Company Inc.,0.9,5325
25180,Stillwater Insurance Company,0.9,44759
16578,Stillwater Property and Casualty Insurance Company,0.9,11232
25798,Sutton National Insurance Company,0.9,1016905
17706,Tailrow Insurance Exchange,0.9,1000
22683,Teachers Insurance Company,0.9,5201
25615,The Charter Oak Fire Insurance Company,0.9,33916
25623,The Phoenix Insurance Company,0.9,2039
25658,The Travelers Indemnity Company,0.9,40709
25666,The Travelers Indemnity Company of America,0.9,2705
25682,The Travelers Indemnity Company of Connecticut,0.9,11465
17179,Tower Hill Insurance Exchange,0.9,56723707
11027,Tower Hill Prime Insurance Company,0.9,3835
