building_type,v_half_median,v_thresh_median,v_half_max,v_thresh_max,v_half_min,v_thresh_min
C1,83.85416667,55.67916667,116.725,76.475,68.425,45.61666667
C2,98.6125,65.74166667,116.725,76.475,81.84166667,53.66666667
C3,98.6125,65.74166667,116.725,76.475,81.84166667,53.66666667
RM2,75.80416667,50.3125,100.625,67.08333333,63.05833333,41.59166667
S1,92.575,61.71666667,116.725,76.475,81.84166667,53.66666667
S4,116.725,76.475,116.725,76.475,116.725,76.475
S5,104.65,69.76666667,116.725,76.475,92.575,61.71666667
W,75.13333333,49.64166667,88.55,59.03333333,61.71666667,41.59166667
A,73.79166667,48.3,83.18333333,55.00833333,64.4,42.93333333
C,83.85416667,55.67916667,116.725,76.475,68.425,45.61666667
C1H,110.6875,73.12083333,116.725,76.475,104.65,69.76666667
C1L,110.6875,73.12083333,116.725,76.475,104.65,69.76666667
C1M,88.55,59.03333333,116.725,76.475,79.15833333,52.325
C2L,98.6125,65.74166667,104.65,69.76666667,92.575,61.71666667
C3L,92.575,61.71666667,104.65,69.76666667,81.84166667,53.66666667
DS3,73.79166667,48.3,83.18333333,55.00833333,64.4,42.93333333
INF,77.81666667,50.98333333,91.23333333,60.375,64.4,42.93333333
MH,44.275,30.1875,46.95833333,32.2,41.59166667,28.175
PC1,104.65,69.76666667,116.725,76.475,92.575,61.71666667
PC2L,98.6125,65.74166667,104.65,69.76666667,92.575,61.71666667
RM,80.5,53.66666667,100.625,67.08333333,71.10833333,46.95833333
RM1L,80.5,53.66666667,91.23333333,60.375,71.10833333,46.95833333
RM2L,91.23333333,60.375,100.625,67.08333333,80.5,53.66666667
RM2M,90.5625,60.375,100.625,67.08333333,80.5,53.66666667
S,88.55,59.03333333,116.725,76.475,79.15833333,52.325
S1H,110.6875,73.12083333,116.725,76.475,104.65,69.76666667
S1L,104.65,69.76666667,116.725,76.475,92.575,61.71666667
S1M,110.6875,73.12083333,116.725,76.475,104.65,69.76666667
S2L,98.6125,65.74166667,104.65,69.76666667,92.575,61.71666667
S3,74.4625,49.64166667,77.81666667,52.325,71.10833333,46.95833333
S4H,110.6875,73.12083333,116.725,76.475,104.65,69.76666667
S4L,104.65,69.76666667,116.725,76.475,92.575,61.71666667
S4M,110.6875,73.12083333,116.725,76.475,104.65,69.76666667
S5L,98.6125,65.74166667,104.65,69.76666667,92.575,61.71666667
UCB,78.4875,51.65416667,91.23333333,60.375,64.4,42.93333333
UFB,78.4875,51.65416667,91.23333333,60.375,64.4,42.93333333
UFB3,78.4875,51.65416667,91.23333333,60.375,64.4,42.93333333
W1,75.13333333,49.64166667,88.55,59.03333333,61.71666667,41.59166667
W2,71.10833333,46.95833333,79.15833333,52.325,61.71666667,41.59166667
S2,88.55,59.03333333,116.725,76.475,79.15833333,52.325
A2,83.18333333,55.00833333,91.23333333,60.375,73.79166667,48.3
C3M,92.575,61.71666667,92.575,61.71666667,92.575,61.71666667
CH,92.575,61.71666667,92.575,61.71666667,92.575,61.71666667
CL,92.575,61.71666667,92.575,61.71666667,92.575,61.71666667
CM,79.15833333,52.325,79.15833333,52.325,79.15833333,52.325
DS,73.79166667,48.3,83.18333333,55.00833333,64.4,42.93333333
DS2,73.79166667,48.3,73.79166667,48.3,73.79166667,48.3
MS,73.79166667,48.3,73.79166667,48.3,73.79166667,48.3
RM1,80.5,53.66666667,80.5,53.66666667,80.5,53.66666667
RS,73.79166667,48.3,83.18333333,55.00833333,64.4,42.93333333
RS1,78.4875,51.65416667,91.23333333,60.375,64.4,42.93333333
RS2,73.79166667,48.3,83.18333333,55.00833333,64.4,42.93333333
UFB1,78.4875,51.65416667,83.18333333,55.00833333,73.79166667,48.3
UFB2,78.4875,51.65416667,83.18333333,55.00833333,73.79166667,48.3
UFB4,78.4875,51.65416667,83.18333333,55.00833333,73.79166667,48.3
URM,78.4875,51.65416667,83.18333333,55.00833333,73.79166667,48.3
UNK,73.79166667,48.3,73.79166667,48.3,73.79166667,48.3
PC,92.575,61.71666667,104.65,69.76666667,81.84166667,53.66666667
A4,78.4875,51.65416667,83.18333333,55.00833333,73.79166667,48.3
M,68.425,45.61666667,77.81666667,50.98333333,60.375,40.25
PC2,98.6125,65.74166667,104.65,69.76666667,92.575,61.71666667
W4,75.13333333,49.64166667,79.15833333,52.325,71.10833333,46.95833333
A1,73.79166667,48.3,83.18333333,55.00833333,64.4,42.93333333
C4,79.15833333,52.325,79.15833333,52.325,79.15833333,52.325
M2,64.4,42.93333333,68.425,45.61666667,60.375,40.25
RS3,73.79166667,48.3,83.18333333,55.00833333,64.4,42.93333333
DS4,73.79166667,48.3,83.18333333,55.00833333,64.4,42.93333333
RS4,73.79166667,48.3,83.18333333,55.00833333,64.4,42.93333333
DS1,73.79166667,48.3,83.18333333,55.00833333,64.4,42.93333333
RM2H,75.80416667,50.3125,80.5,53.66666667,71.10833333,46.95833333
RS5,69.09583333,45.61666667,73.79166667,48.3,64.4,42.93333333
RE,64.4,42.93333333,68.425,45.61666667,60.375,40.25
A3,69.09583333,45.61666667,73.79166667,48.3,64.4,42.93333333
