event_id,total_damage_usd
FL_era5_reanalcal_00000,307783496.93709874
FL_era5_reanalcal_00001,2788.547392246496
FL_era5_reanalcal_00002,235434.37276258814
FL_era5_reanalcal_00003,0.0
FL_era5_reanalcal_00004,5164200.153534563
FL_era5_reanalcal_00005,0.0
FL_era5_reanalcal_00006,5699396065.08341
FL_era5_reanalcal_00007,0.0
FL_era5_reanalcal_00008,1652442550.317368
FL_era5_reanalcal_00009,43622787.06301885
FL_era5_reanalcal_00010,0.0
FL_era5_reanalcal_00011,137321.352646977
FL_era5_reanalcal_00012,0.0
FL_era5_reanalcal_00013,1716176.8136494793
FL_era5_reanalcal_00014,0.0
FL_era5_reanalcal_00015,216942948.16375366
FL_era5_reanalcal_00016,1428794098.9876323
FL_era5_reanalcal_00017,0.0
FL_era5_reanalcal_00018,0.0
FL_era5_reanalcal_00019,8117731.181431573
FL_era5_reanalcal_00020,0.0
FL_era5_reanalcal_00021,492743847.591515
FL_era5_reanalcal_00022,0.0
FL_era5_reanalcal_00023,7658821.853402006
FL_era5_reanalcal_00024,0.0
FL_era5_reanalcal_00025,32070.741708917012
FL_era5_reanalcal_00026,490189.57934031455
FL_era5_reanalcal_00027,156566771.70589253
FL_era5_reanalcal_00028,0.0
FL_era5_reanalcal_00029,0.0
FL_era5_reanalcal_00030,312284.99673028936
FL_era5_reanalcal_00031,198029016903.30164
FL_era5_reanalcal_00032,0.0
FL_era5_reanalcal_00033,0.0
FL_era5_reanalcal_00034,188027.35588935224
FL_era5_reanalcal_00035,0.0
FL_era5_reanalcal_00036,41710809.0573609
FL_era5_reanalcal_00037,0.0
FL_era5_reanalcal_00038,0.0
FL_era5_reanalcal_00039,0.0
FL_era5_reanalcal_00040,6180172.435314263
FL_era5_reanalcal_00041,4921660.882003225
FL_era5_reanalcal_00042,0.0
FL_era5_reanalcal_00043,0.0
FL_era5_reanalcal_00044,0.0
FL_era5_reanalcal_00045,0.0
FL_era5_reanalcal_00046,0.0
FL_era5_reanalcal_00047,3634362556.8729753
FL_era5_reanalcal_00048,814188.5577149249
FL_era5_reanalcal_00049,0.0
FL_era5_reanalcal_00050,0.0
FL_era5_reanalcal_00051,27105406388.827473
FL_era5_reanalcal_00052,9650904.334763326
FL_era5_reanalcal_00053,578868648.5047739
FL_era5_reanalcal_00054,3884935.458906561
FL_era5_reanalcal_00055,919042.8801100206
FL_era5_reanalcal_00056,9292228.243286848
FL_era5_reanalcal_00057,109309892443.4054
FL_era5_reanalcal_00058,0.0
FL_era5_reanalcal_00059,0.0
FL_era5_reanalcal_00060,0.0
FL_era5_reanalcal_00061,1127985744.9565446
FL_era5_reanalcal_00062,0.0
FL_era5_reanalcal_00063,154928.34745663934
FL_era5_reanalcal_00064,6683737873.5586605
FL_era5_reanalcal_00065,0.0
FL_era5_reanalcal_00066,0.0
FL_era5_reanalcal_00067,0.0
FL_era5_reanalcal_00068,0.0
FL_era5_reanalcal_00069,0.0
FL_era5_reanalcal_00070,0.0
FL_era5_reanalcal_00071,0.0
FL_era5_reanalcal_00072,0.0
FL_era5_reanalcal_00073,0.0
FL_era5_reanalcal_00074,24762904034.99266
FL_era5_reanalcal_00075,0.0
FL_era5_reanalcal_00076,0.0
FL_era5_reanalcal_00077,0.0
FL_era5_reanalcal_00078,0.0
