Bond_Name,Series,Issuer,Cedent_Sponsor,Size,Size_Million_USD,Trigger_Type,Risks_Perils,Placement_Agent,Risk_Modelling,Ratings,Issue_Date,Issue_Date_Sort,,,
Sanders Re II Ltd. (Series 2024-3),2024-3,Sanders Re II Ltd.,Allstate,$650m,650,Indemnity,"US named storm, earthquake, severe weather, wildfire, volcanic eruption, meteorite impact (excl. Florida)",Aon Securities is sole structuring agent and joint bookrunner. Goldman Sachs is joint bookrunner.,AIR Worldwide,NR,Dec.24,2024-12,,,
Herbie Re Ltd. (Series 2024-2),2024-2,Herbie Re Ltd.,Fidelis Insurance,$375m,375,Industry loss index,"U.S., DC, Puerto Rico, Virgin Islands named storm and earthquake",Aon Securities is sole structuring agent and bookrunner,AIR Worldwide,NR,Dec.24,2024-12,,,
Bonanza Re Ltd. (Series 2024-1),2024-1,Bonanza Re Ltd.,Progressive,$345m,345,Indemnity,"US named storm, earthquake (fire-following only), severe thunderstorm, winter storm, wildfire",Gallagher Securities is sole structuring agent and bookrunner,AIR Worldwide,NR,Dec.24,2024-12,,,
Four Lakes Re Ltd. (Series 2024-1),2024-1,Four Lakes Re Ltd.,American Family Mutual Insurance Co.,$275m,275,Indemnity,"U.S named storm, earthquake, severe thunderstorm, winter storm, wildfire","Aon Securities is sole structuring agent and lead bookrunner, Howden Capital Markets & Advisory is joint bookrunner.",AIR Worldwide,NR,Dec.24,2024-12,,,
Armor Re II Ltd. (Series 2024-2),2024-2,Armor Re II Ltd.,American Coastal Insurance Company,$200m,200,Indemnity,Florida named storm,Aon Securities is sole structuring agent and bookrunner,AIR Worldwide,NR,Dec.24,2024-12,,,
Recoletos Re DAC (Series 2024-1),2024-1,Recoletos Re DAC,Mapfre Re,$125m,125,Industry loss index,US named storm,Aon Securities is sole structuring agent and joint bookrunner. GC Securities is joint bookrunner.,AIR Worldwide,NR,Dec.24,2024-12,,,
Silk Road Re Limited,,Silk Road Re Limited,Taiping Reinsurance Company,$35m,35,Multiple triggers,"China earthquake, US named storm",GC Securities is sole structuring agent and bookrunner,NA,NR,Dec.24,2024-12,,,
Residential Reinsurance 2024 Limited (Series 2024-2),2024-2,Residential Reinsurance 2024 Limited,USAA,$450m,450,Indemnity,"U.S. tropical cyclones, earthquakes (plus fire following), severe thunderstorm, winter storm, wildfire, volcanic eruption, meteorite impact, other perils (all including auto & renter policy flood losses)",Swiss Re Capital Markets and GC Securities are joint structuring agents and bookrunners,AIR Worldwide,NR,Nov.24,2024-11,,,
3264 Re Ltd. (Series 2024-1),2024-1,3264 Re Ltd.,Hannover Re,$140m,140,Industry loss index,US named storm,GC Securities is sole structuring agent and joint bookrunner. Howden Capital Markets & Advisory is joint bookrunner.,AIR Worldwide,NR,Jun.24,2024-06,,,
Gateway Re Ltd. (Series 2024-4),2024-4,Gateway Re Ltd.,"Anchor Re, SureChoice Underwriters Reciprocal Exchange, Elevate Reciprocal Exchange",$60m,60,Industry loss index,"US named storm: Alabama, North and South Carolina, Louisiana, Mississippi, Texas, Virgina, New York",Swiss Re Capital Markets is sole structuring agent and bookrunner,AIR Worldwide,NR,Jun.24,2024-06,,,
