year,capital,capital_from_budget,pml10,pml25,pml100
2016, $7'401'802'315.00 , $7'455'001'695 , $1'023'250'250 , $2'711'051'561 , $7'796'906'730 
2017, $6'359'300'069.00 , $7'372'617'272 , $868'764'262 , $2'321'744'650 , $6'648'361'531 
2018, $6'230'729'000.00 , $6'365'000'000 , $742'100'000 , $1'002'400'000 , $2'521'400'000 
2019, $6'317'933'005.00 , $6'228'500'000 , $668'900'000 , $1'035'900'000 , $1'903'000'000 
2020, $6'441'805'891.00 , $6'316'300'000 , $630'000'000 , $922'100'000 , $1'577'400'000 
2021, $6'526'507'851.00 , $6'528'500'000 , $867'300'000 , $1'407'600'000 , $2'258'900'000 
2022, $4'279'523'790.00 , $6'682'700'000 , $1'526'000'000 , $2'418'700'000 , $3'500'900'000 
2023, $5'023'466'880.00 , $4'901'300'000 , $2'378'200'000 , $3'481'600'000 , $7'479'200'000 
2024, $4'183'356'808.00 , $6'284'900'000 , $2'436'400'000 , $3'567'200'000 , $6'700'700'000 
,,,,,
,,,,,
,,,,,
* captial from https://www.citizensfla.com/financials --> year --> Annual --> 37. (or 39.) Surplus as regards policyholders,,,,,
