as_of,product_line,county,policies_in_force,building_count,total_premium,total_exposure
2012-01-31,PLAPR-M,Alachua,2859,2859,2425850.0,451295246.0
2012-01-31,PLAPR-M,Baker,475,475,351361.0,47281379.0
2012-01-31,PLAPR-M,Bay,5056,5056,5649782.0,654161741.0
2012-01-31,PLAPR-M,Bradford,398,398,306927.0,40575687.0
2012-01-31,PLAPR-M,Brevard,26347,26347,41533317.0,5223395128.0
2012-01-31,PLAPR-M,Broward,133191,133191,261247312.0,35362811148.0
2012-01-31,PLAPR-M,Calhoun,229,229,164629.0,22659356.0
2012-01-31,PLAPR-M,Charlotte,18687,18687,27512662.0,4358964865.0
2012-01-31,PLAPR-M,Citrus,4949,4949,4867689.0,572469216.0
2012-01-31,PLAPR-M,Clay,2068,2068,1701521.0,278024361.0
2012-01-31,PLAPR-M,Collier,13441,13441,21834323.0,2856142578.0
2012-01-31,PLAPR-M,Columbia,959,959,683130.0,93705402.0
2012-01-31,PLAPR-M,Miami-Dade,179832,179832,441904263.0,49571834588.0
2012-01-31,PLAPR-M,Desoto,826,826,936521.0,101098504.0
2012-01-31,PLAPR-M,Dixie,658,658,615451.0,55004511.0
2012-01-31,PLAPR-M,Duval,8031,8031,7341739.0,1456233062.0
2012-01-31,PLAPR-M,Escambia,4942,4942,5893733.0,761221971.0
2012-01-31,PLAPR-M,Flagler,732,732,864422.0,158466535.0
2012-01-31,PLAPR-M,Franklin,304,304,416729.0,42343450.0
2012-01-31,PLAPR-M,Gadsden,963,963,796481.0,119299295.0
2012-01-31,PLAPR-M,Gilchrist,675,675,469193.0,61628542.0
2012-01-31,PLAPR-M,Glades,290,290,318577.0,24849471.0
2012-01-31,PLAPR-M,Gulf,373,373,380809.0,40168811.0
2012-01-31,PLAPR-M,Hamilton,174,174,120981.0,15370236.0
2012-01-31,PLAPR-M,Hardee,259,259,254999.0,25874854.0
2012-01-31,PLAPR-M,Hendry,861,861,1087397.0,101640959.0
2012-01-31,PLAPR-M,Hernando,40244,40244,49654389.0,12245760200.0
2012-01-31,PLAPR-M,Highlands,1691,1691,1637217.0,171436173.0
2012-01-31,PLAPR-M,Hillsborough,86246,86246,129869732.0,23225553251.0
2012-01-31,PLAPR-M,Holmes,420,420,343927.0,52099206.0
2012-01-31,PLAPR-M,Indian River,5392,5392,7664812.0,957398537.0
2012-01-31,PLAPR-M,Jackson,969,969,718423.0,99809923.0
2012-01-31,PLAPR-M,Jefferson,287,287,249785.0,30393807.0
2012-01-31,PLAPR-M,Lafayette,186,186,145415.0,17651421.0
2012-01-31,PLAPR-M,Lake,5165,5165,4147303.0,564502729.0
2012-01-31,PLAPR-M,Lee,40926,40926,52207980.0,7908415965.0
2012-01-31,PLAPR-M,Leon,2863,2863,2293535.0,411493848.0
2012-01-31,PLAPR-M,Levy,1737,1737,1654577.0,166490448.0
2012-01-31,PLAPR-M,Liberty,181,181,114748.0,14467483.0
2012-01-31,PLAPR-M,Madison,278,278,230396.0,30919082.0
2012-01-31,PLAPR-M,Manatee,24689,24689,32930952.0,4547803516.0
2012-01-31,PLAPR-M,Marion,5474,5474,4763210.0,737450128.0
2012-01-31,PLAPR-M,Martin,8509,8509,15394874.0,1761315819.0
2012-01-31,PLAPR-M,Monroe,808,808,573880.0,101261402.0
2012-01-31,PLAPR-M,Nassau,1875,1875,1736137.0,256385892.0
2012-01-31,PLAPR-M,Okaloosa,5561,5561,8780889.0,1169655495.0
2012-01-31,PLAPR-M,Okeechobee,1007,1007,1112420.0,83664955.0
2012-01-31,PLAPR-M,Orange,8474,8474,7710062.0,1392375101.0
2012-01-31,PLAPR-M,Osceola,2738,2738,2456896.0,437298588.0
2012-01-31,PLAPR-M,Palm Beach,78334,78334,140829986.0,21085182434.0
2012-01-31,PLAPR-M,Pasco,70127,70127,87441357.0,18083763910.0
2012-01-31,PLAPR-M,Pinellas,135003,135003,215129442.0,33598259629.0
2012-01-31,PLAPR-M,Polk,10580,10580,8953780.0,1231744220.0
2012-01-31,PLAPR-M,Putnam,2258,2258,1744401.0,180564254.0
2012-01-31,PLAPR-M,Santa Rosa,3955,3955,5613850.0,775630586.0
2012-01-31,PLAPR-M,Sarasota,20374,20374,26215907.0,4003809118.0
2012-01-31,PLAPR-M,Seminole,2955,2955,2967534.0,528556848.0
2012-01-31,PLAPR-M,Saint Johns,3461,3461,4058979.0,733921759.0
2012-01-31,PLAPR-M,Saint Lucie,11489,11489,17325206.0,2044001499.0
2012-01-31,PLAPR-M,Sumter,1142,1142,967729.0,149555551.0
2012-01-31,PLAPR-M,Suwannee,809,809,575419.0,67111804.0
2012-01-31,PLAPR-M,Taylor,695,695,797410.0,74719382.0
2012-01-31,PLAPR-M,Union,183,183,139710.0,17438953.0
2012-01-31,PLAPR-M,Volusia,10352,10352,11600388.0,1883681337.0
2012-01-31,PLAPR-M,Wakulla,836,836,783138.0,73422925.0
2012-01-31,PLAPR-M,Walton,1275,1275,1284710.0,155579562.0
2012-01-31,PLAPR-M,Washington,544,544,405817.0,49129750.0
2012-01-31,COASTALPR-W (ePAS),Bay,5215,5215,4484713.0,988870697.0
2012-01-31,COASTALPR-W (ePAS),Brevard,2098,2098,2609761.0,659740558.0
2012-01-31,COASTALPR-W (ePAS),Broward,34499,34499,67392803.0,13315448319.0
2012-01-31,COASTALPR-W (ePAS),Charlotte,1146,1146,2056619.0,579553780.0
2012-01-31,COASTALPR-W (ePAS),Collier,8686,8686,17331187.0,4859547770.0
2012-01-31,COASTALPR-W (ePAS),Miami-Dade,42179,42179,114515236.0,20851012439.0
2012-01-31,COASTALPR-W (ePAS),Duval,1450,1450,1329314.0,655349174.0
2012-01-31,COASTALPR-W (ePAS),Escambia,8156,8156,9892625.0,2867068421.0
2012-01-31,COASTALPR-W (ePAS),Flagler,1678,1678,1309795.0,633726128.0
2012-01-31,COASTALPR-W (ePAS),Franklin,1685,1685,3452770.0,791338885.0
2012-01-31,COASTALPR-W (ePAS),Gulf,1155,1155,1693457.0,381890174.0
2012-01-31,COASTALPR-W (ePAS),Hernando,195,195,201608.0,67285291.0
2012-01-31,COASTALPR-W (ePAS),Indian River,2039,2039,6267127.0,1367958852.0
2012-01-31,COASTALPR-W (ePAS),Lee,13660,13660,24318374.0,6770190070.0
2012-01-31,COASTALPR-W (ePAS),Levy,378,378,250671.0,100221963.0
2012-01-31,COASTALPR-W (ePAS),Manatee,1780,1780,2849475.0,698040065.0
2012-01-31,COASTALPR-W (ePAS),Monroe,21576,21576,52047442.0,9056316170.0
2012-01-31,COASTALPR-W (ePAS),Nassau,772,772,714287.0,313646355.0
2012-01-31,COASTALPR-W (ePAS),Okaloosa,2823,2823,2578237.0,573883983.0
2012-01-31,COASTALPR-W (ePAS),Palm Beach,31904,31904,71853095.0,15231666191.0
2012-01-31,COASTALPR-W (ePAS),Pasco,1717,1717,1947359.0,412333920.0
2012-01-31,COASTALPR-W (ePAS),Pinellas,8215,8215,12199861.0,3494617082.0
2012-01-31,COASTALPR-W (ePAS),Santa Rosa,1518,1518,2188340.0,672113244.0
2012-01-31,COASTALPR-W (ePAS),Sarasota,28003,28003,32197645.0,11222427796.0
2012-01-31,COASTALPR-W (ePAS),Saint Johns,1548,1548,1478710.0,718927178.0
2012-01-31,COASTALPR-W (ePAS),Saint Lucie,857,857,872591.0,132460635.0
2012-01-31,COASTALPR-W (ePAS),Volusia,12556,12556,11095745.0,3774785478.0
2012-01-31,COASTALPR-W (ePAS),Wakulla,402,402,435930.0,133688210.0
2012-01-31,COASTALPR-W (ePAS),Walton,6870,6870,10009032.0,2707009008.0
2012-01-31,COASTALPR-M,Bay,2298,2298,2686233.0,295060330.0
2012-01-31,COASTALPR-M,Brevard,2189,2189,3324010.0,407520983.0
2012-01-31,COASTALPR-M,Broward,35113,35113,68324017.0,7413355109.0
2012-01-31,COASTALPR-M,Charlotte,440,440,862822.0,99098126.0
2012-01-31,COASTALPR-M,Collier,2764,2764,5126270.0,658097680.0
2012-01-31,COASTALPR-M,Miami-Dade,44733,44733,113160289.0,11743901958.0
2012-01-31,COASTALPR-M,Duval,338,338,534741.0,98520328.0
2012-01-31,COASTALPR-M,Escambia,2823,2823,4805538.0,651814127.0
2012-01-31,COASTALPR-M,Flagler,288,288,454069.0,73658276.0
2012-01-31,COASTALPR-M,Franklin,229,229,552687.0,56285016.0
2012-01-31,COASTALPR-M,Gulf,248,248,531003.0,58775686.0
2012-01-31,COASTALPR-M,Hernando,1288,1288,1765674.0,422648291.0
2012-01-31,COASTALPR-M,Indian River,753,753,1794337.0,223047984.0
2012-01-31,COASTALPR-M,Lee,6079,6079,10572471.0,1290384101.0
2012-01-31,COASTALPR-M,Levy,64,64,106202.0,14586588.0
2012-01-31,COASTALPR-M,Manatee,1299,1299,2709581.0,317901509.0
2012-01-31,COASTALPR-M,Monroe,1751,1751,4693414.0,464294358.0
2012-01-31,COASTALPR-M,Nassau,112,112,166284.0,24934781.0
2012-01-31,COASTALPR-M,Okaloosa,749,749,1060647.0,123534371.0
2012-01-31,COASTALPR-M,Palm Beach,27236,27236,52859791.0,6375204834.0
2012-01-31,COASTALPR-M,Pasco,10610,10610,16306506.0,2777266265.0
2012-01-31,COASTALPR-M,Pinellas,7727,7727,14624638.0,1820013273.0
2012-01-31,COASTALPR-M,Santa Rosa,551,551,1153994.0,169604226.0
2012-01-31,COASTALPR-M,Sarasota,14250,14250,23678872.0,3203828041.0
2012-01-31,COASTALPR-M,Saint Johns,450,450,627641.0,96600759.0
2012-01-31,COASTALPR-M,Saint Lucie,1168,1168,1506613.0,118376565.0
2012-01-31,COASTALPR-M,Volusia,6235,6235,8121332.0,1162838492.0
2012-01-31,COASTALPR-M,Wakulla,81,81,120156.0,12424193.0
2012-01-31,COASTALPR-M,Walton,2295,2295,4019540.0,563170388.0
2012-01-31,COASTALCR-W,Bay,150,406,2016972.0,532119593.0
2012-01-31,COASTALCR-W,Brevard,372,840,3986996.0,1520866946.0
2012-01-31,COASTALCR-W,Broward,3154,6375,31361291.0,6621580923.0
2012-01-31,COASTALCR-W,Charlotte,70,311,1527521.0,311847457.0
2012-01-31,COASTALCR-W,Collier,455,1343,15246731.0,3882620257.0
2012-01-31,COASTALCR-W,Dade,2865,5489,59847643.0,11214195112.0
2012-01-31,COASTALCR-W,Duval,84,126,452853.0,176455123.0
2012-01-31,COASTALCR-W,Escambia,102,360,2739890.0,772445128.0
2012-01-31,COASTALCR-W,Flagler,26,51,329941.0,72002940.0
2012-01-31,COASTALCR-W,Franklin,9,17,81138.0,15126000.0
2012-01-31,COASTALCR-W,Gulf,17,19,101184.0,12287600.0
2012-01-31,COASTALCR-W,Hernando,0,0,0.0,0.0
