as_of,product_line,county,policies_in_force,building_count,total_premium,total_exposure
2012-01-31,PLA PR-M,Alachua,2859.0,2859.0,2425850.0,451295246.0
2012-01-31,PLA PR-M,Baker,475.0,475.0,351361.0,47281379.0
2012-01-31,PLA PR-M,Bay,5056.0,5056.0,5649782.0,654161741.0
2012-01-31,PLA PR-M,Bradford,398.0,398.0,306927.0,40575687.0
2012-01-31,PLA PR-M,Brevard,26347.0,26347.0,41533317.0,5223395128.0
2012-01-31,PLA PR-M,Broward,133191.0,133191.0,261247312.0,35362811148.0
2012-01-31,PLA PR-M,Calhoun,229.0,229.0,164629.0,22659356.0
2012-01-31,PLA PR-M,Charlotte,18687.0,18687.0,27512662.0,4358964865.0
2012-01-31,PLA PR-M,Citrus,4949.0,4949.0,4867689.0,572469216.0
2012-01-31,PLA PR-M,Clay,2068.0,2068.0,1701521.0,278024361.0
2012-01-31,PLA PR-M,Collier,13441.0,13441.0,21834323.0,2856142578.0
2012-01-31,PLA PR-M,Columbia,959.0,959.0,683130.0,93705402.0
2012-01-31,PLA PR-M,Miami-Dade,179832.0,179832.0,441904263.0,49571834588.0
2012-01-31,PLA PR-M,Desoto,826.0,826.0,936521.0,101098504.0
2012-01-31,PLA PR-M,Dixie,658.0,658.0,615451.0,55004511.0
2012-01-31,PLA PR-M,Duval,8031.0,8031.0,7341739.0,1456233062.0
2012-01-31,PLA PR-M,Escambia,4942.0,4942.0,5893733.0,761221971.0
2012-01-31,PLA PR-M,Flagler,732.0,732.0,864422.0,158466535.0
2012-01-31,PLA PR-M,Franklin,304.0,304.0,416729.0,42343450.0
2012-01-31,PLA PR-M,Gadsden,963.0,963.0,796481.0,119299295.0
2012-01-31,PLA PR-M,Gilchrist,675.0,675.0,469193.0,61628542.0
2012-01-31,PLA PR-M,Glades,290.0,290.0,318577.0,24849471.0
2012-01-31,PLA PR-M,Gulf,373.0,373.0,380809.0,40168811.0
2012-01-31,PLA PR-M,Hamilton,174.0,174.0,120981.0,15370236.0
2012-01-31,PLA PR-M,Hardee,259.0,259.0,254999.0,25874854.0
2012-01-31,PLA PR-M,Hendry,861.0,861.0,1087397.0,101640959.0
2012-01-31,PLA PR-M,Hernando,40244.0,40244.0,49654389.0,12245760200.0
