county_index,fips,stcode,ccode,region_num,region_str,fill_source
0,48061,48,61,1.0,GOM,county_mode
1,48489,48,489,1.0,GOM,county_mode
2,48261,48,261,1.0,GOM,county_mode
3,48273,48,273,1.0,GOM,county_mode
4,48355,48,355,1.0,GOM,county_mode
5,48007,48,7,1.0,GOM,county_mode
6,48057,48,57,1.0,GOM,county_mode
7,48321,48,321,1.0,GOM,county_mode
8,48039,48,39,1.0,GOM,county_mode
9,48071,48,71,1.0,GOM,county_mode
10,48167,48,167,1.0,GOM,county_mode
11,48245,48,245,1.0,GOM,county_mode
12,22023,22,23,1.0,GOM,county_mode
13,22113,22,113,1.0,GOM,county_mode
14,22045,22,45,1.0,GOM,county_mode
15,22101,22,101,1.0,GOM,county_mode
16,22109,22,109,1.0,GOM,county_mode
17,22057,22,57,1.0,GOM,county_mode
18,22051,22,51,1.0,GOM,county_mode
19,22075,22,75,1.0,GOM,county_mode
20,22087,22,87,1.0,GOM,county_mode
21,22071,22,71,1.0,GOM,county_mode
22,22103,22,103,1.0,GOM,county_mode
23,28045,28,45,1.0,GOM,county_mode
24,28047,28,47,1.0,GOM,county_mode
25,28059,28,59,1.0,GOM,county_mode
26,01097,1,97,1.0,GOM,county_mode
27,01003,1,3,1.0,GOM,county_mode
28,12033,12,33,2.0,SE,county_mode
29,12113,12,113,2.0,SE,county_mode
30,12091,12,91,2.0,SE,county_mode
31,12131,12,131,2.0,SE,county_mode
32,12005,12,5,2.0,SE,county_mode
33,12045,12,45,2.0,SE,county_mode
34,12037,12,37,2.0,SE,county_mode
35,12129,12,129,2.0,SE,county_mode
36,12065,12,65,2.0,SE,county_mode
37,12123,12,123,2.0,SE,county_mode
38,12029,12,29,2.0,SE,county_mode
39,12075,12,75,2.0,SE,county_mode
40,12017,12,17,2.0,SE,county_mode
41,12053,12,53,2.0,SE,county_mode
42,12101,12,101,2.0,SE,county_mode
43,12103,12,103,2.0,SE,county_mode
44,12057,12,57,2.0,SE,county_mode
45,12081,12,81,2.0,SE,county_mode
46,12115,12,115,2.0,SE,county_mode
47,12015,12,15,2.0,SE,county_mode
48,12071,12,71,2.0,SE,county_mode
49,12021,12,21,2.0,SE,county_mode
50,12087,12,87,2.0,SE,county_mode
51,12086,12,86,2.0,SE,county_mode
52,12011,12,11,2.0,SE,county_mode
53,12099,12,99,2.0,SE,county_mode
54,12085,12,85,2.0,SE,county_mode
55,12111,12,111,2.0,SE,county_mode
56,12061,12,61,2.0,SE,county_mode
57,12009,12,9,2.0,SE,county_mode
58,12127,12,127,2.0,SE,county_mode
59,12035,12,35,2.0,SE,county_mode
60,12109,12,109,2.0,SE,county_mode
61,12031,12,31,2.0,SE,county_mode
62,12089,12,89,2.0,SE,county_mode
63,13039,13,39,2.0,SE,county_mode
64,13127,13,127,2.0,SE,county_mode
65,13191,13,191,2.0,SE,county_mode
66,13179,13,179,2.0,SE,county_mode
67,13029,13,29,2.0,SE,county_mode
68,13051,13,51,2.0,SE,county_mode
69,45053,45,53,2.0,SE,county_mode
70,45013,45,13,2.0,SE,county_mode
71,45029,45,29,2.0,SE,county_mode
72,45019,45,19,2.0,SE,county_mode
73,45043,45,43,2.0,SE,county_mode
74,45051,45,51,2.0,SE,county_mode
75,37019,37,19,2.0,SE,county_mode
76,37129,37,129,2.0,SE,county_mode
77,37141,37,141,2.0,SE,county_mode
78,37133,37,133,2.0,SE,county_mode
79,37031,37,31,2.0,SE,county_mode
80,37095,37,95,2.0,SE,county_mode
81,37055,37,55,2.0,SE,county_mode
82,37053,37,53,2.0,SE,county_mode
83,51810,51,810,3.0,MA_NE,county_mode
84,51710,51,710,3.0,MA_NE,county_mode
85,51740,51,740,3.0,MA_NE,county_mode
86,51800,51,800,3.0,MA_NE,county_mode
87,51093,51,93,3.0,MA_NE,county_mode
88,51181,51,181,3.0,MA_NE,county_mode
89,51700,51,700,3.0,MA_NE,county_mode
90,51650,51,650,3.0,MA_NE,county_mode
91,51735,51,735,3.0,MA_NE,county_mode
92,51199,51,199,3.0,MA_NE,county_mode
93,51095,51,95,3.0,MA_NE,county_mode
94,51127,51,127,3.0,MA_NE,county_mode
95,51097,51,97,3.0,MA_NE,county_mode
96,51073,51,73,3.0,MA_NE,county_mode
97,51115,51,115,3.0,MA_NE,county_mode
98,51119,51,119,3.0,MA_NE,county_mode
99,51057,51,57,3.0,MA_NE,county_mode
100,51159,51,159,3.0,MA_NE,county_mode
101,51760,51,760,3.0,MA_NE,state_mode
102,51103,51,103,3.0,MA_NE,county_mode
103,51133,51,133,3.0,MA_NE,county_mode
104,51193,51,193,3.0,MA_NE,county_mode
105,51099,51,99,3.0,MA_NE,county_mode
106,51179,51,179,3.0,MA_NE,county_mode
