StatEntityKey,Company,NAIC,CoveragePct_norm,RetentionUSD,LimitUSD,FHCFTermsFilledDefault
C397,C397,26417,90,24657100.902,45621239.448,0
C295,C295,19402,45,85972522.86,79534351.32000001,0
C134,C134,00000,0,0.0,0.0,0
C6525,C6525,13142,90,87042347.406,161048121.144,0
C9700,C9700,00000,0,0.0,0.0,0
C3986,C3986,00000,0,0.0,0.0,0
C82,C82,00000,0,0.0,0.0,0
C144,C144,23469,90,2681627.5332,4961620.2768,0
C726,C726,00000,0,0.0,0.0,0
C7302,C7302,00000,0,0.0,0.0,0
C3253,C3253,10872,90,36963620.82,68391097.68,0
C3993,C3993,12359,90,83878866.1116,155194961.91840002,0
C194,C194,19976,90,37915376.2848,70152061.55520001,0
C5107,C5107,00000,0,0.0,0.0,0
C9994,C9994,00000,0,0.0,0.0,0
C1685,C1685,32603,90,9446716.8432,17478572.7168,0
C3244,C3244,10835,90,68792077.74599999,127280975.304,0
C714,C714,30511,90,25486025.8968,47154939.0432,0
C4297,C4297,12573,90,12435107.7816,23007774.998400003,0
C385,C385,00000,0,0.0,0.0,0
C405,C405,10677,90,11142706.5288,20616539.0112,0
C6408,C6408,00000,0,0.0,0.0,0
C6949,C6949,10064,90,2469015556.8372,4568239809.1728,0
C6404,C6404,00000,0,0.0,0.0,0
C3431,C3431,00000,0,0.0,0.0,0
C8913,C8913,00000,0,0.0,0.0,0
C4152,C4152,12482,90,186780634.3872,345586615.3728,0
C603,C603,00000,0,0.0,0.0,0
C742,C742,00000,0,0.0,0.0,0
C1142,C1142,40169,90,12257758.1952,22679637.9648,0
C674,C674,20281,90,177140565.0756,327750296.6544,0
C2962,C2962,00000,0,0.0,0.0,0
C725,C725,33588,90,8101758.1175999995,14990093.4624,0
C4202,C4202,10897,90,412313507.7264,762873678.3936,0
C7460,C7460,13648,90,13874043.204,25670132.496000003,0
C2971,C2971,10688,90,7816117.302,14461593.048,0
C741,C741,00000,0,0.0,0.0,0
C4209,C4209,10132,90,237520471.3056,439466843.17440003,0
C752,C752,00000,0,0.0,0.0,0
C754,C754,00000,0,0.0,0.0,0
C1581,C1581,00000,0,0.0,0.0,0
C1936,C1936,00000,0,0.0,0.0,0
C888,C888,00000,0,0.0,0.0,0
C8002,C8002,00000,0,0.0,0.0,0
C6245,C6245,00000,0,0.0,0.0,0
C1621,C1621,17221,90,15452528.616,28590689.184,0
C9175,C9175,00000,0,0.0,0.0,0
C9365,C9365,16603,90,103708301.382,191883922.96800002,0
C681,C681,00000,0,0.0,0.0,0
C8979,C8979,16023,90,1101186.5508,2037445.3392,0
C1046,C1046,00000,0,0.0,0.0,0
C1051,C1051,23035,90,16405000.7184,30352979.0016,0
C9910,C9910,00000,0,0.0,0.0,0
C1622,C1622,00000,0,0.0,0.0,0
C10040,C10040,17580,90,6296979.2003999995,11650842.3696,0
C8792,C8792,15715,90,113805652.2876,210566316.5424,0
C1250,C1250,00000,0,0.0,0.0,0
C1265,C1265,00000,0,0.0,0.0,0
C1298,C1298,23787,90,14824146.7584,27428039.961600002,0
C1299,C1299,00000,0,0.0,0.0,0
C6248,C6248,12954,90,132597080.5068,245334728.6832,0
C10014,C10014,17522,90,28651760.3484,53012267.1216,0
C10067,C10067,17621,90,5638686.8328,10432851.907200001,0
C9832,C9832,00000,0,0.0,0.0,0
C6513,C6513,13125,90,104824008.954,193948235.49600002,0
C6187,C6187,00000,0,0.0,0.0,0
C3736,C3736,00000,0,0.0,0.0,0
C4520,C4520,12563,90,37030225.6044,68514331.6656,0
C8520,C8520,15341,90,60647315.2992,112211314.0608,0
C1650,C1650,00000,0,0.0,0.0,0
C4528,C4528,10117,90,80625288.8952,149175104.7648,0
C9834,C9834,17227,90,364926854.5776,675197602.5024,0
C4548,C4548,12247,90,85645219.8924,158463117.77760002,0
C1712,C1712,10190,90,4141703.7648,7663093.075200001,0
C1937,C1937,24376,90,13312502.9856,24631155.494400002,0
C9779,C9779,00000,0,0.0,0.0,0
C3205,C3205,00000,0,0.0,0.0,0
C717,C717,00000,0,0.0,0.0,0
C9757,C9757,00000,0,0.0,0.0,0
C1866,C1866,25798,90,6175867.4459999995,11426758.104,0
C9661,C9661,00000,0,0.0,0.0,0
C1803,C1803,00000,0,0.0,0.0,0
C9817,C9817,17179,90,344494417.3524,637392950.8176,0
C284,C284,00000,0,0.0,0.0,0
C1847,C1847,21709,90,34609976.4528,64036320.787200004,0
C9699,C9699,00000,0,0.0,0.0,0
C8884,C8884,15885,90,184664579.6772,341671433.33280003,0
C8911,C8911,00000,0,0.0,0.0,0
C1927,C1927,25968,90,79349242.77,146814129.48000002,0
C1929,C1929,18600,90,50218495.2108,92915627.17920001,0
C2999,C2999,10655,90,10267795.2636,18997754.3664,0
C1904,C1904,00000,0,0.0,0.0,0
C4614,C4614,10759,90,14276599.1928,26414952.5472,0
C4615,C4615,00000,0,0.0,0.0,0
C9151,C9151,00000,0,0.0,0.0,0
C9125,C9125,16186,45,5260654.4256,4866703.0272,0
C9979,C9979,00000,0,0.0,0.0,0
C1975,C1975,00000,0,0.0,0.0,0
C9805,C9805,17153,90,37110707.6508,68663241.73920001,0
C2027,C2027,00000,0,0.0,0.0,0
