countyfp,county_name,value
001,Alachua,0.0
003,Baker,0.0
005,Bay,143448220.73687658
007,Bradford,0.0
009,Brevard,0.0
011,Broward,43720098842.28387
013,Calhoun,10471.935553185098
015,Charlotte,2350569417.3758926
017,Citrus,0.0
019,Clay,0.0
021,Collier,5446725878.248993
023,Columbia,0.0
027,DeSoto,119673035.95089798
029,Dixie,0.0
031,Duval,0.0
033,Escambia,1822165199.9615557
035,Flagler,0.0
037,Franklin,2431219.1238886383
039,Gadsden,0.0
041,Gilchrist,0.0
043,Glades,33520353.17237371
045,Gulf,7924672.897837009
047,Hamilton,0.0
049,Hardee,8074823.2048632195
051,Hendry,266616005.6117649
053,Hernando,19130.838276116578
055,Highlands,10764002.510308038
057,Hillsborough,406963189.9408605
059,Holmes,126355.68071448755
061,Indian River,0.0
063,Jackson,0.0
065,Jefferson,0.0
067,Lafayette,0.0
069,Lake,0.0
071,Lee,8538064389.41539
073,Leon,0.0
075,Levy,0.0
077,Liberty,12373.475471709893
079,Madison,0.0
081,Manatee,2729294498.8761764
083,Marion,0.0
085,Martin,2070268.4388766508
086,Miami-Dade,97921526161.07521
087,Monroe,510235831.96142024
089,Nassau,0.0
091,Okaloosa,807360464.2553283
093,Okeechobee,897558.1241130945
095,Orange,0.0
097,Osceola,0.0
099,Palm Beach,3460080893.567558
101,Pasco,28718757.490480743
103,Pinellas,1197886840.2401304
105,Polk,6337447.080627441
107,Putnam,0.0
109,St. Johns,0.0
111,St. Lucie,18569.70432773703
113,Santa Rosa,838881705.0640188
115,Sarasota,5513953216.560218
117,Seminole,0.0
119,Sumter,0.0
121,Suwannee,0.0
123,Taylor,0.0
125,Union,0.0
127,Volusia,0.0
129,Wakulla,0.0
131,Walton,213263392.34997514
133,Washington,583175.5208562685
nan,,371558231.7341596
