countyfp,county_name,value
001,Alachua,0.0
003,Baker,0.0
005,Bay,23032967.35765202
007,Bradford,0.0
009,Brevard,0.0
011,Broward,6228193962.940833
013,Calhoun,0.0
015,Charlotte,623091016.9878136
017,Citrus,0.0
019,Clay,0.0
021,Collier,541109034.0542248
023,Columbia,0.0
027,DeSoto,135571206.73315826
029,Dixie,0.0
031,Duval,0.0
033,Escambia,347595230.2483798
035,Flagler,0.0
037,Franklin,123828.8818127295
039,Gadsden,0.0
041,Gilchrist,0.0
043,Glades,78060402.1856758
045,Gulf,1132688.1923436446
047,Hamilton,0.0
049,Hardee,2191769.987827736
051,Hendry,334404984.81360894
053,Hernando,0.0
055,Highlands,1799624.975283629
057,Hillsborough,90740390.76808816
059,Holmes,7.565375863891209
061,Indian River,0.0
063,Jackson,0.0
065,Jefferson,0.0
067,Lafayette,0.0
069,Lake,0.0
071,Lee,3147200817.5089746
073,Leon,0.0
075,Levy,0.0
077,Liberty,0.0
079,Madison,0.0
081,Manatee,894337152.9788303
083,Marion,0.0
085,Martin,482.33542198669386
086,Miami-Dade,21461819441.711365
087,Monroe,209397204.38748485
089,Nassau,0.0
091,Okaloosa,54721061.78715805
093,Okeechobee,0.0
095,Orange,0.0
097,Osceola,0.0
099,Palm Beach,209376995.39977306
101,Pasco,14904.760108831608
103,Pinellas,205492353.2300841
105,Polk,9578.851569292605
107,Putnam,0.0
109,St. Johns,0.0
111,St. Lucie,0.0
113,Santa Rosa,410761749.3225524
115,Sarasota,1095915072.8919065
117,Seminole,0.0
119,Sumter,0.0
121,Suwannee,0.0
123,Taylor,0.0
125,Union,0.0
127,Volusia,0.0
129,Wakulla,0.0
131,Walton,32369813.058042895
133,Washington,144714.9723774825
nan,,9868352.636225242
