countyfp,county_name,value
001,Alachua,0.0
003,Baker,0.0
005,Bay,286147674.24914414
007,Bradford,0.0
009,Brevard,0.0
011,Broward,64994464513.51776
013,Calhoun,20942.91709147923
015,Charlotte,4573216714.652395
017,Citrus,0.0
019,Clay,0.0
021,Collier,9194483958.68736
023,Columbia,0.0
027,DeSoto,236618355.08768004
029,Dixie,0.0
031,Duval,0.0
033,Escambia,3587408956.3458695
035,Flagler,0.0
037,Franklin,4858879.978162326
039,Gadsden,0.0
041,Gilchrist,0.0
043,Glades,66382906.09521383
045,Gulf,15812539.79101132
047,Hamilton,0.0
049,Hardee,16132221.711050656
051,Hendry,519049629.7280561
053,Hernando,38261.27658918287
055,Highlands,21514586.58617693
057,Hillsborough,812684989.9843024
059,Holmes,252687.33094980335
061,Indian River,0.0
063,Jackson,0.0
065,Jefferson,0.0
067,Lafayette,0.0
069,Lake,0.0
071,Lee,16589329233.023973
073,Leon,0.0
075,Levy,0.0
077,Liberty,24745.131311092886
079,Madison,0.0
081,Manatee,5364616676.847402
083,Marion,0.0
085,Martin,4140209.4706791854
086,Miami-Dade,93353589698.93802
087,Monroe,439441906.12695426
089,Nassau,0.0
091,Okaloosa,1593933786.494916
093,Okeechobee,1794980.5638078088
095,Orange,0.0
097,Osceola,0.0
099,Palm Beach,5879820753.912894
101,Pasco,57429825.39968546
103,Pinellas,2384489082.8290606
105,Polk,12673679.03345433
107,Putnam,0.0
109,St. Johns,0.0
111,St. Lucie,37139.01022935495
113,Santa Rosa,1652296225.113039
115,Sarasota,10730782754.615883
117,Seminole,0.0
119,Sumter,0.0
121,Suwannee,0.0
123,Taylor,0.0
125,Union,0.0
127,Volusia,0.0
129,Wakulla,0.0
131,Walton,423092612.3276869
133,Washington,1165733.4809872322
nan,,617915981.5862834
