countyfp,county_name,value
001,Alachua,0.0
003,Baker,0.0
005,Bay,0.0
007,Bradford,0.0
009,Brevard,5438746.283867267
011,Broward,0.0
013,Calhoun,0.0
015,Charlotte,1774973163.7582862
017,Citrus,0.0
019,Clay,0.0
021,Collier,563988.1470500305
023,Columbia,0.0
027,DeSoto,315950834.1830992
029,Dixie,0.0
031,Duval,0.0
033,Escambia,0.0
035,Flagler,798506.5154988223
037,Franklin,0.0
039,Gadsden,0.0
041,Gilchrist,0.0
043,Glades,28.28404731903976
045,Gulf,0.0
047,Hamilton,0.0
049,Hardee,165153991.90622735
051,Hendry,0.0
053,Hernando,0.0
055,Highlands,57128843.25509703
057,Hillsborough,848492.2874075926
059,Holmes,0.0
061,Indian River,0.0
063,Jackson,0.0
065,Jefferson,0.0
067,Lafayette,0.0
069,Lake,1922055.9134844604
071,Lee,2488374069.0163674
073,Leon,0.0
075,Levy,0.0
077,Liberty,0.0
079,Madison,0.0
081,Manatee,1288455.6006119726
083,Marion,0.0
085,Martin,0.0
086,Miami-Dade,0.0
087,Monroe,0.0
089,Nassau,0.0
091,Okaloosa,0.0
093,Okeechobee,0.0
095,Orange,3359689196.5276427
097,Osceola,1562095152.484941
099,Palm Beach,0.0
101,Pasco,0.0
103,Pinellas,0.0
105,Polk,1057383858.2095176
107,Putnam,0.0
109,St. Johns,0.0
111,St. Lucie,0.0
113,Santa Rosa,0.0
115,Sarasota,428259400.54651004
117,Seminole,816037580.0714087
119,Sumter,0.0
121,Suwannee,0.0
123,Taylor,0.0
125,Union,0.0
127,Volusia,432665421.3481444
129,Wakulla,0.0
131,Walton,0.0
133,Washington,0.0
nan,nan,12669734.541757071
