countyfp,county_name,value
001,Alachua,0.0
003,Baker,0.0
005,Bay,123663828.49372962
007,Bradford,0.0
009,Brevard,0.0
011,Broward,102495788898.24747
013,Calhoun,396.1805020698354
015,Charlotte,2694864590.2756934
017,Citrus,0.0
019,Clay,0.0
021,Collier,7571688422.471984
023,Columbia,0.0
027,DeSoto,85490467.26958504
029,Dixie,0.0
031,Duval,0.0
033,Escambia,3601654321.2905807
035,Flagler,0.0
037,Franklin,125899.81126854425
039,Gadsden,0.0
041,Gilchrist,0.0
043,Glades,27415491.01279119
045,Gulf,1480530.6894462663
047,Hamilton,0.0
049,Hardee,5626391.624632238
051,Hendry,158693991.16090086
053,Hernando,0.0
055,Highlands,8112509.576580494
057,Hillsborough,915691193.8482722
059,Holmes,28261.119767616852
061,Indian River,0.0
063,Jackson,1.5969218761625812
065,Jefferson,0.0
067,Lafayette,0.0
069,Lake,0.0
071,Lee,17235341731.305992
073,Leon,0.0
075,Levy,0.0
077,Liberty,65.80783081725988
079,Madison,0.0
081,Manatee,4749957365.530413
083,Marion,0.0
085,Martin,2073761.425780389
086,Miami-Dade,161170912477.127
087,Monroe,28141162.961049676
089,Nassau,0.0
091,Okaloosa,471905838.01453745
093,Okeechobee,839454.423632012
095,Orange,0.0
097,Osceola,0.0
099,Palm Beach,7024435127.552326
101,Pasco,49772955.26214824
103,Pinellas,2578797252.2291436
105,Polk,12582153.344173158
107,Putnam,0.0
109,St. Johns,0.0
111,St. Lucie,1262.2359093848775
113,Santa Rosa,1030121433.9095483
115,Sarasota,9032562251.872377
117,Seminole,0.0
119,Sumter,0.0
121,Suwannee,0.0
123,Taylor,0.0
125,Union,0.0
127,Volusia,0.0
129,Wakulla,0.0
131,Walton,62328485.862402014
133,Washington,115616.91348052854
,,157875423.66632798
