countyfp,county_name,value
001,Alachua,694146219.8949784
003,Baker,28702841.341160852
005,Bay,0.0
007,Bradford,41433721.34561398
009,Brevard,1535135.3051892389
011,Broward,1509859.036338505
013,Calhoun,0.0
015,Charlotte,1042195230.8810257
017,Citrus,231128806.74347883
019,Clay,359463572.0043959
021,Collier,9956369086.136536
023,Columbia,45145908.28160842
027,DeSoto,244432841.8273885
029,Dixie,395706.7121241178
031,Duval,865219777.6490678
033,Escambia,0.0
035,Flagler,47848356.84475958
037,Franklin,0.0
039,Gadsden,0.0
041,Gilchrist,661240.0053868875
043,Glades,87971027.53639565
045,Gulf,0.0
047,Hamilton,1983427.6141846855
049,Hardee,168698907.96731013
051,Hendry,325599999.84313023
053,Hernando,447275900.05912614
055,Highlands,1465160398.337011
057,Hillsborough,6405086466.048335
059,Holmes,0.0
061,Indian River,414.50590064712827
063,Jackson,0.0
065,Jefferson,27649.57125896031
067,Lafayette,139207.92551388446
069,Lake,2545969119.632748
071,Lee,14845723990.970095
073,Leon,0.0
075,Levy,7029569.358075954
077,Liberty,0.0
079,Madison,345547.7244040162
081,Manatee,474776187.13258827
083,Marion,1549275497.4769797
085,Martin,4884.749704829854
086,Miami-Dade,26242303.523733113
087,Monroe,105213642.67210706
089,Nassau,9091481.177697828
091,Okaloosa,0.0
093,Okeechobee,11061054.792153882
095,Orange,3815285908.990801
097,Osceola,972640977.0195807
099,Palm Beach,4616486.862025622
101,Pasco,1651308073.626581
103,Pinellas,760498286.9697117
105,Polk,10219311901.73725
107,Putnam,74510676.70988084
109,St. Johns,107147937.1251848
111,St. Lucie,204.04904424027015
113,Santa Rosa,0.0
115,Sarasota,846401171.5612125
117,Seminole,774531607.2432806
119,Sumter,914610183.7552066
121,Suwannee,4966007.472309061
123,Taylor,435928.38336579653
125,Union,7083781.312087519
127,Volusia,193500466.13200465
129,Wakulla,0.0
131,Walton,0.0
133,Washington,0.0
,,116872693.75524433
