countyfp,county_name,value
001,Alachua,632683933.3116472
003,Baker,57911129.77489005
005,Bay,0.0
007,Bradford,89401069.19139673
009,Brevard,1775042.8061498231
011,Broward,1575728.645868814
013,Calhoun,0.0
015,Charlotte,1723891655.0360672
017,Citrus,296835602.156381
019,Clay,307696845.53829426
021,Collier,12324237792.598513
023,Columbia,73078678.2155505
027,DeSoto,541205512.6300143
029,Dixie,2649325.017439099
031,Duval,725232858.2732664
033,Escambia,0.0
035,Flagler,37106264.96541749
037,Franklin,0.0
039,Gadsden,0.0
041,Gilchrist,9631227.889360603
043,Glades,224911056.66636413
045,Gulf,0.0
047,Hamilton,11460806.020409677
049,Hardee,464077215.40516984
051,Hendry,833859897.1917821
053,Hernando,401938389.7591499
055,Highlands,2734390327.1299205
057,Hillsborough,4463790156.855259
059,Holmes,0.0
061,Indian River,39405.396448175605
063,Jackson,0.0
065,Jefferson,215208.41192333357
067,Lafayette,1660578.7692053593
069,Lake,2566767631.7691307
071,Lee,14259841818.288895
073,Leon,0.0
075,Levy,33496068.32776224
077,Liberty,0.0
079,Madison,1548842.3710735638
081,Manatee,594424181.2183497
083,Marion,1618480810.5527735
085,Martin,108877.54750898811
086,Miami-Dade,15437286.811613018
087,Monroe,1611366979.0579054
089,Nassau,26863263.564903326
091,Okaloosa,0.0
093,Okeechobee,24605955.899553
095,Orange,2870899305.7517886
097,Osceola,844503382.0808722
099,Palm Beach,6042127.028501487
101,Pasco,2544343346.0789123
103,Pinellas,589185980.268788
105,Polk,9470630773.27618
107,Putnam,180084541.17935753
109,St. Johns,151478029.4443681
111,St. Lucie,15345.324115387715
113,Santa Rosa,0.0
115,Sarasota,929039500.882835
117,Seminole,515834549.5724061
119,Sumter,1081046856.7298527
121,Suwannee,20457132.08408282
123,Taylor,1156082.8820257203
125,Union,23504557.131776243
127,Volusia,198802972.08500385
129,Wakulla,0.0
131,Walton,0.0
133,Washington,0.0
nan,,185892079.2820324
