countyfp,county_name,value
001,Alachua,150900022.4744318
003,Baker,63558887.07260956
005,Bay,0.0
007,Bradford,81351991.67643398
009,Brevard,0.0
011,Broward,0.0
013,Calhoun,0.0
015,Charlotte,492273846.5286857
017,Citrus,309231054.1571201
019,Clay,226984896.45327854
021,Collier,779363708.7562613
023,Columbia,42482657.6033054
027,DeSoto,447197749.978248
029,Dixie,604980.3006411908
031,Duval,46134111.12143189
033,Escambia,0.0
035,Flagler,5081222.848682231
037,Franklin,0.0
039,Gadsden,0.0
041,Gilchrist,5114135.862474382
043,Glades,245792873.38001513
045,Gulf,0.0
047,Hamilton,1734694.5583576784
049,Hardee,210684382.87435505
051,Hendry,449703855.7542139
053,Hernando,304664551.6377943
055,Highlands,1495180464.1038904
057,Hillsborough,1385171382.2614338
059,Holmes,0.0
061,Indian River,171.6848764187563
063,Jackson,0.0
065,Jefferson,0.0
067,Lafayette,200544.34457455334
069,Lake,1160224261.4347582
071,Lee,3825521785.790459
073,Leon,0.0
075,Levy,47104674.34037733
077,Liberty,0.0
079,Madison,361.7355661195612
081,Manatee,99156280.57768454
083,Marion,1379961521.6329422
085,Martin,0.0
086,Miami-Dade,374944.2522591882
087,Monroe,316967063.29266953
089,Nassau,12880481.624363223
091,Okaloosa,0.0
093,Okeechobee,8915035.117467556
095,Orange,265395770.2175897
097,Osceola,104075921.16686246
099,Palm Beach,18696.872368167962
101,Pasco,1221084118.4278293
103,Pinellas,18642966.783309218
105,Polk,5137949141.769541
107,Putnam,410872024.51613027
109,St. Johns,9491525.213722441
111,St. Lucie,0.0
113,Santa Rosa,0.0
115,Sarasota,168771211.77129883
117,Seminole,7996330.563960612
119,Sumter,394620172.3968272
121,Suwannee,7323196.356662166
123,Taylor,0.0
125,Union,24311711.648984563
127,Volusia,24305795.70176771
129,Wakulla,0.0
131,Walton,0.0
133,Washington,0.0
nan,,1654964.2426985437
