state,county_fips,year,claims_usd
FL,12051,2008,4816
FL,12101,2005,21307
FL,12011,1989,0
FL,12107,2015,0
FL,12086,1979,129162
FL,12031,2011,130562
FL,12041,2004,233046
FL,12081,2017,2243596
FL,12086,2005,44575202
FL,12071,2024,146645725
FL,12011,1981,114704
FL,12101,2024,189743384
FL,12011,2005,4935926
FL,12087,2005,131745878
FL,12086,2024,19729049
FL,12017,2023,40494128
FL,12115,1982,533275
FL,12019,1998,248599
FL,12071,1982,232207
FL,12021,1992,76341
FL,12111,1979,45737
FL,12011,2019,4778851
FL,12057,1982,642739
FL,12131,2003,8890
FL,12005,2008,1310746
FL,12111,2012,777818
FL,12097,1994,4146
FL,12099,2017,1592215
FL,12087,1980,162298
FL,12105,2022,855038
FL,12103,2001,250880
FL,12011,2015,172020
FL,12081,2007,25416
FL,12129,2013,12680
FL,12057,1990,0
FL,12071,1983,29214
FL,12071,1985,152884
FL,12031,1992,1067996
FL,12086,1984,350400
FL,12027,2001,130786
FL,12103,2000,876383
FL,12127,2006,0
FL,12005,2020,4332633
FL,12015,2021,0
FL,12071,2011,102462
FL,12053,2016,3656861
FL,12045,1985,475801
FL,12021,1995,526370
FL,12021,2004,100797
FL,12103,1983,100772
FL,12059,1998,204856
FL,12083,2011,51468
FL,12033,2007,53636
FL,12019,1996,244568
FL,12071,2002,18241
FL,12055,2017,168716
FL,12111,1985,285104
FL,12009,2013,43840
FL,12109,2014,13424
FL,12009,2009,0
FL,12081,1994,13252
FL,12023,2017,248979
FL,12045,2016,5412
FL,12021,1985,43876
FL,12017,1997,4758
FL,12031,1994,106551
FL,12053,1998,61235
FL,12027,2003,32891
FL,12101,1986,16150
FL,12069,2001,17039
FL,12097,2020,24277
FL,12075,2015,34218
FL,12099,2018,107858
FL,12087,1982,4129
FL,12089,2024,268802
FL,12079,2009,225422
FL,12119,1978,0
FL,12049,1985,9636
FL,12011,1993,94593
FL,12113,2002,68012
FL,12087,2006,27711
FL,12085,1990,0
FL,12067,2009,261712
FL,12091,2021,46237
FL,12103,2019,170682
FL,12021,2009,2386
FL,12081,1991,17399
FL,12069,2002,7133
FL,12019,2000,42385
FL,12069,1999,3523
FL,12035,1984,0
FL,12133,1990,4387
FL,12073,1987,457
FL,12061,2006,0
FL,12127,1987,517
FL,12067,1991,76211
FL,12023,2004,323102
FL,12107,1979,3997
FL,12085,1985,6189
FL,12005,1996,53352
FL,12115,1986,4836
FL,12117,2005,0
FL,12065,2008,0
FL,12061,2008,163296
FL,12117,2018,3788
FL,12105,2010,0
FL,12081,2013,66669
FL,12095,2006,3837
FL,12075,2009,2728
FL,12073,2022,33657
FL,12131,2022,0
FL,12105,2015,138223
FL,12005,2002,10959
FL,12001,2008,3330
FL,12107,2008,68349
FL,,2020,0
FL,12017,2008,3268
FL,12117,2009,2539
FL,12063,1994,98181
FL,12071,2009,0
FL,12009,1997,8610
FL,12109,1993,0
FL,12097,2009,164984
FL,12105,1991,5948
FL,12113,1986,0
FL,12095,2005,12312
FL,12053,1997,36293
FL,12091,2002,201948
FL,12041,1983,6567
FL,12035,2003,0
FL,12039,1985,426
FL,12095,2023,127147
FL,12023,1987,2620
FL,12131,1990,12838
FL,12003,2017,299504
FL,12087,1990,0
FL,12095,1985,48417
FL,12123,2004,0
FL,12063,2009,1195
FL,12029,2022,0
FL,12083,2019,23200
FL,12131,1985,0
FL,12041,2014,57082
FL,12085,1996,0
FL,12133,2005,40450
FL,12067,1995,1705
FL,12133,2004,703
FL,12081,2015,0
FL,12097,2019,0
FL,12017,2013,0
FL,12009,1978,1053
FL,12097,2007,0
FL,12087,1978,0
FL,12093,2024,0
FL,12057,1986,975
FL,12063,2020,0
FL,12085,1988,0
FL,,1999,1190
FL,12109,1988,0
FL,12015,1981,0
FL,12007,2016,1168
FL,12097,2023,0
FL,12041,2003,5961
FL,12119,2002,6983
FL,12109,2000,10442
FL,12107,1998,0
FL,12071,2000,77716
FL,12111,2016,36158
FL,12011,2020,7869631
FL,12007,2017,1231613
FL,12019,1997,145739
FL,12037,1984,19817
FL,12021,2007,0
FL,12055,2004,70271
FL,12065,1994,18380
FL,12071,2022,1287938270
FL,12103,1985,19839749
FL,12127,1999,265979
FL,12086,1999,35773004
FL,12103,2023,51712019
FL,12075,2024,8696054
FL,12011,1994,641761
FL,12087,2017,110148242
FL,12081,1982,455949
FL,12131,2004,4287897
FL,12103,1989,8845
FL,12101,1985,746131
FL,12031,2008,3065626
FL,12101,1993,28199021
FL,12081,2004,1406126
FL,12086,1987,111885
FL,12099,1995,3052342
FL,12109,2022,12118880
FL,12083,2004,101769
FL,12071,1988,995389
FL,12031,2004,2574301
FL,12005,2021,2669405
FL,12011,2000,5557082
FL,12015,2022,22011220
FL,12009,1995,541596
FL,12091,2017,41295
FL,12086,2013,4747352
FL,12085,1995,2114867
FL,12095,2022,20513105
FL,12019,2008,180922
FL,12086,1980,54529
FL,12081,2018,6981
FL,12081,2000,173932
FL,12037,1998,398524
FL,12127,2019,31256
FL,12017,2019,144857
FL,12057,2020,2402801
FL,12009,2020,17499
FL,12071,1993,287837
FL,12103,2012,2557546
FL,12086,1990,8194
FL,12067,2003,0
FL,12057,1987,14368
FL,12086,1983,14872
FL,12061,2016,1178868
FL,12115,1997,1640508
FL,12103,1981,32568
FL,12075,1985,85247
FL,12015,1993,170422
FL,12121,2012,1100344
FL,12089,1999,211021
FL,12081,1992,444488
FL,12033,2018,10560
FL,12097,2008,19629
FL,12095,2008,174536
FL,12019,2018,38783
FL,12073,2013,198
FL,12109,1989,66549
FL,12127,1984,4716
FL,12103,1980,32194
FL,12017,1981,0
FL,12105,1994,33565
FL,12093,2017,6049
FL,12095,2002,41875
FL,12003,2008,100585
FL,12087,2020,267791
FL,12127,1995,140034
FL,12111,1984,49757
FL,12071,2019,10045
FL,12017,2007,0
FL,12101,2021,80105
FL,12101,2022,99555
FL,12061,1984,25694
FL,12086,1989,31131
FL,12029,1998,163919
FL,12061,1994,3693
FL,12105,1997,11637
FL,12089,1982,0
FL,12057,2006,440541
FL,,1994,4490
FL,12069,2015,5037
FL,12005,1982,4447
FL,12005,2017,107552
FL,12097,2024,0
FL,12073,2014,64088
FL,12131,2013,60421
FL,12073,1985,101560
FL,12015,2016,1000
FL,12031,2014,14693
FL,12119,2024,211889
FL,12017,2003,75236
FL,12079,1987,13731
FL,12087,2012,10345
FL,12063,1988,500
FL,12033,2003,4437
FL,12129,2006,0
FL,12057,2018,89178
FL,12033,2010,43124
FL,12083,1992,3486
FL,12069,2009,8359
FL,12087,2014,64924
FL,12057,1989,4403
FL,12067,1986,114178
FL,12101,2014,10462
FL,12033,2016,55943
FL,12121,2016,53599
FL,12037,2020,65173
FL,12073,1991,69670
FL,12039,1984,11706
FL,12045,1997,5017
FL,12089,2003,889
FL,12129,2008,34665
FL,12083,2023,415330
FL,12095,1999,13359
FL,12099,2025,34308
FL,,2019,0
FL,12079,1998,70776
FL,12131,2002,0
FL,12109,1997,15010
FL,12015,1998,5656
FL,12091,2012,0
FL,12045,1996,37583
