state,county_fips,year,total_written_premium_usd,coverage_in_force
FL,36061,2009,5394,358600
FL,,2009,591705,148726500
FL,12061,2009,11369232,6193350600
FL,12091,2009,9006806,5269303200
FL,12079,2009,39153,13672700
FL,12073,2009,1924129,900099400
FL,12067,2009,102364,24510400
FL,12085,2009,8757302,5024173500
FL,12109,2009,15158274,8885641100
FL,12115,2009,36354164,16054346100
FL,12103,2009,91149900,29934003100
FL,12097,2009,3107658,1896078900
FL,12121,2009,262128,77570300
FL,13157,2009,2517,1000000
FL,12017,2009,5392578,1438708800
FL,12011,2009,138074870,90619676200
FL,12127,2009,16499878,10835152700
FL,21175,2009,4556,276900
FL,12005,2009,12046975,7753285400
FL,12133,2009,42751,14209300
FL,12023,2009,398363,150480900
FL,12053,2009,3562106,1036004700
FL,12047,2009,35378,10780600
FL,12059,2009,41176,14554800
FL,12041,2009,179468,48707100
FL,12035,2009,4030730,3196571900
FL,47045,2009,430,210000
FL,33001,2009,446,53200
FL,12029,2009,802738,96325900
FL,12077,2009,18395,4261000
FL,12065,2009,31180,13484300
FL,12089,2009,4665239,2961697400
FL,12086,2009,137995074,84696484000
FL,12083,2009,1676352,801610700
FL,12071,2009,76682119,32887047100
FL,54039,2009,1015,108900
FL,12101,2009,21036376,6448989100
FL,12119,2009,626525,442171600
FL,12095,2009,7078015,4639998100
FL,12113,2009,6308321,3550017300
FL,12107,2009,682047,270854800
FL,12131,2009,6911195,4364823300
FL,12015,2009,24844704,9521277800
FL,12125,2009,26289,9990200
FL,12021,2009,40712472,19176510200
FL,12003,2009,73470,32649700
FL,12000,2009,13351,5449700
FL,12009,2009,19721466,14287551100
FL,12057,2009,39545080,16886321000
FL,12051,2009,926225,253371500
FL,12033,2009,9473630,4390199000
FL,12039,2009,67143,31349800
FL,12027,2009,240317,89867300
FL,12045,2009,1321052,410945700
FL,12075,2009,1372062,211158600
FL,12081,2009,23476474,9056873800
FL,12069,2009,1803259,1070088800
FL,12087,2009,32105141,7558567600
FL,12063,2009,60352,28758800
FL,72127,2009,3252,829300
FL,12093,2009,974522,437518400
FL,12123,2009,674068,112671500
FL,12099,2009,53879727,40740750600
FL,12117,2009,3413752,2220137200
FL,12105,2009,3946822,1995890700
FL,13275,2009,5363,275000
FL,42003,2009,774,145000
FL,12111,2009,7868822,5431515500
FL,12019,2009,2403802,1590595800
FL,12001,2009,1389012,660195200
FL,12007,2009,217558,76026100
FL,12129,2009,1901293,320869200
FL,12013,2009,95387,20383600
FL,12055,2009,420986,243167200
FL,12031,2009,13747942,9685525100
FL,12043,2009,311496,102432900
FL,12037,2009,3841517,762959000
FL,12049,2009,62540,22847100
FL,12085,2010,9157857,5025065800
FL,36061,2010,5848,375100
FL,12061,2010,11466184,6180901400
FL,12067,2010,93251,22517200
FL,12073,2010,2047756,936420500
FL,,2010,684427,178246700
FL,12091,2010,9488109,5312375400
FL,12079,2010,46446,15820500
FL,12115,2010,37418421,16039852000
FL,12097,2010,3263633,1908837900
FL,12103,2010,93894545,30142460600
FL,12121,2010,277692,80779500
FL,12109,2010,15970087,8925164700
FL,13157,2010,2517,1000000
FL,12133,2010,46329,16350300
FL,12127,2010,17239074,11001731900
FL,12017,2010,5543585,1442221000
FL,21175,2010,4848,278200
FL,12011,2010,144517874,90565902600
FL,12023,2010,416210,148937900
FL,12005,2010,12557902,7860935600
FL,12029,2010,811194,94347000
FL,12035,2010,4089056,3144218100
FL,12041,2010,232396,53151800
FL,12059,2010,55691,15825700
FL,12047,2010,42063,11378600
FL,33001,2010,479,53200
FL,12053,2010,3591976,1027304400
FL,12077,2010,15188,3439600
FL,12089,2010,4763064,2971642500
FL,12071,2010,78227755,32725865900
FL,12065,2010,34096,14881200
FL,12083,2010,1797370,845997400
FL,12086,2010,136399218,80752019500
FL,12113,2010,6716121,3578067200
FL,12119,2010,691165,493041600
FL,12107,2010,675576,265466300
FL,12101,2010,21391149,6476534600
FL,54039,2010,1116,108900
FL,12095,2010,7073799,4416768000
FL,12003,2010,74305,30818000
FL,12009,2010,20079007,14343158200
FL,12125,2010,23699,9697800
FL,12021,2010,42648264,19490139200
FL,12000,2010,17071,5887200
FL,12131,2010,7153332,4360719700
FL,12015,2010,25770298,9431534800
FL,12045,2010,1372449,400645800
FL,12033,2010,9974542,4409207300
FL,12057,2010,40883051,17057469500
FL,12051,2010,954695,246742100
FL,12039,2010,75082,34241100
FL,12027,2010,254118,92837000
FL,12081,2010,24417170,9191254200
FL,12075,2010,1480530,215480400
FL,12069,2010,1832756,1066301300
FL,12063,2010,64613,29749200
FL,12087,2010,33296024,7512783600
FL,12117,2010,3480240,2197600900
FL,12093,2010,1024887,433621200
FL,42003,2010,843,145000
FL,12111,2010,7955990,5520482100
FL,72127,2010,2399,468000
FL,12099,2010,54872993,40656296600
FL,12105,2010,4024876,1994179700
FL,12123,2010,661726,111013800
FL,13275,2010,6140,300000
FL,12007,2010,254021,80356500
FL,12013,2010,99448,20982800
FL,12019,2010,2505600,1627714300
FL,12129,2010,1958871,315697300
FL,12001,2010,1489832,682849100
FL,12055,2010,453788,250164100
FL,12043,2010,320703,97908700
FL,12031,2010,13794793,9752640400
FL,12049,2010,63064,23160300
FL,12037,2010,3929047,751554100
FL,12091,2011,9069295,5251078500
FL,12061,2011,11305130,6085072200
FL,12067,2011,95030,22948500
FL,12073,2011,2114843,954458600
FL,12079,2011,47785,16707100
FL,,2011,756892,191782800
FL,36061,2011,6546,393300
FL,12085,2011,9319458,4982268500
FL,12109,2011,16651953,9033908400
FL,12115,2011,38033892,16085721800
FL,12103,2011,94944763,30382052500
FL,12097,2011,3287091,1889075800
FL,13157,2011,2527,1000000
FL,12121,2011,273471,79406100
FL,12011,2011,144571171,90291847000
FL,12005,2011,12656511,7956721700
FL,12017,2011,5571071,1427014800
FL,12023,2011,417563,147153900
FL,21175,2011,4589,279600
FL,12127,2011,17538194,11017950000
FL,12133,2011,59368,20121400
FL,12053,2011,3531315,1022146800
FL,12059,2011,66005,20112200
FL,12035,2011,4298066,3096395100
FL,33001,2011,515,58500
FL,12041,2011,234152,51969100
FL,12029,2011,851091,89650800
FL,12047,2011,40139,11183300
FL,12065,2011,35014,15383100
FL,12086,2011,135595059,79360120600
FL,12089,2011,4791821,2994533600
FL,12071,2011,80141132,32656722300
FL,12077,2011,33484,4987700
FL,12083,2011,1948033,866051800
FL,54039,2011,1183,118800
FL,12101,2011,21460559,6401874800
FL,12107,2011,680883,261783700
FL,12119,2011,770407,548098100
FL,12113,2011,6605824,3552705900
FL,12095,2011,6597612,4147014800
FL,12131,2011,7452511,4415549800
FL,12000,2011,26582,9938500
FL,12003,2011,76947,30480500
FL,12015,2011,26110508,9335257300
FL,12021,2011,42283857,19391836800
FL,12125,2011,28823,10921100
FL,12009,2011,20493444,14401609600
FL,12027,2011,246615,88558900
