model,period,time_category,pathway,metric,historical_value,future_value,delta_absolute,delta_relative
canesm,ssp245_2cal,mid,ssp245,policy_severity,,,,
canesm,ssp245_2cal,mid,ssp245,total_damage_usd,2959208477.090196,19018895258.75815,16059686781.667952,5.427021078778308
canesm,ssp245_2cal,mid,ssp245,wind_total_usd,2545697289.3634353,16190876093.772093,13645178804.408657,5.360094800517584
canesm,ssp245_2cal,mid,ssp245,water_total_usd,413511187.72676116,2828019164.9860516,2414507977.25929,5.8390390609086555
canesm,ssp245_2cal,mid,ssp245,underinsured_wind_usd,462038621.0917074,2914899250.0849547,2452860628.9932475,5.308778351033978
canesm,ssp245_2cal,mid,ssp245,uninsured_wind_usd,1068542760.5448261,6812851660.663677,5744308900.118851,5.375834372028271
canesm,ssp245_2cal,mid,ssp245,nfip_policyholder_shortfall_usd,0.0,0.0,0.0,
canesm,ssp245_2cal,mid,ssp245,wind_insured_private_usd,860827887.2945501,5527287395.165583,4666459507.871033,5.420897227826806
canesm,ssp245_2cal,mid,ssp245,wind_insured_citizens_usd,154288020.43235102,956913324.97804,802625304.545689,5.202123290561028
canesm,ssp245_2cal,mid,ssp245,wind_underinsured_usd,462038621.0917074,2914899250.0849547,2452860628.9932475,5.308778351033978
canesm,ssp245_2cal,mid,ssp245,wind_uninsured_usd,1068542760.5448261,6812851660.663677,5744308900.118851,5.375834372028271
canesm,ssp245_2cal,mid,ssp245,flood_insured_capped_usd,80629474.99125698,496955023.60505337,416325548.61379635,5.16344114430784
canesm,ssp245_2cal,mid,ssp245,flood_un_derinsured_usd,332881712.73550415,2334745351.8691144,2001863639.1336102,6.013738702204465
canesm,ssp245_2cal,mid,ssp245,wind_insured_private_pct,14.840131153440463,18.06534575749108,3.225214604050617,0.217330599757058
canesm,ssp245_2cal,mid,ssp245,wind_insured_citizens_pct,1.9526318049507136,2.3563171595253287,0.4036853545746151,0.20673910644654508
canesm,ssp245_2cal,mid,ssp245,wind_underinsured_pct,7.662562324366621,9.187487300700946,1.5249249763343249,0.19900979747794398
canesm,ssp245_2cal,mid,ssp245,wind_uninsured_pct,17.722962280837034,21.299745815762506,3.5767835349254717,0.20181634865819648
canesm,ssp245_2cal,mid,ssp245,flood_insured_capped_pct,1.31212909340994,1.523632140116205,0.21150304670626485,0.16119073021741642
canesm,ssp245_2cal,mid,ssp245,flood_un_derinsured_pct,6.339583342995228,7.715664476849513,1.376081133854285,0.2170617624855036
canesm,ssp245_2cal,mid,ssp245,insured_private_wind_pre_usd,860827887.2945501,5527287395.165583,4666459507.871033,5.420897227826806
canesm,ssp245_2cal,mid,ssp245,insured_citizens_wind_pre_usd,154288020.43235102,956913324.97804,802625304.545689,5.202123290561028
canesm,ssp245_2cal,mid,ssp245,insured_flood_pre_usd,80629474.99125698,496955023.60505337,416325548.61379635,5.16344114430784
canesm,ssp245_2cal,mid,ssp245,defaults_pre,0.6876,3.065284870331431,2.3776848703314313,3.4579477462644435
canesm,ssp245_2cal,mid,ssp245,defaults_post,0.4257,1.894,1.4683,3.4491425886774723
canesm,ssp245_2cal,mid,ssp245,rescued_defaults,0.2619,1.1688194653048964,0.9069194653048964,3.4628463738254918
canesm,ssp245_2cal,mid,ssp245,group_contrib_total_usd,55146919.2058942,637329065.7960738,582182146.5901796,10.556929652163685
canesm,ssp245_2cal,mid,ssp245,group_supported_companies,0.2625,1.186242114749174,0.923742114749174,3.519017579996853
canesm,ssp245_2cal,mid,ssp245,defaulted_premium_base_pct,1.0206296127848284,3.8121195433234454,2.791489930538617,2.735066566334408
canesm,ssp245_2cal,mid,ssp245,largest_entity_deficit_usd,38189735.0155562,356413226.86780703,318223491.8522508,8.332697038160273
canesm,ssp245_2cal,mid,ssp245,diag_group_shortfall_total_usd,318985.3947500718,9593176.41618707,9274191.021436999,29.074030266192654
canesm,ssp245_2cal,mid,ssp245,diag_groups_with_shortfall,0.0112,0.06858916591569039,0.05738916591569039,5.124032671043785
canesm,ssp245_2cal,mid,ssp245,diag_groups_fully_funded_share,0.9997886792452829,0.9987058647940437,-0.0010828144512392557,-0.0010830433207711923
canesm,ssp245_2cal,mid,ssp245,figa_residual_deficit_usd,128533353.04411279,1460001210.804831,1331467857.7607183,10.358928840079018
canesm,ssp245_2cal,mid,ssp245,figa_collected_usd,11480936.627095373,38370300.72188061,26889364.094785236,2.342088016697652
canesm,ssp245_2cal,mid,ssp245,citizens_residual_deficit_usd,84389555.4782708,688733300.5692555,604343745.0909847,7.161357133189252
canesm,ssp245_2cal,mid,ssp245,citizens_tier1_usd,28514260.862281054,81218078.31673695,52703817.4544559,1.84833188238707
canesm,ssp245_2cal,mid,ssp245,citizens_tier2_usd,11155768.478832468,38508160.93213136,27352392.45329889,2.4518608919859473
canesm,ssp245_2cal,mid,ssp245,citizens_tier1_capacity_usd,539937478.65,539937478.6499999,-1.1920928955078125e-07,-2.2078350598820995e-16
canesm,ssp245_2cal,mid,ssp245,citizens_tier2_capacity_usd,359958319.09999996,359958319.09999996,0.0,0.0
canesm,ssp245_2cal,mid,ssp245,nfip_borrowed_usd,18467646.44827069,249692912.96825233,231225266.51998165,12.520559518380512
canesm,ssp245_2cal,mid,ssp245,nfip_claims_paid_usd,80629474.99125698,496955023.60505337,416325548.61379635,5.16344114430784
canesm,ssp245_2cal,mid,ssp245,nfip_pool_used_usd,62161828.54298628,246937087.31963006,184775258.77664378,2.9724875073272274
canesm,ssp245_2cal,mid,ssp245,nfip_fl_premium_base_usd,1395853723.0,1395853723.0,0.0,0.0
canesm,ssp245_2cal,mid,ssp245,nfip_fl_premium_depletion_usd,44916469.34531452,148532542.98616347,103616073.64084895,2.306861495373917
canesm,ssp245_2cal,mid,ssp245,underinsured_flood_usd,0.0,0.0,0.0,
