pathway,time_category,metric,n_models,delta_median,delta_mean,delta_std,delta_p10,delta_p90,delta_min,delta_max
ssp245,mid,catbond_issue_volume_year_usd,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ssp245,mid,catbond_limit_in_force_usd,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ssp245,mid,catbond_payout_usd,5,814282566.1327119,599050817.2227157,376336334.82053995,181015419.3789248,906484489.8002129,138149227.75664553,937407278.1773088
ssp245,mid,catbond_triggers,5,5.1404,3.8898255441363423,2.433321953348294,1.2003379850616838,5.9348536255194215,0.9579030834770259,6.100599528065066
ssp245,mid,catbond_unfilled_usd,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ssp245,mid,citizens_residual_deficit_usd,5,1664733729.4197402,1382002594.1527896,970785262.961743,322165496.17911893,2266703543.891604,134046663.57120842,2319740054.0939913
ssp245,mid,citizens_tier1_capacity_usd,5,0.0,0.0,8.429369702178807e-08,-7.152557373046875e-08,7.152557373046876e-08,-1.1920928955078125e-07,1.1920928955078125e-07
ssp245,mid,citizens_tier1_usd,5,187008191.81308025,133018939.52550587,85215408.14728987,38121099.336552,200295410.24930862,28399287.257949404,207510249.04245535
ssp245,mid,citizens_tier2_capacity_usd,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ssp245,mid,citizens_tier2_usd,5,98545518.28680031,69707421.37156904,45922637.0489915,18406356.13232754,105814425.32551926,12442331.91834664,108678398.22879766
ssp245,mid,defaulted_premium_base_pct,5,9.502759464073053,6.923892626638002,4.568157645134421,1.8266272215029151,10.632557601048592,1.1833854154791137,10.879131359044509
ssp245,mid,defaults_post,5,4.758900000000001,3.5381200000000006,2.3496412815576764,0.91726,5.47522,0.5499,5.5491
ssp245,mid,defaults_pre,5,7.633033166081285,5.6741592697445045,3.7699900688742223,1.4665532218925885,8.777107713625867,0.8591321229333602,8.883646189376444
ssp245,mid,diag_group_shortfall_total_usd,5,19205021.123740893,19594239.91422008,14494866.844939139,4721746.231420105,34171462.193488754,1686783.038075509,35246902.19174975
ssp245,mid,diag_groups_fully_funded_share,5,-0.0034335315112327125,-0.0025829698774181066,0.001752052625512234,-0.004038988797465693,-0.0006298428113860499,-0.0040536605743924925,-0.0003278617181505794
ssp245,mid,diag_groups_with_shortfall,5,0.18197717009533368,0.13689740350316268,0.09285878915215111,0.03338166900346046,0.21406640626568935,0.01737667106197383,0.21484401044281556
ssp245,mid,fhcf_recovery_citizens_usd,5,306058542.22137105,231046827.7282423,163723813.25171664,48770859.79586318,370247543.0907353,15404907.91363047,381335913.679681
ssp245,mid,fhcf_recovery_private_usd,5,1833327633.408291,1383130008.7671998,941507023.3218738,333034444.1598332,2168521821.2214446,158616985.15563905,2184519520.895335
ssp245,mid,fhcf_scaling_factor,5,-0.029880610733078572,-0.024605323471986296,0.017058225187781138,-0.04006591419719352,-0.00594987941117464,-0.04216363069422768,-0.001623324093907308
ssp245,mid,fhcf_shortfall_usd,5,1170987325.4083576,988443830.0636762,692264703.5322114,242252618.0392135,1631802423.1891437,63658758.35671884,1764152797.9650192
ssp245,mid,fhcf_total_postcap_usd,5,2139386175.629662,1614176836.495442,1105062949.3420672,381805303.95569634,2538769364.31218,174021893.06926954,2565855434.5750165
ssp245,mid,fhcf_total_precap_usd,5,3310373501.0380197,2602620666.5591187,1788897378.432133,624057921.99491,4170571787.5013237,237680651.42598844,4330008232.540036
ssp245,mid,figa_collected_usd,5,95121361.3051898,68637710.34887397,45128323.3173476,18372748.52543408,105103046.52786505,12695004.812533312,108549589.57560216
ssp245,mid,figa_residual_deficit_usd,5,3406340630.2037253,2884533669.841387,2001168391.73986,707316750.4987878,4725222593.259998,291216012.3241674,4838825268.463348
ssp245,mid,flood_insured_capped_pct,5,0.7449562519035249,0.7366684092822491,0.5167115911563959,0.21707864781475164,1.2574210097400809,0.21150304670626485,1.284223652052457
ssp245,mid,flood_insured_capped_usd,5,1260476201.3882382,1023140787.5889889,740733444.2035915,210959624.04023254,1683844778.570839,74049007.65785661,1689517532.2840886
ssp245,mid,flood_un_derinsured_pct,5,3.727340677467006,3.8312563618661057,2.4537907920395314,1.4022360161298102,6.347858606115008,1.376081133854285,6.516509713642763
ssp245,mid,flood_un_derinsured_usd,5,5780993196.953457,4536307073.748503,3103991661.5045795,1097853426.2285576,7224787095.540759,495179950.9585227,7316938314.30995
ssp245,mid,group_contrib_total_usd,5,1486274429.2611294,1260301830.9041526,877412498.9830468,306017178.5272976,2067939612.3361826,121907199.81870961,2117407303.9794228
ssp245,mid,group_supported_companies,5,2.910128198695434,2.1738361917000457,1.4417242663102874,0.5647675305532857,3.3625757023797567,0.32545114108936,3.3931595039662614
ssp245,mid,insured_citizens_wind_pre_usd,5,2330220561.4395785,1862479513.7678723,1290443412.6872282,440416972.80714345,3002618093.21676,198944751.64811307,3051876563.67184
ssp245,mid,insured_flood_pre_usd,5,1260476201.3882382,1023155809.2119818,740750336.9155736,210959624.04023254,1683889843.4398174,74049007.65785661,1689592640.3990526
ssp245,mid,insured_private_wind_pre_usd,5,13038481368.605738,10438108483.780945,7081603711.267817,2623592651.098325,16652671976.37055,1261681413.2498531,16815519623.49656
ssp245,mid,largest_entity_deficit_usd,5,837821289.6024704,698106598.5082818,481907411.55893517,171547549.41589725,1136042884.7134018,73763587.79166153,1158765176.9769568
ssp245,mid,nfip_borrowed_usd,5,641128484.4452325,579323987.5849626,450316763.16164184,99702713.1780231,1006294364.5360545,12021010.950050712,1006981470.6611758
ssp245,mid,nfip_claims_paid_usd,5,1260476201.3882382,1023140787.5889889,740733444.2035915,210959624.04023254,1683844778.570839,74049007.65785661,1689517532.2840886
ssp245,mid,nfip_fl_premium_base_usd,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ssp245,mid,nfip_fl_premium_depletion_usd,5,355896137.20770013,251467406.3476134,163357772.80901623,68628574.54133256,378819733.09737223,45303575.14165495,389056173.9911353
ssp245,mid,nfip_policyholder_shortfall_usd,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ssp245,mid,nfip_pool_used_usd,5,619399932.8767644,444184754.55011475,296092923.75891274,112190571.57599168,677754292.0624468,63800780.108890265,682875858.3356831
ssp245,mid,rescued_defaults,5,2.8751292523833416,2.13888855339811,1.417336658963252,0.5562848081323044,3.303339407571041,0.3225283700172431,3.336965679285069
ssp245,mid,total_damage_usd,5,45559239349.81429,36387477420.11377,24853222533.374466,8961484450.689297,58198641737.11387,4229349563.3701935,58814985874.13657
ssp245,mid,underinsured_flood_usd,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ssp245,mid,underinsured_wind_usd,5,6890905794.564576,5523475287.259779,3788529626.528893,1344901992.7925513,8853413647.669212,606262901.9920871,8932374016.848093
ssp245,mid,uninsured_wind_usd,5,16251902827.881422,12981008713.116934,8876716498.276093,3185072760.197375,20776554943.16237,1478915333.5830574,21022941707.809162
ssp245,mid,water_total_usd,5,7042442713.763642,5563172725.9958105,3839289855.575103,1318311845.1061828,8907014198.57632,587514423.6707778,8992273962.310915
ssp245,mid,wind_insured_citizens_pct,5,1.2842958586097835,1.2626803637894846,0.8167482940000361,0.43470660536040956,2.0855288261244134,0.4036853545746151,2.1392798821742223
ssp245,mid,wind_insured_citizens_usd,5,2330220561.4395785,1862479513.7678723,1290443412.6872282,440416972.80714345,3002618093.21676,198944751.64811307,3051876563.67184
ssp245,mid,wind_insured_private_pct,5,8.634779368898108,8.825885516205716,5.506161534843114,3.3422391206571875,14.41765068430867,3.225214604050617,14.584937996517723
ssp245,mid,wind_insured_private_usd,5,13038481368.605738,10438108483.780945,7081603711.267817,2623592651.098325,16652671976.37055,1261681413.2498531,16815519623.49656
