pathway,time_category,metric,n_models,delta_median,delta_mean,delta_std,delta_p10,delta_p90,delta_min,delta_max
ssp245,mid,catbond_issue_volume_year_usd,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ssp245,mid,catbond_limit_in_force_usd,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ssp245,mid,catbond_payout_usd,5,2.6943536027186368,3.229931403430966,2.6348519500369263,0.8206129889998626,6.066346873767169,0.5147353207482022,7.009457164214567
ssp245,mid,catbond_triggers,5,2.24031379385487,2.694963555234891,2.165790907982289,0.7049958922491175,5.033949466309605,0.4824257509194932,5.743293077234949
ssp245,mid,citizens_residual_deficit_usd,5,8.634406318634854,12.563859082495501,12.250003121912453,3.1579192063790464,25.168300277576297,0.488960588505576,32.77235864358584
ssp245,mid,citizens_tier1_capacity_usd,5,0.0,9.860761315262648e-33,1.56117514258404e-16,-1.3247010359292595e-16,1.32470103592926e-16,-2.2078350598820995e-16,2.2078350598821e-16
ssp245,mid,citizens_tier1_usd,5,3.634698997055192,4.5082979581244444,3.8853040052213164,1.1141647634508265,8.663066075881828,0.6247200174933307,10.447852592035884
ssp245,mid,citizens_tier2_capacity_usd,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ssp245,mid,citizens_tier2_usd,5,4.268426457670688,5.2644589988276875,4.458017052076613,1.336340457814135,10.01080274988976,0.59266016836626,12.035318797217704
ssp245,mid,defaulted_premium_base_pct,5,4.854867304055447,6.061243046119683,5.257790637703378,1.4455824377757858,11.665191572819628,0.5859263520700375,14.065247847821084
ssp245,mid,defaults_post,5,5.64971037388099,7.18254415254746,6.264039957024821,1.7345457092367198,13.845019551007216,0.5914811229428849,16.780324400564176
ssp245,mid,defaults_pre,5,5.726541733120681,7.2517225971079515,6.367720096260693,1.7265417199502742,14.010881113697915,0.5722710357408282,17.05070062766196
ssp245,mid,diag_group_shortfall_total_usd,5,29.074030266192654,52.46521558037703,69.6084306837597,6.813817422546164,121.38036888708653,0.6390288725330584,173.82780740424542
ssp245,mid,diag_groups_fully_funded_share,5,-0.0034339541357370114,-0.0025837481888461066,0.001752625625820461,-0.004040419437252049,-0.0006300458582119883,-0.0040547053104939565,-0.00032804754983918567
ssp245,mid,diag_groups_with_shortfall,5,8.033962264150944,11.473570358263114,10.709361245754897,2.3968764467958925,23.032133823529414,0.5787722972972972,27.898500000000002
ssp245,mid,fhcf_recovery_citizens_usd,5,7.813708436259744,8.829765869220685,7.967305449171439,2.284616816539539,16.65081028067726,0.2522599429488082,21.754633723447803
ssp245,mid,fhcf_recovery_private_usd,5,7.068733138279164,9.845324123598065,9.247040950451021,2.534430597067934,19.40762749331566,0.48154598068679766,24.91296951180882
ssp245,mid,fhcf_scaling_factor,5,-0.0298830267847083,-0.02465903457509095,0.0171136455958446,-0.04020138052679084,-0.0059569739904141335,-0.042337382357850895,-0.0016300980466811112
ssp245,mid,fhcf_shortfall_usd,5,22.23405852882222,149.8552938416517,300.7413425408427,5.3541986363382135,423.05588335716755,0.42338584177058197,687.5422027668855
ssp245,mid,fhcf_total_postcap_usd,5,6.7426222695918465,9.64535238480163,9.036757059785959,2.606770524987084,18.95723698089722,0.4456857344463639,24.40607248614256
ssp245,mid,fhcf_total_precap_usd,5,8.724834465681557,13.566076731667014,13.913560969476093,3.6015083018918985,27.537590040544984,0.4394859615171267,37.04490736536023
ssp245,mid,figa_collected_usd,5,4.322244519345491,5.441345129867989,4.801819680433479,1.2895825482638945,10.55460695628044,0.5879122359747228,12.864073026758035
ssp245,mid,figa_residual_deficit_usd,5,11.210721846894584,19.334943885376823,21.106008503751045,4.494783574731379,40.84072443236976,0.585353397832952,55.16419147769365
ssp245,mid,flood_insured_capped_pct,5,0.40983678863918716,0.5690201820896649,0.46734328736680764,0.15331361111002925,1.0812954707752012,0.14806219837177115,1.1544549674361058
ssp245,mid,flood_insured_capped_usd,5,7.297058430094994,8.881938561715135,7.998500254348734,2.237408538261402,17.006835906257734,0.2867201342304435,21.709233331403887
ssp245,mid,flood_un_derinsured_pct,5,0.46928957389904774,0.6244183536642707,0.45856661669815646,0.2123799689574224,1.1174282736213998,0.20925877327203493,1.1341780507774657
ssp245,mid,flood_un_derinsured_usd,5,8.699199923608395,10.764634824936897,9.692221841186816,2.6915670475332427,20.70815067810656,0.47678594441909455,26.27385428162771
ssp245,mid,group_contrib_total_usd,5,11.077283766131671,19.071709517582704,20.974053284250576,4.552993992375598,40.23834275578543,0.5503702191835399,54.84378587805787
ssp245,mid,group_supported_companies,5,5.938585496866607,7.5011139364620565,6.65624080513019,1.7539858877022318,14.5508506360013,0.5772980928391509,17.812916154791154
ssp245,mid,insured_citizens_wind_pre_usd,5,6.841258781131645,9.170638737734544,8.317324949339046,2.3587359315131797,17.832084092216746,0.4631443588146142,22.46708594475288
ssp245,mid,insured_flood_pre_usd,5,7.297058430094994,8.882027056692252,7.998515072806516,2.237408538261402,17.00701289621197,0.2867201342304435,21.709233331403887
ssp245,mid,insured_private_wind_pre_usd,5,7.835784409666416,10.420796062453444,9.565092308627836,2.4989751193527012,20.44842371427992,0.5510270470366309,25.649575315924864
ssp245,mid,largest_entity_deficit_usd,5,9.954063960974008,15.534652031831664,15.684318651428159,3.67465904740861,31.825397710916327,0.5693003869075012,41.492591008348576
ssp245,mid,nfip_borrowed_usd,5,12.200297767232053,15.885083732428185,16.09021434193477,4.651074825160406,30.883441684244858,0.09697762905414689,43.12536312815442
ssp245,mid,nfip_claims_paid_usd,5,7.297058430094994,8.881938561715135,7.998500254348734,2.237408538261402,17.006835906257734,0.2867201342304435,21.709233331403887
ssp245,mid,nfip_fl_premium_base_usd,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ssp245,mid,nfip_fl_premium_depletion_usd,5,3.9126132302728944,5.009580126950192,4.3230701948724315,1.253296039139982,9.634090006059425,0.5509190683173589,11.615436348723552
ssp245,mid,nfip_pool_used_usd,5,4.717455784958652,6.07786478996029,5.3511042162059415,1.4778322527969796,11.758580500018192,0.48139541644348116,14.356932017946775
ssp245,mid,rescued_defaults,5,5.857914640734737,7.413673565848259,6.589247366834385,1.731774508832522,14.39418753249139,0.5777265988372092,17.631177230769232
ssp245,mid,total_damage_usd,5,7.942191516311128,10.378603686054444,9.516864995585443,2.4882788631262374,20.31074321562443,0.5291173860248567,25.564339179806314
ssp245,mid,underinsured_wind_usd,5,7.878925573230115,10.323018205799386,9.449623518801154,2.4214121593609894,20.231317327324746,0.49650136491233043,25.294815156982718
ssp245,mid,uninsured_wind_usd,5,8.058175941655277,10.494277490119602,9.687621447150761,2.4594739524420075,20.60250610196967,0.5152336727178325,25.968243581455095
ssp245,mid,water_total_usd,5,8.398536945750354,10.394602727852634,9.3696160823367,2.6113240379464773,19.99302237825616,0.4595140226383582,25.41326467134918
ssp245,mid,wind_insured_citizens_pct,5,0.4323703377613327,0.6083697976875901,0.4642793536974272,0.20149466632639473,1.1187778936243862,0.19799837291296118,1.1844071254877062
ssp245,mid,wind_insured_citizens_usd,5,6.841258781131645,9.170638737734544,8.317324949339046,2.3587359315131797,17.832084092216746,0.4631443588146142,22.46708594475288
ssp245,mid,wind_insured_private_pct,5,0.4613099947959021,0.618023674801681,0.4470170945762218,0.21869018344272148,1.0988770306806779,0.217330599757058,1.1128887124349334
ssp245,mid,wind_insured_private_usd,5,7.835784409666416,10.420796062453444,9.565092308627836,2.4989751193527012,20.44842371427992,0.5510270470366309,25.649575315924864
ssp245,mid,wind_total_usd,5,7.865059576865943,10.379731923462824,9.544294190088115,2.469460367264876,20.37088504004597,0.5423707450964046,25.59215621056146
