pathway_abs,time_category,metric,era5_baseline_abs,delta_median_abs,delta_p10_abs,delta_p90_abs,scaled_median_abs,scaled_p10_abs,scaled_p90_abs,n_models_abs,pathway_rel,era5_baseline_rel,delta_median_rel,delta_p10_rel,delta_p90_rel,scaled_median_rel,scaled_p10_rel,scaled_p90_rel,n_models_rel,diff_median,diff_median_pct
ssp245,mid,catbond_issue_volume_year_usd,9464500000.0,0.0,0.0,0.0,9464500000.0,9464500000.0,9464500000.0,5,ssp245,9464500000.0,0.0,0.0,0.0,9464500000.0,9464500000.0,9464500000.0,5,0.0,0.0
ssp245,mid,catbond_issue_volume_year_usd,9464500000.0,0.0,0.0,0.0,9464500000.0,9464500000.0,9464500000.0,5,ssp585,9464500000.0,0.0,0.0,0.0,9464500000.0,9464500000.0,9464500000.0,5,0.0,0.0
ssp245,mid,catbond_limit_in_force_usd,9464500000.0,0.0,0.0,0.0,9464500000.0,9464500000.0,9464500000.0,5,ssp245,9464500000.0,0.0,0.0,0.0,9464500000.0,9464500000.0,9464500000.0,5,0.0,0.0
ssp245,mid,catbond_limit_in_force_usd,9464500000.0,0.0,0.0,0.0,9464500000.0,9464500000.0,9464500000.0,5,ssp585,9464500000.0,0.0,0.0,0.0,9464500000.0,9464500000.0,9464500000.0,5,0.0,0.0
ssp245,mid,catbond_payout_usd,511945273.42870957,814282566.1327119,181015419.3789248,906484489.8002129,1326227839.5614214,692960692.8076344,1418429763.2289224,5,ssp245,511945273.42870957,2.6943536027186368,0.8206129889998626,6.066346873767169,1891306865.2861307,932054214.4613948,3617582882.4328403,5,-565079025.7247093,-29.877701820704804
ssp245,mid,catbond_payout_usd,511945273.42870957,814282566.1327119,181015419.3789248,906484489.8002129,1326227839.5614214,692960692.8076344,1418429763.2289224,5,ssp585,511945273.42870957,3.242418209825849,1.0105326972683135,8.393023587989095,2171885950.428231,1029282711.4403878,4808714029.075396,5,-845658110.8668094,-38.936580012411376
ssp245,mid,catbond_triggers,3.6528,5.1404,1.2003379850616838,5.9348536255194215,8.793199999999999,4.853137985061684,9.587653625519422,5,ssp245,3.6528,2.24031379385487,0.7049958922491175,5.033949466309605,11.836218226193068,6.228008995207577,22.040810610535726,5,-3.0430182261930696,-25.709379195620052
ssp245,mid,catbond_triggers,3.6528,5.1404,1.2003379850616838,5.9348536255194215,8.793199999999999,4.853137985061684,9.587653625519422,5,ssp585,3.6528,2.6409239485726737,0.8374021349428502,6.65362236598226,13.299566999346263,6.711662518519243,27.95715177846,5,-4.506366999346264,-33.883561769851404
ssp245,mid,citizens_residual_deficit_usd,718277468.2344651,1664733729.4197402,322165496.17911893,2266703543.891604,2383011197.6542053,1040442964.413584,2984981012.126069,5,ssp245,718277468.2344651,8.634406318634854,3.1579192063790464,25.168300277576297,6920176978.491177,2986539680.6813984,18796100471.376755,5,-4537165780.836971,-65.56430268964336
ssp245,mid,citizens_residual_deficit_usd,718277468.2344651,1664733729.4197402,322165496.17911893,2266703543.891604,2383011197.6542053,1040442964.413584,2984981012.126069,5,ssp585,718277468.2344651,12.734626571612381,3.571775470806549,53.10188252341877,9865272801.003553,3283803310.5073576,38860163205.639694,5,-7482261603.349348,-75.84444702419388
