pathway,time_category,metric,era5_baseline,delta_median,delta_p10,delta_p90,scaled_median,scaled_p10,scaled_p90,n_models
ssp245,mid,catbond_issue_volume_year_usd,9464500000.0,0.0,0.0,0.0,9464500000.0,9464500000.0,9464500000.0,5
ssp245,mid,catbond_limit_in_force_usd,9464500000.0,0.0,0.0,0.0,9464500000.0,9464500000.0,9464500000.0,5
ssp245,mid,catbond_payout_usd,511945273.42870957,814282566.1327119,181015419.3789248,906484489.8002129,1326227839.5614214,692960692.8076344,1418429763.2289224,5
ssp245,mid,catbond_triggers,3.6528,5.1404,1.2003379850616838,5.9348536255194215,8.793199999999999,4.853137985061684,9.587653625519422,5
ssp245,mid,catbond_unfilled_usd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
ssp245,mid,citizens_residual_deficit_usd,718277468.2344651,1664733729.4197402,322165496.17911893,2266703543.891604,2383011197.6542053,1040442964.413584,2984981012.126069,5
ssp245,mid,citizens_tier1_capacity_usd,539937478.65,0.0,-7.152557373046875e-08,7.152557373046876e-08,539937478.65,539937478.6499999,539937478.6500001,5
ssp245,mid,citizens_tier1_usd,100789599.68242246,187008191.81308025,38121099.336552,200295410.24930862,287797791.4955027,138910699.01897445,301085009.9317311,5
ssp245,mid,citizens_tier2_capacity_usd,359958319.09999996,0.0,0.0,0.0,359958319.09999996,359958319.09999996,359958319.09999996,5
ssp245,mid,citizens_tier2_usd,49554667.266172744,98545518.28680031,18406356.13232754,105814425.32551926,148100185.55297306,67961023.3985003,155369092.591692,5
ssp245,mid,defaulted_premium_base_pct,4.590575368681856,9.502759464073053,1.8266272215029151,10.632557601048592,14.093334832754909,6.417202590184771,15.223132969730448,5
ssp245,mid,defaults_post,2.1875,4.758900000000001,0.91726,5.47522,6.946400000000001,3.1047599999999997,7.66272,5
ssp245,mid,defaults_pre,3.4775,7.633033166081285,1.4665532218925885,8.777107713625867,11.110533166081286,4.944053221892588,12.254607713625866,5
ssp245,mid,diag_group_shortfall_total_usd,6174970.940672383,19205021.123740893,4721746.231420105,34171462.193488754,25379992.064413276,10896717.172092488,40346433.13416114,5
ssp245,mid,diag_groups_fully_funded_share,0.9986226415094339,-0.0034335315112327125,-0.004038988797465693,-0.0006298428113860499,0.9951891099982012,0.9945836527119682,0.9979927986980479,5
ssp245,mid,diag_groups_with_shortfall,0.073,0.18197717009533368,0.03338166900346046,0.21406640626568935,0.25497717009533366,0.10638166900346045,0.28706640626568936,5
ssp245,mid,fhcf_recovery_citizens_usd,160490599.41146898,306058542.22137105,48770859.79586318,370247543.0907353,466549141.63284004,209261459.20733216,530738142.5022043,5
ssp245,mid,fhcf_recovery_private_usd,805045573.3874182,1833327633.408291,333034444.1598332,2168521821.2214446,2638373206.795709,1138080017.5472512,2973567394.608863,5
ssp245,mid,fhcf_scaling_factor,0.9895177457955809,-0.029880610733078572,-0.04006591419719352,-0.00594987941117464,0.9596371350625024,0.9494518315983874,0.9835678663844063,5
ssp245,mid,fhcf_shortfall_usd,345602104.79177666,1170987325.4083576,242252618.0392135,1631802423.1891437,1516589430.2001343,587854722.8309902,1977404527.9809203,5
ssp245,mid,fhcf_total_postcap_usd,965536172.7988871,2139386175.629662,381805303.95569634,2538769364.31218,3104922348.4285493,1347341476.7545834,3504305537.1110673,5
ssp245,mid,fhcf_total_precap_usd,1311138277.5906637,3310373501.0380197,624057921.99491,4170571787.5013237,4621511778.628683,1935196199.5855737,5481710065.091988,5
ssp245,mid,figa_collected_usd,48326314.97494906,95121361.3051898,18372748.52543408,105103046.52786505,143447676.28013885,66699063.50038314,153429361.5028141,5
ssp245,mid,figa_residual_deficit_usd,1292311924.0864177,3406340630.2037253,707316750.4987878,4725222593.259998,4698652554.290143,1999628674.5852056,6017534517.346416,5
ssp245,mid,flood_insured_capped_pct,2.1724964393234587,0.7449562519035249,0.21707864781475164,1.2574210097400809,2.9174526912269836,2.38957508713821,3.42991744906354,5
ssp245,mid,flood_insured_capped_usd,644954483.8175347,1260476201.3882382,210959624.04023254,1683844778.570839,1905430685.2057729,855914107.8577672,2328799262.3883734,5
