model,metric,era5_value,gcm_20thcal_value,bias_absolute,bias_relative
canesm,total_damage_usd,19343788695.230297,2959208477.090196,-16384580218.1401,-0.8470202231985782
canesm,wind_total_usd,16304436396.651468,2545697289.3634353,-13758739107.288033,-0.843864747763605
canesm,water_total_usd,3039352298.578831,413511187.72676116,-2625841110.85207,-0.8639475957031651
canesm,underinsured_wind_usd,2969616746.555762,462038621.0917074,-2507578125.4640546,-0.8444113633088878
canesm,uninsured_wind_usd,6765845907.801158,1068542760.5448261,-5697303147.256331,-0.8420681205120597
canesm,nfip_policyholder_shortfall_usd,0.0,0.0,0.0,
canesm,wind_insured_private_usd,5491050988.223578,860827887.2945501,-4630223100.9290285,-0.8432307605336883
canesm,wind_insured_citizens_usd,1077922754.0709696,154288020.43235102,-923634733.6386186,-0.8568654202263989
canesm,wind_underinsured_usd,2969616746.555762,462038621.0917074,-2507578125.4640546,-0.8444113633088878
canesm,wind_uninsured_usd,6765845907.801158,1068542760.5448261,-5697303147.256331,-0.8420681205120597
canesm,flood_insured_capped_usd,644954483.8175347,80629474.99125698,-564325008.8262777,-0.8749842399513141
canesm,flood_un_derinsured_usd,2394397814.7612963,332881712.73550415,-2061516102.0257921,-0.860974767566479
canesm,wind_insured_private_pct,20.511926737827867,14.840131153440463,-5.671795584387404,-0.27651208279364325
canesm,wind_insured_citizens_pct,3.6899013245489156,1.9526318049507136,-1.737269519598202,-0.47081733813317633
canesm,wind_underinsured_pct,10.951058655424745,7.662562324366621,-3.2884963310581243,-0.30029026731850494
canesm,wind_uninsured_pct,25.378578795587508,17.722962280837034,-7.6556165147504736,-0.30165662846658425
canesm,flood_insured_capped_pct,2.1724964393234587,1.31212909340994,-0.8603673459135186,-0.39602704535683714
canesm,flood_un_derinsured_pct,8.766038047287509,6.339583342995228,-2.426454704292281,-0.2768017536774328
canesm,insured_private_wind_pre_usd,5491050988.223578,860827887.2945501,-4630223100.9290285,-0.8432307605336883
canesm,insured_citizens_wind_pre_usd,1077922754.0709696,154288020.43235102,-923634733.6386186,-0.8568654202263989
canesm,insured_flood_pre_usd,644954483.8175347,80629474.99125698,-564325008.8262777,-0.8749842399513141
canesm,defaults_pre,3.4775,0.6876,-2.7899000000000003,-0.8022717469446442
canesm,defaults_post,2.1875,0.4257,-1.7618,-0.8053942857142857
canesm,rescued_defaults,1.29,0.2619,-1.0281,-0.7969767441860465
canesm,group_contrib_total_usd,572184876.4533527,55146919.2058942,-517037957.24745846,-0.9036204529771592
canesm,group_supported_companies,1.3025,0.2625,-1.04,-0.798464491362764
canesm,defaulted_premium_base_pct,4.590575368681856,1.0206296127848284,-3.5699457558970273,-0.7776684770828861
canesm,largest_entity_deficit_usd,328194908.3869914,38189735.0155562,-290005173.37143517,-0.8836370277550901
canesm,diag_group_shortfall_total_usd,6174970.940672383,318985.3947500718,-5855985.545922311,-0.9483422030945885
canesm,diag_groups_with_shortfall,0.073,0.0112,-0.061799999999999994,-0.8465753424657534
canesm,diag_groups_fully_funded_share,0.9986226415094339,0.9997886792452829,0.0011660377358490015,0.0011676460029851888
canesm,figa_residual_deficit_usd,1292311924.0864177,128533353.04411279,-1163778571.042305,-0.9005399929781058
canesm,figa_collected_usd,48326314.97494906,11480936.627095373,-36845378.34785369,-0.7624288830413254
canesm,citizens_residual_deficit_usd,718277468.2344651,84389555.4782708,-633887912.7561944,-0.8825112032461475
canesm,citizens_tier1_usd,100789599.68242246,28514260.862281054,-72275338.8201414,-0.7170912380629894
canesm,citizens_tier2_usd,49554667.266172744,11155768.478832468,-38398898.787340276,-0.7748795604072661
canesm,citizens_tier1_capacity_usd,539937478.65,539937478.65,0.0,0.0
canesm,citizens_tier2_capacity_usd,359958319.09999996,359958319.09999996,0.0,0.0
canesm,nfip_borrowed_usd,345997559.61779946,18467646.44827069,-327529913.1695288,-0.9466249228212168
canesm,nfip_claims_paid_usd,644954483.8175347,80629474.99125698,-564325008.8262777,-0.8749842399513141
canesm,nfip_pool_used_usd,298956924.1997352,62161828.54298628,-236795095.65674895,-0.792070952330726
canesm,nfip_fl_premium_base_usd,1395853723.0,1395853723.0,0.0,0.0
canesm,nfip_fl_premium_depletion_usd,182250316.13919604,44916469.34531452,-137333846.79388154,-0.7535451773317695
canesm,underinsured_flood_usd,0.0,0.0,0.0,
canesm,fhcf_total_precap_usd,1311138277.5906637,137953772.37042728,-1173184505.2202363,-0.8947832011861251
canesm,fhcf_total_postcap_usd,965536172.7988871,118576139.06881401,-846960033.7300731,-0.8771914067961983
canesm,fhcf_shortfall_usd,345602104.79177666,19377633.301613256,-326224471.4901634,-0.9439308006723854
canesm,fhcf_scaling_factor,0.9895177457955809,0.9993913920048104,0.00987364620922948,0.009978240664386451
canesm,fhcf_recovery_private_usd,805045573.3874182,105929162.48588498,-699116410.9015331,-0.8684184274932869
canesm,fhcf_recovery_citizens_usd,160490599.41146898,12646976.582929062,-147843622.8285399,-0.9211980226299454
canesm,catbond_payout_usd,511945273.42870957,191737574.02469543,-320207699.4040141,-0.6254725183015178
canesm,catbond_unfilled_usd,0.0,0.0,0.0,
canesm,catbond_triggers,3.6528,1.5055,-2.1473,-0.5878504161191415
canesm,catbond_limit_in_force_usd,9464500000.0,9464500000.0,0.0,0.0
canesm,catbond_issue_volume_year_usd,9464500000.0,9464500000.0,0.0,0.0
canesm,year_id,5000.5,5000.5,0.0,0.0
cnrm6,total_damage_usd,19343788695.230297,7405384993.971297,-11938403701.258999,-0.6171698775950089
cnrm6,wind_total_usd,16304436396.651468,6334689702.589506,-9969746694.061962,-0.6114744755059123
cnrm6,water_total_usd,3039352298.578831,1070695291.3817912,-1968657007.19704,-0.6477225453980978
