Metric,Baseline (ERA5),Market Exit,Insurance Penetration,Building Codes
Total loss (corrected),19.3 (0.0-39.5),19.3 (0.0-39.5),19.3 (0.0-39.5),13.7 (0.0-27.9)
"Insured wind, private",5.5 (0.0-11.6),4.7 (0.0-9.8),8.1 (0.0-17.3),3.8 (0.0-8.1)
Citizens wind,1.1 (0.0-1.8),1.9 (0.0-3.5),1.7 (0.0-2.8),0.8 (0.0-1.2)
"Insured flood, NFIP",0.6 (0.0-0.9),0.6 (0.0-0.9),1.7 (0.0-2.4),0.5 (0.0-0.7)
Un/underinsured wind,9.7 (0.0-19.8),9.7 (0.0-19.8),6.5 (0.0-13.4),6.8 (0.0-13.8)
Un/underinsured flood,2.4 (0.0-3.9),2.4 (0.0-3.9),1.3 (0.0-2.0),1.8 (0.0-2.9)
Residual financing requirement,2.4 (0.0-1.9),2.7 (0.0-2.8),4.4 (0.0-3.6),1.5 (0.0-0.7)
FHCF shortfall (diagnostic),0.3 (0.0-0.0),0.4 (0.0-0.0),0.7 (0.0-0.0),0.2 (0.0-0.0)
FIGA residual,1.3 (0.0-1.0),1.1 (0.0-0.7),2.0 (0.0-1.0),0.8 (0.0-0.3)
Citizens deficit,0.7 (0.0-0.7),1.3 (0.0-2.1),1.2 (0.0-1.6),0.5 (0.0-0.2)
NFIP Treasury borrowing,0.3 (0.0-0.0),0.3 (0.0-0.0),1.2 (0.0-0.0),0.2 (0.0-0.0)
