scenario,policy_scenario,policy_severity,events,wind_shares,total_damage_usd,wind_total_usd,water_total_usd,underinsured_wind_usd,uninsured_wind_usd,nfip_policyholder_shortfall_usd,wind_insured_private_usd,wind_insured_citizens_usd,wind_underinsured_usd,wind_uninsured_usd,flood_insured_capped_usd,flood_un_derinsured_usd,wind_insured_private_pct,wind_insured_citizens_pct,wind_underinsured_pct,wind_uninsured_pct,flood_insured_capped_pct,flood_un_derinsured_pct,insured_private_wind_pre_usd,insured_citizens_wind_pre_usd,insured_flood_pre_usd,defaults_pre,defaults_post,rescued_defaults,default_companies_pre,default_companies_post,group_contrib_total_usd,group_supported_companies,defaulted_premium_base_pct,largest_entity_deficit_usd,diag_group_shortfall_total_usd,diag_groups_with_shortfall,diag_groups_fully_funded_share,figa_residual_deficit_usd,figa_collected_usd,citizens_residual_deficit_usd,citizens_tier1_usd,citizens_tier2_usd,citizens_tier1_capacity_usd,citizens_tier2_capacity_usd,nfip_borrowed_usd,nfip_claims_paid_usd,nfip_pool_used_usd,nfip_fl_premium_base_usd,nfip_fl_premium_depletion_usd,underinsured_flood_usd,fhcf_cap_binding,fhcf_total_precap_usd,fhcf_total_postcap_usd,fhcf_shortfall_usd,fhcf_scaling_factor,fhcf_recovery_private_usd,fhcf_recovery_citizens_usd,catbond_payout_usd,catbond_unfilled_usd,catbond_triggers,catbond_limit_in_force_usd,catbond_issue_volume_year_usd,iter
double_gm,baseline,,COMPOSITE,"{""double_gm"": 0.6661152119807906}",321140213590.44794,213916381451.3576,107223832139.09032,33981059566.27674,66732869516.20954,0.0,83212623102.13875,29989829266.732544,33981059566.27674,66732869516.20954,31444179649.266914,75779652489.8234,25.911617287600208,9.338546839536813,10.58137789296391,20.77997917797812,9.791417679433902,23.597061122487027,83212623102.13875,29989829266.732544,31444179649.266914,37,23,14,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Spinnaker Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Unique Insurance Co.;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Vault E&S Insurance Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;Spinnaker Specialty Ins Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;QBE Specialty Insurance Co.;Auto Club Insurance Co. of FL;American Platinum P&C Ins Co.;Privilege Underwriters Recpl;FL Farm Bureau General Ins Co.;Castle Key Insurance Co.;Homesite Insurance Co.;PURE Specialty Exchange;State Farm FL Ins Co;AIG Property Casualty Co.;Foremost P&C Insurance Co.;ASI Preferred Insurance Corp.;Nationwide P&C Insurance Co.;ACE Ins Co. of the Midwest;Castle Key Indemnity Co.;First Liberty Insurance Corp.,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Spinnaker Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Unique Insurance Co.;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Vault E&S Insurance Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;Spinnaker Specialty Ins Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;QBE Specialty Insurance Co.;American Platinum P&C Ins Co.,12149685619.82452,14,36.189312511589605,5795025342.456139,114783638.26153979,1,0.9811320754716981,24848177891.506035,300194520.0,24285410181.685158,539937478.65,359958319.1,539937478.65,359958319.1,28003179649.266914,31444179649.266914,3441000000.0,1395853723.0,1395853723.0,0.0,False,14753212002.76142,14753212002.76142,0.0,1.0,10230654591.680347,4522557411.081072,2575000000.0,0.0,14,9464500000.0,9464500000.0,1
double_gm,baseline,,COMPOSITE,"{""double_gm"": 0.6631529136220402}",321140213590.4479,212965068323.70984,108175145266.73807,77285038844.75298,73857034584.46532,0.0,47208690515.5208,14614304378.970736,77285038844.75298,73857034584.46532,31721425202.90506,76453720063.83302,14.700336026968685,4.550755016190046,24.06582407749005,22.998376241555242,9.877749300920497,23.80695933687549,47208690515.5208,14614304378.970736,31721425202.90506,32,19,13,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Vault E&S Insurance Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;Auto Club Insurance Co. of FL;American Platinum P&C Ins Co.;FL Farm Bureau General Ins Co.;Castle Key Insurance Co.;Homesite Insurance Co.;PURE Specialty Exchange;State Farm FL Ins Co;AIG Property Casualty Co.;Foremost P&C Insurance Co.;ASI Preferred Insurance Corp.;Nationwide P&C Insurance Co.;ACE Ins Co. of the Midwest;Castle Key Indemnity Co.;First Liberty Insurance Corp.,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Vault E&S Insurance Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;American Platinum P&C Ins Co.,5228342834.771917,13,35.41856476294073,2790559320.101879,33427684.11542985,1,0.9811320754716981,10052351190.377203,308706120.0,8958276562.76964,539937478.65,359958319.1,539937478.65,359958319.1,28280425202.90506,31721425202.90506,3441000000.0,1395853723.0,1395853723.0,0.0,False,14728816640.886347,14728816640.886347,0.0,1.0,10206259229.805275,4522557411.081072,2385002679.9810734,0.0,14,9464500000.0,9464500000.0,2
double_gm,baseline,,COMPOSITE,"{""double_gm"": 0.6039756464541733}",321140213590.4479,193960868105.72208,127179345484.72581,45904610124.33409,83863085160.36139,0.0,47972588975.31794,16220583845.708649,45904610124.33409,83863085160.36139,37259906548.068565,89919438936.65726,14.938206722530763,5.05093512405608,14.294257829346943,26.11416496948355,11.602379574794192,28.000055779788475,47972588975.31794,16220583845.708649,37259906548.068565,30,19,11,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Vault E&S Insurance Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;Auto Club Insurance Co. of FL;American Platinum P&C Ins Co.;FL Farm Bureau General Ins Co.;Castle Key Insurance Co.;Homesite Insurance Co.;State Farm FL Ins Co;AIG Property Casualty Co.;ASI Preferred Insurance Corp.;Nationwide P&C Insurance Co.;ACE Ins Co. of the Midwest;Castle Key Indemnity Co.;First Liberty Insurance Corp.,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Vault E&S Insurance Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;American Platinum P&C Ins Co.,5207376661.272811,11,35.41856476294073,3268460672.931631,41690533.70220548,1,0.9811320754716981,10974269926.969275,308706120.0,10540362714.72211,539937478.65,359958319.1,539937478.65,359958319.1,33818906548.068565,37259906548.068565,3441000000.0,1395853723.0,1395853723.0,0.0,False,14726781863.140577,14726781863.140577,0.0,1.0,10204224452.059504,4522557411.081074,2278670285.090799,0.0,14,9464500000.0,9464500000.0,3
double_gm,baseline,,COMPOSITE,"{""double_gm"": 0.7000295951623592}",321140213590.44794,224807653710.07483,96332559880.3731,38471513879.42297,109480684013.34752,0.0,64093553109.46239,12761902707.841928,38471513879.42297,109480684013.34752,28270086157.402554,68062473722.97052,19.958121218416228,3.9739348009892215,11.979662543441517,34.09124095338895,8.80303523539894,21.194005248365126,64093553109.46239,12761902707.841928,28270086157.402554,35,22,13,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Unique Insurance Co.;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Vault E&S Insurance Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;Spinnaker Specialty Ins Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;QBE Specialty Insurance Co.;Auto Club Insurance Co. of FL;American Platinum P&C Ins Co.;FL Farm Bureau General Ins Co.;Castle Key Insurance Co.;Homesite Insurance Co.;PURE Specialty Exchange;State Farm FL Ins Co;AIG Property Casualty Co.;Foremost P&C Insurance Co.;ASI Preferred Insurance Corp.;Nationwide P&C Insurance Co.;ACE Ins Co. of the Midwest;Castle Key Indemnity Co.;First Liberty Insurance Corp.,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Unique Insurance Co.;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Vault E&S Insurance Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;Spinnaker Specialty Ins Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;QBE Specialty Insurance Co.;American Platinum P&C Ins Co.,7921830631.796135,13,35.89838321723671,4506328062.288375,64761529.46489367,1,0.9811320754716981,18037138183.514694,303407340.0,7194863580.96253,539937478.65,359958319.1,539937478.65,359958319.1,24829086157.402554,28270086157.402554,3441000000.0,1395853723.0,1395853723.0,0.0,False,14740925614.80188,14740925614.80188,0.0,1.0,10218368203.720808,4522557411.081073,2459920344.4418535,0.0,14,9464500000.0,9464500000.0,4
double_gm,baseline,,COMPOSITE,"{""double_gm"": 0.7539449474627977}",321140213590.4479,242122041463.6419,79018172126.806,23129803943.024822,160044581972.1991,0.0,47709813917.32851,11237841631.089483,23129803943.024822,160044581972.1991,23224074619.10628,55794097507.69972,14.856381075393172,3.499356715699633,7.202400373477488,49.836356581709495,7.231755363009158,17.373749890711064,47709813917.32851,11237841631.089483,23224074619.10628,32,19,13,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Vault E&S Insurance Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;Auto Club Insurance Co. of FL;American Platinum P&C Ins Co.;FL Farm Bureau General Ins Co.;Castle Key Insurance Co.;Homesite Insurance Co.;PURE Specialty Exchange;State Farm FL Ins Co;AIG Property Casualty Co.;Foremost P&C Insurance Co.;ASI Preferred Insurance Corp.;Nationwide P&C Insurance Co.;ACE Ins Co. of the Midwest;Castle Key Indemnity Co.;First Liberty Insurance Corp.,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Vault E&S Insurance Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;American Platinum P&C Ins Co.,5054738878.587045,13,35.41856476294073,2447625390.67294,48494002.57334028,1,0.9811320754716981,10535252410.949211,308706120.0,5649888814.90438,539937478.65,359958319.1,539937478.65,359958319.1,19783074619.10628,23224074619.10628,3441000000.0,1395853723.0,1395853723.0,0.0,False,14719998958.56726,14719998958.56726,0.0,1.0,10197441547.486187,4522557411.081073,2271352512.489949,0.0,14,9464500000.0,9464500000.0,5
double_gm,baseline,,COMPOSITE,"{""double_gm"": 0.7225038299802558}",321140213590.44794,232025034279.776,89115179310.67192,60947945225.143745,80138264485.42601,0.0,67155649587.289154,23783174981.91707,60947945225.143745,80138264485.42601,26166691792.592606,62948487518.079315,20.911628860324903,7.405853884200219,18.978608920921697,24.954291332578745,8.148058288945135,19.601558713029288,67155649587.289154,23783174981.91707,26166691792.592606,36,24,12,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Spinnaker Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Unique Insurance Co.;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Vault E&S Insurance Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;Spinnaker Specialty Ins Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;QBE Specialty Insurance Co.;Auto Club Insurance Co. of FL;American Platinum P&C Ins Co.;FL Farm Bureau General Ins Co.;Castle Key Insurance Co.;Homesite Insurance Co.;PURE Specialty Exchange;State Farm FL Ins Co;AIG Property Casualty Co.;Foremost P&C Insurance Co.;ASI Preferred Insurance Corp.;Nationwide P&C Insurance Co.;ACE Ins Co. of the Midwest;Castle Key Indemnity Co.;First Liberty Insurance Corp.,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Spinnaker Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Unique Insurance Co.;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Vault E&S Insurance Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;Spinnaker Specialty Ins Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;QBE Specialty Insurance Co.;American Platinum P&C Ins Co.;Castle Key Indemnity Co.,8671440012.14015,13,37.927433985368395,4342217488.992577,82509466.39274913,1,0.9811320754716981,18546353893.651566,280999920.0,18085175010.903404,539937478.65,359958319.1,539937478.65,359958319.1,22725691792.592606,26166691792.592606,3441000000.0,1395853723.0,1395853723.0,0.0,False,14748224520.349552,14748224520.349552,0.0,1.0,10225667109.26848,4522557411.081073,2523455916.9807887,0.0,14,9464500000.0,9464500000.0,6
double_gm,baseline,,COMPOSITE,"{""double_gm"": 0.6911457885350392}",321140213590.4479,221954706152.281,99185507438.16689,24506672877.514103,117824577243.54262,0.0,64518079314.45883,15105376716.765488,24506672877.514103,117824577243.54262,29101533766.158794,70083973672.00807,20.090314630212937,4.703670259131567,7.631144229345134,36.68944973481429,9.061940091773172,21.823481054722908,64518079314.45883,15105376716.765488,29101533766.158794,35,23,12,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Unique Insurance Co.;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Vault E&S Insurance Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;Spinnaker Specialty Ins Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;QBE Specialty Insurance Co.;Auto Club Insurance Co. of FL;American Platinum P&C Ins Co.;FL Farm Bureau General Ins Co.;Castle Key Insurance Co.;Homesite Insurance Co.;PURE Specialty Exchange;State Farm FL Ins Co;AIG Property Casualty Co.;Foremost P&C Insurance Co.;ASI Preferred Insurance Corp.;Nationwide P&C Insurance Co.;ACE Ins Co. of the Midwest;Castle Key Indemnity Co.;First Liberty Insurance Corp.,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Unique Insurance Co.;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Vault E&S Insurance Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;Spinnaker Specialty Ins Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;QBE Specialty Insurance Co.;American Platinum P&C Ins Co.;Castle Key Indemnity Co.,8001984758.211019,13,37.63650469101551,4153998582.9086723,74758274.21568348,1,0.9811320754716981,17219938198.09752,284212740.0,9505135616.376907,539937478.65,359958319.1,539937478.65,359958319.1,25660533766.158794,29101533766.158794,3441000000.0,1395853723.0,1395853723.0,0.0,False,14741236313.438492,14741236313.438492,0.0,1.0,10218678902.357418,4522557411.081073,2535116091.572075,0.0,14,9464500000.0,9464500000.0,7
double_gm,baseline,,COMPOSITE,"{""double_gm"": 0.6345821703776315}",321140213590.4479,203789853735.76257,117350359854.68532,40190461620.649536,101067970807.6816,0.0,50955517534.70761,11575903772.72386,40190461620.649536,101067970807.6816,34395400126.88629,82954959727.79901,15.867062229612733,3.6046260427187367,12.514926477536905,31.471602287894783,10.71039959223262,25.83138337000423,50955517534.70761,11575903772.72386,34395400126.88629,32,20,12,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Vault E&S Insurance Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;QBE Specialty Insurance Co.;Auto Club Insurance Co. of FL;American Platinum P&C Ins Co.;FL Farm Bureau General Ins Co.;Castle Key Insurance Co.;Homesite Insurance Co.;State Farm FL Ins Co;AIG Property Casualty Co.;Foremost P&C Insurance Co.;ASI Preferred Insurance Corp.;Nationwide P&C Insurance Co.;ACE Ins Co. of the Midwest;Castle Key Indemnity Co.;First Liberty Insurance Corp.,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Vault E&S Insurance Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;QBE Specialty Insurance Co.;American Platinum P&C Ins Co.,6051752664.9246435,12,35.71378625186174,3467011506.5839915,43918883.17075592,1,0.9811320754716981,12173591295.064053,305445900.0,5992641630.5729885,539937478.65,359958319.1,539937478.65,359958319.1,30954400126.88629,34395400126.88629,3441000000.0,1395853723.0,1395853723.0,0.0,False,14722214595.62891,14722214595.62891,0.0,1.0,10199657184.547838,4522557411.081072,2261163576.50616,0.0,14,9464500000.0,9464500000.0,8
double_gm,baseline,,COMPOSITE,"{""double_gm"": 0.7572897210665588}",321140213590.4479,243196182773.1654,77944030817.28249,60190441210.74231,77432122931.42688,0.0,81710318519.21974,23863300111.776474,60190441210.74231,77432122931.42688,22911032684.343124,55032998132.939384,25.443813967012375,7.430804085535512,18.742729394676044,24.111624659431953,7.134277089807789,17.136750803536337,81710318519.21974,23863300111.776474,22911032684.343124,38,23,15,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Spinnaker Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Unique Insurance Co.;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Vault E&S Insurance Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;Spinnaker Specialty Ins Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;QBE Specialty Insurance Co.;Auto Club Insurance Co. of FL;American Platinum P&C Ins Co.;Privilege Underwriters Recpl;FL Farm Bureau General Ins Co.;Castle Key Insurance Co.;Chubb Custom Insurance Co.;Homesite Insurance Co.;PURE Specialty Exchange;State Farm FL Ins Co;AIG Property Casualty Co.;Foremost P&C Insurance Co.;ASI Preferred Insurance Corp.;Nationwide P&C Insurance Co.;ACE Ins Co. of the Midwest;Castle Key Indemnity Co.;First Liberty Insurance Corp.,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Spinnaker Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Unique Insurance Co.;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Vault E&S Insurance Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;Spinnaker Specialty Ins Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;QBE Specialty Insurance Co.;American Platinum P&C Ins Co.,10881035509.407564,15,36.189312511589605,6165122811.809382,86840747.04691558,1,0.9811320754716981,25129094990.904102,300194520.0,18208698791.7082,539937478.65,359958319.1,539937478.65,359958319.1,19470032684.343124,22911032684.343124,3441000000.0,1395853723.0,1395853723.0,0.0,False,14763448212.604687,14763448212.604687,0.0,1.0,10240890801.523613,4522557411.081073,2575000000.0,0.0,14,9464500000.0,9464500000.0,9
double_gm,baseline,,COMPOSITE,"{""double_gm"": 0.7126635198106699}",321140213590.44794,228864914970.11893,92275298620.329,38301119808.88472,84676504753.17622,0.0,84357510554.70714,21529779853.350815,38301119808.88472,84676504753.17622,27087659875.661976,65187638744.667015,26.268124322259055,6.704168130375561,11.926603454816895,26.367456073615458,8.43483896732006,20.298809051612952,84357510554.70714,21529779853.350815,27087659875.661976,38,23,15,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Spinnaker Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Unique Insurance Co.;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Vault E&S Insurance Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;Spinnaker Specialty Ins Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;QBE Specialty Insurance Co.;Auto Club Insurance Co. of FL;American Platinum P&C Ins Co.;Privilege Underwriters Recpl;FL Farm Bureau General Ins Co.;Castle Key Insurance Co.;Chubb Custom Insurance Co.;Homesite Insurance Co.;PURE Specialty Exchange;State Farm FL Ins Co;AIG Property Casualty Co.;Foremost P&C Insurance Co.;ASI Preferred Insurance Corp.;Nationwide P&C Insurance Co.;ACE Ins Co. of the Midwest;Castle Key Indemnity Co.;First Liberty Insurance Corp.,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Spinnaker Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Unique Insurance Co.;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Vault E&S Insurance Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;Spinnaker Specialty Ins Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;QBE Specialty Insurance Co.;American Platinum P&C Ins Co.,12061358398.701283,15,36.189312511589605,6452534938.568045,109440948.4512395,1,0.9811320754716981,27429650557.059612,300194520.0,15903891662.884443,539937478.65,359958319.1,539937478.65,359958319.1,23646659875.661976,27087659875.661976,3441000000.0,1395853723.0,1395853723.0,0.0,False,14762979765.61901,14762979765.61901,0.0,1.0,10240422354.537937,4522557411.081074,2575000000.0,0.0,14,9464500000.0,9464500000.0,10
