scenario,policy_scenario,policy_severity,events,wind_shares,total_damage_usd,wind_total_usd,water_total_usd,underinsured_wind_usd,uninsured_wind_usd,nfip_policyholder_shortfall_usd,wind_insured_private_usd,wind_insured_citizens_usd,wind_underinsured_usd,wind_uninsured_usd,flood_insured_capped_usd,flood_un_derinsured_usd,wind_insured_private_pct,wind_insured_citizens_pct,wind_underinsured_pct,wind_uninsured_pct,flood_insured_capped_pct,flood_un_derinsured_pct,insured_private_wind_pre_usd,insured_citizens_wind_pre_usd,insured_flood_pre_usd,defaults_pre,defaults_post,rescued_defaults,default_companies_pre,default_companies_post,group_contrib_total_usd,group_supported_companies,defaulted_premium_base_pct,largest_entity_deficit_usd,diag_group_shortfall_total_usd,diag_groups_with_shortfall,diag_groups_fully_funded_share,figa_residual_deficit_usd,figa_collected_usd,citizens_residual_deficit_usd,citizens_tier1_usd,citizens_tier2_usd,citizens_tier1_capacity_usd,citizens_tier2_capacity_usd,nfip_borrowed_usd,nfip_claims_paid_usd,nfip_pool_used_usd,nfip_fl_premium_base_usd,nfip_fl_premium_depletion_usd,underinsured_flood_usd,fhcf_cap_binding,fhcf_total_precap_usd,fhcf_total_postcap_usd,fhcf_shortfall_usd,fhcf_scaling_factor,fhcf_recovery_private_usd,fhcf_recovery_citizens_usd,catbond_payout_usd,catbond_unfilled_usd,catbond_triggers,catbond_limit_in_force_usd,catbond_issue_volume_year_usd,iter
double_irma,baseline,,COMPOSITE,"{""double_irma"": 0.47220584664398285}",62383714581.57704,29457954760.79017,32925759820.786873,3626311789.305275,14333305980.825506,0.0,10739129275.649437,759207715.0099511,3626311789.305275,14333305980.825506,5459810998.032866,27465948822.754005,17.21463581910668,1.216996647445803,5.812914177406463,22.976038020439347,8.751981241664053,44.02743409393765,10739129275.649437,759207715.0099511,5459810998.032866,11,7,4,Universal P&C Insurance Co.;First Protective Insurance Co.;Tower Hill Insurance Exchange;Kin Interinsurance Network;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;GeoVera Specialty Insurance Co;FL Farm Bureau General Ins Co.;AIG Property Casualty Co.;ASI Preferred Insurance Corp.;Castle Key Indemnity Co.,Universal P&C Insurance Co.;First Protective Insurance Co.;Tower Hill Insurance Exchange;Kin Interinsurance Network;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;GeoVera Specialty Insurance Co,118244747.25313228,4,23.145936299594748,181290400.00463772,0.0,0,1.0,41261237.863278866,444236460.0,0.0,539937478.65,110826228.32646906,539937478.65,359958319.1,2018810998.0328655,5459810998.032866,3441000000.0,1395853723.0,1395853723.0,0.0,False,3867335293.4024534,3867335293.4024534,0.0,1.0,3867335293.4024534,0.0,1437701842.4922485,0.0,10,9464500000.0,9464500000.0,1
double_irma,baseline,,COMPOSITE,"{""double_irma"": 0.4311531843642153}",62383714581.57703,26896937194.31527,35486777387.26176,6010808251.990517,11478262722.826975,0.0,8662628145.081762,745238074.4160194,6010808251.990517,11478262722.826975,5878274510.695814,29608502876.56595,13.886040937421166,1.1946035586603252,9.635220172935343,18.399453767404708,9.422770910842441,47.46191065273603,8662628145.081762,745238074.4160194,5878274510.695814,9,5,4,Universal P&C Insurance Co.;First Protective Insurance Co.;Kin Interinsurance Network;Homeowners Choice P&C Ins Co.;GeoVera Specialty Insurance Co;FL Farm Bureau General Ins Co.;AIG Property Casualty Co.;ASI Preferred Insurance Corp.;Castle Key Indemnity Co.,Universal P&C Insurance Co.;First Protective Insurance Co.;Kin Interinsurance Network;Homeowners Choice P&C Ins Co.;GeoVera Specialty Insurance Co,86122366.11769088,4,16.516370131259112,176894108.2661435,0.0,0,1.0,0.0,439354757.81120336,0.0,539937478.65,92586276.65583384,539937478.65,359958319.1,2437274510.695814,5878274510.695814,3441000000.0,1395853723.0,1395853723.0,0.0,False,2201066697.252734,2201066697.252734,0.0,1.0,2201066697.252734,0.0,1422664734.2825632,0.0,10,9464500000.0,9464500000.0,2
double_irma,baseline,,COMPOSITE,"{""double_irma"": 0.3946131929375212}",62383714581.57703,24617436798.339115,37766277783.237915,6795815212.426508,9083204926.5859,0.0,8050970710.641021,687445948.6856889,6795815212.426508,9083204926.5859,6250738860.53225,31515538922.70567,12.905564801071673,1.1019637950329801,10.89357255817118,14.5602181394763,10.019824729029843,50.518855977218045,8050970710.641021,687445948.6856889,6250738860.53225,8,4,4,Universal P&C Insurance Co.;First Protective Insurance Co.;Kin Interinsurance Network;Homeowners Choice P&C Ins Co.;FL Farm Bureau General Ins Co.;AIG Property Casualty Co.;ASI Preferred Insurance Corp.;Castle Key Indemnity Co.,Universal P&C Insurance Co.;First Protective Insurance Co.;Kin Interinsurance Network;Homeowners Choice P&C Ins Co.,82307118.75121571,4,16.162888892523068,174858200.6360832,0.0,0,1.0,0.0,386747411.3612071,0.0,539937478.65,40707084.01797235,539937478.65,359958319.1,2809738860.5322504,6250738860.53225,3441000000.0,1395853723.0,1395853723.0,0.0,False,1722439507.6528392,1722439507.6528392,0.0,1.0,1722439507.6528392,0.0,1417647273.9886565,0.0,10,9464500000.0,9464500000.0,3
double_irma,baseline,,COMPOSITE,"{""double_irma"": 0.5062202010269653}",62383714581.57704,31579896536.294758,30803818045.28228,6326118015.818889,12372392441.330767,0.0,12017316973.983326,864069105.1617732,6326118015.818889,12372392441.330767,5113091311.035119,25690726734.247158,19.263548274716303,1.3850876161467744,10.140656192485045,19.832728019348405,8.196195666336772,41.181784230966684,12017316973.983326,864069105.1617732,5113091311.035119,12,8,4,Universal P&C Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Tower Hill Insurance Exchange;Kin Interinsurance Network;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;GeoVera Specialty Insurance Co;FL Farm Bureau General Ins Co.;AIG Property Casualty Co.;ASI Preferred Insurance Corp.;Castle Key Indemnity Co.,Universal P&C Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Tower Hill Insurance Exchange;Kin Interinsurance Network;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;GeoVera Specialty Insurance Co,134807121.69656685,4,24.017115967979795,185172203.38247043,0.0,0,1.0,92913083.51279992,434615760.0,0.0,539937478.65,207839436.89964664,539937478.65,359958319.1,1672091311.035119,5113091311.035119,3441000000.0,1395853723.0,1395853723.0,0.0,False,4782516088.239703,4782516088.239703,0.0,1.0,4782516088.239703,0.0,1440313984.1045938,0.0,11,9464500000.0,9464500000.0,4
double_irma,baseline,,COMPOSITE,"{""double_irma"": 0.5670179808103079}",62383714581.57703,35372687877.49237,27011026704.08466,4817119020.907119,15515272437.756805,0.0,13890331143.028349,1149965275.800098,4817119020.907119,15515272437.756805,4493359213.836038,22517667490.248623,22.26595712710317,1.8433741618516932,7.72175727786767,24.870709514208265,7.202775987249408,36.0954259317198,13890331143.028349,1149965275.800098,4493359213.836038,12,8,4,Universal P&C Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Tower Hill Insurance Exchange;Kin Interinsurance Network;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;GeoVera Specialty Insurance Co;FL Farm Bureau General Ins Co.;AIG Property Casualty Co.;ASI Preferred Insurance Corp.;Castle Key Indemnity Co.,Universal P&C Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Tower Hill Insurance Exchange;Kin Interinsurance Network;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;GeoVera Specialty Insurance Co,191858237.0920493,4,24.017115967979795,190260060.9796602,0.0,0,1.0,149423037.9510362,434615760.0,108221995.62467861,539937478.65,359958319.1,539937478.65,359958319.1,1052359213.8360376,4493359213.836038,3441000000.0,1395853723.0,1395853723.0,0.0,False,6203606974.719672,6203606974.719672,0.0,1.0,6203606974.719672,0.0,1450780277.6039195,0.0,11,9464500000.0,9464500000.0,5
double_irma,baseline,,COMPOSITE,"{""double_irma"": 0.5131875416701384}",62383714581.577034,32014545126.371086,30369169455.205948,8144503688.657369,12895391580.759602,0.0,10164415575.478182,810234281.4759338,8144503688.657369,12895391580.759602,5042070878.314036,25327098576.891907,16.293379840641784,1.2987913382689298,13.055496523867753,20.671086464235376,8.082351158683721,40.59889467430243,10164415575.478182,810234281.4759338,5042070878.314036,11,7,4,Universal P&C Insurance Co.;First Protective Insurance Co.;Tower Hill Insurance Exchange;Kin Interinsurance Network;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;GeoVera Specialty Insurance Co;FL Farm Bureau General Ins Co.;AIG Property Casualty Co.;ASI Preferred Insurance Corp.;Castle Key Indemnity Co.,Universal P&C Insurance Co.;First Protective Insurance Co.;Tower Hill Insurance Exchange;Kin Interinsurance Network;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;GeoVera Specialty Insurance Co,112519337.53698874,4,23.145936299594748,180292504.91026926,0.0,0,1.0,18610757.16594863,444236460.0,0.0,539937478.65,154363688.13532197,539937478.65,359958319.1,1601070878.3140364,5042070878.314036,3441000000.0,1395853723.0,1395853723.0,0.0,False,3356849117.5741296,3356849117.5741296,0.0,1.0,3356849117.5741296,0.0,1436520181.749079,0.0,10,9464500000.0,9464500000.0,6
double_irma,baseline,,COMPOSITE,"{""double_irma"": 0.49587527115304747}",62383714581.57704,30934541383.67384,31449173197.9032,5499073054.99345,15865984052.204475,0.0,8852459467.499565,717024808.9763489,5499073054.99345,15865984052.204475,5218540640.089352,26230632557.813847,14.190337216812424,1.149378189140565,8.814917630149294,25.432894079202473,8.365229090783373,42.04724379391187,8852459467.499565,717024808.9763489,5218540640.089352,10,6,4,Universal P&C Insurance Co.;First Protective Insurance Co.;Kin Interinsurance Network;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;GeoVera Specialty Insurance Co;FL Farm Bureau General Ins Co.;AIG Property Casualty Co.;ASI Preferred Insurance Corp.;Castle Key Indemnity Co.,Universal P&C Insurance Co.;First Protective Insurance Co.;Kin Interinsurance Network;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;GeoVera Specialty Insurance Co,94104133.32956226,4,18.33203363146337,176901485.18140078,0.0,0,1.0,5.960464477539063e-08,417062263.5652576,0.0,539937478.65,68791304.7392646,539937478.65,359958319.1,1777540640.0893517,5218540640.089352,3441000000.0,1395853723.0,1395853723.0,0.0,False,2352626247.316348,2352626247.316348,0.0,1.0,2352626247.316348,0.0,1435016601.7609568,0.0,10,9464500000.0,9464500000.0,7
double_irma,baseline,,COMPOSITE,"{""double_irma"": 0.4271454410565959}",62383714581.57703,26646919279.69652,35736795301.88051,4629432038.171936,11290819778.074669,0.0,9963526624.184282,763140839.2656356,4629432038.171936,11290819778.074669,5919126778.227908,29817668523.652607,15.971358376159731,1.223301376624027,7.420898337366859,18.09898601550899,9.48825637897479,47.79719951536563,9963526624.184282,763140839.2656356,5919126778.227908,10,6,4,Universal P&C Insurance Co.;First Protective Insurance Co.;Kin Interinsurance Network;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;GeoVera Specialty Insurance Co;FL Farm Bureau General Ins Co.;AIG Property Casualty Co.;ASI Preferred Insurance Corp.;Castle Key Indemnity Co.,Universal P&C Insurance Co.;First Protective Insurance Co.;Kin Interinsurance Network;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;GeoVera Specialty Insurance Co,97358518.49067058,4,18.33203363146337,179913703.8783881,0.0,0,1.0,0.0,450256600.88783985,0.0,539937478.65,112257419.83414066,539937478.65,359958319.1,2478126778.227908,5919126778.227908,3441000000.0,1395853723.0,1395853723.0,0.0,False,3229110464.6066933,3229110464.6066933,0.0,1.0,3229110464.6066933,0.0,1436397288.510618,0.0,10,9464500000.0,9464500000.0,8
double_irma,baseline,,COMPOSITE,"{""double_irma"": 0.5482243417396765}",62383714581.57704,34200270861.760937,28183443719.8161,6161643118.800123,11137313483.367538,0.0,15666612237.953651,1234702021.6396246,6161643118.800123,11137313483.367538,4684929060.576329,23498514659.23977,25.11330455878346,1.9792056787914531,9.877005818149469,17.852918118243274,7.509859090628545,37.66770673540378,15666612237.953651,1234702021.6396246,4684929060.576329,14,9,5,Universal P&C Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Tower Hill Insurance Exchange;Kin Interinsurance Network;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;FL Farm Bureau General Ins Co.;State Farm FL Ins Co;AIG Property Casualty Co.;ASI Preferred Insurance Corp.;Castle Key Indemnity Co.,Universal P&C Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Tower Hill Insurance Exchange;Kin Interinsurance Network;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co,287122576.198504,5,24.62976426126469,195374076.39477497,0.0,0,1.0,237978530.55150092,427850100.0,194964464.79631472,539937478.65,359958319.1,539937478.65,359958319.1,1243929060.5763292,4684929060.576329,3441000000.0,1395853723.0,1395853723.0,0.0,False,7277399255.140396,7277399255.140396,0.0,1.0,7277399255.140396,0.0,1449263381.8039827,0.0,11,9464500000.0,9464500000.0,9
double_irma,baseline,,COMPOSITE,"{""double_irma"": 0.5196297385913513}",62383714581.57704,32416433300.38235,29967281281.194687,5941995104.281982,15407406029.496483,0.0,10216708535.53358,850323631.0702974,5941995104.281982,15407406029.496483,4976403411.133818,24990877870.060867,16.377204538170844,1.3630538623319044,9.524913904432285,24.69780155420009,7.977087360879009,40.05993877998585,10216708535.53358,850323631.0702974,4976403411.133818,11,7,4,Universal P&C Insurance Co.;First Protective Insurance Co.;Tower Hill Insurance Exchange;Kin Interinsurance Network;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;GeoVera Specialty Insurance Co;FL Farm Bureau General Ins Co.;AIG Property Casualty Co.;ASI Preferred Insurance Corp.;Castle Key Indemnity Co.,Universal P&C Insurance Co.;First Protective Insurance Co.;Tower Hill Insurance Exchange;Kin Interinsurance Network;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;GeoVera Specialty Insurance Co,100052188.02769284,4,23.145936299594748,180550173.3368894,0.0,0,1.0,24376927.650590062,444236460.0,0.0,539937478.65,188530545.53326023,539937478.65,359958319.1,1535403411.1338177,4976403411.133818,3441000000.0,1395853723.0,1395853723.0,0.0,False,3460876146.8333926,3460876146.8333926,0.0,1.0,3460876146.8333926,0.0,1436501569.223012,0.0,10,9464500000.0,9464500000.0,10
