scenario,policy_scenario,policy_severity,events,wind_shares,total_damage_usd,wind_total_usd,water_total_usd,underinsured_wind_usd,uninsured_wind_usd,nfip_policyholder_shortfall_usd,wind_insured_private_usd,wind_insured_citizens_usd,wind_underinsured_usd,wind_uninsured_usd,flood_insured_capped_usd,flood_un_derinsured_usd,wind_insured_private_pct,wind_insured_citizens_pct,wind_underinsured_pct,wind_uninsured_pct,flood_insured_capped_pct,flood_un_derinsured_pct,insured_private_wind_pre_usd,insured_citizens_wind_pre_usd,insured_flood_pre_usd,defaults_pre,defaults_post,rescued_defaults,default_companies_pre,default_companies_post,group_contrib_total_usd,group_supported_companies,defaulted_premium_base_pct,largest_entity_deficit_usd,diag_group_shortfall_total_usd,diag_groups_with_shortfall,diag_groups_fully_funded_share,figa_residual_deficit_usd,figa_collected_usd,citizens_residual_deficit_usd,citizens_tier1_usd,citizens_tier2_usd,citizens_tier1_capacity_usd,citizens_tier2_capacity_usd,nfip_borrowed_usd,nfip_claims_paid_usd,nfip_pool_used_usd,nfip_fl_premium_base_usd,nfip_fl_premium_depletion_usd,underinsured_flood_usd,fhcf_cap_binding,fhcf_total_precap_usd,fhcf_total_postcap_usd,fhcf_shortfall_usd,fhcf_scaling_factor,fhcf_recovery_private_usd,fhcf_recovery_citizens_usd,catbond_payout_usd,catbond_unfilled_usd,catbond_triggers,catbond_limit_in_force_usd,catbond_issue_volume_year_usd,iter
gm_then_andrew,baseline,,COMPOSITE,"{""gm_then_andrew"": 0.7235392262233075}",266548625724.76187,192858386407.78024,73690239316.98163,29077833284.050076,56564409117.42902,0.0,76510634915.53178,30705509090.76933,29077833284.050076,56564409117.42902,22969021295.114132,50721218021.8675,28.704194106232862,11.519665129497175,10.909016396158744,21.221046990441973,8.617197418542291,19.028879959126947,76510634915.53178,30705509090.76933,22969021295.114132,37,23,14,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Spinnaker Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Unique Insurance Co.;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Vault E&S Insurance Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;Spinnaker Specialty Ins Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;QBE Specialty Insurance Co.;Auto Club Insurance Co. of FL;American Platinum P&C Ins Co.;Privilege Underwriters Recpl;FL Farm Bureau General Ins Co.;Castle Key Insurance Co.;Homesite Insurance Co.;PURE Specialty Exchange;State Farm FL Ins Co;AIG Property Casualty Co.;Foremost P&C Insurance Co.;ASI Preferred Insurance Corp.;Nationwide P&C Insurance Co.;ACE Ins Co. of the Midwest;Castle Key Indemnity Co.;First Liberty Insurance Corp.,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Spinnaker Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Unique Insurance Co.;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Vault E&S Insurance Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;Spinnaker Specialty Ins Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;QBE Specialty Insurance Co.;American Platinum P&C Ins Co.,10998899700.868008,14,36.189312511589605,4953285183.160856,100916082.28739862,1,0.9811320754716981,21930803536.529404,300194520.0,24974418811.424732,539937478.65,359958319.1,539937478.65,359958319.1,19528021295.114132,22969021295.114132,3441000000.0,1395853723.0,1395853723.0,0.0,False,14746962376.967487,14746962376.967487,0.0,1.0,10224404965.886415,4522557411.081073,2575000000.0,0.0,14,9464500000.0,9464500000.0,1
gm_then_andrew,baseline,,COMPOSITE,"{""gm_then_andrew"": 0.7330954952412955}",266548625724.76184,195405596781.58102,71143028943.18083,74726177873.99196,61772105889.33985,0.0,43780427204.7385,15126885813.51073,74726177873.99196,61772105889.33985,22180347187.32209,48962681755.858734,16.424930755391017,5.675094280595074,28.034726373398833,23.17479811474464,8.321313654126854,18.369136821743588,43780427204.7385,15126885813.51073,22180347187.32209,31,19,12,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Vault E&S Insurance Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;Auto Club Insurance Co. of FL;American Platinum P&C Ins Co.;FL Farm Bureau General Ins Co.;Castle Key Insurance Co.;Homesite Insurance Co.;PURE Specialty Exchange;State Farm FL Ins Co;AIG Property Casualty Co.;ASI Preferred Insurance Corp.;Nationwide P&C Insurance Co.;ACE Ins Co. of the Midwest;Castle Key Indemnity Co.;First Liberty Insurance Corp.,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Vault E&S Insurance Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;American Platinum P&C Ins Co.,4672992570.777707,12,35.41856476294073,2512843691.0738587,26159692.03990321,1,0.9811320754716981,8618890614.181767,308706120.0,9442809310.3799,539937478.65,359958319.1,539937478.65,359958319.1,18739347187.32209,22180347187.32209,3441000000.0,1395853723.0,1395853723.0,0.0,False,14726545439.485134,14726545439.485134,0.0,1.0,10203988028.404062,4522557411.081073,2341509405.9903164,0.0,14,9464500000.0,9464500000.0,2
gm_then_andrew,baseline,,COMPOSITE,"{""gm_then_andrew"": 0.663238592549596}",266548625724.76184,176785335371.72012,89763290353.04172,38536636266.22457,83198609262.08858,0.0,40134509982.05089,14915579861.356098,38536636266.22457,83198609262.08858,27945602466.32133,61817687886.72038,15.057106324567506,5.5958194572565265,14.457638324505004,31.213295148630582,10.484241811540219,23.191898933500163,40134509982.05089,14915579861.356098,27945602466.32133,28,18,10,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;Auto Club Insurance Co. of FL;American Platinum P&C Ins Co.;FL Farm Bureau General Ins Co.;Castle Key Insurance Co.;Homesite Insurance Co.;State Farm FL Ins Co;AIG Property Casualty Co.;ASI Preferred Insurance Corp.;ACE Ins Co. of the Midwest;Castle Key Indemnity Co.;First Liberty Insurance Corp.,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;American Platinum P&C Ins Co.,3900795750.0656705,10,35.166819401784345,2534359129.98833,27773811.964016467,1,0.9811320754716981,7794469891.09332,311486220.0,9212239394.027058,539937478.65,359958319.1,539937478.65,359958319.1,24504602466.32133,27945602466.32133,3441000000.0,1395853723.0,1395853723.0,0.0,False,14719337457.634901,14719337457.634901,0.0,1.0,10196780046.553827,4522557411.081074,2121498685.0923026,0.0,14,9464500000.0,9464500000.0,3
gm_then_andrew,baseline,,COMPOSITE,"{""gm_then_andrew"": 0.7590357717692731}",266548625724.76184,202319941841.03375,64228683883.728096,35144368002.56788,99647851821.99974,0.0,56258167151.84906,11269554864.617092,35144368002.56788,99647851821.99974,20039509125.095875,44189174758.632225,21.106155396179478,4.227954593265859,13.184974376441902,37.38449281104009,7.518143854843459,16.578278968229224,56258167151.84906,11269554864.617092,20039509125.095875,35,22,13,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Unique Insurance Co.;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Vault E&S Insurance Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;Spinnaker Specialty Ins Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;QBE Specialty Insurance Co.;Auto Club Insurance Co. of FL;American Platinum P&C Ins Co.;FL Farm Bureau General Ins Co.;Castle Key Insurance Co.;Homesite Insurance Co.;PURE Specialty Exchange;State Farm FL Ins Co;AIG Property Casualty Co.;Foremost P&C Insurance Co.;ASI Preferred Insurance Corp.;Nationwide P&C Insurance Co.;ACE Ins Co. of the Midwest;Castle Key Indemnity Co.;First Liberty Insurance Corp.,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Unique Insurance Co.;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Vault E&S Insurance Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;Spinnaker Specialty Ins Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;QBE Specialty Insurance Co.;American Platinum P&C Ins Co.,6501108452.624113,13,35.89838321723671,3914768383.9823427,49152797.25527994,1,0.9811320754716981,14902575136.184721,303407340.0,5707806595.581339,539937478.65,359958319.1,539937478.65,359958319.1,16598509125.095875,20039509125.095875,3441000000.0,1395853723.0,1395853723.0,0.0,False,14731684500.5068,14731684500.5068,0.0,1.0,10209127089.425726,4522557411.081074,2356185237.0211706,0.0,14,9464500000.0,9464500000.0,4
gm_then_andrew,baseline,,COMPOSITE,"{""gm_then_andrew"": 0.8126842494478732}",266548625724.7619,216619869838.49023,49928755886.27166,18607816890.068165,155604228746.07816,0.0,33684765220.838234,8723058981.50559,18607816890.068165,155604228746.07816,15611927064.78254,34316828821.489124,12.637380939124077,3.2725957441300113,6.981021507603868,58.37742675392935,5.857065299936461,12.874509755276204,33684765220.838234,8723058981.50559,15611927064.78254,27,18,9,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;Auto Club Insurance Co. of FL;American Platinum P&C Ins Co.;FL Farm Bureau General Ins Co.;Homesite Insurance Co.;State Farm FL Ins Co;AIG Property Casualty Co.;ASI Preferred Insurance Corp.;ACE Ins Co. of the Midwest;Castle Key Indemnity Co.;First Liberty Insurance Corp.,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;American Platinum P&C Ins Co.,2779742495.869191,9,35.166819401784345,1214781615.9964256,19716985.61059138,1,0.9811320754716981,4761922929.913849,311486220.0,3135702968.5314035,539937478.65,359958319.1,539937478.65,359958319.1,12170927064.78254,15611927064.78254,3441000000.0,1395853723.0,1395853723.0,0.0,False,14642700767.637806,14642700767.637806,0.0,1.0,10120143356.556734,4522557411.081073,2086291107.7224102,0.0,13,9464500000.0,9464500000.0,5
gm_then_andrew,baseline,,COMPOSITE,"{""gm_then_andrew"": 0.7871538283400341}",266548625724.76184,209814771178.02124,56733854546.74061,54311516829.54508,71224250408.25545,0.0,60390317712.02813,23888686228.192593,54311516829.54508,71224250408.25545,17718939963.94636,39014914582.79424,22.656398076644816,8.962224495901193,20.375838247850194,26.720922013607236,6.647545045774478,14.637072120222092,60390317712.02813,23888686228.192593,17718939963.94636,34,21,13,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Vault E&S Insurance Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;Spinnaker Specialty Ins Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;QBE Specialty Insurance Co.;Auto Club Insurance Co. of FL;American Platinum P&C Ins Co.;FL Farm Bureau General Ins Co.;Castle Key Insurance Co.;Homesite Insurance Co.;PURE Specialty Exchange;State Farm FL Ins Co;AIG Property Casualty Co.;Foremost P&C Insurance Co.;ASI Preferred Insurance Corp.;Nationwide P&C Insurance Co.;ACE Ins Co. of the Midwest;Castle Key Indemnity Co.;First Liberty Insurance Corp.,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Vault E&S Insurance Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;Spinnaker Specialty Ins Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;QBE Specialty Insurance Co.;American Platinum P&C Ins Co.,7501884669.336505,13,35.802781374679086,3759870581.316421,74331680.61733572,1,0.9811320754716981,15774985324.084705,304463100.0,18162668888.19958,539937478.65,359958319.1,539937478.65,359958319.1,14277939963.946362,17718939963.94636,3441000000.0,1395853723.0,1395853723.0,0.0,False,14741538068.17166,14741538068.17166,0.0,1.0,10218980657.090588,4522557411.081072,2398738845.400727,0.0,14,9464500000.0,9464500000.0,6
gm_then_andrew,baseline,,COMPOSITE,"{""gm_then_andrew"": 0.7502263180729638}",266548625724.76187,199971794064.8966,66576831659.86526,17615349085.12282,106909614857.87422,0.0,60157347726.04563,15289482395.853964,17615349085.12282,106909614857.87422,20766548937.494843,45810282722.37041,22.568995642905364,5.736095001158207,6.608681263024943,40.10885990020789,7.790904522966245,17.18646366973736,60157347726.04563,15289482395.853964,20766548937.494843,34,21,13,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Unique Insurance Co.;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Vault E&S Insurance Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;QBE Specialty Insurance Co.;Auto Club Insurance Co. of FL;American Platinum P&C Ins Co.;FL Farm Bureau General Ins Co.;Castle Key Insurance Co.;Homesite Insurance Co.;PURE Specialty Exchange;State Farm FL Ins Co;AIG Property Casualty Co.;Foremost P&C Insurance Co.;ASI Preferred Insurance Corp.;Nationwide P&C Insurance Co.;ACE Ins Co. of the Midwest;Castle Key Indemnity Co.;First Liberty Insurance Corp.,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Unique Insurance Co.;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Vault E&S Insurance Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;QBE Specialty Insurance Co.;American Platinum P&C Ins Co.,7320129448.274253,13,35.80938809441937,3843253909.2606187,62925267.7187985,1,0.9811320754716981,15364508623.208963,304390140.0,9673718913.278984,539937478.65,359958319.1,539937478.65,359958319.1,17325548937.494843,20766548937.494843,3441000000.0,1395853723.0,1395853723.0,0.0,False,14736408445.345821,14736408445.345821,0.0,1.0,10213851034.264748,4522557411.081073,2476288352.0764227,0.0,14,9464500000.0,9464500000.0,7
gm_then_andrew,baseline,,COMPOSITE,"{""gm_then_andrew"": 0.6948652629149361}",266548625724.76184,185215380893.85156,81333244830.91026,36747145433.90282,93904931053.28372,0.0,43275269413.77927,11288034992.885805,36747145433.90282,93904931053.28372,25335469161.590496,55997775669.31976,16.235412692941555,4.234887710335386,13.786282084173237,35.22994380404346,9.505008361120536,21.008465347385837,43275269413.77927,11288034992.885805,25335469161.590496,30,20,10,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Vault E&S Insurance Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;QBE Specialty Insurance Co.;Auto Club Insurance Co. of FL;American Platinum P&C Ins Co.;FL Farm Bureau General Ins Co.;Castle Key Insurance Co.;Homesite Insurance Co.;State Farm FL Ins Co;AIG Property Casualty Co.;ASI Preferred Insurance Corp.;ACE Ins Co. of the Midwest;Castle Key Indemnity Co.;First Liberty Insurance Corp.,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Vault E&S Insurance Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;QBE Specialty Insurance Co.;American Platinum P&C Ins Co.,4686512389.5948305,10,35.71378625186174,2523185146.3090043,31648730.837352008,1,0.9811320754716981,8976583170.600626,305445900.0,5680524479.86616,539937478.65,359958319.1,539937478.65,359958319.1,21894469161.590496,25335469161.590496,3441000000.0,1395853723.0,1395853723.0,0.0,False,14714185256.77898,14714185256.77898,0.0,1.0,10191627845.697906,4522557411.081073,2142100212.9465594,0.0,14,9464500000.0,9464500000.0,8
gm_then_andrew,baseline,,COMPOSITE,"{""gm_then_andrew"": 0.8225438568141671}",266548625724.76187,219247934632.1616,47300691092.60029,55049019092.460754,66061000709.939575,0.0,73494661593.98593,24643253235.775295,55049019092.460754,66061000709.939575,14798218594.651075,32502472497.94922,27.572703252230053,9.245312433620242,20.6525240724011,24.78384592316532,5.5517894922226,12.193824826360679,73494661593.98593,24643253235.775295,14798218594.651075,36,23,13,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Spinnaker Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Unique Insurance Co.;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Vault E&S Insurance Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;Spinnaker Specialty Ins Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;QBE Specialty Insurance Co.;Auto Club Insurance Co. of FL;American Platinum P&C Ins Co.;FL Farm Bureau General Ins Co.;Castle Key Insurance Co.;Homesite Insurance Co.;PURE Specialty Exchange;State Farm FL Ins Co;AIG Property Casualty Co.;Foremost P&C Insurance Co.;ASI Preferred Insurance Corp.;Nationwide P&C Insurance Co.;ACE Ins Co. of the Midwest;Castle Key Indemnity Co.;First Liberty Insurance Corp.,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Spinnaker Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Unique Insurance Co.;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Vault E&S Insurance Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;Spinnaker Specialty Ins Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;QBE Specialty Insurance Co.;American Platinum P&C Ins Co.,9390673668.222189,13,36.189312511589605,5477696463.441785,70786647.08110708,1,0.9811320754716981,21617151199.364395,300194520.0,18957789261.26467,539937478.65,359958319.1,539937478.65,359958319.1,11357218594.651075,14798218594.651075,3441000000.0,1395853723.0,1395853723.0,0.0,False,14751372106.87682,14751372106.87682,0.0,1.0,10228814695.795748,4522557411.081073,2559741050.4740834,0.0,14,9464500000.0,9464500000.0,9
gm_then_andrew,baseline,,COMPOSITE,"{""gm_then_andrew"": 0.7719431315279103}",266548625724.76184,205760380846.43362,60788244878.32823,37319510091.74967,79249028356.54541,0.0,69627164395.75478,19564678002.383755,37319510091.74967,79249028356.54541,18974271172.66561,41813973705.66262,26.121749533104627,7.3400033292935625,14.00101388265487,29.73154640773799,7.118502720122237,15.687184127086717,69627164395.75478,19564678002.383755,18974271172.66561,37,24,13,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Spinnaker Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Unique Insurance Co.;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Vault E&S Insurance Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;Spinnaker Specialty Ins Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;QBE Specialty Insurance Co.;Auto Club Insurance Co. of FL;American Platinum P&C Ins Co.;Privilege Underwriters Recpl;FL Farm Bureau General Ins Co.;Castle Key Insurance Co.;Homesite Insurance Co.;PURE Specialty Exchange;State Farm FL Ins Co;AIG Property Casualty Co.;Foremost P&C Insurance Co.;ASI Preferred Insurance Corp.;Nationwide P&C Insurance Co.;ACE Ins Co. of the Midwest;Castle Key Indemnity Co.;First Liberty Insurance Corp.,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Spinnaker Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Unique Insurance Co.;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Vault E&S Insurance Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;Spinnaker Specialty Ins Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;QBE Specialty Insurance Co.;American Platinum P&C Ins Co.;Castle Key Indemnity Co.,9496812411.872223,14,37.927433985368395,5042680539.571992,77474447.21602201,1,0.9811320754716981,20926684895.380028,280999920.0,13921980528.02514,539937478.65,359958319.1,539937478.65,359958319.1,15533271172.665611,18974271172.66561,3441000000.0,1395853723.0,1395853723.0,0.0,False,14747627447.763268,14747627447.763268,0.0,1.0,10225070036.682196,4522557411.081073,2510472443.843405,0.0,14,9464500000.0,9464500000.0,10
