scenario,policy_scenario,policy_severity,events,wind_shares,total_damage_usd,wind_total_usd,water_total_usd,underinsured_wind_usd,uninsured_wind_usd,nfip_policyholder_shortfall_usd,wind_insured_private_usd,wind_insured_citizens_usd,wind_underinsured_usd,wind_uninsured_usd,flood_insured_capped_usd,flood_un_derinsured_usd,wind_insured_private_pct,wind_insured_citizens_pct,wind_underinsured_pct,wind_uninsured_pct,flood_insured_capped_pct,flood_un_derinsured_pct,insured_private_wind_pre_usd,insured_citizens_wind_pre_usd,insured_flood_pre_usd,defaults_pre,defaults_post,rescued_defaults,default_companies_pre,default_companies_post,group_contrib_total_usd,group_supported_companies,defaulted_premium_base_pct,largest_entity_deficit_usd,diag_group_shortfall_total_usd,diag_groups_with_shortfall,diag_groups_fully_funded_share,figa_residual_deficit_usd,figa_collected_usd,citizens_residual_deficit_usd,citizens_tier1_usd,citizens_tier2_usd,citizens_tier1_capacity_usd,citizens_tier2_capacity_usd,nfip_borrowed_usd,nfip_claims_paid_usd,nfip_pool_used_usd,nfip_fl_premium_base_usd,nfip_fl_premium_depletion_usd,underinsured_flood_usd,fhcf_cap_binding,fhcf_total_precap_usd,fhcf_total_postcap_usd,fhcf_shortfall_usd,fhcf_scaling_factor,fhcf_recovery_private_usd,fhcf_recovery_citizens_usd,catbond_payout_usd,catbond_unfilled_usd,catbond_triggers,catbond_limit_in_force_usd,catbond_issue_volume_year_usd,iter
great_miami,baseline,,1926255N15314,"{""1926255N15314"": 0.6466763379335798}",170354720952.15982,110164367095.03961,60190353857.12022,18385226386.85963,34332037409.618645,0.0,42005550859.40461,15441552439.156727,18385226386.85963,34332037409.618645,17692182490.301872,42498171366.81834,24.657696965850974,9.064352518585693,10.79231986298912,20.153264445932205,10.385495859119931,24.946870347522076,42005550859.40461,15441552439.156727,17692182490.301872,28,18,10,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;Auto Club Insurance Co. of FL;American Platinum P&C Ins Co.;FL Farm Bureau General Ins Co.;Castle Key Insurance Co.;Homesite Insurance Co.;State Farm FL Ins Co;AIG Property Casualty Co.;ASI Preferred Insurance Corp.;ACE Ins Co. of the Midwest;Castle Key Indemnity Co.;First Liberty Insurance Corp.,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;American Platinum P&C Ins Co.,4650977190.537551,10,35.166819401784345,2092846414.648797,33436638.345937774,1,0.9811320754716981,7956803693.939419,311486220.0,9740588276.276299,539937478.65,359958319.1,539937478.65,359958319.1,14251182490.301872,17692182490.301872,3441000000.0,1395853723.0,1395853723.0,0.0,False,14713758675.80957,14713758675.80957,0.0,1.0,10191201264.728498,4522557411.081072,2160309077.5379725,0.0,14,9464500000.0,9464500000.0,1
great_miami,baseline,,1926255N15314,"{""1926255N15314"": 0.6374503055728079}",170354720952.1598,108592668926.7247,61762052025.435104,39206392290.314186,37120966685.91729,0.0,24664140470.681503,7601169479.811733,39206392290.314186,37120966685.91729,18151447156.4264,43610604869.0087,14.478107993031704,4.4619658541463885,23.014561657686258,21.790395052416457,10.655089013660982,25.59988042905822,24664140470.681503,7601169479.811733,18151447156.4264,22,14,8,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Tower Hill Insurance Exchange;Kin Interinsurance Network;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Universal North America Ins Co;Auto Club Insurance Co. of FL;FL Farm Bureau General Ins Co.;Homesite Insurance Co.;State Farm FL Ins Co;AIG Property Casualty Co.;ASI Preferred Insurance Corp.;Castle Key Indemnity Co.;First Liberty Insurance Corp.,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Tower Hill Insurance Exchange;Kin Interinsurance Network;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Universal North America Ins Co,1481493486.5894902,8,29.203227969374158,683277410.0761353,0.0,0,1.0,1701794087.5709887,377343960.0,1993956451.3800545,539937478.65,359958319.1,539937478.65,359958319.1,14710447156.4264,18151447156.4264,3441000000.0,1395853723.0,1395853723.0,0.0,False,14102880683.294418,14102880683.294418,0.0,1.0,9580323272.213345,4522557411.081073,1981453140.8275943,0.0,13,9464500000.0,9464500000.0,2
great_miami,baseline,,1926255N15314,"{""1926255N15314"": 0.5310082183274566}",170354720952.15985,90459756856.47746,79894964095.68237,20923049238.884567,39672734627.25478,0.0,22272134103.290615,7591838887.047485,20923049238.884567,39672734627.25478,23450050905.984947,56444913189.69742,13.07397527864533,4.456488698766075,12.282048376434673,23.28830947889959,13.765424741337428,33.13375342591689,22272134103.290615,7591838887.047485,23450050905.984947,18,12,6,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Tower Hill Insurance Exchange;Kin Interinsurance Network;Florida Family Home Ins Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;FL Farm Bureau General Ins Co.;Homesite Insurance Co.;State Farm FL Ins Co;AIG Property Casualty Co.;ASI Preferred Insurance Corp.;Castle Key Indemnity Co.,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Tower Hill Insurance Exchange;Kin Interinsurance Network;Florida Family Home Ins Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co,1140534099.7402577,6,28.525995730733356,642531729.3141866,0.0,0,1.0,1338211243.3685071,384822840.0,1960698212.6554966,539937478.65,359958319.1,539937478.65,359958319.1,20009050905.984947,23450050905.984947,3441000000.0,1395853723.0,1395853723.0,0.0,False,13832742749.407223,13832742749.407223,0.0,1.0,9310185338.326149,4522557411.081073,1868666891.9050195,0.0,13,9464500000.0,9464500000.0,3
great_miami,baseline,,1926255N15314,"{""1926255N15314"": 0.7056572148009131}",170354720952.1598,120212037915.28784,50142683036.87193,20689343904.420574,58906707752.42872,0.0,33819034013.916958,6796952244.521606,20689343904.420574,58906707752.42872,14756160627.059504,35386522409.81244,19.85212609600309,3.9898819395973035,12.144860904812084,34.57885253967884,8.662020368195979,20.772258151712702,33819034013.916958,6796952244.521606,14756160627.059504,26,17,9,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;Auto Club Insurance Co. of FL;American Platinum P&C Ins Co.;FL Farm Bureau General Ins Co.;Homesite Insurance Co.;State Farm FL Ins Co;AIG Property Casualty Co.;ASI Preferred Insurance Corp.;ACE Ins Co. of the Midwest;Castle Key Indemnity Co.;First Liberty Insurance Corp.,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;American Platinum P&C Ins Co.,2889909999.2816586,9,33.145293557041065,1607645509.635019,11122089.281670183,1,0.9811320754716981,5228883351.567955,333810540.0,1507997658.3432121,539937478.65,359958319.1,539937478.65,359958319.1,11315160627.059504,14756160627.059504,3441000000.0,1395853723.0,1395853723.0,0.0,False,14386455876.799585,14386455876.799585,0.0,1.0,10101798555.992023,4284657320.8075614,2086663052.6004534,0.0,13,9464500000.0,9464500000.0,4
great_miami,baseline,,1926255N15314,"{""1926255N15314"": 0.7947765763247159}",170354720952.15982,135393941879.10995,34960779073.04987,12513427137.878815,88970788650.51201,0.0,27489920934.40242,6419805156.316696,12513427137.878815,88970788650.51201,10319868598.702013,24640910474.34787,16.136870631323642,3.7684926607461318,7.345512391988784,52.226781948413034,6.057870624906315,14.46447174262209,27489920934.40242,6419805156.316696,10319868598.702013,23,15,8,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Tower Hill Insurance Exchange;Kin Interinsurance Network;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Universal North America Ins Co;Auto Club Insurance Co. of FL;American Platinum P&C Ins Co.;FL Farm Bureau General Ins Co.;Homesite Insurance Co.;State Farm FL Ins Co;AIG Property Casualty Co.;ASI Preferred Insurance Corp.;Castle Key Indemnity Co.;First Liberty Insurance Corp.,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Tower Hill Insurance Exchange;Kin Interinsurance Network;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Universal North America Ins Co;American Platinum P&C Ins Co.,1811655479.29167,8,29.360577648978133,724720178.6374555,6799227.840105854,1,0.9811320754716981,2373447871.5218053,375606300.0,1472048593.9501128,539937478.65,359958319.1,539937478.65,359958319.1,6878868598.702013,10319868598.702013,3441000000.0,1395853723.0,1395853723.0,0.0,False,13889888928.808746,13889888928.808746,0.0,1.0,9978607225.324047,3911281703.4847,2086068539.3482769,0.0,13,9464500000.0,9464500000.0,5
great_miami,baseline,,1926255N15314,"{""1926255N15314"": 0.7464213169812842}",170354720952.15982,127156395167.09033,43198325785.06948,32636700488.461937,44092583863.48827,0.0,37260359419.39698,13166751395.743147,32636700488.461937,44092583863.48827,12726955542.39751,30471370242.67197,21.87222004247284,7.729020553202471,19.158083970932157,25.882807131520973,7.47085579505107,17.887012506820486,37260359419.39698,13166751395.743147,12726955542.39751,27,18,9,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;Auto Club Insurance Co. of FL;American Platinum P&C Ins Co.;FL Farm Bureau General Ins Co.;Homesite Insurance Co.;State Farm FL Ins Co;AIG Property Casualty Co.;ASI Preferred Insurance Corp.;ACE Ins Co. of the Midwest;Castle Key Indemnity Co.;First Liberty Insurance Corp.,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;American Platinum P&C Ins Co.,3619255729.800141,9,35.166819401784345,1682126553.7428536,24060030.081204146,1,0.9811320754716981,6209655360.230141,311486220.0,7480585972.062537,539937478.65,359958319.1,539937478.65,359958319.1,9285955542.39751,12726955542.39751,3441000000.0,1395853723.0,1395853723.0,0.0,False,14698119465.014091,14698119465.014091,0.0,1.0,10175562053.93302,4522557411.081073,2086596184.0520115,0.0,13,9464500000.0,9464500000.0,6
great_miami,baseline,,1926255N15314,"{""1926255N15314"": 0.690344131267792}",170354720952.15982,117603381843.0859,52751339109.073906,13151360134.093857,63119903082.52749,0.0,33382429830.43761,7949688796.02696,13151360134.093857,63119903082.52749,15518433933.847202,37232905175.2267,19.595834881389813,4.66655033191563,7.71998572190266,37.05204219157111,9.109482758746202,21.856104114474583,33382429830.43761,7949688796.02696,15518433933.847202,27,18,9,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;Auto Club Insurance Co. of FL;American Platinum P&C Ins Co.;FL Farm Bureau General Ins Co.;Homesite Insurance Co.;State Farm FL Ins Co;AIG Property Casualty Co.;ASI Preferred Insurance Corp.;ACE Ins Co. of the Midwest;Castle Key Indemnity Co.;First Liberty Insurance Corp.,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;American Platinum P&C Ins Co.,2865035053.0726624,9,35.166819401784345,1361767996.093965,14786998.689846925,1,0.9811320754716981,4604289008.524988,311486220.0,2387775977.669572,539937478.65,359958319.1,539937478.65,359958319.1,12077433933.847202,15518433933.847202,3441000000.0,1395853723.0,1395853723.0,0.0,False,14546060481.893787,14546060481.893787,0.0,1.0,10023503070.812716,4522557411.081073,2086605520.8846211,0.0,13,9464500000.0,9464500000.0,7
great_miami,baseline,,1926255N15314,"{""1926255N15314"": 0.5880049308616303}",170354720952.15985,100169415915.4271,70185305036.73274,19494173314.13713,49565779619.50188,0.0,25351100356.80065,5758362624.987415,19494173314.13713,49565779619.50188,20612799189.4721,49572505847.260635,14.881360619245717,3.380218988239555,11.44328328864547,29.095630190032285,12.099928357876694,29.099578555960253,25351100356.80065,5758362624.987415,20612799189.4721,22,15,7,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Universal North America Ins Co;FL Farm Bureau General Ins Co.;Homesite Insurance Co.;State Farm FL Ins Co;AIG Property Casualty Co.;ASI Preferred Insurance Corp.;Castle Key Indemnity Co.;First Liberty Insurance Corp.,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Universal North America Ins Co,1732710567.1893716,7,32.274744134947035,902821377.1448684,0.0,0,1.0,2203495867.7401233,343424280.0,1452552017.1840768,539937478.65,359958319.1,539937478.65,359958319.1,17171799189.4721,20612799189.4721,3441000000.0,1395853723.0,1395853723.0,0.0,False,12863385669.580353,12863385669.580353,0.0,1.0,9606932072.11164,3256453597.4687123,1875643069.1118116,0.0,13,9464500000.0,9464500000.0,8
great_miami,baseline,,1926255N15314,"{""1926255N15314"": 0.8060693487176859}",170354720952.1598,137317718968.89058,33037001983.269226,34437225309.633865,44515994616.43974,0.0,44974226685.719765,13390272357.097214,34437225309.633865,44515994616.43974,9757723232.21386,23279278751.05537,26.400340674063116,7.8602296914668806,20.215010841586697,26.13135366465191,5.727885424997463,13.665179703233948,44974226685.719765,13390272357.097214,9757723232.21386,30,19,11,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Vault E&S Insurance Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;Auto Club Insurance Co. of FL;American Platinum P&C Ins Co.;FL Farm Bureau General Ins Co.;Castle Key Insurance Co.;Homesite Insurance Co.;State Farm FL Ins Co;AIG Property Casualty Co.;ASI Preferred Insurance Corp.;Nationwide P&C Insurance Co.;ACE Ins Co. of the Midwest;Castle Key Indemnity Co.;First Liberty Insurance Corp.,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Vault E&S Insurance Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;American Platinum P&C Ins Co.,4696950600.105173,11,35.41856476294073,2668494871.3464293,25953836.741001844,1,0.9811320754716981,9547078506.149075,308706120.0,7746336447.171293,539937478.65,359958319.1,539937478.65,359958319.1,6316723232.21386,9757723232.21386,3441000000.0,1395853723.0,1395853723.0,0.0,False,14723125502.684887,14723125502.684887,0.0,1.0,10200568091.603815,4522557411.081072,2129380867.4215848,0.0,14,9464500000.0,9464500000.0,9
great_miami,baseline,,1926255N15314,"{""1926255N15314"": 0.7272475603435673}",170354720952.1598,123890055205.4674,46464665746.69239,20377106957.555706,47237853852.09264,0.0,44694229812.80218,11580864583.016897,20377106957.555706,47237853852.09264,13681410133.085438,32783255613.606945,26.235979586003683,6.798088434701564,11.961574556702862,27.72911345694864,8.031130605959284,19.24411335968398,44694229812.80218,11580864583.016897,13681410133.085438,30,19,11,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Vault E&S Insurance Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;Auto Club Insurance Co. of FL;American Platinum P&C Ins Co.;FL Farm Bureau General Ins Co.;Castle Key Insurance Co.;Homesite Insurance Co.;State Farm FL Ins Co;AIG Property Casualty Co.;ASI Preferred Insurance Corp.;Nationwide P&C Insurance Co.;ACE Ins Co. of the Midwest;Castle Key Indemnity Co.;First Liberty Insurance Corp.,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Vault E&S Insurance Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;American Platinum P&C Ins Co.,4934042102.156746,11,35.41856476294073,2635961685.273672,35123215.87108123,1,0.9811320754716981,10103722876.971226,308706120.0,5973265142.01371,539937478.65,359958319.1,539937478.65,359958319.1,10240410133.085438,13681410133.085438,3441000000.0,1395853723.0,1395853723.0,0.0,False,14721157666.185963,14721157666.185963,0.0,1.0,10198600255.104889,4522557411.081073,2160160307.3634324,0.0,14,9464500000.0,9464500000.0,10
