scenario,policy_scenario,policy_severity,events,wind_shares,total_damage_usd,wind_total_usd,water_total_usd,underinsured_wind_usd,uninsured_wind_usd,nfip_policyholder_shortfall_usd,wind_insured_private_usd,wind_insured_citizens_usd,wind_underinsured_usd,wind_uninsured_usd,flood_insured_capped_usd,flood_un_derinsured_usd,wind_insured_private_pct,wind_insured_citizens_pct,wind_underinsured_pct,wind_uninsured_pct,flood_insured_capped_pct,flood_un_derinsured_pct,insured_private_wind_pre_usd,insured_citizens_wind_pre_usd,insured_flood_pre_usd,defaults_pre,defaults_post,rescued_defaults,default_companies_pre,default_companies_post,group_contrib_total_usd,group_supported_companies,defaulted_premium_base_pct,largest_entity_deficit_usd,diag_group_shortfall_total_usd,diag_groups_with_shortfall,diag_groups_fully_funded_share,figa_residual_deficit_usd,figa_collected_usd,citizens_residual_deficit_usd,citizens_tier1_usd,citizens_tier2_usd,citizens_tier1_capacity_usd,citizens_tier2_capacity_usd,nfip_borrowed_usd,nfip_claims_paid_usd,nfip_pool_used_usd,nfip_fl_premium_base_usd,nfip_fl_premium_depletion_usd,underinsured_flood_usd,fhcf_cap_binding,fhcf_total_precap_usd,fhcf_total_postcap_usd,fhcf_shortfall_usd,fhcf_scaling_factor,fhcf_recovery_private_usd,fhcf_recovery_citizens_usd,catbond_payout_usd,catbond_unfilled_usd,catbond_triggers,catbond_limit_in_force_usd,catbond_issue_volume_year_usd,iter
andrew,baseline,,1992230N11325,"{""1992230N11325"": 0.8353592015253047}",114169083378.42006,95372194329.87291,18796889048.54715,12878716706.637499,24986362346.322018,0.0,39175163310.08343,18331951966.829994,12878716706.637499,24986362346.322018,6463976748.809225,12332912299.73792,34.313285305300276,16.056844308776373,11.280388985825738,21.885401552628103,5.661757594552983,10.80232225291655,39175163310.08343,18331951966.829994,6463976748.809225,28,18,10,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;Auto Club Insurance Co. of FL;American Platinum P&C Ins Co.;FL Farm Bureau General Ins Co.;Castle Key Insurance Co.;Homesite Insurance Co.;State Farm FL Ins Co;AIG Property Casualty Co.;ASI Preferred Insurance Corp.;ACE Ins Co. of the Midwest;Castle Key Indemnity Co.;First Liberty Insurance Corp.,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;American Platinum P&C Ins Co.,4054676202.2941556,10,35.166819401784345,1530036783.1786048,27173865.50225947,1,0.9811320754716981,6616989528.8766165,311486220.0,12509672967.419798,539937478.65,359958319.1,539937478.65,359958319.1,3022976748.809225,6463976748.809225,3441000000.0,1395853723.0,1395853723.0,0.0,False,15144483162.069347,15144483162.069347,0.0,1.0,10576243352.896547,4568239809.1728,2168609642.240299,0.0,14,9464500000.0,9464500000.0,1
andrew,baseline,,1992230N11325,"{""1992230N11325"": 0.8890392998487388}",114169083378.42007,101500801951.12285,12668281427.297234,42118784329.919556,26543918784.589657,0.0,23390520751.891304,9447578084.722317,42118784329.919556,26543918784.589657,4370387095.15171,8297894332.145525,20.487613686414615,8.275075708024886,36.89158490509589,23.249655685338467,3.8279952556558654,7.268074759470277,23390520751.891304,9447578084.722317,4370387095.15171,21,14,7,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Tower Hill Insurance Exchange;Kin Interinsurance Network;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Universal North America Ins Co;FL Farm Bureau General Ins Co.;Homesite Insurance Co.;State Farm FL Ins Co;AIG Property Casualty Co.;ASI Preferred Insurance Corp.;Castle Key Indemnity Co.;First Liberty Insurance Corp.,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Tower Hill Insurance Exchange;Kin Interinsurance Network;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Universal North America Ins Co,1092634316.9110408,7,29.203227969374158,617484917.8352787,0.0,0,1.0,1517334793.9509745,377343960.0,3693195070.0031967,539937478.65,359958319.1,539937478.65,359958319.1,929387095.1517096,4370387095.15171,3441000000.0,1395853723.0,1395853723.0,0.0,False,14258092256.664581,14258092256.664581,0.0,1.0,9689852447.491781,4568239809.1728,1841618095.3511086,0.0,13,9464500000.0,9464500000.0,2
andrew,baseline,,1992230N11325,"{""1992230N11325"": 0.766533628295475}",114169083378.42009,87514441721.22894,26654641657.191143,16117769249.101284,47172669177.1482,0.0,16780791891.530888,7443211403.448558,16117769249.101284,47172669177.1482,9148258494.21199,17506383162.979153,14.698192711165047,6.519463223487219,14.117455244584908,41.3182516503103,8.012903514246105,15.333733656206405,16780791891.530888,7443211403.448558,9148258494.21199,15,11,4,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Tower Hill Insurance Exchange;Kin Interinsurance Network;Florida Family Home Ins Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;GeoVera Specialty Insurance Co;FL Farm Bureau General Ins Co.;AIG Property Casualty Co.;ASI Preferred Insurance Corp.;Castle Key Indemnity Co.,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Tower Hill Insurance Exchange;Kin Interinsurance Network;Florida Family Home Ins Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;GeoVera Specialty Insurance Co,323056161.7392901,4,27.91334743744846,210197917.59104216,0.0,0,1.0,381211749.24782705,391588500.0,1703960749.0990639,539937478.65,359958319.1,539937478.65,359958319.1,5707258494.21199,9148258494.21199,3441000000.0,1395853723.0,1395853723.0,0.0,False,12665371387.586378,12665371387.586378,0.0,1.0,8097131578.413578,4568239809.1728,1451134615.0236888,0.0,11,9464500000.0,9464500000.0,3
andrew,baseline,,1992230N11325,"{""1992230N11325"": 0.8820342743265873}",114169083378.42009,100701044608.2164,13468038770.203684,17990216490.768032,50453378286.83587,0.0,26868566132.813034,5388883697.7994585,17990216490.768032,50453378286.83587,4643591679.622087,8824447090.581598,23.534012306778013,4.720090184080474,15.757520300954338,44.191804640845895,4.067293475792068,7.729279091549202,26868566132.813034,5388883697.7994585,4643591679.622087,24,15,9,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Universal North America Ins Co;Auto Club Insurance Co. of FL;FL Farm Bureau General Ins Co.;Homesite Insurance Co.;State Farm FL Ins Co;AIG Property Casualty Co.;ASI Preferred Insurance Corp.;ACE Ins Co. of the Midwest;Castle Key Indemnity Co.;First Liberty Insurance Corp.,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Universal North America Ins Co,1377269827.7720711,9,32.274744134947035,1132876764.0141795,0.0,0,1.0,2892951822.0576205,343424280.0,1456733945.6751037,539937478.65,359958319.1,539937478.65,359958319.1,1202591679.6220865,4643591679.622087,3441000000.0,1395853723.0,1395853723.0,0.0,False,13024739899.218779,13024739899.218779,0.0,1.0,10134070439.666142,2890669459.5526366,2086439784.8305378,0.0,13,9464500000.0,9464500000.0,4
andrew,baseline,,1992230N11325,"{""1992230N11325"": 0.9373369409972914}",114169083378.42007,107014899370.39297,7154184008.027107,7406486275.761998,87622028194.4521,0.0,8879976860.738228,3106408039.440648,7406486275.761998,87622028194.4521,2486719870.933311,4667464137.093796,7.777917276698306,2.7208837519911393,6.487295909359952,76.74759716167974,2.1781026853749306,4.08820321489594,8879976860.738228,3106408039.440648,2486719870.933311,11,7,4,Universal P&C Insurance Co.;First Protective Insurance Co.;Tower Hill Insurance Exchange;Kin Interinsurance Network;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;GeoVera Specialty Insurance Co;FL Farm Bureau General Ins Co.;AIG Property Casualty Co.;ASI Preferred Insurance Corp.;Castle Key Indemnity Co.,Universal P&C Insurance Co.;First Protective Insurance Co.;Tower Hill Insurance Exchange;Kin Interinsurance Network;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;GeoVera Specialty Insurance Co,120570811.4420263,4,23.145936299594748,189732493.8954954,0.0,0,1.0,52165005.55921453,444236460.0,1278087782.220923,539937478.65,359958319.1,539937478.65,359958319.1,0.0,2486719870.933311,2486719870.933311,1395853723.0,1395853723.0,0.0,False,2914021104.9089837,2914021104.9089837,0.0,1.0,2283002547.1315703,631018557.7774135,1435036495.4058695,0.0,10,9464500000.0,9464500000.0,5
andrew,baseline,,1992230N11325,"{""1992230N11325"": 0.9279654725052069}",114169083378.42007,105944967402.74194,8224115975.678133,26667949574.99829,34932483211.41167,0.0,30210375793.99365,14134158822.338352,26667949574.99829,34932483211.41167,2852218632.8094673,5371897342.868667,26.4610828956729,12.380023036087502,23.35829349405024,30.597147824710053,2.4982408095154995,4.705211939963816,30210375793.99365,14134158822.338352,2852218632.8094673,25,17,8,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;American Platinum P&C Ins Co.;FL Farm Bureau General Ins Co.;Homesite Insurance Co.;State Farm FL Ins Co;AIG Property Casualty Co.;ASI Preferred Insurance Corp.;ACE Ins Co. of the Midwest;Castle Key Indemnity Co.;First Liberty Insurance Corp.,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;American Platinum P&C Ins Co.,2221083763.3721166,8,33.145293557041065,1078062307.9582558,17084047.841235973,1,0.9811320754716981,3676455043.9976544,333810540.0,8313686790.577511,539937478.65,359958319.1,539937478.65,359958319.1,0.0,2852218632.8094673,2852218632.8094673,1395853723.0,1395853723.0,0.0,False,14751080777.026558,14751080777.026558,0.0,1.0,10182840967.853758,4568239809.172801,2086187756.0190437,0.0,13,9464500000.0,9464500000.0,6
andrew,baseline,,1992230N11325,"{""1992230N11325"": 0.8722890314322749}",114169083378.4201,99588439159.67268,14580644218.747414,4863093725.71879,53845146737.43432,0.0,31796058777.502678,9084139919.016897,4863093725.71879,53845146737.43432,5023668101.482987,9556976117.264423,27.8499728968768,7.956742447433851,4.259553971892531,47.16263382702428,4.400200082917146,8.370896773855376,31796058777.502678,9084139919.016897,5023668101.482987,25,17,8,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;American Platinum P&C Ins Co.;FL Farm Bureau General Ins Co.;Homesite Insurance Co.;State Farm FL Ins Co;AIG Property Casualty Co.;ASI Preferred Insurance Corp.;ACE Ins Co. of the Midwest;Castle Key Indemnity Co.;First Liberty Insurance Corp.,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;American Platinum P&C Ins Co.,2437023728.6604753,8,32.09530323621147,1318136831.2064521,7123920.712121546,1,0.9811320754716981,3912224117.701256,345405900.0,3426537503.359865,539937478.65,359958319.1,539937478.65,359958319.1,1582668101.4829874,5023668101.482987,3441000000.0,1395853723.0,1395853723.0,0.0,False,14900286158.726654,14900286158.726654,0.0,1.0,10332046349.553854,4568239809.172799,2086584291.841733,0.0,13,9464500000.0,9464500000.0,7
andrew,baseline,,1992230N11325,"{""1992230N11325"": 0.8103614677120623}",114169083378.4201,92518225973.87732,21650857404.542778,18455408328.245815,48553574107.90814,0.0,19186881485.77084,6322362051.95251,18455408328.245815,48553574107.90814,7438919018.120278,14211938386.422504,16.805671831641845,5.5377181500149835,16.16497897865597,42.52777781089341,6.515703549500827,12.448149679292952,19186881485.77084,6322362051.95251,7438919018.120278,17,12,5,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Tower Hill Insurance Exchange;Kin Interinsurance Network;Florida Family Home Ins Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;FL Farm Bureau General Ins Co.;State Farm FL Ins Co;AIG Property Casualty Co.;ASI Preferred Insurance Corp.;Castle Key Indemnity Co.,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Tower Hill Insurance Exchange;Kin Interinsurance Network;Florida Family Home Ins Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co,583290636.2144145,5,28.525995730733356,243318263.91761607,0.0,0,1.0,780436112.7301064,384822840.0,1395338728.744349,539937478.65,359958319.1,539937478.65,359958319.1,3997919018.1202784,7438919018.120278,3441000000.0,1395853723.0,1395853723.0,0.0,False,12635754000.589066,12635754000.589066,0.0,1.0,8820940970.424908,3814813030.1641583,1572114709.3765135,0.0,12,9464500000.0,9464500000.0,8
andrew,baseline,,1992230N11325,"{""1992230N11325"": 0.9605590450102961}",114169083378.42009,109666145699.67606,4502937678.74403,28028934503.90995,29737193253.678776,0.0,36801972298.64863,15098045643.438702,28028934503.90995,29737193253.678776,1581029340.9932525,2921908337.7507772,32.23462185175504,13.224285591744087,24.55037184717198,26.046625210358492,1.3848139042623635,2.5592815947080365,36801972298.64863,15098045643.438702,1581029340.9932525,29,18,11,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;Auto Club Insurance Co. of FL;American Platinum P&C Ins Co.;FL Farm Bureau General Ins Co.;Castle Key Insurance Co.;Homesite Insurance Co.;State Farm FL Ins Co;AIG Property Casualty Co.;ASI Preferred Insurance Corp.;Nationwide P&C Insurance Co.;ACE Ins Co. of the Midwest;Castle Key Indemnity Co.;First Liberty Insurance Corp.,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;American Platinum P&C Ins Co.,3030439692.9304776,11,35.166819401784345,1993322935.5187454,9097915.376481242,1,0.9811320754716981,6140653614.324498,311486220.0,9318087954.236227,539937478.65,359958319.1,539937478.65,359958319.1,0.0,1581029340.9932525,1581029340.9932525,1395853723.0,1395853723.0,0.0,False,15092206656.112877,15092206656.112877,0.0,1.0,10523966846.940075,4568239809.172801,2086650336.2947416,0.0,13,9464500000.0,9464500000.0,9
andrew,baseline,,1992230N11325,"{""1992230N11325"": 0.897122470471632}",114169083378.42007,102423650131.92995,11745433246.490135,21196617315.43786,42373876013.13254,0.0,29019665633.351925,9833491170.007616,21196617315.43786,42373876013.13254,4055133529.801026,7690299716.689108,25.418147167884808,8.613094612850606,18.56598712033137,37.1150181460964,3.551866591028019,6.735886361808793,29019665633.351925,9833491170.007616,4055133529.801026,24,15,9,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Universal North America Ins Co;Auto Club Insurance Co. of FL;FL Farm Bureau General Ins Co.;Homesite Insurance Co.;State Farm FL Ins Co;AIG Property Casualty Co.;ASI Preferred Insurance Corp.;ACE Ins Co. of the Midwest;Castle Key Indemnity Co.;First Liberty Insurance Corp.,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Universal North America Ins Co,2294402842.4110384,9,32.274744134947035,1139738211.5890098,0.0,0,1.0,3405113894.0309405,343424280.0,4125336839.606074,539937478.65,359958319.1,539937478.65,359958319.1,614133529.8010259,4055133529.801026,3441000000.0,1395853723.0,1395853723.0,0.0,False,14942005622.613346,14942005622.613346,0.0,1.0,10373765813.440546,4568239809.1728,2086461706.8343103,0.0,13,9464500000.0,9464500000.0,10
