scenario,policy_scenario,policy_severity,events,wind_shares,total_damage_usd,wind_total_usd,water_total_usd,underinsured_wind_usd,uninsured_wind_usd,nfip_policyholder_shortfall_usd,wind_insured_private_usd,wind_insured_citizens_usd,wind_underinsured_usd,wind_uninsured_usd,flood_insured_capped_usd,flood_un_derinsured_usd,wind_insured_private_pct,wind_insured_citizens_pct,wind_underinsured_pct,wind_uninsured_pct,flood_insured_capped_pct,flood_un_derinsured_pct,insured_private_wind_pre_usd,insured_citizens_wind_pre_usd,insured_flood_pre_usd,defaults_pre,defaults_post,rescued_defaults,default_companies_pre,default_companies_post,group_contrib_total_usd,group_supported_companies,defaulted_premium_base_pct,largest_entity_deficit_usd,diag_group_shortfall_total_usd,diag_groups_with_shortfall,diag_groups_fully_funded_share,figa_residual_deficit_usd,figa_collected_usd,citizens_residual_deficit_usd,citizens_tier1_usd,citizens_tier2_usd,citizens_tier1_capacity_usd,citizens_tier2_capacity_usd,nfip_borrowed_usd,nfip_claims_paid_usd,nfip_pool_used_usd,nfip_fl_premium_base_usd,nfip_fl_premium_depletion_usd,underinsured_flood_usd,fhcf_cap_binding,fhcf_total_precap_usd,fhcf_total_postcap_usd,fhcf_shortfall_usd,fhcf_scaling_factor,fhcf_recovery_private_usd,fhcf_recovery_citizens_usd,catbond_payout_usd,catbond_unfilled_usd,catbond_triggers,catbond_limit_in_force_usd,catbond_issue_volume_year_usd,iter
andrew,baseline,,1992230N11325,"{""1992230N11325"": 0.8353592015253047}",114169083378.42006,95372194329.87291,18796889048.54715,12878716706.637499,24986362346.322018,0.0,39175163310.08343,18331951966.829994,12878716706.637499,24986362346.322018,6463976748.809225,12332912299.73792,34.313285305300276,16.056844308776373,11.280388985825738,21.885401552628103,5.661757594552983,10.80232225291655,39175163310.08343,18331951966.829994,6463976748.809225,28,18,10,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;Auto Club Insurance Co. of FL;American Platinum P&C Ins Co.;FL Farm Bureau General Ins Co.;Castle Key Insurance Co.;Homesite Insurance Co.;State Farm FL Ins Co;AIG Property Casualty Co.;ASI Preferred Insurance Corp.;ACE Ins Co. of the Midwest;Castle Key Indemnity Co.;First Liberty Insurance Corp.,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;American Platinum P&C Ins Co.,4009766164.8296757,10,35.166819401784345,1529991376.5310473,27172558.006758884,1,0.9811320754716981,6642267695.1884365,311486220.0,12509355106.636223,539937478.65,359958319.1,539937478.65,359958319.1,3022976748.809225,6463976748.809225,3441000000.0,1395853723.0,1395853723.0,0.0,False,15182471572.12553,15182471572.12553,0.0,1.0,10614231762.95273,4568239809.1728,2174452906.8977633,0.0,14,9464500000.0,9464500000.0,1
andrew,baseline,,1992230N11325,"{""1992230N11325"": 0.8890392998487388}",114169083378.42007,101500801951.12285,12668281427.297234,42118784329.919556,26543918784.589657,0.0,23390520751.891304,9447578084.722317,42118784329.919556,26543918784.589657,4370387095.15171,8297894332.145525,20.487613686414615,8.275075708024886,36.89158490509589,23.249655685338467,3.8279952556558654,7.268074759470277,23390520751.891304,9447578084.722317,4370387095.15171,22,15,7,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Universal North America Ins Co;FL Farm Bureau General Ins Co.;Homesite Insurance Co.;State Farm FL Ins Co;AIG Property Casualty Co.;ASI Preferred Insurance Corp.;Castle Key Indemnity Co.;First Liberty Insurance Corp.,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Universal North America Ins Co,1101007886.2147644,7,31.22475381411744,618762822.1595027,0.0,0,1.0,1739416591.1926937,355019640.0,3699046957.6481457,539937478.65,359958319.1,539937478.65,359958319.1,929387095.1517096,4370387095.15171,3441000000.0,1395853723.0,1395853723.0,0.0,False,13870325323.406944,13870325323.406944,0.0,1.0,9302085514.234144,4568239809.1728,1890921258.8231,0.0,13,9464500000.0,9464500000.0,2
andrew,baseline,,1992230N11325,"{""1992230N11325"": 0.766533628295475}",114169083378.42009,87514441721.22894,26654641657.191143,16117769249.101284,47172669177.1482,0.0,16780791891.530888,7443211403.448558,16117769249.101284,47172669177.1482,9148258494.21199,17506383162.979153,14.698192711165047,6.519463223487219,14.117455244584908,41.3182516503103,8.012903514246105,15.333733656206405,16780791891.530888,7443211403.448558,9148258494.21199,17,12,5,Universal P&C Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;FL Farm Bureau General Ins Co.;State Farm FL Ins Co;AIG Property Casualty Co.;ASI Preferred Insurance Corp.;Castle Key Indemnity Co.,Universal P&C Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co,466072595.0492819,5,30.1173132839673,616159846.0720432,0.0,0,1.0,1420802420.2122762,367249440.0,2804205267.8055487,539937478.65,359958319.1,539937478.65,359958319.1,5707258494.21199,9148258494.21199,3441000000.0,1395853723.0,1395853723.0,0.0,False,8749598255.937302,8749598255.937302,0.0,1.0,5291171766.315878,3458426489.6214237,1778554163.5163746,0.0,13,9464500000.0,9464500000.0,3
andrew,baseline,,1992230N11325,"{""1992230N11325"": 0.8820342743265873}",114169083378.42009,100701044608.2164,13468038770.203684,17990216490.768032,50453378286.83587,0.0,26868566132.813034,5388883697.7994585,17990216490.768032,50453378286.83587,4643591679.622087,8824447090.581598,23.534012306778013,4.720090184080474,15.757520300954338,44.191804640845895,4.067293475792068,7.729279091549202,26868566132.813034,5388883697.7994585,4643591679.622087,24,16,8,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Universal North America Ins Co;Auto Club Insurance Co. of FL;FL Farm Bureau General Ins Co.;State Farm FL Ins Co;AIG Property Casualty Co.;ASI Preferred Insurance Corp.;ACE Ins Co. of the Midwest;Castle Key Indemnity Co.;First Liberty Insurance Corp.,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Universal North America Ins Co,1377756564.6621284,8,34.296269979690315,1140510758.6476324,0.0,0,1.0,3341099760.9578905,321099960.0,2593481444.1071205,539937478.65,359958319.1,539937478.65,359958319.1,1202591679.6220865,4643591679.622087,3441000000.0,1395853723.0,1395853723.0,0.0,False,11268295896.22733,11268295896.22733,0.0,1.0,9564143364.485985,1704152531.741344,2104505384.3675342,0.0,13,9464500000.0,9464500000.0,4
andrew,baseline,,1992230N11325,"{""1992230N11325"": 0.9373369409972914}",114169083378.42007,107014899370.39297,7154184008.027107,7406486275.761998,87622028194.4521,0.0,8879976860.738228,3106408039.440648,7406486275.761998,87622028194.4521,2486719870.933311,4667464137.093796,7.777917276698306,2.7208837519911393,6.487295909359952,76.74759716167974,2.1781026853749306,4.08820321489594,8879976860.738228,3106408039.440648,2486719870.933311,15,11,4,Universal P&C Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Tower Hill Insurance Exchange;Kin Interinsurance Network;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;FL Farm Bureau General Ins Co.;AIG Property Casualty Co.;ASI Preferred Insurance Corp.;Castle Key Indemnity Co.,Universal P&C Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Tower Hill Insurance Exchange;Kin Interinsurance Network;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co,251820354.92860252,4,28.09578743922402,262263200.15533853,0.0,0,1.0,485894788.8190111,389573760.0,1914955100.3821821,539937478.65,359958319.1,539937478.65,359958319.1,0.0,2486719870.933311,2486719870.933311,1395853723.0,1395853723.0,0.0,False,372933252.9494372,372933252.9494372,0.0,1.0,372933252.9494372,0.0,1662193812.5054455,0.0,12,9464500000.0,9464500000.0,5
andrew,baseline,,1992230N11325,"{""1992230N11325"": 0.9279654725052069}",114169083378.42007,105944967402.74194,8224115975.678133,26667949574.99829,34932483211.41167,0.0,30210375793.99365,14134158822.338352,26667949574.99829,34932483211.41167,2852218632.8094673,5371897342.868667,26.4610828956729,12.380023036087502,23.35829349405024,30.597147824710053,2.4982408095154995,4.705211939963816,30210375793.99365,14134158822.338352,2852218632.8094673,26,18,8,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;American Platinum P&C Ins Co.;FL Farm Bureau General Ins Co.;Homesite Insurance Co.;State Farm FL Ins Co;AIG Property Casualty Co.;ASI Preferred Insurance Corp.;ACE Ins Co. of the Midwest;Castle Key Indemnity Co.;First Liberty Insurance Corp.,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;American Platinum P&C Ins Co.,2170655660.864452,8,35.166819401784345,1078682851.7988186,17103156.670646094,1,0.9811320754716981,4122422515.4704714,311486220.0,8317593228.075733,539937478.65,359958319.1,539937478.65,359958319.1,0.0,2852218632.8094673,2852218632.8094673,1395853723.0,1395853723.0,0.0,False,14419292521.192482,14419292521.192482,0.0,1.0,9851052712.019682,4568239809.1728,2109514177.4973328,0.0,13,9464500000.0,9464500000.0,6
andrew,baseline,,1992230N11325,"{""1992230N11325"": 0.8722890314322749}",114169083378.4201,99588439159.67268,14580644218.747414,4863093725.71879,53845146737.43432,0.0,31796058777.502678,9084139919.016897,4863093725.71879,53845146737.43432,5023668101.482987,9556976117.264423,27.8499728968768,7.956742447433851,4.259553971892531,47.16263382702428,4.400200082917146,8.370896773855376,31796058777.502678,9084139919.016897,5023668101.482987,25,17,8,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;American Platinum P&C Ins Co.;FL Farm Bureau General Ins Co.;Homesite Insurance Co.;State Farm FL Ins Co;AIG Property Casualty Co.;ASI Preferred Insurance Corp.;ACE Ins Co. of the Midwest;Castle Key Indemnity Co.;First Liberty Insurance Corp.,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;American Platinum P&C Ins Co.,2433124460.792383,8,32.09530323621147,1318529345.914753,7132009.6788195,1,0.9811320754716981,4022205396.543522,345405900.0,3427534287.8608637,539937478.65,359958319.1,539937478.65,359958319.1,1582668101.4829874,5023668101.482987,3441000000.0,1395853723.0,1395853723.0,0.0,False,14762883013.264618,14762883013.264618,0.0,1.0,10194643204.091818,4568239809.1728,2101635716.9913456,0.0,13,9464500000.0,9464500000.0,7
andrew,baseline,,1992230N11325,"{""1992230N11325"": 0.8103614677120623}",114169083378.4201,92518225973.87732,21650857404.542778,18455408328.245815,48553574107.90814,0.0,19186881485.77084,6322362051.95251,18455408328.245815,48553574107.90814,7438919018.120278,14211938386.422504,16.805671831641845,5.5377181500149835,16.16497897865597,42.52777781089341,6.515703549500827,12.448149679292952,19186881485.77084,6322362051.95251,7438919018.120278,19,14,5,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;FL Farm Bureau General Ins Co.;State Farm FL Ins Co;AIG Property Casualty Co.;ASI Preferred Insurance Corp.;Castle Key Indemnity Co.,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co,706474893.6880434,5,30.911026990134417,545625139.473368,0.0,0,1.0,1457242832.6719913,358484220.0,1905553290.7840948,539937478.65,359958319.1,539937478.65,359958319.1,3997919018.1202784,7438919018.120278,3441000000.0,1395853723.0,1395853723.0,0.0,False,10788094973.503075,10788094973.503075,0.0,1.0,7495516701.478807,3292578272.0242662,1684364962.7167015,0.0,13,9464500000.0,9464500000.0,8
andrew,baseline,,1992230N11325,"{""1992230N11325"": 0.9605590450102961}",114169083378.42009,109666145699.67606,4502937678.74403,28028934503.90995,29737193253.678776,0.0,36801972298.64863,15098045643.438702,28028934503.90995,29737193253.678776,1581029340.9932525,2921908337.7507772,32.23462185175504,13.224285591744087,24.55037184717198,26.046625210358492,1.3848139042623635,2.5592815947080365,36801972298.64863,15098045643.438702,1581029340.9932525,29,18,11,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;Auto Club Insurance Co. of FL;American Platinum P&C Ins Co.;FL Farm Bureau General Ins Co.;Castle Key Insurance Co.;Homesite Insurance Co.;State Farm FL Ins Co;AIG Property Casualty Co.;ASI Preferred Insurance Corp.;Nationwide P&C Insurance Co.;ACE Ins Co. of the Midwest;Castle Key Indemnity Co.;First Liberty Insurance Corp.,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;American Platinum P&C Ins Co.,3014253226.50853,11,35.166819401784345,1993614411.0477638,9102459.105767712,1,0.9811320754716981,6331061668.608981,311486220.0,9319339940.922274,539937478.65,359958319.1,539937478.65,359958319.1,0.0,1581029340.9932525,1581029340.9932525,1395853723.0,1395853723.0,0.0,False,14943825049.749569,14943825049.749569,0.0,1.0,10375585240.576769,4568239809.1728,2104716271.161851,0.0,13,9464500000.0,9464500000.0,9
andrew,baseline,,1992230N11325,"{""1992230N11325"": 0.897122470471632}",114169083378.42007,102423650131.92995,11745433246.490135,21196617315.43786,42373876013.13254,0.0,29019665633.351925,9833491170.007616,21196617315.43786,42373876013.13254,4055133529.801026,7690299716.689108,25.418147167884808,8.613094612850606,18.56598712033137,37.1150181460964,3.551866591028019,6.735886361808793,29019665633.351925,9833491170.007616,4055133529.801026,25,16,9,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Universal North America Ins Co;Auto Club Insurance Co. of FL;FL Farm Bureau General Ins Co.;Homesite Insurance Co.;State Farm FL Ins Co;AIG Property Casualty Co.;ASI Preferred Insurance Corp.;ACE Ins Co. of the Midwest;Castle Key Indemnity Co.;First Liberty Insurance Corp.,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Universal North America Ins Co,1975853270.2912176,9,34.296269979690315,951331899.0662999,0.0,0,1.0,3343228643.712784,321099960.0,4114798976.868752,539937478.65,359958319.1,539937478.65,359958319.1,614133529.8010259,4055133529.801026,3441000000.0,1395853723.0,1395853723.0,0.0,False,15947656413.276617,15947656413.276617,0.0,1.0,11379416604.103817,4568239809.1728,2001227773.222868,0.0,13,9464500000.0,9464500000.0,10
