scenario,policy_scenario,policy_severity,events,wind_shares,total_damage_usd,wind_total_usd,water_total_usd,underinsured_wind_usd,uninsured_wind_usd,nfip_policyholder_shortfall_usd,wind_insured_private_usd,wind_insured_citizens_usd,wind_underinsured_usd,wind_uninsured_usd,flood_insured_capped_usd,flood_un_derinsured_usd,wind_insured_private_pct,wind_insured_citizens_pct,wind_underinsured_pct,wind_uninsured_pct,flood_insured_capped_pct,flood_un_derinsured_pct,insured_private_wind_pre_usd,insured_citizens_wind_pre_usd,insured_flood_pre_usd,defaults_pre,defaults_post,rescued_defaults,default_companies_pre,default_companies_post,group_contrib_total_usd,group_supported_companies,defaulted_premium_base_pct,largest_entity_deficit_usd,diag_group_shortfall_total_usd,diag_groups_with_shortfall,diag_groups_fully_funded_share,figa_residual_deficit_usd,figa_collected_usd,citizens_residual_deficit_usd,citizens_tier1_usd,citizens_tier2_usd,citizens_tier1_capacity_usd,citizens_tier2_capacity_usd,nfip_borrowed_usd,nfip_claims_paid_usd,nfip_pool_used_usd,nfip_fl_premium_base_usd,nfip_fl_premium_depletion_usd,underinsured_flood_usd,fhcf_cap_binding,fhcf_total_precap_usd,fhcf_total_postcap_usd,fhcf_shortfall_usd,fhcf_scaling_factor,fhcf_recovery_private_usd,fhcf_recovery_citizens_usd,catbond_payout_usd,catbond_unfilled_usd,catbond_triggers,catbond_limit_in_force_usd,catbond_issue_volume_year_usd,iter
great_miami,baseline,,1926255N15314,"{""1926255N15314"": 0.6466763379335798}",170354720952.15982,110164367095.03961,60190353857.12022,18385226386.85963,34332037409.618645,0.0,42005550859.40461,15441552439.156727,18385226386.85963,34332037409.618645,17692182490.301872,42498171366.81834,24.657696965850974,9.064352518585693,10.79231986298912,20.153264445932205,10.385495859119931,24.946870347522076,42005550859.40461,15441552439.156727,17692182490.301872,29,18,11,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;Auto Club Insurance Co. of FL;American Platinum P&C Ins Co.;FL Farm Bureau General Ins Co.;Castle Key Insurance Co.;Homesite Insurance Co.;State Farm FL Ins Co;AIG Property Casualty Co.;Foremost P&C Insurance Co.;ASI Preferred Insurance Corp.;ACE Ins Co. of the Midwest;Castle Key Indemnity Co.;First Liberty Insurance Corp.,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;American Platinum P&C Ins Co.,3915646957.906398,11,35.166819401784345,1773735114.9757557,24611493.58725092,1,0.9811320754716981,7546700801.909877,311486220.0,9783615220.077938,539937478.65,359958319.1,539937478.65,359958319.1,14251182490.301872,17692182490.301872,3441000000.0,1395853723.0,1395853723.0,0.0,True,19455753207.480896,17000000000.0,2455753207.480896,0.8737775309291732,12537839780.117714,4462160219.882283,2151451673.5916805,0.0,14,9464500000.0,9464500000.0,1
great_miami,baseline,,1926255N15314,"{""1926255N15314"": 0.6374503055728079}",170354720952.1598,108592668926.7247,61762052025.435104,39206392290.314186,37120966685.91729,0.0,24664140470.681503,7601169479.811733,39206392290.314186,37120966685.91729,18151447156.4264,43610604869.0087,14.478107993031704,4.4619658541463885,23.014561657686258,21.790395052416457,10.655089013660982,25.59988042905822,24664140470.681503,7601169479.811733,18151447156.4264,26,17,9,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Universal North America Ins Co;Auto Club Insurance Co. of FL;American Platinum P&C Ins Co.;FL Farm Bureau General Ins Co.;Homesite Insurance Co.;State Farm FL Ins Co;AIG Property Casualty Co.;ASI Preferred Insurance Corp.;ACE Ins Co. of the Midwest;Castle Key Indemnity Co.;First Liberty Insurance Corp.,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Universal North America Ins Co;American Platinum P&C Ins Co.,1546458997.3402512,9,34.45361965929429,1158125879.2973504,1678870.730128143,1,0.9811320754716981,3851582379.901464,319362300.0,3226404048.7532477,539937478.65,359958319.1,539937478.65,359958319.1,14710447156.4264,18151447156.4264,3441000000.0,1395853723.0,1395853723.0,0.0,False,9194435928.109467,9194435928.109467,0.0,1.0,5924183582.90829,3270252345.201176,2124999999.9999998,0.0,13,9464500000.0,9464500000.0,2
great_miami,baseline,,1926255N15314,"{""1926255N15314"": 0.5310082183274566}",170354720952.15985,90459756856.47746,79894964095.68237,20923049238.884567,39672734627.25478,0.0,22272134103.290615,7591838887.047485,20923049238.884567,39672734627.25478,23450050905.984947,56444913189.69742,13.07397527864533,4.456488698766075,12.282048376434673,23.28830947889959,13.765424741337428,33.13375342591689,22272134103.290615,7591838887.047485,23450050905.984947,24,16,8,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Auto Club Insurance Co. of FL;American Platinum P&C Ins Co.;FL Farm Bureau General Ins Co.;State Farm FL Ins Co;AIG Property Casualty Co.;ASI Preferred Insurance Corp.;ACE Ins Co. of the Midwest;Castle Key Indemnity Co.;First Liberty Insurance Corp.,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;American Platinum P&C Ins Co.,1326001397.2058895,8,34.139892835311265,1344536376.427181,1443083.6917219236,1,0.9811320754716981,4045252017.283018,322826880.0,4408226737.194172,539937478.65,359958319.1,539937478.65,359958319.1,20009050905.984947,23450050905.984947,3441000000.0,1395853723.0,1395853723.0,0.0,False,6218294271.380667,6218294271.380667,0.0,1.0,4191092193.8057566,2027202077.5749102,2114360576.9159951,0.0,13,9464500000.0,9464500000.0,3
great_miami,baseline,,1926255N15314,"{""1926255N15314"": 0.7056572148009131}",170354720952.1598,120212037915.28784,50142683036.87193,20689343904.420574,58906707752.42872,0.0,33819034013.916958,6796952244.521606,20689343904.420574,58906707752.42872,14756160627.059504,35386522409.81244,19.85212609600309,3.9898819395973035,12.144860904812084,34.57885253967884,8.662020368195979,20.772258151712702,33819034013.916958,6796952244.521606,14756160627.059504,27,17,10,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Universal North America Ins Co;Auto Club Insurance Co. of FL;American Platinum P&C Ins Co.;FL Farm Bureau General Ins Co.;Homesite Insurance Co.;State Farm FL Ins Co;AIG Property Casualty Co.;Foremost P&C Insurance Co.;ASI Preferred Insurance Corp.;ACE Ins Co. of the Midwest;Castle Key Indemnity Co.;First Liberty Insurance Corp.,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Universal North America Ins Co;American Platinum P&C Ins Co.,2374970870.22727,10,34.45361965929429,1457635741.6762097,5542197.466561791,1,0.9811320754716981,5674182114.98359,319362300.0,4598734737.81685,539937478.65,359958319.1,539937478.65,359958319.1,11315160627.059504,14756160627.059504,3441000000.0,1395853723.0,1395853723.0,0.0,False,11737295364.710419,11737295364.710419,0.0,1.0,10654655182.700878,1082640182.00954,2124999999.9999998,0.0,13,9464500000.0,9464500000.0,4
great_miami,baseline,,1926255N15314,"{""1926255N15314"": 0.7947765763247159}",170354720952.15982,135393941879.10995,34960779073.04987,12513427137.878815,88970788650.51201,0.0,27489920934.40242,6419805156.316696,12513427137.878815,88970788650.51201,10319868598.702013,24640910474.34787,16.136870631323642,3.7684926607461318,7.345512391988784,52.226781948413034,6.057870624906315,14.46447174262209,27489920934.40242,6419805156.316696,10319868598.702013,26,17,9,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Universal North America Ins Co;Auto Club Insurance Co. of FL;American Platinum P&C Ins Co.;FL Farm Bureau General Ins Co.;Homesite Insurance Co.;State Farm FL Ins Co;AIG Property Casualty Co.;ASI Preferred Insurance Corp.;ACE Ins Co. of the Midwest;Castle Key Indemnity Co.;First Liberty Insurance Corp.,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Universal North America Ins Co;American Platinum P&C Ins Co.,1891795261.6559243,9,34.45361965929429,1368776535.4905434,7051779.727152973,1,0.9811320754716981,4767747676.088385,319362300.0,3678635683.113757,539937478.65,359958319.1,539937478.65,359958319.1,6878868598.702013,10319868598.702013,3441000000.0,1395853723.0,1395853723.0,0.0,False,8288322269.080768,8288322269.080768,0.0,1.0,6650485761.367061,1637836507.7137067,2125000000.0,0.0,13,9464500000.0,9464500000.0,5
great_miami,baseline,,1926255N15314,"{""1926255N15314"": 0.7464213169812842}",170354720952.15982,127156395167.09033,43198325785.06948,32636700488.461937,44092583863.48827,0.0,37260359419.39698,13166751395.743147,32636700488.461937,44092583863.48827,12726955542.39751,30471370242.67197,21.87222004247284,7.729020553202471,19.158083970932157,25.882807131520973,7.47085579505107,17.887012506820486,37260359419.39698,13166751395.743147,12726955542.39751,28,18,10,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;Auto Club Insurance Co. of FL;American Platinum P&C Ins Co.;FL Farm Bureau General Ins Co.;Homesite Insurance Co.;State Farm FL Ins Co;AIG Property Casualty Co.;Foremost P&C Insurance Co.;ASI Preferred Insurance Corp.;ACE Ins Co. of the Midwest;Castle Key Indemnity Co.;First Liberty Insurance Corp.,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;American Platinum P&C Ins Co.,2792005647.2992754,10,35.166819401784345,1577343499.4434128,17498426.64843723,1,0.9811320754716981,6390421580.419754,311486220.0,7018562765.690344,539937478.65,359958319.1,539937478.65,359958319.1,9285955542.39751,12726955542.39751,3441000000.0,1395853723.0,1395853723.0,0.0,True,17976267099.42177,17000000000.0,976267099.4217682,0.9456913332438651,12018617835.242332,4981382164.7576685,2125000000.0000002,0.0,13,9464500000.0,9464500000.0,6
great_miami,baseline,,1926255N15314,"{""1926255N15314"": 0.690344131267792}",170354720952.15982,117603381843.0859,52751339109.073906,13151360134.093857,63119903082.52749,0.0,33382429830.43761,7949688796.02696,13151360134.093857,63119903082.52749,15518433933.847202,37232905175.2267,19.595834881389813,4.66655033191563,7.71998572190266,37.05204219157111,9.109482758746202,21.856104114474583,33382429830.43761,7949688796.02696,15518433933.847202,26,18,8,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;American Platinum P&C Ins Co.;FL Farm Bureau General Ins Co.;Homesite Insurance Co.;State Farm FL Ins Co;AIG Property Casualty Co.;ASI Preferred Insurance Corp.;ACE Ins Co. of the Midwest;Castle Key Indemnity Co.;First Liberty Insurance Corp.,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;American Platinum P&C Ins Co.,2325776362.7690473,8,35.166819401784345,1350211299.6473331,5733275.67105443,1,0.9811320754716981,5001239739.056142,311486220.0,3363224311.0566664,539937478.65,359958319.1,539937478.65,359958319.1,12077433933.847202,15518433933.847202,3441000000.0,1395853723.0,1395853723.0,0.0,False,14578393054.346977,14578393054.346977,0.0,1.0,11072889306.647692,3505503747.6992846,2125000000.0,0.0,13,9464500000.0,9464500000.0,7
great_miami,baseline,,1926255N15314,"{""1926255N15314"": 0.5880049308616303}",170354720952.15985,100169415915.4271,70185305036.73274,19494173314.13713,49565779619.50188,0.0,25351100356.80065,5758362624.987415,19494173314.13713,49565779619.50188,20612799189.4721,49572505847.260635,14.881360619245717,3.380218988239555,11.44328328864547,29.095630190032285,12.099928357876694,29.099578555960253,25351100356.80065,5758362624.987415,20612799189.4721,26,17,9,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Universal North America Ins Co;Auto Club Insurance Co. of FL;American Platinum P&C Ins Co.;FL Farm Bureau General Ins Co.;Homesite Insurance Co.;State Farm FL Ins Co;AIG Property Casualty Co.;ASI Preferred Insurance Corp.;ACE Ins Co. of the Midwest;Castle Key Indemnity Co.;First Liberty Insurance Corp.,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Universal North America Ins Co;American Platinum P&C Ins Co.,1845826863.6149898,9,34.45361965929429,1737899500.8488767,6436621.551731564,1,0.9811320754716981,5097384775.423533,319362300.0,3402672372.9594736,539937478.65,359958319.1,539937478.65,359958319.1,17171799189.4721,20612799189.4721,3441000000.0,1395853723.0,1395853723.0,0.0,False,5676371244.666029,5676371244.666029,0.0,1.0,4413231008.542374,1263140236.1236548,2124999999.9999998,0.0,13,9464500000.0,9464500000.0,8
great_miami,baseline,,1926255N15314,"{""1926255N15314"": 0.8060693487176859}",170354720952.1598,137317718968.89058,33037001983.269226,34437225309.633865,44515994616.43974,0.0,44974226685.719765,13390272357.097214,34437225309.633865,44515994616.43974,9757723232.21386,23279278751.05537,26.400340674063116,7.8602296914668806,20.215010841586697,26.13135366465191,5.727885424997463,13.665179703233948,44974226685.719765,13390272357.097214,9757723232.21386,31,19,12,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Vault E&S Insurance Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;Auto Club Insurance Co. of FL;American Platinum P&C Ins Co.;FL Farm Bureau General Ins Co.;Castle Key Insurance Co.;Homesite Insurance Co.;State Farm FL Ins Co;AIG Property Casualty Co.;Foremost P&C Insurance Co.;ASI Preferred Insurance Corp.;Nationwide P&C Insurance Co.;ACE Ins Co. of the Midwest;Castle Key Indemnity Co.;First Liberty Insurance Corp.,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Vault E&S Insurance Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;American Platinum P&C Ins Co.,3916168105.855366,12,35.41856476294073,2339362048.1361666,19365476.280600823,1,0.9811320754716981,9091556975.015808,308706120.0,8004465426.112354,539937478.65,359958319.1,539937478.65,359958319.1,6316723232.21386,9757723232.21386,3441000000.0,1395853723.0,1395853723.0,0.0,True,18294822288.137894,17000000000.0,1294822288.1378937,0.9292246588819046,12755078921.63067,4244921078.3693323,2125000000.0,0.0,13,9464500000.0,9464500000.0,9
great_miami,baseline,,1926255N15314,"{""1926255N15314"": 0.7272475603435673}",170354720952.1598,123890055205.4674,46464665746.69239,20377106957.555706,47237853852.09264,0.0,44694229812.80218,11580864583.016897,20377106957.555706,47237853852.09264,13681410133.085438,32783255613.606945,26.235979586003683,6.798088434701564,11.961574556702862,27.72911345694864,8.031130605959284,19.24411335968398,44694229812.80218,11580864583.016897,13681410133.085438,31,19,12,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Vault E&S Insurance Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;Auto Club Insurance Co. of FL;American Platinum P&C Ins Co.;FL Farm Bureau General Ins Co.;Castle Key Insurance Co.;Homesite Insurance Co.;State Farm FL Ins Co;AIG Property Casualty Co.;Foremost P&C Insurance Co.;ASI Preferred Insurance Corp.;Nationwide P&C Insurance Co.;ACE Ins Co. of the Midwest;Castle Key Indemnity Co.;First Liberty Insurance Corp.,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Vault E&S Insurance Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;American Platinum P&C Ins Co.,4114376840.937097,12,35.41856476294073,2350442116.2154183,32080546.49993907,1,0.9811320754716981,9523330706.121096,308706120.0,5955662843.567977,539937478.65,359958319.1,539937478.65,359958319.1,10240410133.085438,13681410133.085438,3441000000.0,1395853723.0,1395853723.0,0.0,True,22344493451.72012,17000000000.0,5344493451.720119,0.7608138460033566,12470387143.188536,4529612856.811464,2125000000.0,0.0,13,9464500000.0,9464500000.0,10
