scenario,policy_scenario,policy_severity,events,wind_shares,total_damage_usd,wind_total_usd,water_total_usd,underinsured_wind_usd,uninsured_wind_usd,nfip_policyholder_shortfall_usd,wind_insured_private_usd,wind_insured_citizens_usd,wind_underinsured_usd,wind_uninsured_usd,flood_insured_capped_usd,flood_un_derinsured_usd,wind_insured_private_pct,wind_insured_citizens_pct,wind_underinsured_pct,wind_uninsured_pct,flood_insured_capped_pct,flood_un_derinsured_pct,insured_private_wind_pre_usd,insured_citizens_wind_pre_usd,insured_flood_pre_usd,defaults_pre,defaults_post,rescued_defaults,default_companies_pre,default_companies_post,group_contrib_total_usd,group_supported_companies,defaulted_premium_base_pct,largest_entity_deficit_usd,diag_group_shortfall_total_usd,diag_groups_with_shortfall,diag_groups_fully_funded_share,figa_residual_deficit_usd,figa_collected_usd,citizens_residual_deficit_usd,citizens_tier1_usd,citizens_tier2_usd,citizens_tier1_capacity_usd,citizens_tier2_capacity_usd,nfip_borrowed_usd,nfip_claims_paid_usd,nfip_pool_used_usd,nfip_fl_premium_base_usd,nfip_fl_premium_depletion_usd,underinsured_flood_usd,fhcf_cap_binding,fhcf_total_precap_usd,fhcf_total_postcap_usd,fhcf_shortfall_usd,fhcf_scaling_factor,fhcf_recovery_private_usd,fhcf_recovery_citizens_usd,catbond_payout_usd,catbond_unfilled_usd,catbond_triggers,catbond_limit_in_force_usd,catbond_issue_volume_year_usd,iter
irma,baseline,,2017242N16333,"{""2017242N16333"": 0.45242774637783073}",32020681848.663742,14487044926.272446,17533636922.391296,1782560425.9888217,7090841404.857523,0.0,5247845287.409367,365797808.01673335,1782560425.9888217,7090841404.857523,2908848239.7512927,14624788682.640007,16.38892423406769,1.142379821096778,5.566903398289783,22.14456718432881,9.08427950878467,45.672945853432275,5247845287.409367,365797808.01673335,2908848239.7512927,6,3,3,Universal P&C Insurance Co.;First Protective Insurance Co.;Kin Interinsurance Network;FL Farm Bureau General Ins Co.;ASI Preferred Insurance Corp.;Castle Key Indemnity Co.,Universal P&C Insurance Co.;First Protective Insurance Co.;Kin Interinsurance Network,101502605.44501881,3,13.812836302273293,48907128.368346214,0.0,0,1.0,1.4901161193847656e-08,72737631.67027807,0.0,294764085.40834576,0.0,539937478.65,359958319.1,0.0,2908848239.7512927,2908848239.7512927,1395853723.0,1395853723.0,0.0,False,539965.0101373562,539965.0101373562,0.0,1.0,539965.0101373562,0.0,1298993642.0041604,0.0,10,9464500000.0,9464500000.0,1
irma,baseline,,2017242N16333,"{""2017242N16333"": 0.3721887600323018}",32020681848.66374,11917737872.642986,20102943976.020752,2653674625.367118,5040769866.832003,0.0,3888182415.3300114,335110965.1138558,2653674625.367118,5040769866.832003,3329056620.8656945,16773887355.15506,12.142722112247181,1.046545375572133,8.287377008112832,15.742231507298024,10.396582548115289,52.38454144865455,3888182415.3300114,335110965.1138558,3329056620.8656945,1,0,1,Castle Key Indemnity Co.,,40369307.659451246,1,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,248609216.3100384,0.0,539937478.65,359958319.1,0.0,3329056620.8656945,3329056620.8656945,1395853723.0,1395853723.0,0.0,False,593180.4453314976,593180.4453314976,0.0,1.0,593180.4453314976,0.0,1116600121.136818,0.0,8,9464500000.0,9464500000.0,2
irma,baseline,,2017242N16333,"{""2017242N16333"": 0.317901541419011}",32020681848.663742,10179424116.977947,21841257731.685795,2806786264.5060654,3792524384.6345234,0.0,3301003589.4426465,279109878.39471185,2806786264.5060654,3792524384.6345234,3613356626.2329187,18227901105.452873,10.308973447360868,0.8716550125754409,8.765541838776288,11.843983843188491,11.28444623168981,56.92539962640909,3301003589.4426465,279109878.39471185,3613356626.2329187,1,0,1,Castle Key Indemnity Co.,,28875062.741360173,1,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,194118464.4712379,0.0,539937478.65,359958319.1,172356626.23291874,3613356626.2329187,3441000000.0,1395853723.0,1395853723.0,0.0,False,578154.7272172691,578154.7272172691,0.0,1.0,578154.7272172691,0.0,1090000000.0,0.0,7,9464500000.0,9464500000.0,3
irma,baseline,,2017242N16333,"{""2017242N16333"": 0.510734916441741}",32020681848.663742,16354080268.384842,15666601580.2789,3265835674.40699,6351817043.401854,0.0,6284186069.705683,452241480.87031627,3265835674.40699,6351817043.401854,2603495908.474202,13063105671.804699,19.625397420973183,1.4123418202263822,10.199144696049865,19.836607706924646,8.13066979890951,40.795838556916415,6284186069.705683,452241480.87031627,2603495908.474202,9,5,4,Universal P&C Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Kin Interinsurance Network;Edison Insurance Co.;FL Farm Bureau General Ins Co.;AIG Property Casualty Co.;ASI Preferred Insurance Corp.;Castle Key Indemnity Co.,Universal P&C Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Kin Interinsurance Network;Edison Insurance Co.,133616683.94179466,4,17.786533733959892,97181215.02429336,0.0,0,1.0,2.9802322387695312e-08,224685610.95985252,0.0,379027203.6380392,0.0,539937478.65,359958319.1,0.0,2603495908.474202,2603495908.474202,1395853723.0,1395853723.0,0.0,False,3543845.6020301864,3543845.6020301864,0.0,1.0,3543845.6020301864,0.0,1427750448.7020645,0.0,10,9464500000.0,9464500000.0,4
irma,baseline,,2017242N16333,"{""2017242N16333"": 0.6149492178101724}",32020681848.663742,19691093256.584145,12329588592.079596,2636673601.828212,8631050936.089401,0.0,7779971654.6001425,643397064.0663923,2636673601.828212,8631050936.089401,2057729755.8658051,10271858836.213789,24.296708269267565,2.009317187895054,8.23428312454328,26.95461319931132,6.426252150379104,32.078826068603675,7779971654.6001425,643397064.0663923,2057729755.8658051,12,8,4,Universal P&C Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Tower Hill Insurance Exchange;Kin Interinsurance Network;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;FL Farm Bureau General Ins Co.;AIG Property Casualty Co.;ASI Preferred Insurance Corp.;Castle Key Indemnity Co.,Universal P&C Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Tower Hill Insurance Exchange;Kin Interinsurance Network;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.,213801448.5693113,4,25.563137285625935,271764295.85972285,0.0,0,1.0,282192911.22667456,417542580.0,0.0,539937478.65,19978615.933532476,539937478.65,359958319.1,0.0,2057729755.8658051,2057729755.8658051,1395853723.0,1395853723.0,0.0,False,22618174.240268014,22618174.240268014,0.0,1.0,22618174.240268014,0.0,1556325505.8540905,0.0,11,9464500000.0,9464500000.0,5
irma,baseline,,2017242N16333,"{""2017242N16333"": 0.5237825459082174}",32020681848.663742,16771874260.410135,15248807588.253609,4193355772.5365677,6714899621.882411,0.0,5429356357.377495,434262508.61366117,4193355772.5365677,6714899621.882411,2535165991.7442145,12713641596.509394,16.955779964454653,1.3561938208126676,13.095772889394485,20.970507916159914,7.917276726729071,39.7044686824492,5429356357.377495,434262508.61366117,2535165991.7442145,7,4,3,Universal P&C Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Kin Interinsurance Network;FL Farm Bureau General Ins Co.;ASI Preferred Insurance Corp.;Castle Key Indemnity Co.,Universal P&C Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Kin Interinsurance Network,98729751.58962876,3,14.68401597065834,26683216.081074923,0.0,0,1.0,0.0,70029151.24225761,0.0,353520259.38821507,0.0,539937478.65,359958319.1,0.0,2535165991.7442145,2535165991.7442145,1395853723.0,1395853723.0,0.0,False,1184527.9629024894,1184527.9629024894,0.0,1.0,1184527.9629024894,0.0,1294432032.2127414,0.0,10,9464500000.0,9464500000.0,6
irma,baseline,,2017242N16333,"{""2017242N16333"": 0.49287241530729214}",32020681848.66374,15782110802.537262,16238571046.126476,2796354755.8564034,8192657436.4022255,0.0,4438597506.427494,354501103.8511415,2796354755.8564034,8192657436.4022255,2697041116.68556,13541529929.440916,13.86165831010473,1.107100421929133,8.732964429279006,25.585518369416345,8.42280976224156,42.28994870702923,4438597506.427494,354501103.8511415,2697041116.68556,3,0,3,FL Farm Bureau General Ins Co.;ASI Preferred Insurance Corp.;Castle Key Indemnity Co.,,65464454.93418953,3,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,273873784.41569173,0.0,539937478.65,359958319.1,0.0,2697041116.68556,2697041116.68556,1395853723.0,1395853723.0,0.0,False,601403.3350134953,601403.3350134953,0.0,1.0,601403.3350134953,0.0,1181292611.9598515,0.0,9,9464500000.0,9464500000.0,7
irma,baseline,,2017242N16333,"{""2017242N16333"": 0.372989674978491}",32020681848.663742,11943383715.322754,20077298133.34099,2083524816.8037214,5056111708.088065,0.0,4463688653.422372,340058537.0085949,2083524816.8037214,5056111708.088065,3324862261.1376286,16752435872.20336,13.940017500310184,1.0619965515281053,6.506809650871532,15.790143795139272,10.383483639891256,52.31754886225964,4463688653.422372,340058537.0085949,3324862261.1376286,4,1,3,First Protective Insurance Co.;FL Farm Bureau General Ins Co.;ASI Preferred Insurance Corp.;Castle Key Indemnity Co.,First Protective Insurance Co.,52129485.34064604,3,4.237368573953127,8563950.633444875,0.0,0,1.0,0.0,8563950.633444875,0.0,262843971.08864677,0.0,539937478.65,359958319.1,0.0,3324862261.1376286,3324862261.1376286,1395853723.0,1395853723.0,0.0,False,3308297.545750346,3308297.545750346,0.0,1.0,3308297.545750346,0.0,1180541464.568119,0.0,8,9464500000.0,9464500000.0,8
irma,baseline,,2017242N16333,"{""2017242N16333"": 0.587829384848714}",32020681848.66374,18822697713.536385,13197984135.127354,3346163684.1050515,6190733398.980752,0.0,8612996273.810926,672804356.6396554,3346163684.1050515,6190733398.980752,2199755242.7750435,10998228892.352314,26.898228821352717,2.1011556212933433,10.450007591717448,19.33354645050789,6.869795131694992,34.34726638343363,8612996273.810926,672804356.6396554,2199755242.7750435,13,9,4,Universal P&C Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Tower Hill Insurance Exchange;Kin Interinsurance Network;US Coastal P&C Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;FL Farm Bureau General Ins Co.;AIG Property Casualty Co.;ASI Preferred Insurance Corp.;Castle Key Indemnity Co.,Universal P&C Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Tower Hill Insurance Exchange;Kin Interinsurance Network;US Coastal P&C Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.,226683105.08869135,4,25.926642700283715,306382041.44184303,0.0,0,1.0,411664139.27667236,413528280.0,0.0,539937478.65,53821735.85393107,539937478.65,359958319.1,0.0,2199755242.7750435,2199755242.7750435,1395853723.0,1395853723.0,0.0,False,8105266.477223687,8105266.477223687,0.0,1.0,8105266.477223687,0.0,1680222707.8825908,0.0,11,9464500000.0,9464500000.0,9
irma,baseline,,2017242N16333,"{""2017242N16333"": 0.5339127679022178}",32020681848.663742,17096250875.93636,14924430972.727385,3121751036.4214497,8178023296.856276,0.0,5354605217.340573,441871325.3180589,3121751036.4214497,8178023296.856276,2482114421.9487343,12442316550.77865,16.722333530083862,1.3799560153229486,9.749171023826039,25.539816220988914,7.751597650792423,38.857125558985814,5354605217.340573,441871325.3180589,2482114421.9487343,7,4,3,Universal P&C Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Kin Interinsurance Network;FL Farm Bureau General Ins Co.;ASI Preferred Insurance Corp.;Castle Key Indemnity Co.,Universal P&C Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Kin Interinsurance Network,92402034.52056545,3,14.68401597065834,42981476.7446568,0.0,0,1.0,1.4901161193847656e-08,96137802.92731556,0.0,358665888.76152086,0.0,539937478.65,359958319.1,0.0,2482114421.9487343,2482114421.9487343,1395853723.0,1395853723.0,0.0,False,7915547.976384365,7915547.976384365,0.0,1.0,7915547.976384365,0.0,1286042438.0903661,0.0,10,9464500000.0,9464500000.0,10
