scenario,policy_scenario,policy_severity,events,wind_shares,total_damage_usd,wind_total_usd,water_total_usd,underinsured_wind_usd,uninsured_wind_usd,nfip_policyholder_shortfall_usd,wind_insured_private_usd,wind_insured_citizens_usd,wind_underinsured_usd,wind_uninsured_usd,flood_insured_capped_usd,flood_un_derinsured_usd,wind_insured_private_pct,wind_insured_citizens_pct,wind_underinsured_pct,wind_uninsured_pct,flood_insured_capped_pct,flood_un_derinsured_pct,insured_private_wind_pre_usd,insured_citizens_wind_pre_usd,insured_flood_pre_usd,defaults_pre,defaults_post,rescued_defaults,default_companies_pre,default_companies_post,group_contrib_total_usd,group_supported_companies,defaulted_premium_base_pct,largest_entity_deficit_usd,diag_group_shortfall_total_usd,diag_groups_with_shortfall,diag_groups_fully_funded_share,figa_residual_deficit_usd,figa_collected_usd,citizens_residual_deficit_usd,citizens_tier1_usd,citizens_tier2_usd,citizens_tier1_capacity_usd,citizens_tier2_capacity_usd,nfip_borrowed_usd,nfip_claims_paid_usd,nfip_pool_used_usd,nfip_fl_premium_base_usd,nfip_fl_premium_depletion_usd,underinsured_flood_usd,fhcf_cap_binding,fhcf_total_precap_usd,fhcf_total_postcap_usd,fhcf_shortfall_usd,fhcf_scaling_factor,fhcf_recovery_private_usd,fhcf_recovery_citizens_usd,catbond_payout_usd,catbond_unfilled_usd,catbond_triggers,catbond_limit_in_force_usd,catbond_issue_volume_year_usd,iter
andrew,baseline,,1992230N11325,"{""1992230N11325"": 0.8353592015253047}",114169083378.42006,95372194329.87291,18796889048.54715,12878716706.637499,24986362346.322018,0.0,39175163310.08343,18331951966.829994,12878716706.637499,24986362346.322018,6463976748.809225,12332912299.73792,34.313285305300276,16.056844308776373,11.280388985825738,21.885401552628103,5.661757594552983,10.80232225291655,39175163310.08343,18331951966.829994,6463976748.809225,28,18,10,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;Auto Club Insurance Co. of FL;American Platinum P&C Ins Co.;FL Farm Bureau General Ins Co.;Castle Key Insurance Co.;Homesite Insurance Co.;State Farm FL Ins Co;AIG Property Casualty Co.;ASI Preferred Insurance Corp.;ACE Ins Co. of the Midwest;Castle Key Indemnity Co.;First Liberty Insurance Corp.,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;American Platinum P&C Ins Co.,4298504544.596619,10,35.166819401784345,1542142052.292925,27375639.398815103,1,0.9811320754716981,6686339674.420736,311486220.0,12557382136.362038,539937478.65,359958319.1,539937478.65,359958319.1,3022976748.809225,6463976748.809225,3441000000.0,1395853723.0,1395853723.0,0.0,False,14759232499.346691,14759232499.346691,0.0,1.0,10236675088.265617,4522557411.081073,2175921048.1925635,0.0,14,9464500000.0,9464500000.0,1
andrew,baseline,,1992230N11325,"{""1992230N11325"": 0.8890392998487388}",114169083378.42007,101500801951.12285,12668281427.297234,42118784329.919556,26543918784.589657,0.0,23390520751.891304,9447578084.722317,42118784329.919556,26543918784.589657,4370387095.15171,8297894332.145525,20.487613686414615,8.275075708024886,36.89158490509589,23.249655685338467,3.8279952556558654,7.268074759470277,23390520751.891304,9447578084.722317,4370387095.15171,22,15,7,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Universal North America Ins Co;FL Farm Bureau General Ins Co.;Homesite Insurance Co.;State Farm FL Ins Co;AIG Property Casualty Co.;ASI Preferred Insurance Corp.;Castle Key Indemnity Co.;First Liberty Insurance Corp.,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Universal North America Ins Co,1343932699.3731124,7,31.22475381411744,631193246.4243053,0.0,0,1.0,1762822880.6977448,355019640.0,3747421121.555382,539937478.65,359958319.1,539937478.65,359958319.1,929387095.1517096,4370387095.15171,3441000000.0,1395853723.0,1395853723.0,0.0,False,13507166321.468578,13507166321.468578,0.0,1.0,8984608910.387505,4522557411.081073,1897295188.3312762,0.0,13,9464500000.0,9464500000.0,2
andrew,baseline,,1992230N11325,"{""1992230N11325"": 0.766533628295475}",114169083378.42009,87514441721.22894,26654641657.191143,16117769249.101284,47172669177.1482,0.0,16780791891.530888,7443211403.448558,16117769249.101284,47172669177.1482,9148258494.21199,17506383162.979153,14.698192711165047,6.519463223487219,14.117455244584908,41.3182516503103,8.012903514246105,15.333733656206405,16780791891.530888,7443211403.448558,9148258494.21199,17,12,5,Universal P&C Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;FL Farm Bureau General Ins Co.;State Farm FL Ins Co;AIG Property Casualty Co.;ASI Preferred Insurance Corp.;Castle Key Indemnity Co.,Universal P&C Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co,467308159.88287157,5,30.1173132839673,616194329.9908483,0.0,0,1.0,1421564915.9760556,367249440.0,2804332784.241133,539937478.65,359958319.1,539937478.65,359958319.1,5707258494.21199,9148258494.21199,3441000000.0,1395853723.0,1395853723.0,0.0,False,8742564941.235533,8742564941.235533,0.0,1.0,5284138451.614109,3458426489.6214237,1778554163.5163746,0.0,13,9464500000.0,9464500000.0,3
andrew,baseline,,1992230N11325,"{""1992230N11325"": 0.8820342743265873}",114169083378.42009,100701044608.2164,13468038770.203684,17990216490.768032,50453378286.83587,0.0,26868566132.813034,5388883697.7994585,17990216490.768032,50453378286.83587,4643591679.622087,8824447090.581598,23.534012306778013,4.720090184080474,15.757520300954338,44.191804640845895,4.067293475792068,7.729279091549202,26868566132.813034,5388883697.7994585,4643591679.622087,25,16,9,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Universal North America Ins Co;Auto Club Insurance Co. of FL;FL Farm Bureau General Ins Co.;Homesite Insurance Co.;State Farm FL Ins Co;AIG Property Casualty Co.;ASI Preferred Insurance Corp.;ACE Ins Co. of the Midwest;Castle Key Indemnity Co.;First Liberty Insurance Corp.,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Universal North America Ins Co,1648562173.2197726,9,34.296269979690315,1153217001.1901147,0.0,0,1.0,3376107108.0400863,321099960.0,2596601046.7629642,539937478.65,359958319.1,539937478.65,359958319.1,1202591679.6220865,4643591679.622087,3441000000.0,1395853723.0,1395853723.0,0.0,False,10920443178.29506,10920443178.29506,0.0,1.0,9216290646.553715,1704152531.741344,2104505384.3675342,0.0,13,9464500000.0,9464500000.0,4
andrew,baseline,,1992230N11325,"{""1992230N11325"": 0.9373369409972914}",114169083378.42007,107014899370.39297,7154184008.027107,7406486275.761998,87622028194.4521,0.0,8879976860.738228,3106408039.440648,7406486275.761998,87622028194.4521,2486719870.933311,4667464137.093796,7.777917276698306,2.7208837519911393,6.487295909359952,76.74759716167974,2.1781026853749306,4.08820321489594,8879976860.738228,3106408039.440648,2486719870.933311,15,11,4,Universal P&C Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Tower Hill Insurance Exchange;Kin Interinsurance Network;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;FL Farm Bureau General Ins Co.;AIG Property Casualty Co.;ASI Preferred Insurance Corp.;Castle Key Indemnity Co.,Universal P&C Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Tower Hill Insurance Exchange;Kin Interinsurance Network;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co,251821854.86160088,4,28.09578743922402,262265683.0977099,0.0,0,1.0,485904675.8757589,389573760.0,1914965889.492692,539937478.65,359958319.1,539937478.65,359958319.1,0.0,2486719870.933311,2486719870.933311,1395853723.0,1395853723.0,0.0,False,372503479.7340452,372503479.7340452,0.0,1.0,372503479.7340452,0.0,1662193812.5054455,0.0,12,9464500000.0,9464500000.0,5
andrew,baseline,,1992230N11325,"{""1992230N11325"": 0.9279654725052069}",114169083378.42007,105944967402.74194,8224115975.678133,26667949574.99829,34932483211.41167,0.0,30210375793.99365,14134158822.338352,26667949574.99829,34932483211.41167,2852218632.8094673,5371897342.868667,26.4610828956729,12.380023036087502,23.35829349405024,30.597147824710053,2.4982408095154995,4.705211939963816,30210375793.99365,14134158822.338352,2852218632.8094673,26,18,8,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;American Platinum P&C Ins Co.;FL Farm Bureau General Ins Co.;Homesite Insurance Co.;State Farm FL Ins Co;AIG Property Casualty Co.;ASI Preferred Insurance Corp.;ACE Ins Co. of the Midwest;Castle Key Indemnity Co.;First Liberty Insurance Corp.,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;American Platinum P&C Ins Co.,2454785967.0551066,8,35.166819401784345,1090960152.9177623,17312959.636025324,1,0.9811320754716981,4159300143.1082077,311486220.0,8366372327.333984,539937478.65,359958319.1,539937478.65,359958319.1,0.0,2852218632.8094673,2852218632.8094673,1395853723.0,1395853723.0,0.0,False,14006753818.065498,14006753818.065498,0.0,1.0,9484196406.984426,4522557411.081073,2109514177.497333,0.0,13,9464500000.0,9464500000.0,6
andrew,baseline,,1992230N11325,"{""1992230N11325"": 0.8722890314322749}",114169083378.4201,99588439159.67268,14580644218.747414,4863093725.71879,53845146737.43432,0.0,31796058777.502678,9084139919.016897,4863093725.71879,53845146737.43432,5023668101.482987,9556976117.264423,27.8499728968768,7.956742447433851,4.259553971892531,47.16263382702428,4.400200082917146,8.370896773855376,31796058777.502678,9084139919.016897,5023668101.482987,25,17,8,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;American Platinum P&C Ins Co.;FL Farm Bureau General Ins Co.;Homesite Insurance Co.;State Farm FL Ins Co;AIG Property Casualty Co.;ASI Preferred Insurance Corp.;ACE Ins Co. of the Midwest;Castle Key Indemnity Co.;First Liberty Insurance Corp.,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;American Platinum P&C Ins Co.,2716538987.4186997,8,32.09530323621147,1331175962.2000396,7342028.660676971,1,0.9811320754716981,4063586043.3293514,345405900.0,3474345783.677397,539937478.65,359958319.1,539937478.65,359958319.1,1582668101.4829874,5023668101.482987,3441000000.0,1395853723.0,1395853723.0,0.0,False,14339682289.783478,14339682289.783478,0.0,1.0,9817124878.702404,4522557411.081073,2101635716.9913456,0.0,13,9464500000.0,9464500000.0,7
andrew,baseline,,1992230N11325,"{""1992230N11325"": 0.8103614677120623}",114169083378.4201,92518225973.87732,21650857404.542778,18455408328.245815,48553574107.90814,0.0,19186881485.77084,6322362051.95251,18455408328.245815,48553574107.90814,7438919018.120278,14211938386.422504,16.805671831641845,5.5377181500149835,16.16497897865597,42.52777781089341,6.515703549500827,12.448149679292952,19186881485.77084,6322362051.95251,7438919018.120278,19,14,5,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;FL Farm Bureau General Ins Co.;State Farm FL Ins Co;AIG Property Casualty Co.;ASI Preferred Insurance Corp.;Castle Key Indemnity Co.,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co,849811923.7128686,5,30.911026990134417,546520067.7963916,0.0,0,1.0,1466936314.752,358484220.0,1908249593.1580448,539937478.65,359958319.1,539937478.65,359958319.1,3997919018.1202784,7438919018.120278,3441000000.0,1395853723.0,1395853723.0,0.0,False,10609007460.746613,10609007460.746613,0.0,1.0,7316429188.722345,3292578272.0242662,1685833104.0115018,0.0,13,9464500000.0,9464500000.0,8
andrew,baseline,,1992230N11325,"{""1992230N11325"": 0.9605590450102961}",114169083378.42009,109666145699.67606,4502937678.74403,28028934503.90995,29737193253.678776,0.0,36801972298.64863,15098045643.438702,28028934503.90995,29737193253.678776,1581029340.9932525,2921908337.7507772,32.23462185175504,13.224285591744087,24.55037184717198,26.046625210358492,1.3848139042623635,2.5592815947080365,36801972298.64863,15098045643.438702,1581029340.9932525,29,18,11,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;Auto Club Insurance Co. of FL;American Platinum P&C Ins Co.;FL Farm Bureau General Ins Co.;Castle Key Insurance Co.;Homesite Insurance Co.;State Farm FL Ins Co;AIG Property Casualty Co.;ASI Preferred Insurance Corp.;Nationwide P&C Insurance Co.;ACE Ins Co. of the Midwest;Castle Key Indemnity Co.;First Liberty Insurance Corp.,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;American Platinum P&C Ins Co.,3302035089.462429,11,35.166819401784345,2006040742.6054459,9303190.332421184,1,0.9811320754716981,6375667074.775321,311486220.0,9367215666.137177,539937478.65,359958319.1,539937478.65,359958319.1,0.0,1581029340.9932525,1581029340.9932525,1395853723.0,1395853723.0,0.0,False,14519503740.433674,14519503740.433674,0.0,1.0,9996946329.352602,4522557411.081073,2104716271.1618505,0.0,13,9464500000.0,9464500000.0,9
andrew,baseline,,1992230N11325,"{""1992230N11325"": 0.897122470471632}",114169083378.42007,102423650131.92995,11745433246.490135,21196617315.43786,42373876013.13254,0.0,29019665633.351925,9833491170.007616,21196617315.43786,42373876013.13254,4055133529.801026,7690299716.689108,25.418147167884808,8.613094612850606,18.56598712033137,37.1150181460964,3.551866591028019,6.735886361808793,29019665633.351925,9833491170.007616,4055133529.801026,25,16,9,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Universal North America Ins Co;Auto Club Insurance Co. of FL;FL Farm Bureau General Ins Co.;Homesite Insurance Co.;State Farm FL Ins Co;AIG Property Casualty Co.;ASI Preferred Insurance Corp.;ACE Ins Co. of the Midwest;Castle Key Indemnity Co.;First Liberty Insurance Corp.,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Universal North America Ins Co,2243845073.1060905,9,34.296269979690315,963803509.0219126,0.0,0,1.0,3370546809.3356533,321099960.0,4162382998.5763936,539937478.65,359958319.1,539937478.65,359958319.1,614133529.8010259,4055133529.801026,3441000000.0,1395853723.0,1395853723.0,0.0,False,15572230749.45739,15572230749.45739,0.0,1.0,11049673338.376316,4522557411.081073,2002695914.5176678,0.0,13,9464500000.0,9464500000.0,10
