scenario,policy_scenario,policy_severity,events,wind_shares,total_damage_usd,wind_total_usd,water_total_usd,underinsured_wind_usd,uninsured_wind_usd,nfip_policyholder_shortfall_usd,wind_insured_private_usd,wind_insured_citizens_usd,wind_underinsured_usd,wind_uninsured_usd,flood_insured_capped_usd,flood_un_derinsured_usd,wind_insured_private_pct,wind_insured_citizens_pct,wind_underinsured_pct,wind_uninsured_pct,flood_insured_capped_pct,flood_un_derinsured_pct,insured_private_wind_pre_usd,insured_citizens_wind_pre_usd,insured_flood_pre_usd,defaults_pre,defaults_post,rescued_defaults,default_companies_pre,default_companies_post,group_contrib_total_usd,group_supported_companies,defaulted_premium_base_pct,largest_entity_deficit_usd,diag_group_shortfall_total_usd,diag_groups_with_shortfall,diag_groups_fully_funded_share,figa_residual_deficit_usd,figa_collected_usd,citizens_residual_deficit_usd,citizens_tier1_usd,citizens_tier2_usd,citizens_tier1_capacity_usd,citizens_tier2_capacity_usd,nfip_borrowed_usd,nfip_claims_paid_usd,nfip_pool_used_usd,nfip_fl_premium_base_usd,nfip_fl_premium_depletion_usd,underinsured_flood_usd,fhcf_cap_binding,fhcf_total_precap_usd,fhcf_total_postcap_usd,fhcf_shortfall_usd,fhcf_scaling_factor,fhcf_recovery_private_usd,fhcf_recovery_citizens_usd,catbond_payout_usd,catbond_unfilled_usd,catbond_triggers,catbond_limit_in_force_usd,catbond_issue_volume_year_usd,iter
double_gm,baseline,,COMPOSITE,"{""double_gm"": 0.6661152119807906}",321140213590.44794,213916381451.3576,107223832139.09032,33981059566.27674,66732869516.20954,0.0,83212623102.13875,29989829266.732544,33981059566.27674,66732869516.20954,31444179649.266914,75779652489.8234,25.911617287600208,9.338546839536813,10.58137789296391,20.77997917797812,9.791417679433902,23.597061122487027,83212623102.13875,29989829266.732544,31444179649.266914,37,24,13,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Spinnaker Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Unique Insurance Co.;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Vault E&S Insurance Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;Spinnaker Specialty Ins Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;QBE Specialty Insurance Co.;Auto Club Insurance Co. of FL;American Platinum P&C Ins Co.;Privilege Underwriters Recpl;FL Farm Bureau General Ins Co.;Castle Key Insurance Co.;Homesite Insurance Co.;PURE Specialty Exchange;State Farm FL Ins Co;AIG Property Casualty Co.;Foremost P&C Insurance Co.;ASI Preferred Insurance Corp.;Nationwide P&C Insurance Co.;ACE Ins Co. of the Midwest;Castle Key Indemnity Co.;First Liberty Insurance Corp.,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Spinnaker Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Unique Insurance Co.;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Vault E&S Insurance Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;Spinnaker Specialty Ins Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;QBE Specialty Insurance Co.;American Platinum P&C Ins Co.;Privilege Underwriters Recpl,11893399684.443542,14,37.427996398685764,5511734871.376566,110184969.52497056,1,0.9811320754716981,24012558900.874252,286515360.0,23936715672.33244,539937478.65,359958319.1,539937478.65,359958319.1,28003179649.266914,31444179649.266914,3441000000.0,1395853723.0,1395853723.0,0.0,True,27403078231.325752,16999999999.999998,10403078231.325754,0.6203682614227805,12131412720.470806,4868587279.529188,2575000000.0,0.0,14,9464500000.0,9464500000.0,1
double_gm,baseline,,COMPOSITE,"{""double_gm"": 0.6631529136220402}",321140213590.4479,212965068323.70984,108175145266.73807,77285038844.75298,73857034584.46532,0.0,47208690515.5208,14614304378.970736,77285038844.75298,73857034584.46532,31721425202.90506,76453720063.83302,14.700336026968685,4.550755016190046,24.06582407749005,22.998376241555242,9.877749300920497,23.80695933687549,47208690515.5208,14614304378.970736,31721425202.90506,32,19,13,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Vault E&S Insurance Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;Auto Club Insurance Co. of FL;American Platinum P&C Ins Co.;FL Farm Bureau General Ins Co.;Castle Key Insurance Co.;Homesite Insurance Co.;PURE Specialty Exchange;State Farm FL Ins Co;AIG Property Casualty Co.;Foremost P&C Insurance Co.;ASI Preferred Insurance Corp.;Nationwide P&C Insurance Co.;ACE Ins Co. of the Midwest;Castle Key Indemnity Co.;First Liberty Insurance Corp.,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Vault E&S Insurance Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;American Platinum P&C Ins Co.,4991878386.371678,13,35.41856476294073,2789202041.431986,31763164.929201238,1,0.9811320754716981,10040299872.717278,308706120.0,8954063744.531307,539937478.65,359958319.1,539937478.65,359958319.1,28280425202.90506,31721425202.90506,3441000000.0,1395853723.0,1395853723.0,0.0,False,15563172000.756725,15563172000.756725,0.0,1.0,11040614589.675653,4522557411.081073,2335396327.07918,0.0,14,9464500000.0,9464500000.0,2
double_gm,baseline,,COMPOSITE,"{""double_gm"": 0.6039756464541733}",321140213590.4479,193960868105.72208,127179345484.72581,45904610124.33409,83863085160.36139,0.0,47972588975.31794,16220583845.708649,45904610124.33409,83863085160.36139,37259906548.068565,89919438936.65726,14.938206722530763,5.05093512405608,14.294257829346943,26.11416496948355,11.602379574794192,28.000055779788475,47972588975.31794,16220583845.708649,37259906548.068565,32,20,12,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Unique Insurance Co.;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Vault E&S Insurance Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;Auto Club Insurance Co. of FL;American Platinum P&C Ins Co.;FL Farm Bureau General Ins Co.;Castle Key Insurance Co.;Homesite Insurance Co.;State Farm FL Ins Co;AIG Property Casualty Co.;Foremost P&C Insurance Co.;ASI Preferred Insurance Corp.;Nationwide P&C Insurance Co.;ACE Ins Co. of the Midwest;Castle Key Indemnity Co.;First Liberty Insurance Corp.,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Unique Insurance Co.;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Vault E&S Insurance Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;American Platinum P&C Ins Co.,4942735010.945558,12,35.51416660549837,2888434935.41226,35273039.7912886,1,0.9811320754716981,11015606793.043705,307650360.0,9031357323.719107,539937478.65,359958319.1,539937478.65,359958319.1,33818906548.068565,37259906548.068565,3441000000.0,1395853723.0,1395853723.0,0.0,True,25397009532.893974,17000000000.000002,8397009532.893972,0.6693701468270017,10945470163.422237,6054529836.5777645,2229506444.982587,0.0,14,9464500000.0,9464500000.0,3
double_gm,baseline,,COMPOSITE,"{""double_gm"": 0.7000295951623592}",321140213590.44794,224807653710.07483,96332559880.3731,38471513879.42297,109480684013.34752,0.0,64093553109.46239,12761902707.841928,38471513879.42297,109480684013.34752,28270086157.402554,68062473722.97052,19.958121218416228,3.9739348009892215,11.979662543441517,34.09124095338895,8.80303523539894,21.194005248365126,64093553109.46239,12761902707.841928,28270086157.402554,35,22,13,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Unique Insurance Co.;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Vault E&S Insurance Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;Spinnaker Specialty Ins Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;QBE Specialty Insurance Co.;Auto Club Insurance Co. of FL;American Platinum P&C Ins Co.;FL Farm Bureau General Ins Co.;Castle Key Insurance Co.;Homesite Insurance Co.;PURE Specialty Exchange;State Farm FL Ins Co;AIG Property Casualty Co.;Foremost P&C Insurance Co.;ASI Preferred Insurance Corp.;Nationwide P&C Insurance Co.;ACE Ins Co. of the Midwest;Castle Key Indemnity Co.;First Liberty Insurance Corp.,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Unique Insurance Co.;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Vault E&S Insurance Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;Spinnaker Specialty Ins Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;QBE Specialty Insurance Co.;American Platinum P&C Ins Co.,7576275602.014379,13,35.89838321723671,4128915121.938693,57401469.461799845,1,0.9811320754716981,17000396624.175026,303407340.0,7406713385.377804,539937478.65,359958319.1,539937478.65,359958319.1,24829086157.402554,28270086157.402554,3441000000.0,1395853723.0,1395853723.0,0.0,True,24498403945.053764,17000000000.0,7498403945.053764,0.6939227566876782,12698780052.75897,4301219947.241027,2403548555.0371165,0.0,14,9464500000.0,9464500000.0,4
double_gm,baseline,,COMPOSITE,"{""double_gm"": 0.7539449474627977}",321140213590.4479,242122041463.6419,79018172126.806,23129803943.024822,160044581972.1991,0.0,47709813917.32851,11237841631.089483,23129803943.024822,160044581972.1991,23224074619.10628,55794097507.69972,14.856381075393172,3.499356715699633,7.202400373477488,49.836356581709495,7.231755363009158,17.373749890711064,47709813917.32851,11237841631.089483,23224074619.10628,32,19,13,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Vault E&S Insurance Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;Auto Club Insurance Co. of FL;American Platinum P&C Ins Co.;FL Farm Bureau General Ins Co.;Castle Key Insurance Co.;Homesite Insurance Co.;PURE Specialty Exchange;State Farm FL Ins Co;AIG Property Casualty Co.;Foremost P&C Insurance Co.;ASI Preferred Insurance Corp.;Nationwide P&C Insurance Co.;ACE Ins Co. of the Midwest;Castle Key Indemnity Co.;First Liberty Insurance Corp.,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Vault E&S Insurance Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;American Platinum P&C Ins Co.,4824186968.233191,13,35.41856476294073,2390411743.4668856,46613734.5824212,1,0.9811320754716981,10301154326.262442,308706120.0,5647354213.397014,539937478.65,359958319.1,539937478.65,359958319.1,19783074619.10628,23224074619.10628,3441000000.0,1395853723.0,1395853723.0,0.0,False,15387121955.839092,15387121955.839092,0.0,1.0,10864564544.758018,4522557411.081073,2256533580.4773254,0.0,14,9464500000.0,9464500000.0,5
double_gm,baseline,,COMPOSITE,"{""double_gm"": 0.7225038299802558}",321140213590.44794,232025034279.776,89115179310.67192,60947945225.143745,80138264485.42601,0.0,67155649587.289154,23783174981.91707,60947945225.143745,80138264485.42601,26166691792.592606,62948487518.079315,20.911628860324903,7.405853884200219,18.978608920921697,24.954291332578745,8.148058288945135,19.601558713029288,67155649587.289154,23783174981.91707,26166691792.592606,35,22,13,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Unique Insurance Co.;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Vault E&S Insurance Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;Spinnaker Specialty Ins Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;QBE Specialty Insurance Co.;Auto Club Insurance Co. of FL;American Platinum P&C Ins Co.;FL Farm Bureau General Ins Co.;Castle Key Insurance Co.;Homesite Insurance Co.;PURE Specialty Exchange;State Farm FL Ins Co;AIG Property Casualty Co.;Foremost P&C Insurance Co.;ASI Preferred Insurance Corp.;Nationwide P&C Insurance Co.;ACE Ins Co. of the Midwest;Castle Key Indemnity Co.;First Liberty Insurance Corp.,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Unique Insurance Co.;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Vault E&S Insurance Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;Spinnaker Specialty Ins Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;QBE Specialty Insurance Co.;American Platinum P&C Ins Co.,8439674588.800606,13,35.89838321723671,4037967748.5698843,77567551.07071804,1,0.9811320754716981,17706683539.670864,303407340.0,17699288146.299217,539937478.65,359958319.1,539937478.65,359958319.1,22725691792.592606,26166691792.592606,3441000000.0,1395853723.0,1395853723.0,0.0,True,27002578727.424995,17000000000.000002,10002578727.424994,0.6295695004393806,12094299114.634947,4905700885.365057,2485791102.8207397,0.0,14,9464500000.0,9464500000.0,6
double_gm,baseline,,COMPOSITE,"{""double_gm"": 0.6911457885350392}",321140213590.4479,221954706152.281,99185507438.16689,24506672877.514103,117824577243.54262,0.0,64518079314.45883,15105376716.765488,24506672877.514103,117824577243.54262,29101533766.158794,70083973672.00807,20.090314630212937,4.703670259131567,7.631144229345134,36.68944973481429,9.061940091773172,21.823481054722908,64518079314.45883,15105376716.765488,29101533766.158794,35,22,13,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Unique Insurance Co.;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Vault E&S Insurance Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;Spinnaker Specialty Ins Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;QBE Specialty Insurance Co.;Auto Club Insurance Co. of FL;American Platinum P&C Ins Co.;FL Farm Bureau General Ins Co.;Castle Key Insurance Co.;Homesite Insurance Co.;PURE Specialty Exchange;State Farm FL Ins Co;AIG Property Casualty Co.;Foremost P&C Insurance Co.;ASI Preferred Insurance Corp.;Nationwide P&C Insurance Co.;ACE Ins Co. of the Midwest;Castle Key Indemnity Co.;First Liberty Insurance Corp.,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Unique Insurance Co.;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Vault E&S Insurance Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;Spinnaker Specialty Ins Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;QBE Specialty Insurance Co.;American Platinum P&C Ins Co.,7540468168.810379,13,35.89838321723671,4003330502.901127,64507175.55531177,1,0.9811320754716981,16032573884.694042,303407340.0,10414918352.01331,539937478.65,359958319.1,539937478.65,359958319.1,25660533766.158794,29101533766.158794,3441000000.0,1395853723.0,1395853723.0,0.0,True,22063437703.90074,17000000000.0,5063437703.900742,0.7705054954783613,13409867381.49582,3590132618.504179,2456482314.472416,0.0,14,9464500000.0,9464500000.0,7
double_gm,baseline,,COMPOSITE,"{""double_gm"": 0.6345821703776315}",321140213590.4479,203789853735.76257,117350359854.68532,40190461620.649536,101067970807.6816,0.0,50955517534.70761,11575903772.72386,40190461620.649536,101067970807.6816,34395400126.88629,82954959727.79901,15.867062229612733,3.6046260427187367,12.514926477536905,31.471602287894783,10.71039959223262,25.83138337000423,50955517534.70761,11575903772.72386,34395400126.88629,33,21,12,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Unique Insurance Co.;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Vault E&S Insurance Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;QBE Specialty Insurance Co.;Auto Club Insurance Co. of FL;American Platinum P&C Ins Co.;FL Farm Bureau General Ins Co.;Castle Key Insurance Co.;Homesite Insurance Co.;State Farm FL Ins Co;AIG Property Casualty Co.;Foremost P&C Insurance Co.;ASI Preferred Insurance Corp.;Nationwide P&C Insurance Co.;ACE Ins Co. of the Midwest;Castle Key Indemnity Co.;First Liberty Insurance Corp.,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Unique Insurance Co.;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Vault E&S Insurance Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;QBE Specialty Insurance Co.;American Platinum P&C Ins Co.,5310008065.658638,12,35.80938809441937,2811628948.1161613,37343624.89448078,1,0.9811320754716981,11305077638.13883,304390140.0,6580706989.956402,539937478.65,359958319.1,539937478.65,359958319.1,30954400126.88629,34395400126.88629,3441000000.0,1395853723.0,1395853723.0,0.0,True,19654110843.76631,17000000000.0,2654110843.7663116,0.8649589968803847,13088173278.377363,3911826721.6226344,2177737513.534337,0.0,14,9464500000.0,9464500000.0,8
double_gm,baseline,,COMPOSITE,"{""double_gm"": 0.7572897210665588}",321140213590.4479,243196182773.1654,77944030817.28249,60190441210.74231,77432122931.42688,0.0,81710318519.21974,23863300111.776474,60190441210.74231,77432122931.42688,22911032684.343124,55032998132.939384,25.443813967012375,7.430804085535512,18.742729394676044,24.111624659431953,7.134277089807789,17.136750803536337,81710318519.21974,23863300111.776474,22911032684.343124,38,23,15,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Spinnaker Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Unique Insurance Co.;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Vault E&S Insurance Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;Spinnaker Specialty Ins Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;QBE Specialty Insurance Co.;Auto Club Insurance Co. of FL;American Platinum P&C Ins Co.;Privilege Underwriters Recpl;FL Farm Bureau General Ins Co.;Castle Key Insurance Co.;Chubb Custom Insurance Co.;Homesite Insurance Co.;PURE Specialty Exchange;State Farm FL Ins Co;AIG Property Casualty Co.;Foremost P&C Insurance Co.;ASI Preferred Insurance Corp.;Nationwide P&C Insurance Co.;ACE Ins Co. of the Midwest;Castle Key Indemnity Co.;First Liberty Insurance Corp.,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Spinnaker Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Unique Insurance Co.;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Vault E&S Insurance Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;Spinnaker Specialty Ins Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;QBE Specialty Insurance Co.;American Platinum P&C Ins Co.,10390957960.602514,15,36.189312511589605,5719126600.678488,78024002.1489187,1,0.9811320754716981,23531376006.079906,300194520.0,19480814712.499306,539937478.65,359958319.1,539937478.65,359958319.1,19470032684.343124,22911032684.343124,3441000000.0,1395853723.0,1395853723.0,0.0,True,24640652247.245884,17000000000.0,7640652247.245884,0.6899168020968321,13771343361.05265,3228656638.947349,2574999999.9999995,0.0,14,9464500000.0,9464500000.0,9
double_gm,baseline,,COMPOSITE,"{""double_gm"": 0.7126635198106699}",321140213590.44794,228864914970.11893,92275298620.329,38301119808.88472,84676504753.17622,0.0,84357510554.70714,21529779853.350815,38301119808.88472,84676504753.17622,27087659875.661976,65187638744.667015,26.268124322259055,6.704168130375561,11.926603454816895,26.367456073615458,8.43483896732006,20.298809051612952,84357510554.70714,21529779853.350815,27087659875.661976,38,23,15,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Spinnaker Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Unique Insurance Co.;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Vault E&S Insurance Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;Spinnaker Specialty Ins Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;QBE Specialty Insurance Co.;Auto Club Insurance Co. of FL;American Platinum P&C Ins Co.;Privilege Underwriters Recpl;FL Farm Bureau General Ins Co.;Castle Key Insurance Co.;Chubb Custom Insurance Co.;Homesite Insurance Co.;PURE Specialty Exchange;State Farm FL Ins Co;AIG Property Casualty Co.;Foremost P&C Insurance Co.;ASI Preferred Insurance Corp.;Nationwide P&C Insurance Co.;ACE Ins Co. of the Midwest;Castle Key Indemnity Co.;First Liberty Insurance Corp.,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Spinnaker Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Unique Insurance Co.;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Vault E&S Insurance Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;Spinnaker Specialty Ins Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;QBE Specialty Insurance Co.;American Platinum P&C Ins Co.,11833975672.039352,15,36.189312511589605,6271038034.380787,106493717.20423433,1,0.9811320754716981,26690237118.404842,300194520.0,15213149571.515356,539937478.65,359958319.1,539937478.65,359958319.1,23646659875.661976,27087659875.661976,3441000000.0,1395853723.0,1395853723.0,0.0,True,29475951908.410194,16999999999.999998,12475951908.410196,0.5767413399514162,11783308357.45179,5216691642.548211,2574999999.9999995,0.0,14,9464500000.0,9464500000.0,10
