scenario,policy_scenario,policy_severity,events,wind_shares,total_damage_usd,wind_total_usd,water_total_usd,underinsured_wind_usd,uninsured_wind_usd,nfip_policyholder_shortfall_usd,wind_insured_private_usd,wind_insured_citizens_usd,wind_underinsured_usd,wind_uninsured_usd,flood_insured_capped_usd,flood_un_derinsured_usd,wind_insured_private_pct,wind_insured_citizens_pct,wind_underinsured_pct,wind_uninsured_pct,flood_insured_capped_pct,flood_un_derinsured_pct,insured_private_wind_pre_usd,insured_citizens_wind_pre_usd,insured_flood_pre_usd,defaults_pre,defaults_post,rescued_defaults,default_companies_pre,default_companies_post,group_contrib_total_usd,group_supported_companies,defaulted_premium_base_pct,largest_entity_deficit_usd,diag_group_shortfall_total_usd,diag_groups_with_shortfall,diag_groups_fully_funded_share,figa_residual_deficit_usd,figa_collected_usd,citizens_residual_deficit_usd,citizens_tier1_usd,citizens_tier2_usd,citizens_tier1_capacity_usd,citizens_tier2_capacity_usd,nfip_borrowed_usd,nfip_claims_paid_usd,nfip_pool_used_usd,nfip_fl_premium_base_usd,nfip_fl_premium_depletion_usd,underinsured_flood_usd,fhcf_cap_binding,fhcf_total_precap_usd,fhcf_total_postcap_usd,fhcf_shortfall_usd,fhcf_scaling_factor,fhcf_recovery_private_usd,fhcf_recovery_citizens_usd,catbond_payout_usd,catbond_unfilled_usd,catbond_triggers,catbond_limit_in_force_usd,catbond_issue_volume_year_usd,iter
lake_okeechobee,baseline,,1928250N14343,"{""1928250N14343"": 0.26095116444867733}",156882125783.81442,40938573404.47023,115943552379.3442,6868833996.303007,16306057250.469997,0.0,15259919632.78467,2503762524.9125576,6868833996.303007,16306057250.469997,17988602597.980812,97954949781.36337,9.726996977216535,1.5959514268456396,4.378340720451703,10.393827320353852,11.46631747122635,62.438566083905926,15259919632.78467,2503762524.9125576,17988602597.980812,22,15,7,Universal P&C Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;American Platinum P&C Ins Co.;FL Farm Bureau General Ins Co.;State Farm FL Ins Co;AIG Property Casualty Co.;ASI Preferred Insurance Corp.;ACE Ins Co. of the Midwest;Castle Key Indemnity Co.;First Liberty Insurance Corp.,Universal P&C Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;American Platinum P&C Ins Co.,847234480.9375324,7,33.69602015223382,1064363813.1756141,764065.440425761,1,0.9811320754716981,2631363141.9465327,327728700.0,1449934915.0142622,539937478.65,359958319.1,539937478.65,359958319.1,14547602597.980812,17988602597.980812,3441000000.0,1395853723.0,1395853723.0,0.0,False,34395962.2906609,34395962.2906609,0.0,1.0,34395962.2906609,0.0,2067760029.0031252,0.0,13,9464500000.0,9464500000.0,1
lake_okeechobee,baseline,,1928250N14343,"{""1928250N14343"": 0.13322657908223748}",156882125783.81442,20900868937.326874,135981256846.48755,5160410656.971483,8483923056.608635,0.0,6257293539.807962,999241683.938795,5160410656.971483,8483923056.608635,21086487003.491734,114894769842.99582,3.9885318410528123,0.6369378786438442,3.289355387804086,5.4078328007230025,13.440974807129516,73.23636728464675,6257293539.807962,999241683.938795,21086487003.491734,10,7,3,Universal P&C Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Tower Hill Insurance Exchange;Kin Interinsurance Network;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;FL Farm Bureau General Ins Co.;ASI Preferred Insurance Corp.;Castle Key Indemnity Co.,Universal P&C Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Tower Hill Insurance Exchange;Kin Interinsurance Network;Homeowners Choice P&C Ins Co.;Edison Insurance Co.,146941110.730886,3,24.95048899234104,116625753.61631161,0.0,0,1.0,0.0,275004584.83240616,0.0,539937478.65,309165139.50463855,539937478.65,359958319.1,17645487003.491734,21086487003.491734,3441000000.0,1395853723.0,1395853723.0,0.0,False,2104607.673064593,2104607.673064593,0.0,1.0,2104607.673064593,0.0,1385533699.8935504,0.0,10,9464500000.0,9464500000.0,2
lake_okeechobee,baseline,,1928250N14343,"{""1928250N14343"": 0.12811408457395326}",156882125783.81442,20098809930.80917,136783315853.00525,4805082753.074918,7735554782.408622,0.0,6466118399.441499,1092053995.884132,4805082753.074918,7735554782.408622,21210487539.215023,115572828313.79022,4.121641243153406,0.6960984181136073,3.0628618327727044,4.9308069633556055,13.520015383042008,73.66857615956266,6466118399.441499,1092053995.884132,21210487539.215023,10,6,4,Universal P&C Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Tower Hill Insurance Exchange;Kin Interinsurance Network;Edison Insurance Co.;FL Farm Bureau General Ins Co.;AIG Property Casualty Co.;ASI Preferred Insurance Corp.;Castle Key Indemnity Co.,Universal P&C Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Tower Hill Insurance Exchange;Kin Interinsurance Network;Edison Insurance Co.,146977501.26660827,4,22.600436402091265,116403327.66826516,0.0,0,1.0,0.0,350309715.3624674,34635509.432911396,539937478.65,359958319.1,539937478.65,359958319.1,17769487539.215023,21210487539.215023,3441000000.0,1395853723.0,1395853723.0,0.0,False,1553946.719367966,1553946.719367966,0.0,1.0,1553946.719367966,0.0,1402652595.3675516,0.0,10,9464500000.0,9464500000.0,3
lake_okeechobee,baseline,,1928250N14343,"{""1928250N14343"": 0.31362398747126313}",156882125783.8144,49201997851.28813,107680127932.52628,8209647546.161752,23105354462.55037,0.0,15530732217.656065,2356263624.9199495,8209647546.161752,23105354462.55037,16711054375.2345,90969073557.29178,9.899618672338502,1.5019324943154526,5.233003763267941,14.72784381720442,10.65198109200952,57.98562016086418,15530732217.656065,2356263624.9199495,16711054375.2345,24,15,9,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Auto Club Insurance Co. of FL;FL Farm Bureau General Ins Co.;Homesite Insurance Co.;State Farm FL Ins Co;AIG Property Casualty Co.;ASI Preferred Insurance Corp.;ACE Ins Co. of the Midwest;Castle Key Indemnity Co.;First Liberty Insurance Corp.,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co,929270781.3551193,9,33.98254315570729,1007532478.2744043,0.0,0,1.0,2661972996.9870896,324564540.0,1312606916.0639277,539937478.65,359958319.1,539937478.65,359958319.1,13270054375.2345,16711054375.2345,3441000000.0,1395853723.0,1395853723.0,0.0,False,21726824.708995495,21726824.708995495,0.0,1.0,21726824.708995495,0.0,2071406044.2235298,0.0,13,9464500000.0,9464500000.0,4
lake_okeechobee,baseline,,1928250N14343,"{""1928250N14343"": 0.42613410770513405}",156882125783.81442,66852824685.77035,90029301098.04407,10244352341.128206,33505689498.738785,0.0,20028696201.213047,3074086644.6903,10244352341.128206,33505689498.738785,13982187838.422485,76047113259.62158,12.766716476555684,1.9594881375628672,6.529967827721212,21.357238328673628,8.91254358555169,48.47404564393491,20028696201.213047,3074086644.6903,13982187838.422485,26,17,9,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Universal North America Ins Co;Auto Club Insurance Co. of FL;American Platinum P&C Ins Co.;FL Farm Bureau General Ins Co.;Homesite Insurance Co.;State Farm FL Ins Co;AIG Property Casualty Co.;ASI Preferred Insurance Corp.;ACE Ins Co. of the Midwest;Castle Key Indemnity Co.;First Liberty Insurance Corp.,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Universal North America Ins Co;American Platinum P&C Ins Co.,1672805593.1471357,9,34.45361965929429,1303439095.7527542,8762032.124159075,1,0.9811320754716981,4361306510.990776,319362300.0,2028080568.5010676,539937478.65,359958319.1,539937478.65,359958319.1,10541187838.422485,13982187838.422485,3441000000.0,1395853723.0,1395853723.0,0.0,False,169732012.6178381,169732012.6178381,0.0,1.0,169732012.6178381,0.0,2104722535.8720942,0.0,13,9464500000.0,9464500000.0,5
lake_okeechobee,baseline,,1928250N14343,"{""1928250N14343"": 0.29164207797586006}",156882125783.8144,45753429160.86188,111128696622.95253,10206895659.863766,19628014820.011734,0.0,13522985414.010473,2395533266.9759045,10206895659.863766,19628014820.011734,17244212611.24514,93884484011.7074,8.61983820428678,1.5269637984616427,6.506092143300633,12.511313651536945,10.991827478809082,59.84396472360493,13522985414.010473,2395533266.9759045,17244212611.24514,20,13,7,Universal P&C Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;FL Farm Bureau General Ins Co.;State Farm FL Ins Co;AIG Property Casualty Co.;ASI Preferred Insurance Corp.;ACE Ins Co. of the Midwest;Castle Key Indemnity Co.;First Liberty Insurance Corp.,Universal P&C Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co,634988043.1953715,7,30.467154307056973,752384169.2501125,0.0,0,1.0,1821321215.2461166,363386040.0,1331465760.9726858,539937478.65,359958319.1,539937478.65,359958319.1,13803212611.24514,17244212611.24514,3441000000.0,1395853723.0,1395853723.0,0.0,False,13639035.241785662,13639035.241785662,0.0,1.0,13639035.241785662,0.0,1986171078.4141514,0.0,13,9464500000.0,9464500000.0,6
lake_okeechobee,baseline,,1928250N14343,"{""1928250N14343"": 0.29451802125709925}",156882125783.81442,46204613256.45637,110677512527.35805,6726669294.685119,24277813543.345978,0.0,13264816154.222395,1935314264.202872,6726669294.685119,24277813543.345978,17174458305.004694,93503054222.35335,8.455275633185568,1.2336104285517906,4.287721919292804,15.475194144679755,10.947364602052447,59.60083327223763,13264816154.222395,1935314264.202872,17174458305.004694,19,13,6,Universal P&C Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;FL Farm Bureau General Ins Co.;State Farm FL Ins Co;AIG Property Casualty Co.;ASI Preferred Insurance Corp.;Castle Key Indemnity Co.;First Liberty Insurance Corp.,Universal P&C Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co,601327048.036869,6,30.467154307056973,717550425.9181404,0.0,0,1.0,1765093179.2064724,363386040.0,896515693.1225456,539937478.65,359958319.1,539937478.65,359958319.1,13733458305.004694,17174458305.004694,3441000000.0,1395853723.0,1395853723.0,0.0,False,13302269.468713343,13302269.468713343,0.0,1.0,13302269.468713343,0.0,2002191333.7060905,0.0,13,9464500000.0,9464500000.0,7
lake_okeechobee,baseline,,1928250N14343,"{""1928250N14343"": 0.17195196456979114}",156882125783.8144,26976189734.411964,129905936049.40244,5158781518.434769,12407359161.171688,0.0,8255706597.121641,1154342457.6838715,5158781518.434769,12407359161.171688,20147225643.15841,109758710406.24403,5.262362780893288,0.7358024070087948,3.2883169402890653,7.908714328787965,12.842269661058486,69.9625338819624,8255706597.121641,1154342457.6838715,20147225643.15841,14,10,4,Universal P&C Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Tower Hill Insurance Exchange;Kin Interinsurance Network;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;FL Farm Bureau General Ins Co.;AIG Property Casualty Co.;ASI Preferred Insurance Corp.;Castle Key Indemnity Co.,Universal P&C Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Tower Hill Insurance Exchange;Kin Interinsurance Network;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.,238993626.98512447,4,27.742306200487974,316645726.76923144,0.0,0,1.0,414925091.89625406,393477360.0,120640678.687451,539937478.65,359958319.1,539937478.65,359958319.1,16706225643.15841,20147225643.15841,3441000000.0,1395853723.0,1395853723.0,0.0,False,6633249.661313373,6633249.661313373,0.0,1.0,6633249.661313373,0.0,1579447259.807086,0.0,12,9464500000.0,9464500000.0,8
lake_okeechobee,baseline,,1928250N14343,"{""1928250N14343"": 0.34680199743072626}",156882125783.8144,54407034583.005264,102475091200.80914,12374651123.093124,18696841671.23632,0.0,20220919335.17245,3114622453.5033712,12374651123.093124,18696841671.23632,15906341332.99265,86568749867.8165,12.889243586001085,1.985326523300278,7.887865530420944,11.917764103350315,10.139039902424445,55.180760354502944,20220919335.17245,3114622453.5033712,15906341332.99265,26,17,9,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Universal North America Ins Co;Auto Club Insurance Co. of FL;American Platinum P&C Ins Co.;FL Farm Bureau General Ins Co.;Homesite Insurance Co.;State Farm FL Ins Co;AIG Property Casualty Co.;ASI Preferred Insurance Corp.;ACE Ins Co. of the Midwest;Castle Key Indemnity Co.;First Liberty Insurance Corp.,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Universal North America Ins Co;American Platinum P&C Ins Co.,1576856008.9893131,9,34.45361965929429,1401522441.6332586,7919145.387835868,1,0.9811320754716981,4405910850.229651,319362300.0,2067420730.3323383,539937478.65,359958319.1,539937478.65,359958319.1,12465341332.99265,15906341332.99265,3441000000.0,1395853723.0,1395853723.0,0.0,False,288685631.2253139,288685631.2253139,0.0,1.0,288685631.2253139,0.0,2108538981.9595566,0.0,13,9464500000.0,9464500000.0,9
lake_okeechobee,baseline,,1928250N14343,"{""1928250N14343"": 0.33646256587658135}",156882125783.81442,52784962581.394775,104097163202.41965,8003361231.730739,24174764981.114124,0.0,17741290475.23167,2865545893.318239,8003361231.730739,24174764981.114124,16157118140.61773,87940045061.80191,11.308675469938109,1.8265598321041354,5.101512483811874,15.409508801804012,10.298890367461265,56.0548530448806,17741290475.23167,2865545893.318239,16157118140.61773,25,17,8,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Universal North America Ins Co;Auto Club Insurance Co. of FL;American Platinum P&C Ins Co.;FL Farm Bureau General Ins Co.;State Farm FL Ins Co;AIG Property Casualty Co.;ASI Preferred Insurance Corp.;ACE Ins Co. of the Midwest;Castle Key Indemnity Co.;First Liberty Insurance Corp.,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Universal North America Ins Co;American Platinum P&C Ins Co.,1239570868.449804,8,34.45361965929429,1219416150.4259143,3761100.837020956,1,0.9811320754716981,3674255292.1234627,319362300.0,1812560074.0190477,539937478.65,359958319.1,539937478.65,359958319.1,12716118140.61773,16157118140.61773,3441000000.0,1395853723.0,1395853723.0,0.0,False,204167454.47418627,204167454.47418627,0.0,1.0,204167454.47418627,0.0,2102305367.4808202,0.0,13,9464500000.0,9464500000.0,10
