scenario,variant,n,total_damage_usd_mean,wind_total_usd_mean,water_total_usd_mean,fhcf_total_precap_usd_mean,fhcf_total_postcap_usd_mean,fhcf_shortfall_usd_mean,fhcf_cap_binding_mean,fhcf_recovery_private_usd_mean,fhcf_recovery_citizens_usd_mean,catbond_payout_usd_mean,defaults_post_mean,figa_residual_deficit_usd_mean,citizens_residual_deficit_usd_mean,nfip_borrowed_usd_mean,largest_entity_deficit_usd_mean,residual_financing_requirement_mean
great_miami,old_both_bugs,100,170354720952.15985,122882299981.91483,47472420970.24499,15663621767.838354,13732438362.898428,1931183404.9399261,0.49,10186711893.874464,3545726469.0239625,2147170370.7854414,18.16,7282020750.231882,6089529785.695749,10553692068.59956,1928535694.2739868,23925242604.52719
great_miami,formula_fix_only,100,170354720952.15985,122882299981.91483,47472420970.24499,15968105902.141418,13804386141.39016,2163719760.751261,0.49,10290693564.957119,3513692576.43304,2147764207.2693324,18.18,7324750158.893995,6120233697.434858,10553692068.59956,1939591273.1232898,23998675924.928413
great_miami,aggregation_fix_only,100,170354720952.15985,122882299981.91483,47472420970.24499,14268975599.547058,14268975599.547058,0.0,0.0,9982649373.836973,4286326225.7100816,2095769420.1272955,17.63,6827499073.02256,5373732795.764678,10553692068.59956,1893253318.4637067,22754923937.3868
great_miami,both_fixed,100,170354720952.15985,122882299981.91483,47472420970.24499,14683189232.861488,14683189232.861488,0.0,0.0,10358946616.735271,4324242616.126216,2093714624.947482,17.6,6778561218.079721,5334368624.193454,10553692068.59956,1881261632.140549,22666621910.872734
andrew,old_both_bugs,100,114169083378.42007,102173837958.7126,11995245419.707485,12847869796.391539,12846258944.175528,1610852.2160126877,0.01,8854754888.509327,3991504055.6661973,2008129561.6125054,15.83,3988753823.688559,5351681770.998369,1509261937.3318243,1189832637.6704652,10849697532.018753
andrew,formula_fix_only,100,114169083378.42007,102173837958.7126,11995245419.707485,13161828669.27807,13154963464.271936,6865205.006134281,0.02,9131812911.8946,4023150552.3773346,2006602451.4796958,15.85,3961040867.283774,5318277867.434489,1509261937.3318243,1182050339.4331234,10788580672.050087
andrew,aggregation_fix_only,100,114169083378.42007,102173837958.7126,11995245419.707485,13535772935.497906,13535772935.497906,0.0,0.0,9313977058.968443,4221795876.52946,1939622767.325965,15.0,3667420595.3394976,5124931346.040683,1509261937.3318243,1111360547.9409897,10301613878.712006
andrew,both_fixed,100,114169083378.42007,102173837958.7126,11995245419.707485,13906041224.361639,13906041224.361639,0.0,0.0,9647242605.377878,4258798618.98376,1936838077.6918452,14.93,3629416776.1355567,5085547381.548767,1509261937.3318243,1101280738.3807812,10224226095.016148
lake_okeechobee,old_both_bugs,100,156882125783.81442,50220498047.28827,106661627736.52617,329978054.49797857,329978054.49797857,0.0,0.0,327215839.0349108,2762215.463067782,1922393617.2033987,13.78,3538549455.116615,1723208650.425003,13112591434.338633,1114520816.991662,18374349539.88025
lake_okeechobee,formula_fix_only,100,156882125783.81442,50220498047.28827,106661627736.52617,330255352.83731335,330255352.83731335,0.0,0.0,327493137.3742456,2762215.463067782,1922393617.2033987,13.77,3538277332.6069922,1723207289.6616328,13112591434.338633,1114520086.5495048,18374076056.607258
lake_okeechobee,aggregation_fix_only,100,156882125783.81442,50220498047.28827,106661627736.52617,7155088805.22797,7155088805.22797,0.0,0.0,6450829413.803671,704259391.4242991,1615259384.9691231,10.04,1022810034.7240044,985820529.8616388,13112591434.338633,399775788.04762995,15121221998.924276
lake_okeechobee,both_fixed,100,156882125783.81442,50220498047.28827,106661627736.52617,7339956739.880342,7339956739.880342,0.0,0.0,6634783700.494207,705173039.3861337,1612587360.1056137,9.99,1007253650.585635,982721995.0549343,13112591434.338633,395379173.5049251,15102567079.979202
irma,old_both_bugs,100,32020681848.663742,16692453826.835106,15328228021.828632,5477812.641972538,5477812.641972538,0.0,0.0,5477812.641972538,0.0,1387309026.2823434,5.19,112125977.16498053,0.0,33025284.481009267,127565267.1171486,145151261.6459898
irma,formula_fix_only,100,32020681848.663742,16692453826.835106,15328228021.828632,5483298.020714495,5483298.020714495,0.0,0.0,5483298.020714495,0.0,1387309026.2823434,5.19,112125908.00495645,0.0,33025284.481009267,127565214.7783043,145151192.48596573
irma,aggregation_fix_only,100,32020681848.663742,16692453826.835106,15328228021.828632,845951323.7382666,845951323.7382666,0.0,0.0,845951323.7382666,0.0,1320582966.9655108,2.97,802947.9856030226,0.0,33025284.481009267,89037883.24744011,33828232.46661229
irma,both_fixed,100,32020681848.663742,16692453826.835106,15328228021.828632,846440336.5947046,846440336.5947046,0.0,0.0,846440336.5947046,0.0,1320582966.9655106,2.97,800483.4220859695,0.0,33025284.481009267,89032689.7204149,33825767.90309524
gm_then_andrew,old_both_bugs,100,266548625724.7618,205873398456.7794,60675227267.982445,22223614984.791397,16485577542.439564,5738037442.351828,0.83,12094467774.8287,4391109767.610861,2366923014.299314,21.35,16070811632.889938,13734171683.1851,15498278357.026573,3927220693.026247,45303261673.10161
gm_then_andrew,formula_fix_only,100,266548625724.7618,205873398456.7794,60675227267.982445,22795683042.364674,16530322026.940794,6265361015.423877,0.86,12204832395.893116,4325489631.047676,2368834359.7528176,21.45,16160058814.20168,13798464458.699474,15498278357.026573,3947697722.226575,45456801629.92773
gm_then_andrew,aggregation_fix_only,100,266548625724.7618,205873398456.7794,60675227267.982445,14692307747.480396,14692307747.480396,0.0,0.0,10197924792.924942,4494382954.555455,2388251240.0831256,21.44,16737520500.58959,13641660431.440529,15498278357.026573,4137797823.3826694,45877459289.056694
gm_then_andrew,both_fixed,100,266548625724.7618,205873398456.7794,60675227267.982445,15127185070.795357,15127185070.795357,0.0,0.0,10588033366.110006,4539151704.685348,2386983392.3750677,21.45,16683620065.439209,13596003492.023262,15498278357.026573,4125617027.2501464,45777901914.489044
double_gm,old_both_bugs,100,321140213590.4479,228644265920.34653,92495947670.10133,24887792143.285244,16712407581.909136,8175384561.3761015,0.91,12146641825.002508,4565765756.906632,2439326640.385062,22.15,19587253023.75098,14183824359.518957,23710964641.55448,4693570758.699104,57482042024.82442
double_gm,formula_fix_only,100,321140213590.4479,228644265920.34653,92495947670.10133,25546373009.515656,16732313041.804218,8814059967.711435,0.93,12244259694.575703,4488053347.228516,2440786726.025703,22.19,19688383533.333397,14260296093.041054,23710964641.55448,4716667053.113533,57659644267.92893
double_gm,aggregation_fix_only,100,321140213590.4479,228644265920.34653,92495947670.10133,14730504145.935276,14730504145.935276,0.0,0.0,10220301489.752655,4510202656.182621,2461910466.2227736,22.13,20306164781.46335,14246626184.97482,23710964641.55448,4927825205.50945,58263755607.99265
double_gm,both_fixed,100,321140213590.4479,228644265920.34653,92495947670.10133,15166755583.896801,15166755583.896801,0.0,0.0,10611327353.603369,4555428230.293432,2460999570.534548,22.12,20251060997.18219,14200774478.718412,23710964641.55448,4915561935.475408,58162800117.455086
double_irma,old_both_bugs,100,62383714581.577034,31978029563.19261,30405685018.384422,68343758.15128678,68343758.15128678,0.0,0.0,68343758.15128678,0.0,1846825508.748011,11.81,1407594144.5279117,60226301.86685703,1616476221.928631,616195801.8108078,3084296668.3233995
double_irma,formula_fix_only,100,62383714581.577034,31978029563.19261,30405685018.384422,68405304.01764306,68405304.01764306,0.0,0.0,68405304.01764306,0.0,1846825508.748011,11.81,1407592536.4541767,60226048.61312199,1616476221.928631,616195386.7345302,3084294806.9959297
double_irma,aggregation_fix_only,100,62383714581.577034,31978029563.19261,30405685018.384422,4562672654.128963,4562672654.128963,0.0,0.0,4562672654.128963,0.0,1443136773.4045603,7.41,108778365.37293768,40219977.82919418,1616476221.928631,184057622.8542478,1765474565.130763
double_irma,both_fixed,100,62383714581.577034,31978029563.19261,30405685018.384422,4599655244.666125,4599655244.666125,0.0,0.0,4599655244.666125,0.0,1442781464.9111445,7.39,106229220.44448973,39761970.994974546,1616476221.928631,183829899.222461,1762467413.3680954
