metric,var_between_season,E_var_within_season,var_total,eta_squared,pct_hazard,pct_params,exceeds_0.95
total_damage_usd,8.191846040819463e+21,1.2358194910145007e-10,8.191846040819463e+21,1.0,100.0,0.0,True
wind_insured_private_usd,6.773219675664688e+20,1.6378666698989386e+19,6.937006342654582e+20,0.9763894309880048,97.6389430988005,2.3610569011995097,True
wind_insured_citizens_usd,4.057466293611682e+19,1.5267932566817948e+18,4.210145619279861e+19,0.9637353812730368,96.37353812730368,3.62646187269633,True
flood_insured_capped_usd,2.5985940337645625e+19,7.68965111298499e+18,3.3675591450630615e+19,0.7716550539503296,77.16550539503297,22.83449460496704,False
wind_uninsured_usd,9.763205914452009e+20,2.3007704239934927e+19,9.993282956851358e+20,0.9769768309981046,97.69768309981046,2.3023169001895383,True
wind_underinsured_usd,6.764686927333204e+19,1.6314903981304745e+18,6.927835967146251e+19,0.976450216115574,97.6450216115574,2.3549783884425968,True
flood_un_derinsured_usd,2.0579601617600315e+20,6.908300463317683e+19,2.7487902080918e+20,0.7486785116237227,74.86785116237226,25.13214883762773,False
fhcf_shortfall_usd,8.392675917908796e+18,4.962400348300372e+17,8.888915952738833e+18,0.9441731660566396,94.41731660566396,5.58268339433603,False
figa_residual_deficit_usd,8.023500804872117e+19,2.908489046408942e+18,8.31434970951301e+19,0.9650184422351018,96.50184422351018,3.4981557764898197,True
citizens_residual_deficit_usd,3.0081450125561307e+19,1.4394151875775163e+18,3.1520865313138823e+19,0.954334528152134,95.4334528152134,4.566547184786596,True
nfip_borrowed_usd,2.0490519495478297e+19,7.434744408200411e+18,2.792526390367871e+19,0.733762787924056,73.3762787924056,26.623721207594397,False
catbond_payout_usd,6.313537191978707e+17,3359872966115402.0,6.347135921639862e+17,0.9947064739000464,99.47064739000464,0.5293526099953705,True
defaults_post,44.83187863545161,0.4505850340136055,45.282463669465216,0.9900494584989322,99.00494584989322,0.9950541501067778,True
largest_entity_deficit_usd,4.051954648134338e+18,1.6478989587749926e+17,4.2167445440118374e+18,0.9609201140459134,96.09201140459132,3.9079885954086624,True
group_contrib_total_usd,1.600746563685895e+19,5.78699839770185e+17,1.6586165476629135e+19,0.965109485939616,96.5109485939616,3.489051406038413,True
