Metric,delta_vs_f0.4_at_f=0.1,delta_vs_f0.4_at_f=0.2,delta_vs_f0.4_at_f=0.3,delta_vs_f0.4_at_f=0.5,elasticity_centered_loglog_0.3_0.5
"Wind insured, private",-0.75,-0.5,-0.24999999999999983,0.2500000000000001,1.0000000000000029
"Wind insured, Citizens",-0.75,-0.5,-0.24999999999999992,0.24999999999999992,1.0000000000000029
Wind un/underinsured,0.5000000000000001,0.3333333333333332,0.1666666666666665,-0.1666666666666668,-0.6586831610768021
FHCF shortfall (diagnostic),-0.9525092050079123,-0.7368217543129112,-0.3851362489930298,0.3910840895040725,1.5982713170261575
FIGA residual deficit,-0.8817780054164832,-0.6377679886236686,-0.3358092961112048,0.3566856290779403,1.3981887766704766
Citizens residual deficit,-0.8371769276148121,-0.5977639040732265,-0.3121388383594772,0.319984989567724,1.2759513149380395
NFIP Treasury borrowing,0.0,0.0,0.0,0.0,0.0
Residual financing requirement,-0.7341902083239006,-0.5286539747169018,-0.2775597849276855,0.2912818296219986,1.1368967688623344
Insurer defaults (count),-0.627773735903965,-0.3578574026918879,-0.1548744998181156,0.12909239723535834,0.5670903141086852
Largest entity deficit,-0.8392046682544088,-0.5933265737599998,-0.3065402786531485,0.3163654046545627,1.2547071815067918
