Metric,f=0.1,f=0.2,f=0.3,f=0.4,f=0.5
"Wind insured, private",1360695595.7910533,2721391191.5821066,4082086787.373161,5442782383.164213,6803477978.955267
"Wind insured, Citizens",267123972.0137281,534247944.0274562,801371916.0411844,1068495888.0549124,1335619860.0686405
Wind un/underinsured,14650376110.321424,13022556542.50793,11394736974.694439,9766917406.880949,8139097839.067456
FHCF shortfall (diagnostic),17236583.21020538,95519431.32678977,223162198.25202647,362945771.1347447,504888087.5783298
FIGA residual deficit,149994681.0033509,459583474.1834952,842694907.2053742,1268754443.9743707,1721300920.9688015
Citizens residual deficit,116413499.81896587,287586464.21790993,491799620.55179393,714969310.6365687,943748758.0418539
NFIP Treasury borrowing,355337096.81218296,355337096.81218296,355337096.81218296,355337096.81218296,355337096.81218296
Residual financing requirement,621745277.6344998,1102507035.213588,1689831624.5693512,2339060851.423122,3020386775.822839
Insurer defaults (count),0.8186,1.4122,1.8586,2.1992,2.4831
Largest entity deficit,52156351.46184305,131910559.33591758,224933949.00558007,324364836.3148025,426982649.011246
