county,county_fips,n_res_structures_all,n_res_structures_sfha,s_sfha_share_of_stock,rate_all_county_reported,rate_sfha_reported,rate_non_sfha_inferred,rate_baseline_structure_weighted,rate_sfha_only_config,rate_non_sfha_only_config,envelope_min,envelope_max,baseline_within_envelope,sfha_rate_exceeds_non_sfha_rate
Alachua,12001.0,84597.0,3207.0,0.037909145714387034,0.0284,0.2049,0.02144539255436786,0.0284,0.2049,0.02144539255436786,0.02144539255436786,0.2049,True,True
Baker,12003.0,9954.0,460.0,0.04621257785814748,0.0163,0.1652,0.009085548767642719,0.0163,0.1652,0.009085548767642719,0.009085548767642719,0.1652,True,True
Bay,12005.0,74934.0,10173.0,0.1357594683321323,0.2065,0.629,0.14013146801315604,0.2065,0.629,0.14013146801315604,0.14013146801315604,0.629,True,True
Bradford,12007.0,10879.0,1345.0,0.12363268682783345,0.0432,0.2186,0.018455611495699603,0.0432,0.2186,0.018455611495699603,0.018455611495699603,0.2186,True,True
Brevard,12009.0,249193.0,16988.0,0.06817205940776827,0.1318,0.4128,0.11124218255420856,0.1318,0.4128,0.11124218255420856,0.11124218255420856,0.4128,True,True
Broward,12011.0,652397.0,210033.0,0.32194047489488764,0.2114,0.3964,0.12356259686592944,0.2114,0.3964,0.12356259686592944,0.12356259686592944,0.3964,True,True
Calhoun,12013.0,6430.0,604.0,0.09393468118195956,0.012,0.0894,0.0039756951596292495,0.012,0.0894,0.0039756951596292495,0.0039756951596292495,0.0894,True,True
Charlotte,12015.0,100666.0,46716.0,0.4640692984721753,0.3448,0.6095,0.11559286005560694,0.3448,0.6095,0.11559286005560694,0.11559286005560694,0.6095,True,True
Citrus,12017.0,78835.0,12085.0,0.1532948563455318,0.0784,0.4067,0.01896171535580524,0.0784,0.4067,0.01896171535580524,0.01896171535580524,0.4067,True,True
Clay,12019.0,78156.0,3454.0,0.044193663954142995,0.0582,0.4186,0.04153616770635325,0.0582,0.4186,0.04153616770635325,0.04153616770635325,0.4186,True,True
Collier,12021.0,174174.0,91979.0,0.5280868556730626,0.34,0.4263,0.24342736541152143,0.34,0.4263,0.24342736541152143,0.24342736541152143,0.4263,True,True
Columbia,12023.0,28107.0,1826.0,0.06496602269897178,0.0251,0.2185,0.011662596552642596,0.0251,0.2185,0.011662596552642596,0.011662596552642596,0.2185,True,True
DeSoto,12027.0,13371.0,907.0,0.06783337072769427,0.0387,0.2878,0.020573098523748393,0.0387,0.2878,0.020573098523748393,0.020573098523748393,0.2878,True,True
Dixie,12029.0,9564.0,3795.0,0.39680050188205773,0.0625,0.1386,0.012439417576703063,0.0625,0.1386,0.012439417576703063,0.012439417576703063,0.1386,True,True
Duval,12031.0,328032.0,9619.0,0.029323358696712515,0.074,0.4067,0.06394940124932084,0.07399999999999998,0.4067,0.06394940124932084,0.06394940124932084,0.4067,True,True
Escambia,12033.0,120946.0,7910.0,0.06540108808889918,0.0927,0.6459,0.053988332920485514,0.0927,0.6459,0.053988332920485514,0.053988332920485514,0.6459,True,True
Flagler,12035.0,49625.0,2476.0,0.049894206549118386,0.1656,0.733,0.13580334683662432,0.1656,0.733,0.13580334683662432,0.13580334683662432,0.733,True,True
Franklin,12037.0,7893.0,4259.0,0.5395920435829216,0.2853,0.4696,0.06930283434232251,0.2853,0.4696,0.06930283434232251,0.06930283434232251,0.4696,True,True
Gadsden,12039.0,18318.0,313.0,0.017087018233431596,0.0056,0.099,0.003976328797556234,0.0056,0.099,0.003976328797556234,0.003976328797556234,0.099,True,True
Gilchrist,12041.0,7707.0,807.0,0.1047100038925652,0.0247,0.1586,0.009039521739130436,0.0247,0.1586,0.009039521739130436,0.009039521739130436,0.1586,True,True
Glades,12043.0,7161.0,641.0,0.08951263789973467,0.0309,0.1638,0.017834217791411044,0.0309,0.1638,0.017834217791411044,0.017834217791411044,0.1638,True,True
Gulf,12045.0,8319.0,3404.0,0.40918379612934247,0.2094,0.3931,0.08217420142421163,0.2094,0.3931,0.08217420142421163,0.08217420142421163,0.3931,True,True
Hamilton,12047.0,5243.0,294.0,0.056074766355140186,0.0103,0.1361,0.0028267326732673275,0.0103,0.1361,0.0028267326732673275,0.0028267326732673275,0.1361,True,True
Hardee,12049.0,9203.0,483.0,0.052482886015429754,0.0172,0.1822,0.008060665137614678,0.0172,0.1822,0.008060665137614678,0.008060665137614678,0.1822,True,True
Hendry,12051.0,14936.0,1298.0,0.08690412426352437,0.0536,0.2889,0.031205264701569146,0.0536,0.2889,0.031205264701569146,0.031205264701569146,0.2889,True,True
