Metric,RP10,RP25,RP50,RP100,RP250,RP500,RP1000
Total loss,39.516147299276604,146.90752834756782,246.42175832988482,357.1695270785346,563.913388140884,628.0145471543367,738.0249822089891
Insured wind -- private,11.564345571391755,41.8275518558219,69.68584936069767,103.23016643327115,155.22164893347662,198.4212775156824,214.32645760370315
Citizens wind,1.780951732801752,6.826384599612496,14.513767125948945,22.09918635422665,35.58583718452677,53.5985281260828,62.930396906401626
Insured flood -- NFIP,0.8870388105503618,3.6712351665704706,7.435514580577094,13.736073531599667,26.110916344356177,37.55311917883114,50.27154629158339
Un/underinsured wind,19.752011507290398,71.77759342066764,125.88220633437525,183.0774145663623,257.5587803625649,321.12753232181876,392.0822428068516
Un/underinsured flood,3.8519992552949986,15.140859093194782,28.421220791767556,47.095102885372384,87.26835414909677,112.72121072101524,141.71696973424685
FHCF shortfall,0.0,0.0,6.483155778704626,13.712886100399178,20.78329077513592,26.774194951486084,29.62903040245125
FIGA residual,0.9709727454543309,9.19759338994307,19.174747141305225,32.79067358109047,54.89718303617194,72.80521114355119,80.60948121119436
Citizens deficit,0.7162933226456059,4.4772805515045295,9.944875067375838,17.189189034353678,29.335899630225764,47.250544587258425,57.21650271268691
NFIP Treasury borrowing,0.0,0.23023516657047038,3.9945145805770936,10.295073531599666,22.669916344356178,34.11211917883113,46.83054629158339
"Residual financing requirement (season-sum, legacy 4-component def., for reconciliation)",1.8852000935645392,15.603422909292693,39.06831056667883,73.75453934255853,125.69389226123734,151.93665592900828,184.1954686674385
"Residual financing requirement (season-sum, FIGA+Citizens+NFIP)",1.8852000935645392,15.456021577922579,33.256202237199055,58.58811693164078,99.10045280015832,136.12083704854047,163.42563769802697
