scenario,policy_scenario,policy_severity,events,wind_shares,total_damage_usd,wind_total_usd,water_total_usd,underinsured_wind_usd,uninsured_wind_usd,nfip_policyholder_shortfall_usd,wind_insured_private_usd,wind_insured_citizens_usd,wind_underinsured_usd,wind_uninsured_usd,flood_insured_capped_usd,flood_un_derinsured_usd,wind_insured_private_pct,wind_insured_citizens_pct,wind_underinsured_pct,wind_uninsured_pct,flood_insured_capped_pct,flood_un_derinsured_pct,insured_private_wind_pre_usd,insured_citizens_wind_pre_usd,insured_flood_pre_usd,defaults_pre,defaults_post,rescued_defaults,default_companies_pre,default_companies_post,group_contrib_total_usd,group_supported_companies,defaulted_premium_base_pct,largest_entity_deficit_usd,diag_group_shortfall_total_usd,diag_groups_with_shortfall,diag_groups_fully_funded_share,figa_residual_deficit_usd,figa_collected_usd,citizens_residual_deficit_usd,citizens_tier1_usd,citizens_tier2_usd,citizens_tier1_capacity_usd,citizens_tier2_capacity_usd,nfip_borrowed_usd,nfip_claims_paid_usd,nfip_pool_used_usd,nfip_fl_premium_base_usd,nfip_fl_premium_depletion_usd,underinsured_flood_usd,fhcf_cap_binding,fhcf_total_precap_usd,fhcf_total_postcap_usd,fhcf_shortfall_usd,fhcf_scaling_factor,fhcf_recovery_private_usd,fhcf_recovery_citizens_usd,catbond_payout_usd,catbond_unfilled_usd,catbond_triggers,catbond_limit_in_force_usd,catbond_issue_volume_year_usd,year_id
year_1,baseline,,"FL_canesm_20thcal_01389,FL_canesm_20thcal_03443,FL_canesm_20thcal_00926","{""FL_canesm_20thcal_01389"": 0.801681204179031, ""FL_canesm_20thcal_03443"": 0.7342478771443514, ""FL_canesm_20thcal_00926"": 0.7670600320252788}",149918905.08360538,120142497.22202015,29776407.86158522,36502919.72323491,40058115.664828725,0.0,36650742.8199973,6930719.013959199,36502919.72323491,40058115.664828725,5032535.907053972,24743871.954531245,24.447045420694778,4.6229786764345295,24.34844338202597,26.719856073181358,3.35683875509061,16.504837692572735,36650742.8199973,6930719.013959199,5032535.907053972,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,6930719.013959199,0.0,539937478.65,359958319.1,0.0,5032535.907053972,5032535.907053972,1395853723.0,5032535.907053972,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,1
year_2,baseline,,FL_canesm_20thcal_01208,"{""FL_canesm_20thcal_01208"": 0.9602696181485115}",4518457250.62671,4338937218.679683,179520031.94702706,768595352.9641596,1743960147.7402165,0.0,1657014506.9736242,169367211.00168335,768595352.9641596,1743960147.7402165,27446603.460749097,152073428.48627794,36.672129779335556,3.7483415601241363,17.010127800977987,38.59636267441347,0.6074330670483217,3.36560511810055,1657014506.9736242,169367211.00168335,27446603.460749097,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,68262955.39882949,0.0,539937478.65,359958319.1,0.0,27446603.460749097,27446603.460749097,1395853723.0,27446603.460749097,0.0,False,442157.9532271898,442157.9532271898,0.0,1.0,442157.9532271898,0.0,1090000000.0000002,0.0,7,9464500000.0,9464500000.0,2
year_3,baseline,,"FL_canesm_20thcal_02411,FL_canesm_20thcal_03226","{""FL_canesm_20thcal_02411"": 0.8315043287236806, ""FL_canesm_20thcal_03226"": 0.8584483702458438}",841300593.4220232,699652524.1911107,141648069.23091245,59588904.80609736,339813778.42034715,0.0,267411109.7796529,32838731.1850133,59588904.80609736,339813778.42034715,10519249.222796047,131128820.00811638,31.785441716134745,3.903329136074952,7.082950525889581,40.39148207873494,1.2503556166540415,15.586440926511743,267411109.7796529,32838731.1850133,10519249.222796047,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,10519249.222796047,10519249.222796047,1395853723.0,10519249.222796047,0.0,False,34642.70527557888,34642.70527557888,0.0,1.0,34642.70527557888,0.0,715000000.0,0.0,6,9464500000.0,9464500000.0,3
year_4,baseline,,"FL_canesm_20thcal_03483,FL_canesm_20thcal_01973","{""FL_canesm_20thcal_03483"": 0.8499792402295013, ""FL_canesm_20thcal_01973"": 0.9562507528392832}",1561.1070032566133,1492.8097471268136,68.2972561297997,240.29062410155353,691.5360995234277,0.0,233.9509980602114,327.03202544162104,240.29062410155353,691.5360995234277,45.09665344265612,23.20060268714358,14.98622436336318,20.94872579262037,15.392322473750045,44.29780265419472,2.88876120269657,1.4861635133751228,233.9509980602114,327.03202544162104,45.09665344265612,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,327.03202544162104,0.0,539937478.65,359958319.1,0.0,45.09665344265612,45.09665344265612,1395853723.0,45.09665344265612,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,4
year_5,baseline,,"FL_canesm_20thcal_01250,FL_canesm_20thcal_03605","{""FL_canesm_20thcal_01250"": 0.902164305457654, ""FL_canesm_20thcal_03605"": 0.7296842168898009}",2925048926.9217005,2134362035.6052134,790686891.3164872,344731420.2540109,594516824.710853,0.0,1062693587.8126771,132420202.82767232,344731420.2540109,594516824.710853,76825592.92334642,713861298.3931408,36.330797000754714,4.527110695786902,11.785492443601745,20.325021548836723,2.6264720639800405,24.405106247039875,1062693587.8126771,132420202.82767232,76825592.92334642,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,11634120.039697569,0.0,539937478.65,359958319.1,0.0,76825592.92334642,76825592.92334642,1395853723.0,76825592.92334642,0.0,False,124949.62022400001,124949.62022400001,0.0,1.0,124949.62022400001,0.0,1090000000.0000005,0.0,7,9464500000.0,9464500000.0,5
year_6,baseline,,"FL_canesm_20thcal_02583,FL_canesm_20thcal_03813","{""FL_canesm_20thcal_02583"": 0.8685022282594902, ""FL_canesm_20thcal_03813"": 0.8564480555654514}",191336262.44695532,163869569.9318558,27466692.515099518,32473710.82741277,79019535.89928828,0.0,44349827.61851866,8026495.586636104,32473710.82741277,79019535.89928828,5156091.705293768,22310600.80980575,23.178997567601115,4.194968315983131,16.972062907529377,41.29877676543153,2.694780194487809,11.66041424896704,44349827.61851866,8026495.586636104,5156091.705293768,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,8026495.586636104,0.0,539937478.65,359958319.1,0.0,5156091.705293768,5156091.705293768,1395853723.0,5156091.705293768,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,6
year_7,baseline,,"FL_canesm_20thcal_01320,FL_canesm_20thcal_01766","{""FL_canesm_20thcal_01320"": 0.8029923863052799, ""FL_canesm_20thcal_01766"": 0.919791757648447}",104270021.3634395,83728033.2747308,20541988.088708695,21811942.96169474,34271928.056201495,0.0,23855763.621438622,3788398.635395936,21811942.96169474,34271928.056201495,3071512.5626124595,17470475.526096236,22.878832582461943,3.633257753147707,20.91870959311295,32.86843870180539,2.945729292513057,16.755032076958948,23855763.621438622,3788398.635395936,3071512.5626124595,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,3788398.635395936,0.0,539937478.65,359958319.1,0.0,3071512.5626124595,3071512.5626124595,1395853723.0,3071512.5626124595,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,7
year_8,baseline,,"FL_canesm_20thcal_00697,FL_canesm_20thcal_00612","{""FL_canesm_20thcal_00697"": 0.9765965201673884, ""FL_canesm_20thcal_00612"": 0.7986030887706117}",9116.676471762132,7280.605989671601,1836.070482090531,1005.9642197513758,3648.405403082536,0.0,2311.1477449968697,315.0886218408188,1005.9642197513758,3648.405403082536,523.8309085404285,1312.2395735501025,25.350770669063305,3.4561786064995283,11.034330579430295,40.01902902206804,5.745853877374448,14.39383724556438,2311.1477449968697,315.0886218408188,523.8309085404285,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,315.0886218408188,0.0,539937478.65,359958319.1,0.0,523.8309085404285,523.8309085404285,1395853723.0,523.8309085404285,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,8
year_9,baseline,,"FL_canesm_20thcal_03258,FL_canesm_20thcal_01928","{""FL_canesm_20thcal_03258"": 0.748047283010878, ""FL_canesm_20thcal_01928"": 0.9171359127543597}",2970587.9675121107,2724432.907001338,246155.06051077286,770894.3921857383,1126317.1201568218,0.0,798454.1392046788,28767.255454099337,770894.3921857383,1126317.1201568218,6448.2118791069215,239706.84863166595,26.878656614009987,0.96840274614699,25.950902670334585,37.91562924494441,0.21706853827013062,8.069340186293902,798454.1392046788,28767.255454099337,6448.2118791069215,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,28767.255454099337,0.0,539937478.65,359958319.1,0.0,6448.2118791069215,6448.2118791069215,1395853723.0,6448.2118791069215,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,9
year_10,baseline,,"FL_canesm_20thcal_03630,FL_canesm_20thcal_03144","{""FL_canesm_20thcal_03630"": 0.8807192841255356, ""FL_canesm_20thcal_03144"": 0.9219702098408061}",268243599.39549583,247312607.6231184,20930991.772377416,37334678.89970548,108642021.31796393,0.0,97048906.93158485,4287000.473864134,37334678.89970548,108642021.31796393,2088513.8171130884,18842477.955264326,36.179393338849756,1.5981743771427037,13.918199347101504,40.50125392098663,0.778588500087118,7.024390515832272,97048906.93158485,4287000.473864134,2088513.8171130884,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,2058727.1911258409,0.0,539937478.65,359958319.1,0.0,2088513.8171130884,2088513.8171130884,1395853723.0,2088513.8171130884,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,52671814.81089798,0.0,2,9464500000.0,9464500000.0,10
year_11,baseline,,"FL_canesm_20thcal_03844,FL_canesm_20thcal_03574","{""FL_canesm_20thcal_03844"": 0.7952446646021719, ""FL_canesm_20thcal_03574"": 0.822072353603383}",452581319.4742793,359912879.6105316,92668439.86374767,75376416.11045556,150708070.61676538,0.0,109735001.95717315,24093390.926137522,75376416.11045556,150708070.61676538,9911729.303274307,82756710.56047335,24.246471790890944,5.323549578697708,16.65477846014793,33.2996666304806,2.1900438389255266,18.285489700857287,109735001.95717315,24093390.926137522,9911729.303274307,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,3811566.408346248,0.0,539937478.65,359958319.1,0.0,9911729.303274307,9911729.303274307,1395853723.0,9911729.303274307,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,112656785.76662135,0.0,3,9464500000.0,9464500000.0,11
year_12,baseline,,"FL_canesm_20thcal_01520,FL_canesm_20thcal_01202","{""FL_canesm_20thcal_01520"": 0.9803038323422784, ""FL_canesm_20thcal_01202"": 0.7426403514669808}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,0.0,0.0,1395853723.0,0.0,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,12
year_13,baseline,,FL_canesm_20thcal_01766,"{""FL_canesm_20thcal_01766"": 0.892337413012212}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,0.0,0.0,1395853723.0,0.0,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,13
year_14,baseline,,FL_canesm_20thcal_00126,"{""FL_canesm_20thcal_00126"": 0.8966031162265625}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,0.0,0.0,1395853723.0,0.0,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,14
year_15,baseline,,FL_canesm_20thcal_02868,"{""FL_canesm_20thcal_02868"": 0.7352598959950355}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,0.0,0.0,1395853723.0,0.0,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,15
year_16,baseline,,"FL_canesm_20thcal_01388,FL_canesm_20thcal_03742","{""FL_canesm_20thcal_01388"": 0.8491324193523776, ""FL_canesm_20thcal_03742"": 0.9717506709466254}",115851630.47305888,112578899.64245549,3272730.830603384,22568315.12401425,39599805.85481967,0.0,41214580.97266541,9196197.690956134,22568315.12401425,39599805.85481967,486521.0941894039,2786209.7364139794,35.57531370458338,7.937909594716232,19.48036038151615,34.18148341384677,0.41995187482712526,2.4049810305103203,41214580.97266541,9196197.690956134,486521.0941894039,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,9196197.690956134,0.0,539937478.65,359958319.1,0.0,486521.0941894039,486521.0941894039,1395853723.0,486521.0941894039,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,16
year_17,baseline,,"FL_canesm_20thcal_00417,FL_canesm_20thcal_03605","{""FL_canesm_20thcal_00417"": 0.7868218756483497, ""FL_canesm_20thcal_03605"": 0.9538509535490945}",3448477157.8711843,3201905490.5649896,246571667.30619487,593175909.3519013,1386473561.6046784,0.0,1107331300.2243307,114924719.38407966,593175909.3519013,1386473561.6046784,42028894.891183086,204542772.41501176,32.110733217322775,3.3326223177022594,17.20109724369121,40.205386265645934,1.2187668053781857,5.931394150259653,1107331300.2243307,114924719.38407966,42028894.891183086,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,12423505.20532159,0.0,539937478.65,359958319.1,0.0,42028894.891183086,42028894.891183086,1395853723.0,42028894.891183086,0.0,False,144212.13084765128,144212.13084765128,0.0,1.0,144212.13084765128,0.0,1089999999.9999998,0.0,7,9464500000.0,9464500000.0,17
year_18,baseline,,"FL_canesm_20thcal_03024,FL_canesm_20thcal_01101","{""FL_canesm_20thcal_03024"": 0.8306427495343965, ""FL_canesm_20thcal_01101"": 0.7001986971882944}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,0.0,0.0,1395853723.0,0.0,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,18
