scenario,policy_scenario,policy_severity,events,wind_shares,total_damage_usd,wind_total_usd,water_total_usd,underinsured_wind_usd,uninsured_wind_usd,nfip_policyholder_shortfall_usd,wind_insured_private_usd,wind_insured_citizens_usd,wind_underinsured_usd,wind_uninsured_usd,flood_insured_capped_usd,flood_un_derinsured_usd,wind_insured_private_pct,wind_insured_citizens_pct,wind_underinsured_pct,wind_uninsured_pct,flood_insured_capped_pct,flood_un_derinsured_pct,insured_private_wind_pre_usd,insured_citizens_wind_pre_usd,insured_flood_pre_usd,defaults_pre,defaults_post,rescued_defaults,default_companies_pre,default_companies_post,group_contrib_total_usd,group_supported_companies,defaulted_premium_base_pct,largest_entity_deficit_usd,diag_group_shortfall_total_usd,diag_groups_with_shortfall,diag_groups_fully_funded_share,figa_residual_deficit_usd,figa_collected_usd,citizens_residual_deficit_usd,citizens_tier1_usd,citizens_tier2_usd,citizens_tier1_capacity_usd,citizens_tier2_capacity_usd,nfip_borrowed_usd,nfip_claims_paid_usd,nfip_pool_used_usd,nfip_fl_premium_base_usd,nfip_fl_premium_depletion_usd,underinsured_flood_usd,fhcf_cap_binding,fhcf_total_precap_usd,fhcf_total_postcap_usd,fhcf_shortfall_usd,fhcf_scaling_factor,fhcf_recovery_private_usd,fhcf_recovery_citizens_usd,catbond_payout_usd,catbond_unfilled_usd,catbond_triggers,catbond_limit_in_force_usd,catbond_issue_volume_year_usd,year_id
year_1,baseline,,"FL_canesm_ssp245_2cal_00926,FL_canesm_ssp245_2cal_01390","{""FL_canesm_ssp245_2cal_00926"": 0.801681204179031, ""FL_canesm_ssp245_2cal_01390"": 0.7342478771443514}",39573808.62944772,31725578.556006186,7848230.073441538,5526895.584474283,7619622.324677334,0.0,17455189.80282809,1123870.8440264785,5526895.584474283,7619622.324677334,573938.1886496803,7274291.884791858,44.10793503923529,2.839936015635811,13.966044148607928,19.25420521442409,1.4502980848363445,18.38158149726054,17455189.80282809,1123870.8440264785,573938.1886496803,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1123870.8440264785,0.0,539937478.65,359958319.1,0.0,573938.1886496803,573938.1886496803,1395853723.0,573938.1886496803,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9464500000.0,9464500000.0,1
year_2,baseline,,"FL_canesm_ssp245_2cal_00434,FL_canesm_ssp245_2cal_00411","{""FL_canesm_ssp245_2cal_00434"": 0.7223936388735638, ""FL_canesm_ssp245_2cal_00411"": 0.9602696181485115}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,0.0,0.0,1395853723.0,0.0,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9464500000.0,9464500000.0,2
year_3,baseline,,FL_canesm_ssp245_2cal_02412,"{""FL_canesm_ssp245_2cal_02412"": 0.8315043287236806}",13078748482.759151,10875035977.702503,2203712505.0566483,1433302012.2761986,2903257794.8876057,0.0,4737260008.91848,1801216161.6202202,1433302012.2761986,2903257794.8876057,682658006.2828197,1521054498.7738283,36.221049859344696,13.77208349862102,10.959015032406395,22.19828448199595,5.219597327547988,11.629969800083959,4737260008.91848,1801216161.6202202,682658006.2828197,4.0,1,3.0,First Protective Insurance Co.;FL Farm Bureau General Ins Co.;ASI Preferred Insurance Corp.;Castle Key Indemnity Co.,First Protective Insurance Co.,71738530.9955813,3.0,4.237368573953127,5335948.184749246,0.0,0.0,1.0,0.0,5335948.184749247,599542047.0637586,539937478.65,359958319.1,539937478.65,359958319.1,0.0,682658006.2828197,682658006.2828197,1395853723.0,682658006.2828197,0.0,False,32622347.29939152,32622347.29939152,0.0,1.0,32622347.29939152,0.0,1287257948.5332794,0.0,10.0,9464500000.0,9464500000.0,3
year_4,baseline,,"FL_canesm_ssp245_2cal_02249,FL_canesm_ssp245_2cal_03225,FL_canesm_ssp245_2cal_01973","{""FL_canesm_ssp245_2cal_02249"": 0.9385337321066677, ""FL_canesm_ssp245_2cal_03225"": 0.8499792402295013, ""FL_canesm_ssp245_2cal_01973"": 0.9562507528392832}",69611303.86725423,66543633.72787032,3067670.139383902,16253455.098717427,15404883.967662118,0.0,31575510.741127152,3309783.9203636264,16253455.098717427,15404883.967662118,296039.58950090583,2771630.5498829954,45.359746171886535,4.7546644531687585,23.34887323718583,22.129859824258673,0.4252751680466159,3.981581145453583,31575510.741127152,3309783.9203636264,296039.58950090583,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3309783.9203636264,0.0,539937478.65,359958319.1,0.0,296039.58950090583,296039.58950090583,1395853723.0,296039.58950090583,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9464500000.0,9464500000.0,4
year_5,baseline,,"FL_canesm_ssp245_2cal_03605,FL_canesm_ssp245_2cal_01250,FL_canesm_ssp245_2cal_01103","{""FL_canesm_ssp245_2cal_03605"": 0.902164305457654, ""FL_canesm_ssp245_2cal_01250"": 0.7296842168898009, ""FL_canesm_ssp245_2cal_01103"": 0.8949373427597096}",132206890275.26414,96470912114.08876,35735978161.175385,16505797943.085155,32523696668.787815,0.0,37503377493.670204,9938040008.545599,16505797943.085155,32523696668.787815,9760854205.00251,25975123956.172867,28.36718828767964,7.517036357071778,12.484824284663915,24.6006063686024,7.383014746568592,19.647329955413678,37503377493.670204,9938040008.545599,9760854205.00251,28.0,18,10.0,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;Auto Club Insurance Co. of FL;American Platinum P&C Ins Co.;FL Farm Bureau General Ins Co.;Homesite Insurance Co.;State Farm FL Ins Co;AIG Property Casualty Co.;Foremost P&C Insurance Co.;ASI Preferred Insurance Corp.;ACE Ins Co. of the Midwest;Castle Key Indemnity Co.;First Liberty Insurance Corp.,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;American Platinum P&C Ins Co.,2489335301.983492,10.0,35.166819401784345,1627263063.8556154,4645112.060400955,1.0,0.9811320754716981,5780797451.731542,311486220.0,5065897502.506153,539937478.65,359958319.1,539937478.65,359958319.1,6319854205.00251,9760854205.00251,3441000000.0,1395853723.0,1395853723.0,0.0,True,18104775337.78541,17000000000.0,1104775337.7854118,0.9389787877964053,13249300162.378326,3750699837.6216736,2125000000.0,0.0,13.0,9464500000.0,9464500000.0,5
year_6,baseline,,"FL_canesm_ssp245_2cal_01320,FL_canesm_ssp245_2cal_01727","{""FL_canesm_ssp245_2cal_01320"": 0.8564480555654514, ""FL_canesm_ssp245_2cal_01727"": 0.8029923863052799}",159660564.61240968,133402912.76664235,26257651.845767345,18358585.87518354,50730150.46465856,0.0,59261397.676696084,5052778.750104179,18358585.87518354,50730150.46465856,2524253.0063583744,23733398.83940897,37.11711644046758,3.164700539779658,11.498509929330798,31.773751137490052,1.5810122007812164,14.864909752150709,59261397.676696084,5052778.750104179,2524253.0063583744,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4713839.807173813,0.0,539937478.65,359958319.1,0.0,2524253.0063583744,2524253.0063583744,1395853723.0,2524253.0063583744,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,4314176.426800266,0.0,1.0,9464500000.0,9464500000.0,6
year_7,baseline,,FL_canesm_ssp245_2cal_03166,"{""FL_canesm_ssp245_2cal_03166"": 0.919791757648447}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,0.0,0.0,1395853723.0,0.0,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9464500000.0,9464500000.0,7
year_8,baseline,,FL_canesm_ssp245_2cal_00612,"{""FL_canesm_ssp245_2cal_00612"": 0.9765965201673884}",346630959.93493664,338518589.2547406,8112370.68019606,68254968.02234569,159650488.68685147,0.0,100907663.43537,9705469.110173462,68254968.02234569,159650488.68685147,1132434.9975567402,6979935.682639319,29.110978273351744,2.7999429456604794,19.69096125607398,46.057769541652654,0.32669759151614747,2.013650391745004,100907663.43537,9705469.110173462,1132434.9975567402,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3455900.910032817,0.0,539937478.65,359958319.1,0.0,1132434.9975567402,1132434.9975567402,1395853723.0,1132434.9975567402,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,71226265.09108692,0.0,2.0,9464500000.0,9464500000.0,8
year_9,baseline,,"FL_canesm_ssp245_2cal_01218,FL_canesm_ssp245_2cal_00697","{""FL_canesm_ssp245_2cal_01218"": 0.7986030887706117, ""FL_canesm_ssp245_2cal_00697"": 0.748047283010878}",45754884.28407614,36539991.91560512,9214892.368471023,4228142.632728248,13391933.124641966,0.0,17339290.043012995,1580626.1152219097,4228142.632728248,13391933.124641966,1727838.519711312,7487053.848759708,37.89604173263641,3.4545516614321494,9.240855263619908,29.268860219372684,3.7762930597392934,16.363398063199543,17339290.043012995,1580626.1152219097,1727838.519711312,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1580626.1152219097,0.0,539937478.65,359958319.1,0.0,1727838.519711312,1727838.519711312,1395853723.0,1727838.519711312,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9464500000.0,9464500000.0,9
year_10,baseline,,FL_canesm_ssp245_2cal_03258,"{""FL_canesm_ssp245_2cal_03258"": 0.7425538938632975}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,0.0,0.0,1395853723.0,0.0,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9464500000.0,9464500000.0,10
