scenario,policy_scenario,policy_severity,events,wind_shares,total_damage_usd,wind_total_usd,water_total_usd,underinsured_wind_usd,uninsured_wind_usd,nfip_policyholder_shortfall_usd,wind_insured_private_usd,wind_insured_citizens_usd,wind_underinsured_usd,wind_uninsured_usd,flood_insured_capped_usd,flood_un_derinsured_usd,wind_insured_private_pct,wind_insured_citizens_pct,wind_underinsured_pct,wind_uninsured_pct,flood_insured_capped_pct,flood_un_derinsured_pct,insured_private_wind_pre_usd,insured_citizens_wind_pre_usd,insured_flood_pre_usd,defaults_pre,defaults_post,rescued_defaults,default_companies_pre,default_companies_post,group_contrib_total_usd,group_supported_companies,defaulted_premium_base_pct,largest_entity_deficit_usd,diag_group_shortfall_total_usd,diag_groups_with_shortfall,diag_groups_fully_funded_share,figa_residual_deficit_usd,figa_collected_usd,citizens_residual_deficit_usd,citizens_tier1_usd,citizens_tier2_usd,citizens_tier1_capacity_usd,citizens_tier2_capacity_usd,nfip_borrowed_usd,nfip_claims_paid_usd,nfip_pool_used_usd,nfip_fl_premium_base_usd,nfip_fl_premium_depletion_usd,underinsured_flood_usd,fhcf_cap_binding,fhcf_total_precap_usd,fhcf_total_postcap_usd,fhcf_shortfall_usd,fhcf_scaling_factor,fhcf_recovery_private_usd,fhcf_recovery_citizens_usd,catbond_payout_usd,catbond_unfilled_usd,catbond_triggers,catbond_limit_in_force_usd,catbond_issue_volume_year_usd,year_id
year_1,building_codes,SENS_W00_F00,"FL_canesm_ssp245cal_00926,FL_canesm_ssp245cal_01390","{""FL_canesm_ssp245cal_00926"": 0.801681204179031, ""FL_canesm_ssp245cal_01390"": 0.7342478771443514}",139464392483.03717,105728994979.30289,33735397503.734283,18369275054.20749,38788561729.3704,0.0,44553428494.94191,4017729700.783091,18369275054.20749,38788561729.3704,2775902997.1882043,30959494506.54608,31.946095846910076,2.880828309829522,13.1713010949671,27.812519768505204,1.9904026739483576,22.19885230583974,44553428494.94191,4017729700.783091,2775902997.1882043,31,20,11,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Unique Insurance Co.;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Vault E&S Insurance Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;Auto Club Insurance Co. of FL;American Platinum P&C Ins Co.;FL Farm Bureau General Ins Co.;Castle Key Insurance Co.;Homesite Insurance Co.;State Farm FL Ins Co;AIG Property Casualty Co.;Foremost P&C Insurance Co.;ASI Preferred Insurance Corp.;ACE Ins Co. of the Midwest;Castle Key Indemnity Co.;First Liberty Insurance Corp.,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Unique Insurance Co.;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Vault E&S Insurance Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;American Platinum P&C Ins Co.,4698119473.723722,11,35.51416660549837,2460162433.8710866,23163450.69170241,1,0.9811320754716981,9952195783.972853,307650360.0,3002798594.599897,539937478.65,359958319.1,539937478.65,359958319.1,0.0,2775902997.1882043,2775902997.1882043,1395853723.0,1395853723.0,0.0,False,10501756431.163105,10501756431.163105,0.0,1.0,10501756431.163105,0.0,2142841562.3265722,0.0,14,9464500000.0,9464500000.0,1
year_2,building_codes,SENS_W00_F00,"FL_canesm_ssp245cal_00434,FL_canesm_ssp245cal_00411","{""FL_canesm_ssp245cal_00434"": 0.7223936388735638, ""FL_canesm_ssp245cal_00411"": 0.9602696181485115}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,0.0,0.0,1395853723.0,0.0,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,2
year_3,building_codes,SENS_W00_F00,"FL_canesm_ssp245cal_02411,FL_canesm_ssp245cal_02250,FL_canesm_ssp245cal_03226","{""FL_canesm_ssp245cal_02411"": 0.8315043287236806, ""FL_canesm_ssp245cal_02250"": 0.8584483702458438, ""FL_canesm_ssp245cal_03226"": 0.8123962527051113}",2148287651.5094466,1746612449.8086343,401675201.7008122,490718911.44886684,525561793.34100825,0.0,654392383.9222314,75939361.09652779,490718911.44886684,525561793.34100825,58917712.81129849,342757488.8895138,30.46111555230684,3.5348786296458337,22.842327986388327,24.46421888482829,2.742543009540704,15.954915937290002,654392383.9222314,75939361.09652779,58917712.81129849,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,58917712.81129849,58917712.81129849,1395853723.0,58917712.81129849,0.0,False,124949.62022400001,124949.62022400001,0.0,1.0,124949.62022400001,0.0,1070331745.0187595,0.0,7,9464500000.0,9464500000.0,3
year_4,building_codes,SENS_W00_F00,"FL_canesm_ssp245cal_01250,FL_canesm_ssp245cal_03605,FL_canesm_ssp245cal_00685","{""FL_canesm_ssp245cal_01250"": 0.9562507528392832, ""FL_canesm_ssp245cal_03605"": 0.902164305457654, ""FL_canesm_ssp245cal_00685"": 0.7296842168898009}",35758846276.088,34194423672.173347,1564422603.9146523,5411969701.6861725,15150355788.555477,0.0,12402923209.10188,1229174972.829818,5411969701.6861725,15150355788.555477,188314935.51655996,1376107668.3980927,34.684908772897785,3.437401093255543,15.13463174930553,42.36813366846946,0.5266247519917512,3.8482999640799327,12402923209.10188,1229174972.829818,188314935.51655996,16,12,4,Universal P&C Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Tower Hill Insurance Exchange;Kin Interinsurance Network;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;FL Farm Bureau General Ins Co.;AIG Property Casualty Co.;ASI Preferred Insurance Corp.;Castle Key Indemnity Co.,Universal P&C Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Tower Hill Insurance Exchange;Kin Interinsurance Network;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co,444495414.6175198,4,28.44562846231369,614613136.8889484,0.0,0,1.0,1495856702.4298165,385710360.0,230208306.2475524,539937478.65,359958319.1,539937478.65,359958319.1,0.0,188314935.51655996,188314935.51655996,1395853723.0,188314935.51655996,0.0,False,108438440.40985402,108438440.40985402,0.0,1.0,108438440.40985402,0.0,1998495991.4669247,0.0,13,9464500000.0,9464500000.0,4
year_5,building_codes,SENS_W00_F00,"FL_canesm_ssp245cal_02582,FL_canesm_ssp245cal_01320,FL_canesm_ssp245cal_01727","{""FL_canesm_ssp245cal_02582"": 0.8949373427597096, ""FL_canesm_ssp245cal_01320"": 0.7762718254205047, ""FL_canesm_ssp245cal_01727"": 0.8680900425306904}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,0.0,0.0,1395853723.0,0.0,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,5
year_6,building_codes,SENS_W00_F00,"FL_canesm_ssp245cal_00697,FL_canesm_ssp245cal_00612","{""FL_canesm_ssp245cal_00697"": 0.919791757648447, ""FL_canesm_ssp245cal_00612"": 0.8344893982215632}",10172072295.158155,8493824502.011539,1678247793.1466167,921410213.2997321,4391494764.113056,0.0,3023350634.413128,157568890.18562385,921410213.2997321,4391494764.113056,58743041.5021435,1619504751.644473,29.722071832425183,1.549034312906188,9.05823500427064,43.172075823756984,0.5774933543296269,15.921089672311389,3023350634.413128,157568890.18562385,58743041.5021435,1,0,1,Castle Key Indemnity Co.,,25824133.636722445,1,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,103347034.04344013,0.0,539937478.65,359958319.1,0.0,58743041.5021435,58743041.5021435,1395853723.0,58743041.5021435,0.0,False,13375981.789060388,13375981.789060388,0.0,1.0,13375981.789060388,0.0,1090000000.0,0.0,7,9464500000.0,9464500000.0,6
year_7,building_codes,SENS_W00_F00,FL_canesm_ssp245cal_01928,"{""FL_canesm_ssp245cal_01928"": 0.7852089226003471}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,0.0,0.0,1395853723.0,0.0,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,7
year_8,building_codes,SENS_W00_F00,"FL_canesm_ssp245cal_00842,FL_canesm_ssp245cal_03257,FL_canesm_ssp245cal_03144","{""FL_canesm_ssp245cal_00842"": 0.748047283010878, ""FL_canesm_ssp245cal_03257"": 0.9171359127543597, ""FL_canesm_ssp245cal_03144"": 0.9147775145108845}",12994324644.022074,11917561793.021656,1076762851.0004182,2838520177.599506,4176147373.9588118,0.0,3938608634.858035,964285606.6053063,2838520177.599506,4176147373.9588118,146891720.5499264,929871130.4504919,30.31022190653023,7.420821266374297,21.84430707528415,32.138241027247325,1.130429818971028,7.155978905592997,3938608634.858035,964285606.6053063,146891720.5499264,1,0,1,Castle Key Indemnity Co.,,48511076.55130415,1,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,539937478.65,209754126.10299182,539937478.65,359958319.1,0.0,146891720.5499264,146891720.5499264,1395853723.0,146891720.5499264,0.0,False,4941353.091651566,4941353.091651566,0.0,1.0,4941353.091651566,0.0,1142650478.5305738,0.0,8,9464500000.0,9464500000.0,8
year_9,building_codes,SENS_W00_F00,"FL_canesm_ssp245cal_03844,FL_canesm_ssp245cal_03574","{""FL_canesm_ssp245cal_03844"": 0.8493694612736804, ""FL_canesm_ssp245cal_03574"": 0.9580942990760638}",63851368.4145782,61175632.066212825,2675736.348365371,15833103.575560527,22098689.270264316,0.0,20228878.761202797,3014960.459185191,15833103.575560527,22098689.270264316,250498.6593378042,2425237.689027567,31.68119848248115,4.721841573714545,24.796811671690968,34.60957817971973,0.39231525581621157,3.7982548365773936,20228878.761202797,3014960.459185191,250498.6593378042,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,3014960.459185191,0.0,539937478.65,359958319.1,0.0,250498.6593378042,250498.6593378042,1395853723.0,250498.6593378042,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,9
year_10,building_codes,SENS_W00_F00,"FL_canesm_ssp245cal_01520,FL_canesm_ssp245cal_01202","{""FL_canesm_ssp245cal_01520"": 0.822072353603383, ""FL_canesm_ssp245cal_01202"": 0.875010318745362}",2016813552.7794824,1758815573.810818,257997978.96866432,274190045.0471862,752630702.4495683,0.0,696917944.2364982,35076882.07756533,274190045.0471862,752630702.4495683,28935818.32162204,229062160.6470423,34.555397710216546,1.7392228463173471,13.59521035890054,37.31781261645759,1.4347294662783274,11.357627001829647,696917944.2364982,35076882.07756533,28935818.32162204,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,28935818.32162204,28935818.32162204,1395853723.0,28935818.32162204,0.0,False,124949.62022400001,124949.62022400001,0.0,1.0,124949.62022400001,0.0,1071994826.3140638,0.0,7,9464500000.0,9464500000.0,10
