scenario,policy_scenario,policy_severity,events,wind_shares,total_damage_usd,wind_total_usd,water_total_usd,underinsured_wind_usd,uninsured_wind_usd,nfip_policyholder_shortfall_usd,wind_insured_private_usd,wind_insured_citizens_usd,wind_underinsured_usd,wind_uninsured_usd,flood_insured_capped_usd,flood_un_derinsured_usd,wind_insured_private_pct,wind_insured_citizens_pct,wind_underinsured_pct,wind_uninsured_pct,flood_insured_capped_pct,flood_un_derinsured_pct,insured_private_wind_pre_usd,insured_citizens_wind_pre_usd,insured_flood_pre_usd,defaults_pre,defaults_post,rescued_defaults,default_companies_pre,default_companies_post,group_contrib_total_usd,group_supported_companies,defaulted_premium_base_pct,largest_entity_deficit_usd,diag_group_shortfall_total_usd,diag_groups_with_shortfall,diag_groups_fully_funded_share,figa_residual_deficit_usd,figa_collected_usd,citizens_residual_deficit_usd,citizens_tier1_usd,citizens_tier2_usd,citizens_tier1_capacity_usd,citizens_tier2_capacity_usd,nfip_borrowed_usd,nfip_claims_paid_usd,nfip_pool_used_usd,nfip_fl_premium_base_usd,nfip_fl_premium_depletion_usd,underinsured_flood_usd,fhcf_cap_binding,fhcf_total_precap_usd,fhcf_total_postcap_usd,fhcf_shortfall_usd,fhcf_scaling_factor,fhcf_recovery_private_usd,fhcf_recovery_citizens_usd,catbond_payout_usd,catbond_unfilled_usd,catbond_triggers,catbond_limit_in_force_usd,catbond_issue_volume_year_usd,year_id
year_1,baseline,,"FL_canesm_ssp585cal_00926,FL_canesm_ssp585cal_01390","{""FL_canesm_ssp585cal_00926"": 0.801681204179031, ""FL_canesm_ssp585cal_01390"": 0.7342478771443514}",250234555.1276962,200608339.48197564,49626215.64572055,57227512.13447611,62766971.44693641,0.0,75246643.34351067,5367212.557052459,57227512.13447611,62766971.44693641,15052691.747164242,34573523.89855631,30.07044462948447,2.1448726592990077,22.869548174620636,25.08325495449901,6.015432896341101,13.816446685755782,75246643.34351067,5367212.557052459,15052691.747164242,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,3994756.8544590357,0.0,539937478.65,359958319.1,0.0,15052691.747164242,15052691.747164242,1395853723.0,15052691.747164242,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,20613855.900563132,0.0,1,9464500000.0,9464500000.0,1
year_2,baseline,,"FL_canesm_ssp585cal_00434,FL_canesm_ssp585cal_00411","{""FL_canesm_ssp585cal_00434"": 0.7223936388735638, ""FL_canesm_ssp585cal_00411"": 0.9602696181485115}",44627956107.24506,32238951607.802444,12389004499.442617,4797232729.00218,15936805965.174519,0.0,10374556283.12348,1130356630.5022616,4797232729.00218,15936805965.174519,1006558917.4494504,11382445581.993168,23.246765453906228,2.532844273185873,10.749389278491694,35.71036488177257,2.25544480466593,25.505191307977693,10374556283.12348,1130356630.5022616,1006558917.4494504,15,11,4,Universal P&C Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Tower Hill Insurance Exchange;Kin Interinsurance Network;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;FL Farm Bureau General Ins Co.;AIG Property Casualty Co.;ASI Preferred Insurance Corp.;Castle Key Indemnity Co.,Universal P&C Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Tower Hill Insurance Exchange;Kin Interinsurance Network;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co,303001476.4931998,4,28.09578743922402,498834479.4443977,0.0,0,1.0,887102022.6518462,389573760.0,119592482.61429381,539937478.65,359958319.1,539937478.65,359958319.1,0.0,1006558917.4494504,1006558917.4494504,1395853723.0,1006558917.4494504,0.0,False,391833971.671475,391833971.671475,0.0,1.0,391833971.671475,0.0,1798865770.817052,0.0,12,9464500000.0,9464500000.0,2
year_3,baseline,,"FL_canesm_ssp585cal_02411,FL_canesm_ssp585cal_03226","{""FL_canesm_ssp585cal_02411"": 0.8315043287236806, ""FL_canesm_ssp585cal_03226"": 0.8584483702458438}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,0.0,0.0,1395853723.0,0.0,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,3
year_4,baseline,,"FL_canesm_ssp585cal_03483,FL_canesm_ssp585cal_01973","{""FL_canesm_ssp585cal_03483"": 0.8499792402295013, ""FL_canesm_ssp585cal_01973"": 0.9562507528392832}",13121572696.12038,11153064390.864569,1968508305.2558112,1315127259.281572,3601065181.73332,0.0,5727977050.139473,508894899.7102044,1315127259.281572,3601065181.73332,261244490.8443396,1707263814.4114718,43.65312895635634,3.8783072082561256,10.022634403194765,27.443853455142897,1.9909541096516659,13.011121867398213,5727977050.139473,508894899.7102044,261244490.8443396,7,4,3,Universal P&C Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Kin Interinsurance Network;FL Farm Bureau General Ins Co.;ASI Preferred Insurance Corp.;Castle Key Indemnity Co.,Universal P&C Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Kin Interinsurance Network,108745864.27670288,3,14.68401597065834,78580962.70361623,0.0,0,1.0,0.0,108373415.23767851,0.0,419734543.8928105,0.0,539937478.65,359958319.1,0.0,261244490.8443396,261244490.8443396,1395853723.0,261244490.8443396,0.0,False,15548183.262490133,15548183.262490133,0.0,1.0,15548183.262490133,0.0,1371317169.4726837,0.0,10,9464500000.0,9464500000.0,4
year_5,baseline,,"FL_canesm_ssp585cal_01250,FL_canesm_ssp585cal_03605","{""FL_canesm_ssp585cal_01250"": 0.902164305457654, ""FL_canesm_ssp585cal_03605"": 0.7296842168898009}",442994182.6735828,399212084.38137746,43782098.29220535,99146353.58016102,200370041.4559121,0.0,95597420.88692008,4098268.458384275,99146353.58016102,200370041.4559121,2100191.7664945456,41681906.5257108,21.57983662673972,0.9251291819793614,22.380960621601734,45.230851621262346,0.47409014579364295,9.4091318026232,95597420.88692008,4098268.458384275,2100191.7664945456,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,2067898.5323312106,0.0,539937478.65,359958319.1,0.0,2100191.7664945456,2100191.7664945456,1395853723.0,2100191.7664945456,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,49391378.69060871,0.0,2,9464500000.0,9464500000.0,5
year_6,baseline,,"FL_canesm_ssp585cal_02583,FL_canesm_ssp585cal_03813","{""FL_canesm_ssp585cal_02583"": 0.8685022282594902, ""FL_canesm_ssp585cal_03813"": 0.8564480555654514}",4032187.894017416,3453359.4815057684,578828.4125116477,328750.88422038936,1789700.4328466498,0.0,1188578.9462275142,146329.21821121528,328750.88422038936,1789700.4328466498,114035.82452767923,464792.58798396843,29.477270838271615,3.629027765008791,8.153163812335215,44.38534314092952,2.828137664340368,11.527056779114492,1188578.9462275142,146329.21821121528,114035.82452767923,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,146329.21821121528,0.0,539937478.65,359958319.1,0.0,114035.82452767923,114035.82452767923,1395853723.0,114035.82452767923,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,6
year_7,baseline,,"FL_canesm_ssp585cal_01320,FL_canesm_ssp585cal_01766","{""FL_canesm_ssp585cal_01320"": 0.8029923863052799, ""FL_canesm_ssp585cal_01766"": 0.919791757648447}",1008312.2502843528,927437.2969475057,80874.95333684715,306975.0418629206,347706.3849863902,0.0,253267.76730781115,19488.102790383724,306975.0418629206,347706.3849863902,5078.438559588993,75796.51477725815,25.117989713641524,1.9327448203557887,30.444442361614765,34.48399886923262,0.5036573301729528,7.517166904982349,253267.76730781115,19488.102790383724,5078.438559588993,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,19488.102790383724,0.0,539937478.65,359958319.1,0.0,5078.438559588993,5078.438559588993,1395853723.0,5078.438559588993,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,7
year_8,baseline,,"FL_canesm_ssp585cal_00697,FL_canesm_ssp585cal_00612","{""FL_canesm_ssp585cal_00697"": 0.9765965201673884, ""FL_canesm_ssp585cal_00612"": 0.7986030887706117}",2038247376.5331388,1990545295.162572,47702081.37056692,379944364.0711601,887071310.3547882,0.0,668479609.4400246,55050011.29659893,379944364.0711601,887071310.3547882,14255380.025800502,33446701.34476643,32.79678497989992,2.7008503447816854,18.640738530835673,43.52127816122155,0.6993940082997934,1.6409539749613722,668479609.4400246,55050011.29659893,14255380.025800502,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,14255380.025800502,14255380.025800502,1395853723.0,14255380.025800502,0.0,False,83975.50538311819,83975.50538311819,0.0,1.0,83975.50538311819,0.0,1063529620.7366236,0.0,7,9464500000.0,9464500000.0,8
year_9,baseline,,"FL_canesm_ssp585cal_03258,FL_canesm_ssp585cal_01928","{""FL_canesm_ssp585cal_03258"": 0.748047283010878, ""FL_canesm_ssp585cal_01928"": 0.9171359127543597}",268844870.61174196,246567285.7978277,22277584.813914247,33635540.222863205,111205547.7213895,0.0,77905525.32546185,23820672.528113116,33635540.222863205,111205547.7213895,7881240.469373341,14396344.344540909,28.977873056752777,8.860378282059264,12.511133333631157,41.36420660299276,2.9315197464768454,5.354888978087179,77905525.32546185,23820672.528113116,7881240.469373341,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,11304014.66760908,0.0,539937478.65,359958319.1,0.0,7881240.469373341,7881240.469373341,1395853723.0,7881240.469373341,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,53452395.70714993,0.0,2,9464500000.0,9464500000.0,9
year_10,baseline,,"FL_canesm_ssp585cal_03630,FL_canesm_ssp585cal_03144","{""FL_canesm_ssp585cal_03630"": 0.8807192841255356, ""FL_canesm_ssp585cal_03144"": 0.9219702098408061}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,0.0,0.0,1395853723.0,0.0,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,10
