scenario,policy_scenario,policy_severity,events,wind_shares,total_damage_usd,wind_total_usd,water_total_usd,underinsured_wind_usd,uninsured_wind_usd,nfip_policyholder_shortfall_usd,wind_insured_private_usd,wind_insured_citizens_usd,wind_underinsured_usd,wind_uninsured_usd,flood_insured_capped_usd,flood_un_derinsured_usd,wind_insured_private_pct,wind_insured_citizens_pct,wind_underinsured_pct,wind_uninsured_pct,flood_insured_capped_pct,flood_un_derinsured_pct,insured_private_wind_pre_usd,insured_citizens_wind_pre_usd,insured_flood_pre_usd,defaults_pre,defaults_post,rescued_defaults,default_companies_pre,default_companies_post,group_contrib_total_usd,group_supported_companies,defaulted_premium_base_pct,largest_entity_deficit_usd,diag_group_shortfall_total_usd,diag_groups_with_shortfall,diag_groups_fully_funded_share,figa_residual_deficit_usd,figa_collected_usd,citizens_residual_deficit_usd,citizens_tier1_usd,citizens_tier2_usd,citizens_tier1_capacity_usd,citizens_tier2_capacity_usd,nfip_borrowed_usd,nfip_claims_paid_usd,nfip_pool_used_usd,nfip_fl_premium_base_usd,nfip_fl_premium_depletion_usd,underinsured_flood_usd,fhcf_cap_binding,fhcf_total_precap_usd,fhcf_total_postcap_usd,fhcf_shortfall_usd,fhcf_scaling_factor,fhcf_recovery_private_usd,fhcf_recovery_citizens_usd,catbond_payout_usd,catbond_unfilled_usd,catbond_triggers,catbond_limit_in_force_usd,catbond_issue_volume_year_usd,year_id
year_1,baseline,,"FL_cnrm6_20thcal_01389,FL_cnrm6_20thcal_03443,FL_cnrm6_20thcal_00926","{""FL_cnrm6_20thcal_01389"": 0.801681204179031, ""FL_cnrm6_20thcal_03443"": 0.7342478771443514, ""FL_cnrm6_20thcal_00926"": 0.7670600320252788}",729325595.0448134,584686621.2741144,144638973.770699,57201029.33465887,239947495.6406132,0.0,206172306.93508175,81365789.36376052,57201029.33465887,239947495.6406132,45869929.12731318,98769044.64338583,28.268897778421376,11.156305210810679,7.84300314198409,32.89991428668696,6.289362314851258,13.542517267245636,206172306.93508175,81365789.36376052,45869929.12731318,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,45869929.12731318,45869929.12731318,1395853723.0,45869929.12731318,0.0,False,945.553300806284,945.553300806284,0.0,1.0,945.553300806284,0.0,690076192.5976846,0.0,6,9464500000.0,9464500000.0,1
year_2,baseline,,FL_cnrm6_20thcal_01208,"{""FL_cnrm6_20thcal_01208"": 0.9602696181485115}",1709898088.678053,1641963184.6877434,67934903.99030936,527587816.38713855,481460296.5070245,0.0,599089126.6956078,33825945.09797282,527587816.38713855,481460296.5070245,6667579.250733587,61267324.73957577,35.036539935474885,1.978243342217205,30.854927546882305,28.157250990276765,0.38994015461403253,3.583098030534816,599089126.6956078,33825945.09797282,6667579.250733587,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,6667579.250733587,6667579.250733587,1395853723.0,6667579.250733587,0.0,False,135031.83917979556,135031.83917979556,0.0,1.0,135031.83917979556,0.0,972915071.7935805,0.0,7,9464500000.0,9464500000.0,2
year_3,baseline,,FL_cnrm6_20thcal_02412,"{""FL_cnrm6_20thcal_02412"": 0.8315043287236806}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,0.0,0.0,1395853723.0,0.0,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,3
year_4,baseline,,FL_cnrm6_20thcal_03226,"{""FL_cnrm6_20thcal_03226"": 0.9385337321066677}",58115910.3699738,54543742.2543081,3572168.115665702,8423082.05110336,25162895.798437227,0.0,17773186.90592743,3184577.4988400876,8423082.05110336,25162895.798437227,422245.610134287,3149922.505531415,30.58230834341388,5.47969992824105,14.493590477170315,43.29777446184153,0.7265576800676681,5.420069109265568,17773186.90592743,3184577.4988400876,422245.610134287,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,3184577.4988400876,0.0,539937478.65,359958319.1,0.0,422245.610134287,422245.610134287,1395853723.0,422245.610134287,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,4
year_5,baseline,,"FL_cnrm6_20thcal_02249,FL_cnrm6_20thcal_01973","{""FL_cnrm6_20thcal_02249"": 0.8499792402295013, ""FL_cnrm6_20thcal_01973"": 0.9562507528392832}",769523686.0427903,654079158.0012562,115444528.0415341,164917547.85741955,215108764.43456075,0.0,248410353.57996136,25642492.12931467,164917547.85741955,215108764.43456075,12480562.660788886,102963965.3807452,32.28105360309185,3.3322550812151075,21.431120425349597,27.953494913293593,1.6218555565156298,13.38022042053424,248410353.57996136,25642492.12931467,12480562.660788886,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,12480562.660788886,12480562.660788886,1395853723.0,12480562.660788886,0.0,False,41352.67986591629,41352.67986591629,0.0,1.0,41352.67986591629,0.0,657158537.1278279,0.0,6,9464500000.0,9464500000.0,5
year_6,baseline,,"FL_cnrm6_20thcal_03606,FL_cnrm6_20thcal_00686","{""FL_cnrm6_20thcal_03606"": 0.9593852539509057, ""FL_cnrm6_20thcal_00686"": 0.8415153469427282}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,0.0,0.0,1395853723.0,0.0,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,6
year_7,baseline,,"FL_cnrm6_20thcal_02583,FL_cnrm6_20thcal_01103,FL_cnrm6_20thcal_03813","{""FL_cnrm6_20thcal_02583"": 0.8575254557362734, ""FL_cnrm6_20thcal_01103"": 0.8725635574083315, ""FL_cnrm6_20thcal_03813"": 0.9188673009379471}",446749.03038487723,383098.66588053,63650.36450434718,162281.0082655217,166695.7447952549,0.0,24685.22588676601,29436.686932987403,162281.0082655217,166695.7447952549,42027.67015499188,21622.694349355297,5.5255242222908745,6.5890880406897585,36.32487083983496,37.31306247081172,9.407445186570358,4.840009239802312,24685.22588676601,29436.686932987403,42027.67015499188,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,29436.686932987403,0.0,539937478.65,359958319.1,0.0,42027.67015499188,42027.67015499188,1395853723.0,42027.67015499188,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,7
year_8,baseline,,FL_cnrm6_20thcal_01766,"{""FL_cnrm6_20thcal_01766"": 0.9384055547300932}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,0.0,0.0,1395853723.0,0.0,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,8
year_9,baseline,,FL_cnrm6_20thcal_03166,"{""FL_cnrm6_20thcal_03166"": 0.7512525099101162}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,0.0,0.0,1395853723.0,0.0,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,9
year_10,baseline,,"FL_cnrm6_20thcal_00611,FL_cnrm6_20thcal_01218,FL_cnrm6_20thcal_00697","{""FL_cnrm6_20thcal_00611"": 0.9325753297213729, ""FL_cnrm6_20thcal_01218"": 0.9570459523189867, ""FL_cnrm6_20thcal_00697"": 0.8184852289986012}",355486098.888393,291146343.3838909,64339755.504502065,49143404.215223745,139625089.4901407,0.0,92951219.25349055,9426630.425035886,49143404.215223745,139625089.4901407,6866313.832008167,57473441.672493905,26.147638274506242,2.6517578196483664,13.824282966027488,39.27722910312081,1.9315280832300248,16.167563753467064,92951219.25349055,9426630.425035886,6866313.832008167,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,4384897.832252426,0.0,539937478.65,359958319.1,0.0,6866313.832008167,6866313.832008167,1395853723.0,6866313.832008167,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,54755699.35705287,0.0,2,9464500000.0,9464500000.0,10
