scenario,policy_scenario,policy_severity,events,wind_shares,total_damage_usd,wind_total_usd,water_total_usd,underinsured_wind_usd,uninsured_wind_usd,nfip_policyholder_shortfall_usd,wind_insured_private_usd,wind_insured_citizens_usd,wind_underinsured_usd,wind_uninsured_usd,flood_insured_capped_usd,flood_un_derinsured_usd,wind_insured_private_pct,wind_insured_citizens_pct,wind_underinsured_pct,wind_uninsured_pct,flood_insured_capped_pct,flood_un_derinsured_pct,insured_private_wind_pre_usd,insured_citizens_wind_pre_usd,insured_flood_pre_usd,defaults_pre,defaults_post,rescued_defaults,default_companies_pre,default_companies_post,group_contrib_total_usd,group_supported_companies,defaulted_premium_base_pct,largest_entity_deficit_usd,diag_group_shortfall_total_usd,diag_groups_with_shortfall,diag_groups_fully_funded_share,figa_residual_deficit_usd,figa_collected_usd,citizens_residual_deficit_usd,citizens_tier1_usd,citizens_tier2_usd,citizens_tier1_capacity_usd,citizens_tier2_capacity_usd,nfip_borrowed_usd,nfip_claims_paid_usd,nfip_pool_used_usd,nfip_fl_premium_base_usd,nfip_fl_premium_depletion_usd,underinsured_flood_usd,fhcf_cap_binding,fhcf_total_precap_usd,fhcf_total_postcap_usd,fhcf_shortfall_usd,fhcf_scaling_factor,fhcf_recovery_private_usd,fhcf_recovery_citizens_usd,catbond_payout_usd,catbond_unfilled_usd,catbond_triggers,catbond_limit_in_force_usd,catbond_issue_volume_year_usd,year_id
year_1,baseline,,"FL_cnrm6_ssp245_2cal_01389,FL_cnrm6_ssp245_2cal_03443,FL_cnrm6_ssp245_2cal_00926","{""FL_cnrm6_ssp245_2cal_01389"": 0.801681204179031, ""FL_cnrm6_ssp245_2cal_03443"": 0.7342478771443514, ""FL_cnrm6_ssp245_2cal_00926"": 0.7670600320252788}",106008677705.36664,79335191418.37076,26673486286.995872,11060281660.745243,33239985688.562145,0.0,26464526517.5912,8570397551.472175,11060281660.745243,33239985688.562145,8465191131.577132,18208295155.418747,24.964490728905155,8.08461886044099,10.433373852172219,31.355910108554617,7.9853756454775455,17.176230804449474,26464526517.5912,8570397551.472175,8465191131.577132,25,16,9,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Universal North America Ins Co;Auto Club Insurance Co. of FL;FL Farm Bureau General Ins Co.;Homesite Insurance Co.;State Farm FL Ins Co;AIG Property Casualty Co.;ASI Preferred Insurance Corp.;ACE Ins Co. of the Midwest;Castle Key Indemnity Co.;First Liberty Insurance Corp.,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Universal North America Ins Co,1712600103.857076,9,34.296269979690315,1142800264.4422648,0.0,0,1.0,3818922624.064172,321099960.0,2956118017.1811857,539937478.65,359958319.1,539937478.65,359958319.1,5024191131.577132,8465191131.577132,3441000000.0,1395853723.0,1395853723.0,0.0,False,12034192848.007706,12034192848.007706,0.0,1.0,7511635436.926632,4522557411.081073,2125000000.0,0.0,13,9464500000.0,9464500000.0,1
year_2,baseline,,"FL_cnrm6_ssp245_2cal_03226,FL_cnrm6_ssp245_2cal_01207,FL_cnrm6_ssp245_2cal_02411","{""FL_cnrm6_ssp245_2cal_03226"": 0.9602696181485115, ""FL_cnrm6_ssp245_2cal_01207"": 0.8315043287236806, ""FL_cnrm6_ssp245_2cal_02411"": 0.8584483702458438}",10797447895.657108,10273181372.179228,524266523.47788084,2113063848.7453377,4738783226.968793,0.0,2650373733.198717,770960563.26638,2113063848.7453377,4738783226.968793,171073247.0803187,353193276.3975621,24.546297966066003,7.1402110083482935,19.57003052170544,43.88799346625976,1.584385946878492,3.271081090742022,2650373733.198717,770960563.26638,171073247.0803187,1,0,1,Castle Key Indemnity Co.,,19388529.554938577,1,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,524191840.5592045,0.0,539937478.65,359958319.1,0.0,171073247.0803187,171073247.0803187,1395853723.0,171073247.0803187,0.0,False,15931031.65369631,15931031.65369631,0.0,1.0,15931031.65369631,0.0,1090000000.0,0.0,7,9464500000.0,9464500000.0,2
year_3,baseline,,"FL_cnrm6_ssp245_2cal_00686,FL_cnrm6_ssp245_2cal_03606,FL_cnrm6_ssp245_2cal_03482","{""FL_cnrm6_ssp245_2cal_00686"": 0.8123962527051113, ""FL_cnrm6_ssp245_2cal_03606"": 0.9205316590107878, ""FL_cnrm6_ssp245_2cal_03482"": 0.6733834193140124}",618084444.5170416,416207816.67368746,201876627.84335414,68192188.5420911,190744836.09786507,0.0,127651894.56023717,29618897.473494135,68192188.5420911,190744836.09786507,39634383.05214395,162242244.7912102,20.652824333733513,4.792047063510509,11.03282717224425,30.860643361912977,6.412454382849489,26.249203685749272,127651894.56023717,29618897.473494135,39634383.05214395,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,39634383.05214395,39634383.05214395,1395853723.0,39634383.05214395,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,191353960.16865653,0.0,6,9464500000.0,9464500000.0,3
year_4,baseline,,"FL_cnrm6_ssp245_2cal_02582,FL_cnrm6_ssp245_2cal_01727,FL_cnrm6_ssp245_2cal_03812","{""FL_cnrm6_ssp245_2cal_02582"": 0.7296842168898009, ""FL_cnrm6_ssp245_2cal_01727"": 0.8949373427597096, ""FL_cnrm6_ssp245_2cal_03812"": 0.7762718254205047}",986944.0719963094,883253.1052448247,103690.96675148481,408206.32334013184,128170.4373249427,0.0,310560.1566040779,36316.18797567232,408206.32334013184,128170.4373249427,15102.643628267277,88588.32312321753,31.466844516924077,3.679660175901854,41.360633790975164,12.986595792169869,1.530243106655364,8.976022617373681,310560.1566040779,36316.18797567232,15102.643628267277,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,36316.18797567232,0.0,539937478.65,359958319.1,0.0,15102.643628267277,15102.643628267277,1395853723.0,15102.643628267277,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,4
year_5,baseline,,"FL_cnrm6_ssp245_2cal_00612,FL_cnrm6_ssp245_2cal_00697,FL_cnrm6_ssp245_2cal_03164","{""FL_cnrm6_ssp245_2cal_00612"": 0.8680900425306904, ""FL_cnrm6_ssp245_2cal_00697"": 0.8592328984107334, ""FL_cnrm6_ssp245_2cal_03164"": 0.9384055547300932}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,0.0,0.0,1395853723.0,0.0,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,5
year_6,baseline,,"FL_cnrm6_ssp245_2cal_03256,FL_cnrm6_ssp245_2cal_03630,FL_cnrm6_ssp245_2cal_03144,FL_cnrm6_ssp245_2cal_00842","{""FL_cnrm6_ssp245_2cal_03256"": 0.7852089226003471, ""FL_cnrm6_ssp245_2cal_03630"": 0.9325753297213729, ""FL_cnrm6_ssp245_2cal_03144"": 0.9570459523189867, ""FL_cnrm6_ssp245_2cal_00842"": 0.8184852289986012}",3013818853.709628,2489000923.681653,524817930.02797526,320468607.5605656,1073211329.131484,0.0,1025691588.5712873,69629398.41831672,320468607.5605656,1073211329.131484,33804080.323502555,491013849.7044727,34.032954147486045,2.3103378735789573,10.633306881271562,35.60968263936955,1.1216361023786825,16.292082355915223,1025691588.5712873,69629398.41831672,33804080.323502555,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,326998.1179448003,0.0,539937478.65,359958319.1,0.0,33804080.323502555,33804080.323502555,1395853723.0,33804080.323502555,0.0,False,177904.6863216434,177904.6863216434,0.0,1.0,177904.6863216434,0.0,1090000000.0,0.0,7,9464500000.0,9464500000.0,6
year_7,baseline,,"FL_cnrm6_ssp245_2cal_01521,FL_cnrm6_ssp245_2cal_03187","{""FL_cnrm6_ssp245_2cal_01521"": 0.9053481046849694, ""FL_cnrm6_ssp245_2cal_03187"": 0.8844190780501168}",29930509.47102925,26471113.591937978,3459395.879091273,1960803.0752372113,11710748.624040518,0.0,12623908.624471052,175653.26818920125,1960803.0752372113,11710748.624040518,713458.4075196321,2745937.471571641,42.1773930600485,0.5868702915305266,6.551185094711263,39.12645935872139,2.383716215088863,9.17437597989946,12623908.624471052,175653.26818920125,713458.4075196321,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,175653.26818920125,0.0,539937478.65,359958319.1,0.0,713458.4075196321,713458.4075196321,1395853723.0,713458.4075196321,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,7
year_8,baseline,,"FL_cnrm6_ssp245_2cal_03454,FL_cnrm6_ssp245_2cal_02868,FL_cnrm6_ssp245_2cal_00126,FL_cnrm6_ssp245_2cal_01765","{""FL_cnrm6_ssp245_2cal_03454"": 0.7907436554716536, ""FL_cnrm6_ssp245_2cal_02868"": 0.9272035855835594, ""FL_cnrm6_ssp245_2cal_00126"": 0.9419863999772443, ""FL_cnrm6_ssp245_2cal_01765"": 0.9175875248296649}",5763660367.995868,4918098119.616151,845562248.3797165,1230170015.5904322,1744167147.3862684,0.0,1733647503.2218616,210113453.41758868,1230170015.5904322,1744167147.3862684,116161532.25698134,729400716.1227351,30.078932354313636,3.645486375017774,21.343554912105017,30.261449079671358,2.015412512888452,12.655164766003752,1733647503.2218616,210113453.41758868,116161532.25698134,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,92271779.71332005,0.0,539937478.65,359958319.1,0.0,116161532.25698134,116161532.25698134,1395853723.0,116161532.25698134,0.0,False,274777.0395101178,274777.0395101178,0.0,1.0,274777.0395101178,0.0,1090000000.0000002,0.0,7,9464500000.0,9464500000.0,8
year_9,baseline,,"FL_cnrm6_ssp245_2cal_03604,FL_cnrm6_ssp245_2cal_00417,FL_cnrm6_ssp245_2cal_03798","{""FL_cnrm6_ssp245_2cal_03604"": 0.9415278353423164, ""FL_cnrm6_ssp245_2cal_00417"": 0.7052955420802686, ""FL_cnrm6_ssp245_2cal_03798"": 0.9341565211279911}",1925948471.4396544,1358763317.5123448,567185153.9273094,317227196.43908924,631062685.0692595,0.0,382098621.4978737,28374814.506122265,317227196.43908924,631062685.0692595,109139785.19687505,458045368.7304343,19.83950386856682,1.4732904294636697,16.47121930536182,32.76633276681268,5.666807124662719,23.782846505132273,382098621.4978737,28374814.506122265,109139785.19687505,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,109139785.19687505,109139785.19687505,1395853723.0,109139785.19687505,0.0,False,89333.53295914651,89333.53295914651,0.0,1.0,89333.53295914651,0.0,750473436.0039961,0.0,7,9464500000.0,9464500000.0,9
year_10,baseline,,"FL_cnrm6_ssp245_2cal_02678,FL_cnrm6_ssp245_2cal_03262,FL_cnrm6_ssp245_2cal_03471","{""FL_cnrm6_ssp245_2cal_02678"": 0.8449754006601158, ""FL_cnrm6_ssp245_2cal_03262"": 0.8406685083274023, ""FL_cnrm6_ssp245_2cal_03471"": 0.8850672580588927}",16048179124.600552,13560316589.2058,2487862535.3947525,1797719464.102061,7503829184.130805,0.0,3335911495.8853693,922856445.0875642,1797719464.102061,7503829184.130805,684233521.6593904,1803629013.7353616,20.786853573759583,5.750536792506886,11.202015195270992,46.758134526477505,4.263620915163616,11.238838996821423,3335911495.8853693,922856445.0875642,684233521.6593904,1,0,1,Castle Key Indemnity Co.,,34809270.01935371,1,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,539937478.65,146482317.84071743,539937478.65,359958319.1,0.0,684233521.6593904,684233521.6593904,1395853723.0,684233521.6593904,0.0,False,4294148.034641646,4294148.034641646,0.0,1.0,4294148.034641646,0.0,1090000000.0,0.0,7,9464500000.0,9464500000.0,10
