scenario,policy_scenario,policy_severity,events,wind_shares,total_damage_usd,wind_total_usd,water_total_usd,underinsured_wind_usd,uninsured_wind_usd,nfip_policyholder_shortfall_usd,wind_insured_private_usd,wind_insured_citizens_usd,wind_underinsured_usd,wind_uninsured_usd,flood_insured_capped_usd,flood_un_derinsured_usd,wind_insured_private_pct,wind_insured_citizens_pct,wind_underinsured_pct,wind_uninsured_pct,flood_insured_capped_pct,flood_un_derinsured_pct,insured_private_wind_pre_usd,insured_citizens_wind_pre_usd,insured_flood_pre_usd,defaults_pre,defaults_post,rescued_defaults,default_companies_pre,default_companies_post,group_contrib_total_usd,group_supported_companies,defaulted_premium_base_pct,largest_entity_deficit_usd,diag_group_shortfall_total_usd,diag_groups_with_shortfall,diag_groups_fully_funded_share,figa_residual_deficit_usd,figa_collected_usd,citizens_residual_deficit_usd,citizens_tier1_usd,citizens_tier2_usd,citizens_tier1_capacity_usd,citizens_tier2_capacity_usd,nfip_borrowed_usd,nfip_claims_paid_usd,nfip_pool_used_usd,nfip_fl_premium_base_usd,nfip_fl_premium_depletion_usd,underinsured_flood_usd,fhcf_cap_binding,fhcf_total_precap_usd,fhcf_total_postcap_usd,fhcf_shortfall_usd,fhcf_scaling_factor,fhcf_recovery_private_usd,fhcf_recovery_citizens_usd,catbond_payout_usd,catbond_unfilled_usd,catbond_triggers,catbond_limit_in_force_usd,catbond_issue_volume_year_usd,year_id
year_1,baseline,,"FL_cnrm6_ssp245cal_00926,FL_cnrm6_ssp245cal_01390","{""FL_cnrm6_ssp245cal_00926"": 0.801681204179031, ""FL_cnrm6_ssp245cal_01390"": 0.7342478771443514}",39007.64329226419,28641.27927974908,10366.364012515112,2732.5198944446297,13507.581622096566,0.0,11550.447402556938,850.7303606509461,2732.5198944446297,13507.581622096566,530.3186771750154,9836.045335340097,29.610728635963422,2.180932475917249,7.005088397602656,34.628038204951814,1.3595250376999466,25.21568724786492,11550.447402556938,850.7303606509461,530.3186771750154,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,850.7303606509461,0.0,539937478.65,359958319.1,0.0,530.3186771750154,530.3186771750154,1395853723.0,530.3186771750154,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,1
year_2,baseline,,"FL_cnrm6_ssp245cal_00411,FL_cnrm6_ssp245cal_01208,FL_cnrm6_ssp245cal_00434","{""FL_cnrm6_ssp245cal_00411"": 0.7223936388735638, ""FL_cnrm6_ssp245cal_01208"": 0.9602696181485115, ""FL_cnrm6_ssp245cal_00434"": 0.8315043287236806}",517769905.46319747,430527917.6754995,87241987.78769797,37199777.960283324,171578344.9935125,0.0,213089661.96022308,8660132.761480493,37199777.960283324,171578344.9935125,3227250.0321861673,84014737.75551179,41.155281469979,1.6725832594949932,7.18461570820814,33.1379524346859,0.6232981094756881,16.226269018156263,213089661.96022308,8660132.761480493,3227250.0321861673,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,3227250.0321861673,3227250.0321861673,1395853723.0,3227250.0321861673,0.0,False,31410.02885665863,31410.02885665863,0.0,1.0,31410.02885665863,0.0,471999178.88681424,0.0,6,9464500000.0,9464500000.0,2
year_3,baseline,,"FL_cnrm6_ssp245cal_03483,FL_cnrm6_ssp245cal_01973,FL_cnrm6_ssp245cal_02249","{""FL_cnrm6_ssp245cal_03483"": 0.8584483702458438, ""FL_cnrm6_ssp245cal_01973"": 0.8123962527051113, ""FL_cnrm6_ssp245cal_02249"": 0.9205316590107878}",127404306507.78061,116536743651.19342,10867562856.587196,31960186722.463097,65421663176.406944,0.0,15825237224.67793,3329656527.645472,31960186722.463097,65421663176.406944,3159749810.188079,7707813046.399118,12.421273392129393,2.6134568123426263,25.085640822126592,51.34964819451502,2.4800965499506975,6.0498842289357,15825237224.67793,3329656527.645472,3159749810.188079,21,14,7,Universal P&C Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Auto Club Insurance Co. of FL;FL Farm Bureau General Ins Co.;State Farm FL Ins Co;AIG Property Casualty Co.;ASI Preferred Insurance Corp.;Castle Key Indemnity Co.;First Liberty Insurance Corp.,Universal P&C Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co,956818458.1969583,7,33.538670472629846,1029084287.8676996,0.0,0,1.0,2559453255.9891005,329466360.0,2233959584.949342,539937478.65,359958319.1,539937478.65,359958319.1,0.0,3159749810.188079,3159749810.188079,1395853723.0,1395853723.0,0.0,False,619120551.7525734,619120551.7525734,0.0,1.0,619120551.7525734,0.0,2051192873.4515967,0.0,13,9464500000.0,9464500000.0,3
year_4,baseline,,"FL_cnrm6_ssp245cal_01250,FL_cnrm6_ssp245cal_01103","{""FL_cnrm6_ssp245cal_01250"": 0.902164305457654, ""FL_cnrm6_ssp245cal_01103"": 0.7296842168898009}",2018447609.9029565,1699536435.1008832,318911174.8020732,238678385.63507894,798010904.6191024,0.0,563948634.0761666,98898510.77053511,238678385.63507894,798010904.6191024,88876835.64842345,230034339.1536498,27.939721165380178,4.899731372036452,11.824849179343039,39.5358740402219,4.403227272898923,11.3965969701195,563948634.0761666,98898510.77053511,88876835.64842345,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,88876835.64842345,88876835.64842345,1395853723.0,88876835.64842345,0.0,False,34075.37336868899,34075.37336868899,0.0,1.0,34075.37336868899,0.0,1002847144.846702,0.0,7,9464500000.0,9464500000.0,4
year_5,baseline,,"FL_cnrm6_ssp245cal_01727,FL_cnrm6_ssp245cal_02582","{""FL_cnrm6_ssp245cal_01727"": 0.8949373427597096, ""FL_cnrm6_ssp245cal_02582"": 0.7762718254205047}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,0.0,0.0,1395853723.0,0.0,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,5
year_6,baseline,,"FL_cnrm6_ssp245cal_03166,FL_cnrm6_ssp245cal_01765","{""FL_cnrm6_ssp245cal_03166"": 0.8029923863052799, ""FL_cnrm6_ssp245cal_01765"": 0.919791757648447}",1543851.5467218608,1420021.927707574,123829.61901428676,113467.80037740553,586626.636211342,0.0,662408.6663774635,57518.82474136323,113467.80037740553,586626.636211342,6636.665503216079,117192.95351107066,42.906241068578765,3.725670700884156,7.349657460157845,37.99760653522396,0.4298771806983678,7.590947054456919,662408.6663774635,57518.82474136323,6636.665503216079,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,57518.82474136323,0.0,539937478.65,359958319.1,0.0,6636.665503216079,6636.665503216079,1395853723.0,6636.665503216079,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,6
year_7,baseline,,"FL_cnrm6_ssp245cal_01218,FL_cnrm6_ssp245cal_00697","{""FL_cnrm6_ssp245cal_01218"": 0.8344893982215632, ""FL_cnrm6_ssp245cal_00697"": 0.7852089226003471}",21075556599.553627,16548715090.738136,4526841508.815489,2925296498.5982156,5657869808.1861,0.0,7038314603.350097,927234180.6037254,2925296498.5982156,5657869808.1861,940847573.3341838,3585993935.481304,33.395628580927564,4.399571495176378,13.880043854500965,26.8456483294298,4.464164772540862,17.014942967424425,7038314603.350097,927234180.6037254,940847573.3341838,12,8,4,Universal P&C Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Tower Hill Insurance Exchange;Kin Interinsurance Network;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;FL Farm Bureau General Ins Co.;AIG Property Casualty Co.;ASI Preferred Insurance Corp.;Castle Key Indemnity Co.,Universal P&C Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Tower Hill Insurance Exchange;Kin Interinsurance Network;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.,172997776.4385466,4,25.563137285625935,186594818.93826628,0.0,0,1.0,111054119.24533951,417542580.0,0.0,539937478.65,260193347.21305454,539937478.65,359958319.1,0.0,940847573.3341838,940847573.3341838,1395853723.0,940847573.3341838,0.0,False,13868366.704702044,13868366.704702044,0.0,1.0,13868366.704702044,0.0,1459024792.8888106,0.0,10,9464500000.0,9464500000.0,7
year_8,baseline,,"FL_cnrm6_ssp245cal_00842,FL_cnrm6_ssp245cal_03257,FL_cnrm6_ssp245cal_03144","{""FL_cnrm6_ssp245cal_00842"": 0.748047283010878, ""FL_cnrm6_ssp245cal_03257"": 0.9171359127543597, ""FL_cnrm6_ssp245cal_03144"": 0.9147775145108845}",2549629734.9962025,2332199031.585181,217430703.41102123,400192750.09771085,781363247.1188245,0.0,908276927.3488736,242366107.01977193,400192750.09771085,781363247.1188245,57786081.97130822,159644621.43971303,35.62387568994313,9.505933496658601,15.696112443491991,30.64614584595705,2.266449954600733,6.261482569348479,908276927.3488736,242366107.01977193,57786081.97130822,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,12716177.852603635,0.0,539937478.65,359958319.1,0.0,57786081.97130822,57786081.97130822,1395853723.0,57786081.97130822,0.0,False,287544.9957381749,287544.9957381749,0.0,1.0,287544.9957381749,0.0,1090000000.0,0.0,7,9464500000.0,9464500000.0,8
year_9,baseline,,"FL_cnrm6_ssp245cal_03844,FL_cnrm6_ssp245cal_03574","{""FL_cnrm6_ssp245cal_03844"": 0.8493694612736804, ""FL_cnrm6_ssp245cal_03574"": 0.9580942990760638}",74438960.16118819,71319543.35958463,3119416.8016035557,6708556.473261129,11521504.85615298,0.0,45509472.89793867,7580009.13223184,6708556.473261129,11521504.85615298,690001.4086731196,2429415.3929304364,61.136631677005745,10.18285198479168,9.012157690992185,15.477788554816744,0.9269358507682114,3.263634241625412,45509472.89793867,7580009.13223184,690001.4086731196,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,7580009.13223184,0.0,539937478.65,359958319.1,0.0,690001.4086731196,690001.4086731196,1395853723.0,690001.4086731196,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,9
year_10,baseline,,"FL_cnrm6_ssp245cal_01520,FL_cnrm6_ssp245cal_01202","{""FL_cnrm6_ssp245cal_01520"": 0.822072353603383, ""FL_cnrm6_ssp245cal_01202"": 0.875010318745362}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,0.0,0.0,1395853723.0,0.0,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,10
