scenario,policy_scenario,policy_severity,events,wind_shares,total_damage_usd,wind_total_usd,water_total_usd,underinsured_wind_usd,uninsured_wind_usd,nfip_policyholder_shortfall_usd,wind_insured_private_usd,wind_insured_citizens_usd,wind_underinsured_usd,wind_uninsured_usd,flood_insured_capped_usd,flood_un_derinsured_usd,wind_insured_private_pct,wind_insured_citizens_pct,wind_underinsured_pct,wind_uninsured_pct,flood_insured_capped_pct,flood_un_derinsured_pct,insured_private_wind_pre_usd,insured_citizens_wind_pre_usd,insured_flood_pre_usd,defaults_pre,defaults_post,rescued_defaults,default_companies_pre,default_companies_post,group_contrib_total_usd,group_supported_companies,defaulted_premium_base_pct,largest_entity_deficit_usd,diag_group_shortfall_total_usd,diag_groups_with_shortfall,diag_groups_fully_funded_share,figa_residual_deficit_usd,figa_collected_usd,citizens_residual_deficit_usd,citizens_tier1_usd,citizens_tier2_usd,citizens_tier1_capacity_usd,citizens_tier2_capacity_usd,nfip_borrowed_usd,nfip_claims_paid_usd,nfip_pool_used_usd,nfip_fl_premium_base_usd,nfip_fl_premium_depletion_usd,underinsured_flood_usd,fhcf_cap_binding,fhcf_total_precap_usd,fhcf_total_postcap_usd,fhcf_shortfall_usd,fhcf_scaling_factor,fhcf_recovery_private_usd,fhcf_recovery_citizens_usd,catbond_payout_usd,catbond_unfilled_usd,catbond_triggers,catbond_limit_in_force_usd,catbond_issue_volume_year_usd,year_id
year_1,building_codes,SENS_W100_F80,"FL_cnrm6_ssp245cal_00926,FL_cnrm6_ssp245cal_01390","{""FL_cnrm6_ssp245cal_00926"": 0.801681204179031, ""FL_cnrm6_ssp245cal_01390"": 0.7342478771443514}",39007.64329226419,28641.27927974908,10366.364012515112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.06373543500304,1967.2090670680186,0.0,0.0,0.0,0.0,0.2719050075399892,5.043137449572982,0.0,0.0,106.06373543500304,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,106.06373543500304,106.06373543500304,1395853723.0,106.06373543500304,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,1
year_2,building_codes,SENS_W100_F80,"FL_cnrm6_ssp245cal_00411,FL_cnrm6_ssp245cal_01208,FL_cnrm6_ssp245cal_00434","{""FL_cnrm6_ssp245cal_00411"": 0.7223936388735638, ""FL_cnrm6_ssp245cal_01208"": 0.9602696181485115, ""FL_cnrm6_ssp245cal_00434"": 0.8315043287236806}",517769905.46319747,430527917.6754995,87241987.78769797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645450.0064372333,16802947.55110235,0.0,0.0,0.0,0.0,0.12465962189513759,3.2452538036312517,0.0,0.0,645450.0064372333,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,645450.0064372333,645450.0064372333,1395853723.0,645450.0064372333,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,2
year_3,building_codes,SENS_W100_F80,"FL_cnrm6_ssp245cal_03483,FL_cnrm6_ssp245cal_01973,FL_cnrm6_ssp245cal_02249","{""FL_cnrm6_ssp245cal_03483"": 0.8584483702458438, ""FL_cnrm6_ssp245cal_01973"": 0.8123962527051113, ""FL_cnrm6_ssp245cal_02249"": 0.9205316590107878}",127404306507.78061,116536743651.19342,10867562856.587196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,631949962.0376155,1541562609.2798233,0.0,0.0,0.0,0.0,0.4960193099901393,1.2099768457871396,0.0,0.0,631949962.0376155,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,631949962.0376155,631949962.0376155,1395853723.0,631949962.0376155,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,3
year_4,building_codes,SENS_W100_F80,"FL_cnrm6_ssp245cal_01250,FL_cnrm6_ssp245cal_01103","{""FL_cnrm6_ssp245cal_01250"": 0.902164305457654, ""FL_cnrm6_ssp245cal_01103"": 0.7296842168898009}",2018447609.9029565,1699536435.1008832,318911174.8020732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17775367.129684687,46006867.83072994,0.0,0.0,0.0,0.0,0.8806454545797845,2.279319394023899,0.0,0.0,17775367.129684687,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,17775367.129684687,17775367.129684687,1395853723.0,17775367.129684687,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,4
year_5,building_codes,SENS_W100_F80,"FL_cnrm6_ssp245cal_01727,FL_cnrm6_ssp245cal_02582","{""FL_cnrm6_ssp245cal_01727"": 0.8949373427597096, ""FL_cnrm6_ssp245cal_02582"": 0.7762718254205047}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,0.0,0.0,1395853723.0,0.0,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,5
year_6,building_codes,SENS_W100_F80,"FL_cnrm6_ssp245cal_03166,FL_cnrm6_ssp245cal_01765","{""FL_cnrm6_ssp245cal_03166"": 0.8029923863052799, ""FL_cnrm6_ssp245cal_01765"": 0.919791757648447}",1543851.5467218608,1420021.927707574,123829.61901428676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1327.3331006432152,23438.59070221413,0.0,0.0,0.0,0.0,0.08597543613967351,1.5181894108913834,0.0,0.0,1327.3331006432152,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,1327.3331006432152,1327.3331006432152,1395853723.0,1327.3331006432152,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,6
year_7,building_codes,SENS_W100_F80,"FL_cnrm6_ssp245cal_01218,FL_cnrm6_ssp245cal_00697","{""FL_cnrm6_ssp245cal_01218"": 0.8344893982215632, ""FL_cnrm6_ssp245cal_00697"": 0.7852089226003471}",21075556599.553627,16548715090.738136,4526841508.815489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188169514.6668367,717198787.0962608,0.0,0.0,0.0,0.0,0.8928329545081721,3.402988593484885,0.0,0.0,188169514.6668367,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,188169514.6668367,188169514.6668367,1395853723.0,188169514.6668367,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,7
year_8,building_codes,SENS_W100_F80,"FL_cnrm6_ssp245cal_00842,FL_cnrm6_ssp245cal_03257,FL_cnrm6_ssp245cal_03144","{""FL_cnrm6_ssp245cal_00842"": 0.748047283010878, ""FL_cnrm6_ssp245cal_03257"": 0.9171359127543597, ""FL_cnrm6_ssp245cal_03144"": 0.9147775145108845}",2549629734.9962025,2332199031.585181,217430703.41102123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11557216.39426164,31928924.287942596,0.0,0.0,0.0,0.0,0.45328999092014644,1.2522965138696953,0.0,0.0,11557216.39426164,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,11557216.39426164,11557216.39426164,1395853723.0,11557216.39426164,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,8
year_9,building_codes,SENS_W100_F80,"FL_cnrm6_ssp245cal_03844,FL_cnrm6_ssp245cal_03574","{""FL_cnrm6_ssp245cal_03844"": 0.8493694612736804, ""FL_cnrm6_ssp245cal_03574"": 0.9580942990760638}",74438960.16118819,71319543.35958463,3119416.8016035557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138000.28173462386,485883.07858608715,0.0,0.0,0.0,0.0,0.18538717015364217,0.6527268483250821,0.0,0.0,138000.28173462386,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,138000.28173462386,138000.28173462386,1395853723.0,138000.28173462386,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,9
year_10,building_codes,SENS_W100_F80,"FL_cnrm6_ssp245cal_01520,FL_cnrm6_ssp245cal_01202","{""FL_cnrm6_ssp245cal_01520"": 0.822072353603383, ""FL_cnrm6_ssp245cal_01202"": 0.875010318745362}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,0.0,0.0,1395853723.0,0.0,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,10
