scenario,policy_scenario,policy_severity,events,wind_shares,total_damage_usd,wind_total_usd,water_total_usd,underinsured_wind_usd,uninsured_wind_usd,nfip_policyholder_shortfall_usd,wind_insured_private_usd,wind_insured_citizens_usd,wind_underinsured_usd,wind_uninsured_usd,flood_insured_capped_usd,flood_un_derinsured_usd,wind_insured_private_pct,wind_insured_citizens_pct,wind_underinsured_pct,wind_uninsured_pct,flood_insured_capped_pct,flood_un_derinsured_pct,insured_private_wind_pre_usd,insured_citizens_wind_pre_usd,insured_flood_pre_usd,defaults_pre,defaults_post,rescued_defaults,default_companies_pre,default_companies_post,group_contrib_total_usd,group_supported_companies,defaulted_premium_base_pct,largest_entity_deficit_usd,diag_group_shortfall_total_usd,diag_groups_with_shortfall,diag_groups_fully_funded_share,figa_residual_deficit_usd,figa_collected_usd,citizens_residual_deficit_usd,citizens_tier1_usd,citizens_tier2_usd,citizens_tier1_capacity_usd,citizens_tier2_capacity_usd,nfip_borrowed_usd,nfip_claims_paid_usd,nfip_pool_used_usd,nfip_fl_premium_base_usd,nfip_fl_premium_depletion_usd,underinsured_flood_usd,fhcf_cap_binding,fhcf_total_precap_usd,fhcf_total_postcap_usd,fhcf_shortfall_usd,fhcf_scaling_factor,fhcf_recovery_private_usd,fhcf_recovery_citizens_usd,catbond_payout_usd,catbond_unfilled_usd,catbond_triggers,catbond_limit_in_force_usd,catbond_issue_volume_year_usd,year_id
year_1,baseline,,"FL_ecearth6_20thcal_00926,FL_ecearth6_20thcal_01390","{""FL_ecearth6_20thcal_00926"": 0.801681204179031, ""FL_ecearth6_20thcal_01390"": 0.7342478771443514}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,0.0,0.0,1395853723.0,0.0,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9464500000.0,9464500000.0,1
year_2,baseline,,"FL_ecearth6_20thcal_00434,FL_ecearth6_20thcal_00411","{""FL_ecearth6_20thcal_00434"": 0.7223936388735638, ""FL_ecearth6_20thcal_00411"": 0.9602696181485115}",94013932.9272637,67915067.11214119,26098865.815122522,5016587.420236367,22565238.418750186,0.0,40044230.93395288,289010.3392017555,5016587.420236367,22565238.418750186,2972728.92096341,23126136.894159112,42.59393228973213,0.3074122422102644,5.3360042113306525,24.002015144083337,3.1620088942171347,24.59862721842649,40044230.93395288,289010.3392017555,2972728.92096341,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,289010.3392017555,0.0,539937478.65,359958319.1,0.0,2972728.92096341,2972728.92096341,1395853723.0,2972728.92096341,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9464500000.0,9464500000.0,2
year_3,baseline,,FL_ecearth6_20thcal_02412,"{""FL_ecearth6_20thcal_02412"": 0.8315043287236806}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,0.0,0.0,1395853723.0,0.0,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9464500000.0,9464500000.0,3
year_4,baseline,,"FL_ecearth6_20thcal_02250,FL_ecearth6_20thcal_03226","{""FL_ecearth6_20thcal_02250"": 0.9385337321066677, ""FL_ecearth6_20thcal_03226"": 0.8499792402295013}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,0.0,0.0,1395853723.0,0.0,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9464500000.0,9464500000.0,4
year_5,baseline,,"FL_ecearth6_20thcal_00686,FL_ecearth6_20thcal_03606,FL_ecearth6_20thcal_03482","{""FL_ecearth6_20thcal_00686"": 0.9562507528392832, ""FL_ecearth6_20thcal_03606"": 0.902164305457654, ""FL_ecearth6_20thcal_03482"": 0.7296842168898009}",866040282.3438954,781310629.8191309,84729652.52476448,118306760.39045194,446358586.7549769,0.0,194279108.84259507,22366173.83110697,118306760.39045194,446358586.7549769,16418578.3886327,68311074.13613178,22.433033751823668,2.582578926995638,13.660653297818955,51.54016456912712,1.89582155973122,7.887747894503384,194279108.84259507,22366173.83110697,16418578.3886327,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,16418578.3886327,16418578.3886327,1395853723.0,16418578.3886327,0.0,False,434.4472090835406,434.4472090835406,0.0,1.0,434.4472090835406,0.0,451581130.6948081,0.0,6.0,9464500000.0,9464500000.0,5
year_6,baseline,,"FL_ecearth6_20thcal_02583,FL_ecearth6_20thcal_03813","{""FL_ecearth6_20thcal_02583"": 0.8685022282594902, ""FL_ecearth6_20thcal_03813"": 0.8564480555654514}",195469611.7735344,167409568.9255772,28060042.847957183,34420664.82989327,66603820.95566856,0.0,57062138.311267495,9322944.828747842,34420664.82989327,66603820.95566856,3058589.246360604,25001453.60159658,29.192332144895282,4.7695110990188825,17.60921532384895,34.07374698878201,1.564738998870167,12.790455444584687,57062138.311267495,9322944.828747842,3058589.246360604,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8426240.704482777,0.0,539937478.65,359958319.1,0.0,3058589.246360604,3058589.246360604,1395853723.0,3058589.246360604,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,6385083.140015334,0.0,1.0,9464500000.0,9464500000.0,6
year_7,baseline,,FL_ecearth6_20thcal_01320,"{""FL_ecearth6_20thcal_01320"": 0.8029923863052799}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,0.0,0.0,1395853723.0,0.0,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9464500000.0,9464500000.0,7
year_8,baseline,,"FL_ecearth6_20thcal_03166,FL_ecearth6_20thcal_01765","{""FL_ecearth6_20thcal_03166"": 0.8807056152452823, ""FL_ecearth6_20thcal_01765"": 0.9765965201673884}",213960754.63139707,188436438.04598948,25524316.585407574,61030638.15437451,80163440.52610551,0.0,45765875.229932755,1476484.135576719,61030638.15437451,80163440.52610551,831482.7079123108,24692833.877495263,21.389845679305232,0.6900724098306468,28.524220836440602,37.46642259895177,0.3886145893179128,11.54082388615383,45765875.229932755,1476484.135576719,831482.7079123108,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1476484.135576719,0.0,539937478.65,359958319.1,0.0,831482.7079123108,831482.7079123108,1395853723.0,831482.7079123108,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9464500000.0,9464500000.0,8
year_9,baseline,,FL_ecearth6_20thcal_00697,"{""FL_ecearth6_20thcal_00697"": 0.7986030887706117}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,0.0,0.0,1395853723.0,0.0,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9464500000.0,9464500000.0,9
year_10,baseline,,"FL_ecearth6_20thcal_01217,FL_ecearth6_20thcal_01928","{""FL_ecearth6_20thcal_01217"": 0.8721346072556991, ""FL_ecearth6_20thcal_01928"": 0.7425538938632975}",122359153.60531598,90858265.95944472,31500887.64587126,15427539.865590928,35597971.67890693,0.0,35581724.57703924,4251029.837907626,15427539.865590928,35597971.67890693,3432203.32664313,28068684.319228128,29.079740688475447,3.4742229842646912,12.608406817976443,29.093018895613177,2.8050237563052374,22.939586857365008,35581724.57703924,4251029.837907626,3432203.32664313,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4251029.837907626,0.0,539937478.65,359958319.1,0.0,3432203.32664313,3432203.32664313,1395853723.0,3432203.32664313,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9464500000.0,9464500000.0,10
