scenario,policy_scenario,policy_severity,events,wind_shares,total_damage_usd,wind_total_usd,water_total_usd,underinsured_wind_usd,uninsured_wind_usd,nfip_policyholder_shortfall_usd,wind_insured_private_usd,wind_insured_citizens_usd,wind_underinsured_usd,wind_uninsured_usd,flood_insured_capped_usd,flood_un_derinsured_usd,wind_insured_private_pct,wind_insured_citizens_pct,wind_underinsured_pct,wind_uninsured_pct,flood_insured_capped_pct,flood_un_derinsured_pct,insured_private_wind_pre_usd,insured_citizens_wind_pre_usd,insured_flood_pre_usd,defaults_pre,defaults_post,rescued_defaults,default_companies_pre,default_companies_post,group_contrib_total_usd,group_supported_companies,defaulted_premium_base_pct,largest_entity_deficit_usd,diag_group_shortfall_total_usd,diag_groups_with_shortfall,diag_groups_fully_funded_share,figa_residual_deficit_usd,figa_collected_usd,citizens_residual_deficit_usd,citizens_tier1_usd,citizens_tier2_usd,citizens_tier1_capacity_usd,citizens_tier2_capacity_usd,nfip_borrowed_usd,nfip_claims_paid_usd,nfip_pool_used_usd,nfip_fl_premium_base_usd,nfip_fl_premium_depletion_usd,underinsured_flood_usd,fhcf_cap_binding,fhcf_total_precap_usd,fhcf_total_postcap_usd,fhcf_shortfall_usd,fhcf_scaling_factor,fhcf_recovery_private_usd,fhcf_recovery_citizens_usd,catbond_payout_usd,catbond_unfilled_usd,catbond_triggers,catbond_limit_in_force_usd,catbond_issue_volume_year_usd,year_id
year_1,building_codes,SENS_W100_F70,"FL_ecearth6_ssp245cal_00925,FL_ecearth6_ssp245cal_00434,FL_ecearth6_ssp245cal_00411,FL_ecearth6_ssp245cal_03441,FL_ecearth6_ssp245cal_01389","{""FL_ecearth6_ssp245cal_00925"": 0.801681204179031, ""FL_ecearth6_ssp245cal_00434"": 0.7342478771443514, ""FL_ecearth6_ssp245cal_00411"": 0.7670600320252788, ""FL_ecearth6_ssp245cal_03441"": 0.8223534062698715, ""FL_ecearth6_ssp245cal_01389"": 0.7900135027423422}",2263567134.261396,1789585320.409967,473981813.85142887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12026853.136292387,130167691.01913628,0.0,0.0,0.0,0.0,0.5313230146459411,5.75055579527179,0.0,0.0,12026853.136292387,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,12026853.136292387,12026853.136292387,1395853723.0,12026853.136292387,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,1
year_2,building_codes,SENS_W100_F70,"FL_ecearth6_ssp245cal_00686,FL_ecearth6_ssp245cal_03606,FL_ecearth6_ssp245cal_01972,FL_ecearth6_ssp245cal_03482","{""FL_ecearth6_ssp245cal_00686"": 0.8584483702458438, ""FL_ecearth6_ssp245cal_03606"": 0.8123962527051113, ""FL_ecearth6_ssp245cal_01972"": 0.9205316590107878, ""FL_ecearth6_ssp245cal_03482"": 0.6733834193140124}",406979995456.688,374637970401.9479,32342025054.74012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3112423796.926399,6590183719.495637,0.0,0.0,0.0,0.0,0.7647608805523299,1.6192893491240368,0.0,0.0,3112423796.926399,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,3112423796.926399,3112423796.926399,1395853723.0,1395853723.0,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,2
year_3,building_codes,SENS_W100_F70,"FL_ecearth6_ssp245cal_01726,FL_ecearth6_ssp245cal_01319,FL_ecearth6_ssp245cal_01765,FL_ecearth6_ssp245cal_03166,FL_ecearth6_ssp245cal_02581","{""FL_ecearth6_ssp245cal_01726"": 0.7420328740995595, ""FL_ecearth6_ssp245cal_01319"": 0.8685022282594902, ""FL_ecearth6_ssp245cal_01765"": 0.8564480555654514, ""FL_ecearth6_ssp245cal_03166"": 0.8029923863052799, ""FL_ecearth6_ssp245cal_02581"": 0.919791757648447}",692883072689.6658,514624033695.6717,178259038993.9941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14674407457.866917,38803304240.33132,0.0,0.0,0.0,0.0,2.117876455099865,5.600267313459232,0.0,0.0,14674407457.866917,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,11233407457.866917,14674407457.866917,3441000000.0,1395853723.0,1395853723.0,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,3
year_4,building_codes,SENS_W100_F70,"FL_ecearth6_ssp245cal_03142,FL_ecearth6_ssp245cal_01741,FL_ecearth6_ssp245cal_03254,FL_ecearth6_ssp245cal_00842,FL_ecearth6_ssp245cal_03628,FL_ecearth6_ssp245cal_03845","{""FL_ecearth6_ssp245cal_03142"": 0.9765965201673884, ""FL_ecearth6_ssp245cal_01741"": 0.7986030887706117, ""FL_ecearth6_ssp245cal_03254"": 0.748047283010878, ""FL_ecearth6_ssp245cal_00842"": 0.9171359127543597, ""FL_ecearth6_ssp245cal_03628"": 0.9147775145108845, ""FL_ecearth6_ssp245cal_03845"": 0.8493694612736804}",4037390421.345755,3729159340.6626196,308231080.6831355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12344520.961794594,80124803.24314608,0.0,0.0,0.0,0.0,0.3057549474662864,1.984569112254411,0.0,0.0,12344520.961794594,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,12344520.961794594,12344520.961794594,1395853723.0,12344520.961794594,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,4
year_5,building_codes,SENS_W100_F70,"FL_ecearth6_ssp245cal_00126,FL_ecearth6_ssp245cal_03420,FL_ecearth6_ssp245cal_02866,FL_ecearth6_ssp245cal_01388,FL_ecearth6_ssp245cal_03741,FL_ecearth6_ssp245cal_01763","{""FL_ecearth6_ssp245cal_00126"": 0.9580942990760638, ""FL_ecearth6_ssp245cal_03420"": 0.7907436554716536, ""FL_ecearth6_ssp245cal_02866"": 0.9272035855835594, ""FL_ecearth6_ssp245cal_01388"": 0.9419863999772443, ""FL_ecearth6_ssp245cal_03741"": 0.9175875248296649, ""FL_ecearth6_ssp245cal_01763"": 0.9415278353423164}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,0.0,0.0,1395853723.0,0.0,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,5
year_6,building_codes,SENS_W100_F70,"FL_ecearth6_ssp245cal_03259,FL_ecearth6_ssp245cal_02829,FL_ecearth6_ssp245cal_02676,FL_ecearth6_ssp245cal_01543,FL_ecearth6_ssp245cal_01723,FL_ecearth6_ssp245cal_03468","{""FL_ecearth6_ssp245cal_03259"": 0.9822579283693215, ""FL_ecearth6_ssp245cal_02829"": 0.9763994505523251, ""FL_ecearth6_ssp245cal_02676"": 0.8449754006601158, ""FL_ecearth6_ssp245cal_01543"": 0.8406685083274023, ""FL_ecearth6_ssp245cal_01723"": 0.8850672580588927, ""FL_ecearth6_ssp245cal_03468"": 0.9204653664593923}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,0.0,0.0,1395853723.0,0.0,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,6
year_7,building_codes,SENS_W100_F70,"FL_ecearth6_ssp245cal_03539,FL_ecearth6_ssp245cal_02349,FL_ecearth6_ssp245cal_01285,FL_ecearth6_ssp245cal_03402,FL_ecearth6_ssp245cal_01444","{""FL_ecearth6_ssp245cal_03539"": 0.8306427495343965, ""FL_ecearth6_ssp245cal_02349"": 0.7001986971882944, ""FL_ecearth6_ssp245cal_01285"": 0.786520243178773, ""FL_ecearth6_ssp245cal_03402"": 0.8686319745481839, ""FL_ecearth6_ssp245cal_01444"": 0.9566314485671172}",54587964769.584564,42930699301.43025,11657265468.154312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,442550037.5356181,3054629602.910676,0.0,0.0,0.0,0.0,0.8107099053859562,5.595793167604338,0.0,0.0,442550037.5356181,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,442550037.5356181,442550037.5356181,1395853723.0,442550037.5356181,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,7
year_8,building_codes,SENS_W100_F70,"FL_ecearth6_ssp245cal_03465,FL_ecearth6_ssp245cal_00857,FL_ecearth6_ssp245cal_03382,FL_ecearth6_ssp245cal_00034,FL_ecearth6_ssp245cal_00712","{""FL_ecearth6_ssp245cal_03465"": 0.854712741863065, ""FL_ecearth6_ssp245cal_00857"": 0.9408337708591721, ""FL_ecearth6_ssp245cal_03382"": 0.8692071538949533, ""FL_ecearth6_ssp245cal_00034"": 0.9140064429778398, ""FL_ecearth6_ssp245cal_00712"": 0.8922614482740803}",449990075.55118567,391134592.850821,58855482.70036466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1417156.669578681,16239488.140530715,0.0,0.0,0.0,0.0,0.3149306499355188,3.608854733215888,0.0,0.0,1417156.669578681,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,1417156.669578681,1417156.669578681,1395853723.0,1417156.669578681,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,8
year_9,building_codes,SENS_W100_F70,"FL_ecearth6_ssp245cal_03661,FL_ecearth6_ssp245cal_02579,FL_ecearth6_ssp245cal_01565,FL_ecearth6_ssp245cal_03200","{""FL_ecearth6_ssp245cal_03661"": 0.5615120359098229, ""FL_ecearth6_ssp245cal_02579"": 0.7034735661483944, ""FL_ecearth6_ssp245cal_01565"": 0.8010117487463155, ""FL_ecearth6_ssp245cal_03200"": 0.9728847129264611}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,0.0,0.0,1395853723.0,0.0,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,9
year_10,building_codes,SENS_W100_F70,"FL_ecearth6_ssp245cal_00248,FL_ecearth6_ssp245cal_00460,FL_ecearth6_ssp245cal_02046,FL_ecearth6_ssp245cal_00400,FL_ecearth6_ssp245cal_03286","{""FL_ecearth6_ssp245cal_00248"": 0.6775399606840959, ""FL_ecearth6_ssp245cal_00460"": 0.8616120677417679, ""FL_ecearth6_ssp245cal_02046"": 0.8338169012363772, ""FL_ecearth6_ssp245cal_00400"": 0.9922972701824723, ""FL_ecearth6_ssp245cal_03286"": 0.9259139333381107}",29609902.380517703,27202473.45658133,2407428.9239363708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24854.724543126493,697373.952637785,0.0,0.0,0.0,0.0,0.08394058252444644,2.355205173174205,0.0,0.0,24854.724543126493,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,24854.724543126493,24854.724543126493,1395853723.0,24854.724543126493,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,10
