scenario,policy_scenario,policy_severity,events,wind_shares,total_damage_usd,wind_total_usd,water_total_usd,underinsured_wind_usd,uninsured_wind_usd,nfip_policyholder_shortfall_usd,wind_insured_private_usd,wind_insured_citizens_usd,wind_underinsured_usd,wind_uninsured_usd,flood_insured_capped_usd,flood_un_derinsured_usd,wind_insured_private_pct,wind_insured_citizens_pct,wind_underinsured_pct,wind_uninsured_pct,flood_insured_capped_pct,flood_un_derinsured_pct,insured_private_wind_pre_usd,insured_citizens_wind_pre_usd,insured_flood_pre_usd,defaults_pre,defaults_post,rescued_defaults,default_companies_pre,default_companies_post,group_contrib_total_usd,group_supported_companies,defaulted_premium_base_pct,largest_entity_deficit_usd,diag_group_shortfall_total_usd,diag_groups_with_shortfall,diag_groups_fully_funded_share,figa_residual_deficit_usd,figa_collected_usd,citizens_residual_deficit_usd,citizens_tier1_usd,citizens_tier2_usd,citizens_tier1_capacity_usd,citizens_tier2_capacity_usd,nfip_borrowed_usd,nfip_claims_paid_usd,nfip_pool_used_usd,nfip_fl_premium_base_usd,nfip_fl_premium_depletion_usd,underinsured_flood_usd,fhcf_cap_binding,fhcf_total_precap_usd,fhcf_total_postcap_usd,fhcf_shortfall_usd,fhcf_scaling_factor,fhcf_recovery_private_usd,fhcf_recovery_citizens_usd,catbond_payout_usd,catbond_unfilled_usd,catbond_triggers,catbond_limit_in_force_usd,catbond_issue_volume_year_usd,year_id
year_1,baseline,,"FL_ecearth6_ssp585cal_00925,FL_ecearth6_ssp585cal_01208,FL_ecearth6_ssp585cal_01388,FL_ecearth6_ssp585cal_03440,FL_ecearth6_ssp585cal_00434,FL_ecearth6_ssp585cal_00411","{""FL_ecearth6_ssp585cal_00925"": 0.801681204179031, ""FL_ecearth6_ssp585cal_01208"": 0.7342478771443514, ""FL_ecearth6_ssp585cal_01388"": 0.7670600320252788, ""FL_ecearth6_ssp585cal_03440"": 0.8223534062698715, ""FL_ecearth6_ssp585cal_00434"": 0.7900135027423422, ""FL_ecearth6_ssp585cal_00411"": 0.7099531754669853}",6883404775.015107,5621777018.997462,1261627756.0176451,1048089451.8146389,2330066130.593868,0.0,2021635334.5777113,221986102.0112436,1048089451.8146389,2330066130.593868,157162093.8014463,1104465662.216199,29.36970003443208,3.224946218722934,15.226323107118725,33.850488337564805,2.2832028471128427,16.04533945504861,2021635334.5777113,221986102.0112436,157162093.8014463,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,114122413.50016856,0.0,539937478.65,359958319.1,0.0,157162093.8014463,157162093.8014463,1395853723.0,157162093.8014463,0.0,False,374848.86067200004,374848.86067200004,0.0,1.0,374848.86067200004,0.0,1089999999.9999998,0.0,7,9464500000.0,9464500000.0,1
year_2,baseline,,"FL_ecearth6_ssp585cal_01250,FL_ecearth6_ssp585cal_03605,FL_ecearth6_ssp585cal_00685","{""FL_ecearth6_ssp585cal_01250"": 0.8123962527051113, ""FL_ecearth6_ssp585cal_03605"": 0.9205316590107878, ""FL_ecearth6_ssp585cal_00685"": 0.6733834193140124}",373162099.10920584,303155490.96789217,70006608.1413137,61344141.21083059,147437823.50582808,0.0,83329762.74786589,11043763.50336756,61344141.21083059,147437823.50582808,9972953.494902601,60033654.6464111,22.330714439324513,2.9595083556799278,16.43900636138244,39.51039611412423,2.6725526302669924,16.08782209922189,83329762.74786589,11043763.50336756,9972953.494902601,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,6509512.201252867,0.0,539937478.65,359958319.1,0.0,9972953.494902601,9972953.494902601,1395853723.0,9972953.494902601,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,38747052.502466895,0.0,2,9464500000.0,9464500000.0,2
year_3,baseline,,"FL_ecearth6_ssp585cal_01726,FL_ecearth6_ssp585cal_01320,FL_ecearth6_ssp585cal_02581,FL_ecearth6_ssp585cal_01766","{""FL_ecearth6_ssp585cal_01726"": 0.7420328740995595, ""FL_ecearth6_ssp585cal_01320"": 0.8685022282594902, ""FL_ecearth6_ssp585cal_02581"": 0.8564480555654514, ""FL_ecearth6_ssp585cal_01766"": 0.8029923863052799}",3103615009.3680315,2695496551.2957335,408118458.07229805,568789988.3551979,1059407292.815366,0.0,1002017197.6110226,65282072.51414694,568789988.3551979,1059407292.815366,44744358.97673893,363374099.0955591,32.28548626638639,2.1034204409083554,18.326692796572626,34.13462332208163,1.4416852232535737,11.70809195079742,1002017197.6110226,65282072.51414694,44744358.97673893,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,44744358.97673893,44744358.97673893,1395853723.0,44744358.97673893,0.0,False,124949.62022400001,124949.62022400001,0.0,1.0,124949.62022400001,0.0,1090000000.0,0.0,7,9464500000.0,9464500000.0,3
year_4,baseline,,"FL_ecearth6_ssp585cal_01741,FL_ecearth6_ssp585cal_01216,FL_ecearth6_ssp585cal_03142,FL_ecearth6_ssp585cal_00842,FL_ecearth6_ssp585cal_01925,FL_ecearth6_ssp585cal_03254,FL_ecearth6_ssp585cal_03628,FL_ecearth6_ssp585cal_03845","{""FL_ecearth6_ssp585cal_01741"": 0.8807056152452823, ""FL_ecearth6_ssp585cal_01216"": 0.9765965201673884, ""FL_ecearth6_ssp585cal_03142"": 0.7986030887706117, ""FL_ecearth6_ssp585cal_00842"": 0.748047283010878, ""FL_ecearth6_ssp585cal_01925"": 0.9171359127543597, ""FL_ecearth6_ssp585cal_03254"": 0.9147775145108845, ""FL_ecearth6_ssp585cal_03628"": 0.8493694612736804, ""FL_ecearth6_ssp585cal_03845"": 0.9580942990760638}",511105319294.8607,467550973627.0596,43554345667.80118,100248627350.22449,127467364622.16556,0.0,171876249001.80222,67958732652.867256,100248627350.22449,127467364622.16556,14484029429.086016,29070316238.715168,33.62834283136182,13.29642445252293,19.61408413603112,24.93954960164064,2.8338639576415883,5.6877350208019015,171876249001.80222,67958732652.867256,14484029429.086016,48,27,21,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Spinnaker Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Unique Insurance Co.;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Vault E&S Insurance Co.;Edison Insurance Co.;Vault Reciprocal Exchange;Narragansett Bay Insurance Co.;Safe Harbor Insurance Co.;Spinnaker Specialty Ins Co.;GeoVera Specialty Insurance Co;Wilshire Insurance Co.;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;QBE Specialty Insurance Co.;Auto Club Insurance Co. of FL;American Platinum P&C Ins Co.;Privilege Underwriters Recpl;Voyager Indemnity Insurance Co;American Strategic Ins Corp.;FL Farm Bureau General Ins Co.;Castle Key Insurance Co.;Chubb Custom Insurance Co.;Homesite Insurance Co.;Farmers Casualty Ins Co.;Scottsdale Insurance Co.;PURE Specialty Exchange;First Floridian Auto & Home;State Farm FL Ins Co;AIG Specialty Insurance Co.;AIG Property Casualty Co.;Foremost P&C Insurance Co.;ASI Preferred Insurance Corp.;Nationwide P&C Insurance Co.;ACE Ins Co. of the Midwest;Castle Key Indemnity Co.;First Liberty Insurance Corp.;Dover Bay Specialty Ins Co.,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Spinnaker Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Unique Insurance Co.;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Vault E&S Insurance Co.;Edison Insurance Co.;Vault Reciprocal Exchange;Narragansett Bay Insurance Co.;Safe Harbor Insurance Co.;Spinnaker Specialty Ins Co.;GeoVera Specialty Insurance Co;Wilshire Insurance Co.;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;QBE Specialty Insurance Co.;Auto Club Insurance Co. of FL;American Platinum P&C Ins Co.,31554956711.6145,22,37.69940979064794,11049185921.576103,1060579056.5446415,2,0.9622641509433962,61289710453.24696,283518060.0,61448962144.74292,539937478.65,359958319.1,539937478.65,359958319.1,11043029429.086016,14484029429.086016,3441000000.0,1395853723.0,1395853723.0,0.0,True,28994057802.000656,17000000000.0,11994057802.000656,0.5863270369429615,11696604627.512806,5303395372.487193,2710580974.8870106,0.0,15,9464500000.0,9464500000.0,4
year_5,baseline,,"FL_ecearth6_ssp585cal_03416,FL_ecearth6_ssp585cal_02863,FL_ecearth6_ssp585cal_03025,FL_ecearth6_ssp585cal_01386,FL_ecearth6_ssp585cal_03797,FL_ecearth6_ssp585cal_03603,FL_ecearth6_ssp585cal_00417,FL_ecearth6_ssp585cal_03738","{""FL_ecearth6_ssp585cal_03416"": 0.7907436554716536, ""FL_ecearth6_ssp585cal_02863"": 0.9272035855835594, ""FL_ecearth6_ssp585cal_03025"": 0.9419863999772443, ""FL_ecearth6_ssp585cal_01386"": 0.9175875248296649, ""FL_ecearth6_ssp585cal_03797"": 0.9415278353423164, ""FL_ecearth6_ssp585cal_03603"": 0.7052955420802686, ""FL_ecearth6_ssp585cal_00417"": 0.9341565211279911, ""FL_ecearth6_ssp585cal_03738"": 0.8491324193523776}",33084914725.432564,29554588483.964733,3530326241.467831,4267645117.3773494,10921002948.573599,0.0,13209072279.065828,1156868138.9479532,4267645117.3773494,10921002948.573599,419229833.78804094,3111096407.6797905,39.924758424454815,3.496663505252023,12.899066395648848,33.009010418209,1.2671328829684925,9.403368373466813,13209072279.065828,1156868138.9479532,419229833.78804094,18,13,5,Universal P&C Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;FL Farm Bureau General Ins Co.;State Farm FL Ins Co;AIG Property Casualty Co.;ASI Preferred Insurance Corp.;Castle Key Indemnity Co.,Universal P&C Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co,556299739.0527457,5,30.467154307056973,630528202.5589885,0.0,0,1.0,1613961769.0021338,363386040.0,166995942.90004253,539937478.65,359958319.1,539937478.65,359958319.1,0.0,419229833.78804094,419229833.78804094,1395853723.0,419229833.78804094,0.0,False,351306632.84979653,351306632.84979653,0.0,1.0,351306632.84979653,0.0,2004453358.4190493,0.0,13,9464500000.0,9464500000.0,5
year_6,baseline,,"FL_ecearth6_ssp585cal_01015,FL_ecearth6_ssp585cal_00898,FL_ecearth6_ssp585cal_02642,FL_ecearth6_ssp585cal_01864,FL_ecearth6_ssp585cal_02689","{""FL_ecearth6_ssp585cal_01015"": 0.8406685083274023, ""FL_ecearth6_ssp585cal_00898"": 0.8850672580588927, ""FL_ecearth6_ssp585cal_02642"": 0.9204653664593923, ""FL_ecearth6_ssp585cal_01864"": 0.8306427495343965, ""FL_ecearth6_ssp585cal_02689"": 0.7001986971882944}",4800156.903159907,4400081.76536548,400075.1377944265,925746.8645802606,2208553.565025564,0.0,1191089.4380628986,74691.89769675836,925746.8645802606,2208553.565025564,61880.88511944138,338194.25267498515,24.81355218365494,1.5560303382497611,19.285762596027816,46.01002862159963,1.289142966945636,7.045483293522227,1191089.4380628986,74691.89769675836,61880.88511944138,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,74691.89769675836,0.0,539937478.65,359958319.1,0.0,61880.88511944138,61880.88511944138,1395853723.0,61880.88511944138,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,6
year_7,baseline,,"FL_ecearth6_ssp585cal_03989,FL_ecearth6_ssp585cal_03399,FL_ecearth6_ssp585cal_02840,FL_ecearth6_ssp585cal_00711,FL_ecearth6_ssp585cal_01893","{""FL_ecearth6_ssp585cal_03989"": 0.786520243178773, ""FL_ecearth6_ssp585cal_03399"": 0.8686319745481839, ""FL_ecearth6_ssp585cal_02840"": 0.9566314485671172, ""FL_ecearth6_ssp585cal_00711"": 0.8155426126282449, ""FL_ecearth6_ssp585cal_01893"": 0.9202343931942999}",5012960889.090573,4795556036.941021,217404852.14955264,1264251190.8657222,1393714588.8627923,0.0,1939893464.7283154,197696792.48419136,1264251190.8657222,1393714588.8627923,14829972.791640522,202574879.35791212,38.69755834221642,3.943713044209617,25.219650000003817,27.802223470281913,0.2958326051159538,4.0410225381722915,1939893464.7283154,197696792.48419136,14829972.791640522,1,0,1,Castle Key Indemnity Co.,,1686922.9238997325,1,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,96869861.8346372,0.0,539937478.65,359958319.1,0.0,14829972.791640522,14829972.791640522,1395853723.0,14829972.791640522,0.0,False,368560.3947279834,368560.3947279834,0.0,1.0,368560.3947279834,0.0,1090000000.0000002,0.0,7,9464500000.0,9464500000.0,7
year_8,baseline,,"FL_ecearth6_ssp585cal_03475,FL_ecearth6_ssp585cal_02865,FL_ecearth6_ssp585cal_02946,FL_ecearth6_ssp585cal_00034","{""FL_ecearth6_ssp585cal_03475"": 0.924246434859989, ""FL_ecearth6_ssp585cal_02865"": 0.77575857358514, ""FL_ecearth6_ssp585cal_02946"": 0.8193732063874546, ""FL_ecearth6_ssp585cal_00034"": 0.7841669222251626}",38366720240.5827,30142507113.42069,8224213127.162017,6328723165.810961,10114469225.299265,0.0,12136736817.217299,1562577905.0931695,6328723165.810961,10114469225.299265,1044206727.5089098,7180006399.653107,31.633500964149576,4.072742979579318,16.495345773957254,26.362611038617278,2.721647096653291,18.714152147043308,12136736817.217299,1562577905.0931695,1044206727.5089098,17,12,5,Universal P&C Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;FL Farm Bureau General Ins Co.;State Farm FL Ins Co;AIG Property Casualty Co.;ASI Preferred Insurance Corp.;Castle Key Indemnity Co.,Universal P&C Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co,407320187.2500976,5,30.1173132839673,679315573.5600749,0.0,0,1.0,1429405137.9341195,367249440.0,535091758.9488666,539937478.65,359958319.1,539937478.65,359958319.1,0.0,1044206727.5089098,1044206727.5089098,1395853723.0,1044206727.5089098,0.0,False,350264907.91554815,350264907.91554815,0.0,1.0,350264907.91554815,0.0,1951784712.1831074,0.0,12,9464500000.0,9464500000.0,8
year_9,baseline,,"FL_ecearth6_ssp585cal_03198,FL_ecearth6_ssp585cal_03194,FL_ecearth6_ssp585cal_01630,FL_ecearth6_ssp585cal_03658,FL_ecearth6_ssp585cal_01288","{""FL_ecearth6_ssp585cal_03198"": 0.8472721395334926, ""FL_ecearth6_ssp585cal_03194"": 0.7530423912595645, ""FL_ecearth6_ssp585cal_01630"": 0.9780396309028343, ""FL_ecearth6_ssp585cal_03658"": 0.9311731427976728, ""FL_ecearth6_ssp585cal_01288"": 0.7883452483831148}",262758251.89543495,256987983.7004852,5770268.194949755,54816468.64294064,77531407.20366684,0.0,119531636.2906569,5108471.563220859,54816468.64294064,77531407.20366684,722341.2647187184,5047926.930231038,45.49110653172738,1.9441716963674212,20.8619399191143,29.50674494307436,0.27490716638127705,1.92112974333528,119531636.2906569,5108471.563220859,722341.2647187184,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,1229573.2853207556,0.0,539937478.65,359958319.1,0.0,722341.2647187184,722341.2647187184,1395853723.0,722341.2647187184,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,94640107.85387774,0.0,2,9464500000.0,9464500000.0,9
year_10,baseline,,"FL_ecearth6_ssp585cal_00301,FL_ecearth6_ssp585cal_00669,FL_ecearth6_ssp585cal_03563,FL_ecearth6_ssp585cal_02044,FL_ecearth6_ssp585cal_02328","{""FL_ecearth6_ssp585cal_00301"": 0.8719350543713326, ""FL_ecearth6_ssp585cal_00669"": 0.8616319231873051, ""FL_ecearth6_ssp585cal_03563"": 0.9635796928552764, ""FL_ecearth6_ssp585cal_02044"": 0.9655335519907051, ""FL_ecearth6_ssp585cal_02328"": 0.7181868532789635}",13442670819.627823,11721135912.008112,1721534907.6197112,3171910920.1691904,4010712723.3598175,0.0,4131533062.05029,406979206.42881495,3171910920.1691904,4010712723.3598175,222566074.44670114,1498968833.1730099,30.734465773109488,3.027517462040201,23.59583867469135,29.83568352729223,1.6556685604599455,11.150826002406795,4131533062.05029,406979206.42881495,222566074.44670114,2,0,2,FL Farm Bureau General Ins Co.;Castle Key Indemnity Co.,,45713167.33832547,2,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,309151178.0387728,0.0,539937478.65,359958319.1,0.0,222566074.44670114,222566074.44670114,1395853723.0,222566074.44670114,0.0,False,3949502.4920661924,3949502.4920661924,0.0,1.0,3949502.4920661924,0.0,1133587825.6886978,0.0,9,9464500000.0,9464500000.0,10
