scenario,policy_scenario,policy_severity,events,wind_shares,total_damage_usd,wind_total_usd,water_total_usd,underinsured_wind_usd,uninsured_wind_usd,nfip_policyholder_shortfall_usd,wind_insured_private_usd,wind_insured_citizens_usd,wind_underinsured_usd,wind_uninsured_usd,flood_insured_capped_usd,flood_un_derinsured_usd,wind_insured_private_pct,wind_insured_citizens_pct,wind_underinsured_pct,wind_uninsured_pct,flood_insured_capped_pct,flood_un_derinsured_pct,insured_private_wind_pre_usd,insured_citizens_wind_pre_usd,insured_flood_pre_usd,defaults_pre,defaults_post,rescued_defaults,default_companies_pre,default_companies_post,group_contrib_total_usd,group_supported_companies,defaulted_premium_base_pct,largest_entity_deficit_usd,diag_group_shortfall_total_usd,diag_groups_with_shortfall,diag_groups_fully_funded_share,figa_residual_deficit_usd,figa_collected_usd,citizens_residual_deficit_usd,citizens_tier1_usd,citizens_tier2_usd,citizens_tier1_capacity_usd,citizens_tier2_capacity_usd,nfip_borrowed_usd,nfip_claims_paid_usd,nfip_pool_used_usd,nfip_fl_premium_base_usd,nfip_fl_premium_depletion_usd,underinsured_flood_usd,fhcf_cap_binding,fhcf_total_precap_usd,fhcf_total_postcap_usd,fhcf_shortfall_usd,fhcf_scaling_factor,fhcf_recovery_private_usd,fhcf_recovery_citizens_usd,catbond_payout_usd,catbond_unfilled_usd,catbond_triggers,catbond_limit_in_force_usd,catbond_issue_volume_year_usd,year_id
year_1,building_codes,MAJOR,"FL_era5_reanalcal_02038,FL_era5_reanalcal_03058","{""FL_era5_reanalcal_02038"": 0.801681204179031, ""FL_era5_reanalcal_03058"": 0.7342478771443514}",256686525.42557013,188851741.20925713,67834784.21631302,31338237.79951902,74948447.8998017,0.0,23950998.219908524,1958534.9272507248,31338237.79951902,74948447.8998017,10048776.537356906,40827311.624877855,9.330835804567176,0.7630065208929829,12.208758425305804,29.19843485182632,3.9148048463769825,15.905514150845566,23950998.219908524,1958534.9272507248,10048776.537356906,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,1958534.9272507248,0.0,539937478.65,359958319.1,0.0,10048776.537356906,10048776.537356906,1395853723.0,10048776.537356906,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,1
year_2,building_codes,MAJOR,"FL_era5_reanalcal_00955,FL_era5_reanalcal_00904","{""FL_era5_reanalcal_00955"": 0.7223936388735638, ""FL_era5_reanalcal_00904"": 0.9602696181485115}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,0.0,0.0,1395853723.0,0.0,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,2
year_3,building_codes,MAJOR,"FL_era5_reanalcal_05306,FL_era5_reanalcal_07099","{""FL_era5_reanalcal_05306"": 0.8315043287236806, ""FL_era5_reanalcal_07099"": 0.8584483702458438}",858642367.9617101,733874003.3467785,124768364.61493158,94218338.05548549,263906519.31968856,0.0,110456985.85412562,45129959.1134453,94218338.05548549,263906519.31968856,23152367.86414751,70423905.59705119,12.864143440339912,5.255966954038984,10.972943051848919,30.73532464350246,2.696392436248843,8.201773896183008,110456985.85412562,45129959.1134453,23152367.86414751,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,23152367.86414751,23152367.86414751,1395853723.0,23152367.86414751,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,182934724.8378545,0.0,6,9464500000.0,9464500000.0,3
year_4,building_codes,MAJOR,"FL_era5_reanalcal_07664,FL_era5_reanalcal_04342","{""FL_era5_reanalcal_07664"": 0.8499792402295013, ""FL_era5_reanalcal_04342"": 0.9562507528392832}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,0.0,0.0,1395853723.0,0.0,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,4
year_5,building_codes,MAJOR,"FL_era5_reanalcal_02751,FL_era5_reanalcal_07934","{""FL_era5_reanalcal_02751"": 0.902164305457654, ""FL_era5_reanalcal_07934"": 0.7296842168898009}",107009396.19492683,78083067.46234563,28926328.732581206,15574438.539314147,18355353.024862636,0.0,13482015.00010331,7246340.659361849,15574438.539314147,18355353.024862636,9656653.534314938,12038093.015120964,12.59890764689921,6.771686335059787,14.554271954720654,17.15302924560641,9.024117393134816,11.249566340130116,13482015.00010331,7246340.659361849,9656653.534314938,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,7246340.659361849,0.0,539937478.65,359958319.1,0.0,9656653.534314938,9656653.534314938,1395853723.0,9656653.534314938,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,5
year_6,building_codes,MAJOR,"FL_era5_reanalcal_05684,FL_era5_reanalcal_08390","{""FL_era5_reanalcal_05684"": 0.8685022282594902, ""FL_era5_reanalcal_08390"": 0.8564480555654514}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,0.0,0.0,1395853723.0,0.0,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,6
year_7,building_codes,MAJOR,FL_era5_reanalcal_02905,"{""FL_era5_reanalcal_02905"": 0.8029923863052799}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,0.0,0.0,1395853723.0,0.0,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,7
year_8,building_codes,MAJOR,"FL_era5_reanalcal_06966,FL_era5_reanalcal_03885","{""FL_era5_reanalcal_06966"": 0.8807056152452823, ""FL_era5_reanalcal_03885"": 0.9765965201673884}",11541826.355441809,10164951.281423595,1376875.0740182148,2657035.241370194,2673085.4750847905,0.0,1347651.6450883676,437693.53545316454,2657035.241370194,2673085.4750847905,136099.4540737283,896556.851439933,11.676242594422407,3.792238091043522,23.02092545446622,23.159986927237632,1.179184731102451,7.767894125501368,1347651.6450883676,437693.53545316454,136099.4540737283,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,437693.53545316454,0.0,539937478.65,359958319.1,0.0,136099.4540737283,136099.4540737283,1395853723.0,136099.4540737283,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,8
year_9,building_codes,MAJOR,"FL_era5_reanalcal_02680,FL_era5_reanalcal_01534","{""FL_era5_reanalcal_02680"": 0.7986030887706117, ""FL_era5_reanalcal_01534"": 0.748047283010878}",25420960310.41229,20301257423.41038,5119702887.001907,3265545753.162405,6523285303.037007,0.0,3574774196.0718055,847274944.1160461,3265545753.162405,6523285303.037007,704010436.2601646,3135766728.991265,14.062309812141901,3.332977722989508,12.845878807437716,25.66104987137368,2.7694092892777373,12.335359052926382,3574774196.0718055,847274944.1160461,704010436.2601646,1,0,1,Castle Key Indemnity Co.,,44727136.69703132,1,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,539937478.65,98380277.4803983,539937478.65,359958319.1,0.0,704010436.2601646,704010436.2601646,1395853723.0,704010436.2601646,0.0,False,2341457.5312382146,2341457.5312382146,0.0,1.0,2341457.5312382146,0.0,1122488999.9506316,0.0,8,9464500000.0,9464500000.0,9
year_10,building_codes,MAJOR,FL_era5_reanalcal_07169,"{""FL_era5_reanalcal_07169"": 0.7425538938632975}",18397097.460853282,13660836.355339188,4736261.105514094,2850536.7595091425,2098559.619181841,0.0,1772562.0013053892,2840927.0687410575,2850536.7595091425,2098559.619181841,2345514.1041143565,1206681.725021214,9.635009028338187,15.4422569907356,15.494491810867054,11.407014740489977,12.749370432511522,6.559087527741164,1772562.0013053892,2840927.0687410575,2345514.1041143565,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,2840927.0687410575,0.0,539937478.65,359958319.1,0.0,2345514.1041143565,2345514.1041143565,1395853723.0,2345514.1041143565,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,10
year_11,building_codes,MAJOR,"FL_era5_reanalcal_01854,FL_era5_reanalcal_07987,FL_era5_reanalcal_06917","{""FL_era5_reanalcal_01854"": 0.8807192841255356, ""FL_era5_reanalcal_07987"": 0.9219702098408061, ""FL_era5_reanalcal_06917"": 0.7952446646021719}",265566076630.0076,233889139467.29538,31676937162.71222,39566524116.24482,79149464809.35176,0.0,34464513996.03626,10541894705.473911,39566524116.24482,79149464809.35176,5926705526.566009,17830997345.468155,12.977754701724562,3.9695938725491313,14.898937627251902,29.80405698413977,2.2317253776442323,6.714335494857155,34464513996.03626,10541894705.473911,5926705526.566009,27,18,9,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;Auto Club Insurance Co. of FL;American Platinum P&C Ins Co.;FL Farm Bureau General Ins Co.;Homesite Insurance Co.;State Farm FL Ins Co;AIG Property Casualty Co.;ASI Preferred Insurance Corp.;ACE Ins Co. of the Midwest;Castle Key Indemnity Co.;First Liberty Insurance Corp.,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;American Platinum P&C Ins Co.,2403649305.9294133,9,35.166819401784345,1300661203.1281328,4428080.074955095,1,0.9811320754716981,5143089738.258264,311486220.0,4575637627.114354,539937478.65,359958319.1,539937478.65,359958319.1,2485705526.5660086,5926705526.566009,3441000000.0,1395853723.0,1395853723.0,0.0,False,16895178918.23286,16895178918.23286,0.0,1.0,12049693278.035341,4845485640.197519,2125000000.0,0.0,13,9464500000.0,9464500000.0,11
