scenario,policy_scenario,policy_severity,events,wind_shares,total_damage_usd,wind_total_usd,water_total_usd,underinsured_wind_usd,uninsured_wind_usd,nfip_policyholder_shortfall_usd,wind_insured_private_usd,wind_insured_citizens_usd,wind_underinsured_usd,wind_uninsured_usd,flood_insured_capped_usd,flood_un_derinsured_usd,wind_insured_private_pct,wind_insured_citizens_pct,wind_underinsured_pct,wind_uninsured_pct,flood_insured_capped_pct,flood_un_derinsured_pct,insured_private_wind_pre_usd,insured_citizens_wind_pre_usd,insured_flood_pre_usd,defaults_pre,defaults_post,rescued_defaults,default_companies_pre,default_companies_post,group_contrib_total_usd,group_supported_companies,defaulted_premium_base_pct,largest_entity_deficit_usd,diag_group_shortfall_total_usd,diag_groups_with_shortfall,diag_groups_fully_funded_share,figa_residual_deficit_usd,figa_collected_usd,citizens_residual_deficit_usd,citizens_tier1_usd,citizens_tier2_usd,citizens_tier1_capacity_usd,citizens_tier2_capacity_usd,nfip_borrowed_usd,nfip_claims_paid_usd,nfip_pool_used_usd,nfip_fl_premium_base_usd,nfip_fl_premium_depletion_usd,underinsured_flood_usd,fhcf_cap_binding,fhcf_total_precap_usd,fhcf_total_postcap_usd,fhcf_shortfall_usd,fhcf_scaling_factor,fhcf_recovery_private_usd,fhcf_recovery_citizens_usd,catbond_payout_usd,catbond_unfilled_usd,catbond_triggers,catbond_limit_in_force_usd,catbond_issue_volume_year_usd,year_id
year_1,penetration,MAJOR,"FL_era5_reanalcal_02038,FL_era5_reanalcal_03058","{""FL_era5_reanalcal_02038"": 0.801681204179031, ""FL_era5_reanalcal_03058"": 0.7342478771443514}",256686525.42557013,188851741.20925713,67834784.21631302,22662208.945110854,52878487.53859199,0.0,104486181.6435107,8824863.082043575,22662208.945110854,52878487.53859199,36534054.923424706,31300729.292888314,40.70575246218288,3.437992340039083,8.828748960444392,20.600414241036912,14.232946144272098,12.194145852024633,104486181.6435107,8824863.082043575,36534054.923424706,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,2857400.244648746,0.0,556278040.885593,370852027.2570621,0.0,36534054.923424706,36534054.923424706,1395853723.0,36534054.923424706,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,76622089.45110856,0.0,2,9464500000.0,9464500000.0,1
year_2,penetration,MAJOR,"FL_era5_reanalcal_00955,FL_era5_reanalcal_00904","{""FL_era5_reanalcal_00955"": 0.7223936388735638, ""FL_era5_reanalcal_00904"": 0.9602696181485115}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,556278040.885593,370852027.2570621,0.0,0.0,0.0,1395853723.0,0.0,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,2
year_3,penetration,MAJOR,"FL_era5_reanalcal_05306,FL_era5_reanalcal_07099","{""FL_era5_reanalcal_05306"": 0.8315043287236806, ""FL_era5_reanalcal_07099"": 0.8584483702458438}",858642367.9617101,733874003.3467785,124768364.61493158,88064880.40161341,205484720.93709797,0.0,336638906.54374164,103685495.46432546,88064880.40161341,205484720.93709797,67628612.62563686,57139751.98929473,39.20595105769968,12.07551587635484,10.256293386810905,23.931351235892105,7.876225906040157,6.65466253720231,336638906.54374164,103685495.46432546,67628612.62563686,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,556278040.885593,370852027.2570621,0.0,67628612.62563686,67628612.62563686,1395853723.0,67628612.62563686,0.0,False,16649.988969762388,16649.988969762388,0.0,1.0,16649.988969762388,0.0,780324402.0080671,0.0,7,9464500000.0,9464500000.0,3
year_4,penetration,MAJOR,"FL_era5_reanalcal_07664,FL_era5_reanalcal_04342","{""FL_era5_reanalcal_07664"": 0.8499792402295013, ""FL_era5_reanalcal_04342"": 0.9562507528392832}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,556278040.885593,370852027.2570621,0.0,0.0,0.0,1395853723.0,0.0,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,4
year_5,penetration,MAJOR,"FL_era5_reanalcal_02751,FL_era5_reanalcal_07934","{""FL_era5_reanalcal_02751"": 0.902164305457654, ""FL_era5_reanalcal_07934"": 0.7296842168898009}",107009396.19492683,78083067.46234563,28926328.732581206,9369968.095481476,21863258.889456775,0.0,30644077.20815383,16205763.269253548,9369968.095481476,21863258.889456775,28261651.82398145,664676.9085997583,28.636809754849008,15.144243258539051,8.756210602677612,20.431158072914428,26.410439483744412,0.6211388272754965,30644077.20815383,16205763.269253548,28261651.82398145,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,16205763.269253548,0.0,556278040.885593,370852027.2570621,0.0,28261651.82398145,28261651.82398145,1395853723.0,28261651.82398145,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,5
year_6,penetration,MAJOR,"FL_era5_reanalcal_05684,FL_era5_reanalcal_08390","{""FL_era5_reanalcal_05684"": 0.8685022282594902, ""FL_era5_reanalcal_08390"": 0.8564480555654514}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,556278040.885593,370852027.2570621,0.0,0.0,0.0,1395853723.0,0.0,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,6
year_7,penetration,MAJOR,FL_era5_reanalcal_02905,"{""FL_era5_reanalcal_02905"": 0.8029923863052799}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,556278040.885593,370852027.2570621,0.0,0.0,0.0,1395853723.0,0.0,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,7
year_8,penetration,MAJOR,"FL_era5_reanalcal_06966,FL_era5_reanalcal_03885","{""FL_era5_reanalcal_06966"": 0.8807056152452823, ""FL_era5_reanalcal_03885"": 0.9765965201673884}",11541826.355441809,10164951.281423595,1376875.0740182148,1219794.1537708314,2846186.358798606,0.0,4558487.440168514,1540483.3286856445,1219794.1537708314,2846186.358798606,494907.1057226484,881967.9682955665,39.49537360713499,13.346963307581976,10.56846738294339,24.659757226867903,4.287944476736185,7.641493998735573,4558487.440168514,1540483.3286856445,494907.1057226484,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,1540483.3286856445,0.0,556278040.885593,370852027.2570621,0.0,494907.1057226484,494907.1057226484,1395853723.0,494907.1057226484,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,8
year_9,penetration,MAJOR,"FL_era5_reanalcal_02680,FL_era5_reanalcal_01534","{""FL_era5_reanalcal_02680"": 0.7986030887706117, ""FL_era5_reanalcal_01534"": 0.748047283010878}",25420960310.41229,20301257423.41038,5119702887.001907,2436150890.8092456,5684352078.554905,0.0,9235690397.190603,2945064056.8556232,2436150890.8092456,5684352078.554905,2560037950.036962,2559664936.964945,36.33100514069767,11.58518018553902,9.583237065247339,22.36088648557712,10.070579233737226,10.069111889201604,9235690397.190603,2945064056.8556232,2560037950.036962,10,6,4,Universal P&C Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Kin Interinsurance Network;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;FL Farm Bureau General Ins Co.;AIG Property Casualty Co.;ASI Preferred Insurance Corp.;Castle Key Indemnity Co.,Universal P&C Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Kin Interinsurance Network;Homeowners Choice P&C Ins Co.;Edison Insurance Co.,195287419.7981816,4,20.136586324209667,171048294.2997495,0.0,0,1.0,0.0,367642529.85901904,1714236733.727219,556278040.885593,370852027.2570621,556278040.885593,370852027.2570621,0.0,2560037950.036962,2560037950.036962,1395853723.0,1395853723.0,0.0,False,382954951.2081369,382954951.2081369,0.0,1.0,348135518.71757543,34819432.490561515,1681275310.8615222,0.0,11,9464500000.0,9464500000.0,9
year_10,penetration,MAJOR,FL_era5_reanalcal_07169,"{""FL_era5_reanalcal_07169"": 0.7425538938632975}",18397097.460853282,13660836.355339188,4736261.105514094,1639300.3626407024,3825034.1794949723,0.0,2996451.6146414336,5200050.198562078,1639300.3626407024,3825034.1794949723,4641535.883403813,94725.22211028183,16.287632443202014,28.26560118859583,8.91064672635957,20.791509028172328,25.229718401396845,0.5148922122734048,2996451.6146414336,5200050.198562078,4641535.883403813,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,5200050.198562078,0.0,556278040.885593,370852027.2570621,0.0,4641535.883403813,4641535.883403813,1395853723.0,4641535.883403813,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,10
