scenario,policy_scenario,policy_severity,events,wind_shares,total_damage_usd,wind_total_usd,water_total_usd,underinsured_wind_usd,uninsured_wind_usd,nfip_policyholder_shortfall_usd,wind_insured_private_usd,wind_insured_citizens_usd,wind_underinsured_usd,wind_uninsured_usd,flood_insured_capped_usd,flood_un_derinsured_usd,wind_insured_private_pct,wind_insured_citizens_pct,wind_underinsured_pct,wind_uninsured_pct,flood_insured_capped_pct,flood_un_derinsured_pct,insured_private_wind_pre_usd,insured_citizens_wind_pre_usd,insured_flood_pre_usd,defaults_pre,defaults_post,rescued_defaults,default_companies_pre,default_companies_post,group_contrib_total_usd,group_supported_companies,defaulted_premium_base_pct,largest_entity_deficit_usd,diag_group_shortfall_total_usd,diag_groups_with_shortfall,diag_groups_fully_funded_share,figa_residual_deficit_usd,figa_collected_usd,citizens_residual_deficit_usd,citizens_tier1_usd,citizens_tier2_usd,citizens_tier1_capacity_usd,citizens_tier2_capacity_usd,nfip_borrowed_usd,nfip_claims_paid_usd,nfip_pool_used_usd,nfip_fl_premium_base_usd,nfip_fl_premium_depletion_usd,underinsured_flood_usd,fhcf_cap_binding,fhcf_total_precap_usd,fhcf_total_postcap_usd,fhcf_shortfall_usd,fhcf_scaling_factor,fhcf_recovery_private_usd,fhcf_recovery_citizens_usd,catbond_payout_usd,catbond_unfilled_usd,catbond_triggers,catbond_limit_in_force_usd,catbond_issue_volume_year_usd,year_id
year_1,baseline,,"FL_ipsl6_20thcal_00926,FL_ipsl6_20thcal_01390","{""FL_ipsl6_20thcal_00926"": 0.801681204179031, ""FL_ipsl6_20thcal_01390"": 0.7342478771443514}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,0.0,0.0,1395853723.0,0.0,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9464500000.0,9464500000.0,1
year_2,baseline,,"FL_ipsl6_20thcal_00411,FL_ipsl6_20thcal_01208,FL_ipsl6_20thcal_00434","{""FL_ipsl6_20thcal_00411"": 0.7223936388735638, ""FL_ipsl6_20thcal_01208"": 0.9602696181485115, ""FL_ipsl6_20thcal_00434"": 0.8315043287236806}",424250.04821674316,306475.536123578,117774.51209316516,86502.72992953692,99097.99382742101,0.0,110328.98969124694,10545.82267537313,86502.72992953692,99097.99382742101,11854.020814965756,105920.4912781994,26.005651656374468,2.485756388172624,20.38956278099088,23.358393061818415,2.794111836826406,24.96652427581721,110328.98969124694,10545.82267537313,11854.020814965756,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10545.82267537313,0.0,539937478.65,359958319.1,0.0,11854.020814965756,11854.020814965756,1395853723.0,11854.020814965756,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9464500000.0,9464500000.0,2
year_3,baseline,,FL_ipsl6_20thcal_02250,"{""FL_ipsl6_20thcal_02250"": 0.8584483702458438}",1661952252.438635,1426700202.5323553,235252049.90627977,358907345.1067456,437327651.9521227,0.0,555080489.3757517,75384716.09773532,358907345.1067456,437327651.9521227,45638595.72920725,189613454.1770725,33.39930425565864,4.535913470866623,21.595526861864382,26.31409243619472,2.7460834486815306,11.409079526734097,555080489.3757517,75384716.09773532,45638595.72920725,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,45638595.72920725,45638595.72920725,1395853723.0,45638595.72920725,0.0,False,124949.62022400001,124949.62022400001,0.0,1.0,124949.62022400001,0.0,970465205.4734869,0.0,7.0,9464500000.0,9464500000.0,3
year_4,baseline,,"FL_ipsl6_20thcal_03482,FL_ipsl6_20thcal_01972,FL_ipsl6_20thcal_00686","{""FL_ipsl6_20thcal_03482"": 0.8499792402295013, ""FL_ipsl6_20thcal_01972"": 0.9562507528392832, ""FL_ipsl6_20thcal_00686"": 0.902164305457654}",533492320.16256535,453457396.9600512,80034923.20251414,71442308.27661178,182595142.09791058,0.0,176345020.64914852,23074925.936380323,71442308.27661178,182595142.09791058,7602920.995422482,72432002.20709166,33.054837714517205,4.325259251969916,13.391440809277617,34.2263862471854,1.4251228570836267,13.576953119966232,176345020.64914852,23074925.936380323,7602920.995422482,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,7602920.995422482,7602920.995422482,1395853723.0,7602920.995422482,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,382679786.3421154,0.0,6.0,9464500000.0,9464500000.0,4
year_5,baseline,,"FL_ipsl6_20thcal_02583,FL_ipsl6_20thcal_01103,FL_ipsl6_20thcal_03813","{""FL_ipsl6_20thcal_02583"": 0.7296842168898009, ""FL_ipsl6_20thcal_01103"": 0.8949373427597096, ""FL_ipsl6_20thcal_03813"": 0.7762718254205047}",18483329.004419755,16541421.344568884,1941907.6598508707,4635824.195655766,4252039.172105851,0.0,6141667.769813528,1511890.2069937396,4635824.195655766,4252039.172105851,248835.74943374222,1693071.9104171286,33.2281472041369,8.179750555931859,25.081110629731484,23.004725886170714,1.3462712770748186,9.15999444695422,6141667.769813528,1511890.2069937396,248835.74943374222,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1511890.2069937396,0.0,539937478.65,359958319.1,0.0,248835.74943374222,248835.74943374222,1395853723.0,248835.74943374222,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9464500000.0,9464500000.0,5
year_6,baseline,,"FL_ipsl6_20thcal_03166,FL_ipsl6_20thcal_01765","{""FL_ipsl6_20thcal_03166"": 0.8029923863052799, ""FL_ipsl6_20thcal_01765"": 0.919791757648447}",36837856.86041292,33883157.10964109,2954699.750771828,2024970.8995682197,13116880.541714052,0.0,15557065.858285088,3184239.810073729,2024970.8995682197,13116880.541714052,410906.83083327755,2543792.9199385503,42.23119145403702,8.643933392052485,5.496983462532303,35.60706745622287,1.1154471672722377,6.905377067883088,15557065.858285088,3184239.810073729,410906.83083327755,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3184239.810073729,0.0,539937478.65,359958319.1,0.0,410906.83083327755,410906.83083327755,1395853723.0,410906.83083327755,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9464500000.0,9464500000.0,6
year_7,baseline,,"FL_ipsl6_20thcal_01218,FL_ipsl6_20thcal_00697","{""FL_ipsl6_20thcal_01218"": 0.8344893982215632, ""FL_ipsl6_20thcal_00697"": 0.7852089226003471}",208038355.92234808,173605802.44064367,34432553.481704414,26050758.997388385,58541956.93340191,0.0,79576944.83122028,9436141.67863307,26050758.997388385,58541956.93340191,1412478.253699296,33020075.22800512,38.251092919097566,4.535770164495619,12.522094246462911,28.13998249210023,0.6789508826086447,15.872109295235019,79576944.83122028,9436141.67863307,1412478.253699296,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6360508.5826937575,0.0,539937478.65,359958319.1,0.0,1412478.253699296,1412478.253699296,1395853723.0,1412478.253699296,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,29013086.509853348,0.0,1.0,9464500000.0,9464500000.0,7
year_8,baseline,,FL_ipsl6_20thcal_03258,"{""FL_ipsl6_20thcal_03258"": 0.748047283010878}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,0.0,0.0,1395853723.0,0.0,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9464500000.0,9464500000.0,8
year_9,baseline,,FL_ipsl6_20thcal_00843,"{""FL_ipsl6_20thcal_00843"": 0.9171359127543597}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,0.0,0.0,1395853723.0,0.0,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9464500000.0,9464500000.0,9
year_10,baseline,,"FL_ipsl6_20thcal_03630,FL_ipsl6_20thcal_03144","{""FL_ipsl6_20thcal_03630"": 0.8807192841255356, ""FL_ipsl6_20thcal_03144"": 0.9219702098408061}",131955179139.58482,121653937369.28302,10301241770.301802,21390270913.036163,51015822632.28815,0.0,43288284641.602905,5959559182.3558035,21390270913.036163,51015822632.28815,634346814.6935159,9666894955.608288,32.80529413386017,4.516351098316242,16.210254915730975,38.661478060154494,0.4807290011879649,7.325892790750148,43288284641.602905,5959559182.3558035,634346814.6935159,30.0,18,12.0,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;Auto Club Insurance Co. of FL;American Platinum P&C Ins Co.;FL Farm Bureau General Ins Co.;Castle Key Insurance Co.;Homesite Insurance Co.;State Farm FL Ins Co;AIG Property Casualty Co.;Foremost P&C Insurance Co.;ASI Preferred Insurance Corp.;Nationwide P&C Insurance Co.;ACE Ins Co. of the Midwest;Castle Key Indemnity Co.;First Liberty Insurance Corp.,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;American Platinum P&C Ins Co.,4608312920.522906,12.0,35.166819401784345,2476275820.3590126,21093108.18450416,1.0,0.9811320754716981,9350335201.324047,311486220.0,4893264742.844634,539937478.65,359958319.1,539937478.65,359958319.1,0.0,634346814.6935159,634346814.6935159,1395853723.0,634346814.6935159,0.0,False,10209547357.023827,10209547357.023827,0.0,1.0,10209547357.023827,0.0,2125000000.0,0.0,13.0,9464500000.0,9464500000.0,10
year_11,baseline,,FL_ipsl6_20thcal_03845,"{""FL_ipsl6_20thcal_03845"": 0.7952446646021719}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,0.0,0.0,1395853723.0,0.0,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9464500000.0,9464500000.0,11
year_12,baseline,,FL_ipsl6_20thcal_03574,"{""FL_ipsl6_20thcal_03574"": 0.8204829867087289}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,0.0,0.0,1395853723.0,0.0,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9464500000.0,9464500000.0,12
