scenario,policy_scenario,policy_severity,events,wind_shares,total_damage_usd,wind_total_usd,water_total_usd,underinsured_wind_usd,uninsured_wind_usd,nfip_policyholder_shortfall_usd,wind_insured_private_usd,wind_insured_citizens_usd,wind_underinsured_usd,wind_uninsured_usd,flood_insured_capped_usd,flood_un_derinsured_usd,wind_insured_private_pct,wind_insured_citizens_pct,wind_underinsured_pct,wind_uninsured_pct,flood_insured_capped_pct,flood_un_derinsured_pct,insured_private_wind_pre_usd,insured_citizens_wind_pre_usd,insured_flood_pre_usd,defaults_pre,defaults_post,rescued_defaults,default_companies_pre,default_companies_post,group_contrib_total_usd,group_supported_companies,defaulted_premium_base_pct,largest_entity_deficit_usd,diag_group_shortfall_total_usd,diag_groups_with_shortfall,diag_groups_fully_funded_share,figa_residual_deficit_usd,figa_collected_usd,citizens_residual_deficit_usd,citizens_tier1_usd,citizens_tier2_usd,citizens_tier1_capacity_usd,citizens_tier2_capacity_usd,nfip_borrowed_usd,nfip_claims_paid_usd,nfip_pool_used_usd,nfip_fl_premium_base_usd,nfip_fl_premium_depletion_usd,underinsured_flood_usd,fhcf_cap_binding,fhcf_total_precap_usd,fhcf_total_postcap_usd,fhcf_shortfall_usd,fhcf_scaling_factor,fhcf_recovery_private_usd,fhcf_recovery_citizens_usd,catbond_payout_usd,catbond_unfilled_usd,catbond_triggers,catbond_limit_in_force_usd,catbond_issue_volume_year_usd,year_id
year_1,building_codes,SENS_W100_F70,"FL_ipsl6_ssp245cal_01389,FL_ipsl6_ssp245cal_03443,FL_ipsl6_ssp245cal_00926","{""FL_ipsl6_ssp245cal_01389"": 0.801681204179031, ""FL_ipsl6_ssp245cal_03443"": 0.7342478771443514, ""FL_ipsl6_ssp245cal_00926"": 0.7670600320252788}",901813380.1451379,668900785.8436368,232912594.30150118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13100506.468324242,56773271.822126135,0.0,0.0,0.0,0.0,1.4526848632713618,6.295456806483514,0.0,0.0,13100506.468324242,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,13100506.468324242,13100506.468324242,1395853723.0,13100506.468324242,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,1
year_2,building_codes,SENS_W100_F70,"FL_ipsl6_ssp245cal_01207,FL_ipsl6_ssp245cal_02412","{""FL_ipsl6_ssp245cal_01207"": 0.9602696181485115, ""FL_ipsl6_ssp245cal_02412"": 0.8315043287236806}",389420820.50612015,373948982.6064921,15471837.899628056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,933881.8342004124,3707669.535688006,0.0,0.0,0.0,0.0,0.2398130210363869,0.9520984345082637,0.0,0.0,933881.8342004124,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,933881.8342004124,933881.8342004124,1395853723.0,933881.8342004124,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,2
year_3,building_codes,SENS_W100_F70,"FL_ipsl6_ssp245cal_03483,FL_ipsl6_ssp245cal_01973,FL_ipsl6_ssp245cal_02249","{""FL_ipsl6_ssp245cal_03483"": 0.8584483702458438, ""FL_ipsl6_ssp245cal_01973"": 0.8123962527051113, ""FL_ipsl6_ssp245cal_02249"": 0.9205316590107878}",92551.48429995557,75188.47902757986,17363.005272375707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3417.762946858465,1791.138634854247,0.0,0.0,0.0,0.0,3.692823483826186,1.9352889350204694,0.0,0.0,3417.762946858465,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,3417.762946858465,3417.762946858465,1395853723.0,3417.762946858465,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,3
year_4,building_codes,SENS_W100_F70,"FL_ipsl6_ssp245cal_03814,FL_ipsl6_ssp245cal_01249,FL_ipsl6_ssp245cal_01103","{""FL_ipsl6_ssp245cal_03814"": 0.902164305457654, ""FL_ipsl6_ssp245cal_01249"": 0.7296842168898009, ""FL_ipsl6_ssp245cal_01103"": 0.8949373427597096}",179261785.2789984,161723584.0113267,17538201.267671697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196681.1924589404,5064779.18784257,0.0,0.0,0.0,0.0,0.10971730095894722,2.8253535353114323,0.0,0.0,196681.1924589404,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,196681.1924589404,196681.1924589404,1395853723.0,196681.1924589404,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,4
year_5,building_codes,SENS_W100_F70,"FL_ipsl6_ssp245cal_01765,FL_ipsl6_ssp245cal_03165,FL_ipsl6_ssp245cal_00612,FL_ipsl6_ssp245cal_01319","{""FL_ipsl6_ssp245cal_01765"": 0.7762718254205047, ""FL_ipsl6_ssp245cal_03165"": 0.8680900425306904, ""FL_ipsl6_ssp245cal_00612"": 0.8592328984107334, ""FL_ipsl6_ssp245cal_01319"": 0.9384055547300932}",37832976662.19551,32041650747.163185,5791325915.032328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144250839.48697567,1593146935.022723,0.0,0.0,0.0,0.0,0.3812833464703767,4.211000760652995,0.0,0.0,144250839.48697567,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,144250839.48697567,144250839.48697567,1395853723.0,144250839.48697567,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,5
year_6,building_codes,SENS_W100_F70,"FL_ipsl6_ssp245cal_03256,FL_ipsl6_ssp245cal_03630,FL_ipsl6_ssp245cal_03144,FL_ipsl6_ssp245cal_00842","{""FL_ipsl6_ssp245cal_03256"": 0.7852089226003471, ""FL_ipsl6_ssp245cal_03630"": 0.9325753297213729, ""FL_ipsl6_ssp245cal_03144"": 0.9570459523189867, ""FL_ipsl6_ssp245cal_00842"": 0.8184852289986012}",323673272.4298458,254157817.4876374,69515454.9422084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2933644.089702755,17920992.39295977,0.0,0.0,0.0,0.0,0.9063596965172973,5.536753856265359,0.0,0.0,2933644.089702755,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,2933644.089702755,2933644.089702755,1395853723.0,2933644.089702755,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,6
year_7,building_codes,SENS_W100_F70,"FL_ipsl6_ssp245cal_01520,FL_ipsl6_ssp245cal_03187,FL_ipsl6_ssp245cal_01202","{""FL_ipsl6_ssp245cal_01520"": 0.9053481046849694, ""FL_ipsl6_ssp245cal_03187"": 0.8844190780501168, ""FL_ipsl6_ssp245cal_01202"": 0.8871619545420478}",231296007.3727323,205197017.9785651,26098989.394167203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,561085.8999486128,7268610.918301547,0.0,0.0,0.0,0.0,0.24258347834099264,3.1425578853975713,0.0,0.0,561085.8999486128,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,561085.8999486128,561085.8999486128,1395853723.0,561085.8999486128,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,7
year_8,building_codes,SENS_W100_F70,"FL_ipsl6_ssp245cal_00126,FL_ipsl6_ssp245cal_02868,FL_ipsl6_ssp245cal_01388","{""FL_ipsl6_ssp245cal_00126"": 0.9272035855835594, ""FL_ipsl6_ssp245cal_02868"": 0.9419863999772443, ""FL_ipsl6_ssp245cal_01388"": 0.9175875248296649}",3155249718.23766,2925558852.161474,229690866.07618564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5823213.282945323,63084046.53991038,0.0,0.0,0.0,0.0,0.1845563363586269,1.999336096134587,0.0,0.0,5823213.282945323,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,5823213.282945323,5823213.282945323,1395853723.0,5823213.282945323,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,8
year_9,building_codes,SENS_W100_F70,"FL_ipsl6_ssp245cal_03604,FL_ipsl6_ssp245cal_00417,FL_ipsl6_ssp245cal_03798","{""FL_ipsl6_ssp245cal_03604"": 0.9415278353423164, ""FL_ipsl6_ssp245cal_00417"": 0.7052955420802686, ""FL_ipsl6_ssp245cal_03798"": 0.9341565211279911}",35985345499.591675,25380303761.08026,10605041738.511412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234069330.1419652,2947443191.4114594,0.0,0.0,0.0,0.0,0.6504573650532859,8.190676372538661,0.0,0.0,234069330.1419652,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,234069330.1419652,234069330.1419652,1395853723.0,234069330.1419652,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,9
year_10,building_codes,SENS_W100_F70,"FL_ipsl6_ssp245cal_02678,FL_ipsl6_ssp245cal_03262,FL_ipsl6_ssp245cal_03471","{""FL_ipsl6_ssp245cal_02678"": 0.8449754006601158, ""FL_ipsl6_ssp245cal_03262"": 0.8406685083274023, ""FL_ipsl6_ssp245cal_03471"": 0.8850672580588927}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,0.0,0.0,1395853723.0,0.0,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,10
