scenario,policy_scenario,policy_severity,events,wind_shares,total_damage_usd,wind_total_usd,water_total_usd,underinsured_wind_usd,uninsured_wind_usd,nfip_policyholder_shortfall_usd,wind_insured_private_usd,wind_insured_citizens_usd,wind_underinsured_usd,wind_uninsured_usd,flood_insured_capped_usd,flood_un_derinsured_usd,wind_insured_private_pct,wind_insured_citizens_pct,wind_underinsured_pct,wind_uninsured_pct,flood_insured_capped_pct,flood_un_derinsured_pct,insured_private_wind_pre_usd,insured_citizens_wind_pre_usd,insured_flood_pre_usd,defaults_pre,defaults_post,rescued_defaults,default_companies_pre,default_companies_post,group_contrib_total_usd,group_supported_companies,defaulted_premium_base_pct,largest_entity_deficit_usd,diag_group_shortfall_total_usd,diag_groups_with_shortfall,diag_groups_fully_funded_share,figa_residual_deficit_usd,figa_collected_usd,citizens_residual_deficit_usd,citizens_tier1_usd,citizens_tier2_usd,citizens_tier1_capacity_usd,citizens_tier2_capacity_usd,nfip_borrowed_usd,nfip_claims_paid_usd,nfip_pool_used_usd,nfip_fl_premium_base_usd,nfip_fl_premium_depletion_usd,underinsured_flood_usd,fhcf_cap_binding,fhcf_total_precap_usd,fhcf_total_postcap_usd,fhcf_shortfall_usd,fhcf_scaling_factor,fhcf_recovery_private_usd,fhcf_recovery_citizens_usd,catbond_payout_usd,catbond_unfilled_usd,catbond_triggers,catbond_limit_in_force_usd,catbond_issue_volume_year_usd,year_id
year_1,baseline,,"FL_ipsl6_ssp585cal_00925,FL_ipsl6_ssp585cal_00434,FL_ipsl6_ssp585cal_00411,FL_ipsl6_ssp585cal_03441,FL_ipsl6_ssp585cal_01389","{""FL_ipsl6_ssp585cal_00925"": 0.801681204179031, ""FL_ipsl6_ssp585cal_00434"": 0.7342478771443514, ""FL_ipsl6_ssp585cal_00411"": 0.7670600320252788, ""FL_ipsl6_ssp585cal_03441"": 0.8223534062698715, ""FL_ipsl6_ssp585cal_01389"": 0.7900135027423422}",73819512.88545987,59179715.98192497,14639796.903534891,10949478.14298193,18690451.35020192,0.0,26694850.855684936,2844935.6330561815,10949478.14298193,18690451.35020192,1684969.1469188477,12954827.756616045,36.162323228961576,3.8539073503105503,14.83276943315977,25.319120405471214,2.2825525136331994,17.549327068463683,26694850.855684936,2844935.6330561815,1684969.1469188477,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,2844935.6330561815,0.0,539937478.65,359958319.1,0.0,1684969.1469188477,1684969.1469188477,1395853723.0,1684969.1469188477,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,1
year_2,baseline,,"FL_ipsl6_ssp585cal_00685,FL_ipsl6_ssp585cal_01971,FL_ipsl6_ssp585cal_01250,FL_ipsl6_ssp585cal_03605,FL_ipsl6_ssp585cal_03481","{""FL_ipsl6_ssp585cal_00685"": 0.8584483702458438, ""FL_ipsl6_ssp585cal_01971"": 0.8123962527051113, ""FL_ipsl6_ssp585cal_01250"": 0.9205316590107878, ""FL_ipsl6_ssp585cal_03605"": 0.6733834193140124, ""FL_ipsl6_ssp585cal_03481"": 0.7420328740995595}",654688626.565442,440856465.9426319,213832160.6228101,149593749.15125576,227404343.2230541,0.0,48606888.544461645,15251485.02386033,149593749.15125576,227404343.2230541,75407774.41692188,138424386.2058882,7.424428433934762,2.329578429347559,22.849602556262298,34.73473251185661,11.51811278783292,21.143545280765842,48606888.544461645,15251485.02386033,75407774.41692188,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,14329978.204856211,0.0,539937478.65,359958319.1,0.0,75407774.41692188,75407774.41692188,1395853723.0,75407774.41692188,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,3858373.568321973,0.0,1,9464500000.0,9464500000.0,2
year_3,baseline,,"FL_ipsl6_ssp585cal_01765,FL_ipsl6_ssp585cal_03165,FL_ipsl6_ssp585cal_00612,FL_ipsl6_ssp585cal_01319","{""FL_ipsl6_ssp585cal_01765"": 0.8685022282594902, ""FL_ipsl6_ssp585cal_03165"": 0.8564480555654514, ""FL_ipsl6_ssp585cal_00612"": 0.8029923863052799, ""FL_ipsl6_ssp585cal_01319"": 0.919791757648447}",12118505.398450475,11127850.865462575,990654.5329878994,1539560.9583165091,6065332.745211394,0.0,2849956.6015767595,673000.5603579128,1539560.9583165091,6065332.745211394,65954.66923705926,924699.8637508403,23.517393505812752,5.553494744029784,12.704214816072652,50.05017158293244,0.5442475542032807,7.63047779694909,2849956.6015767595,673000.5603579128,65954.66923705926,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,673000.5603579128,0.0,539937478.65,359958319.1,0.0,65954.66923705926,65954.66923705926,1395853723.0,65954.66923705926,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,3
year_4,baseline,,"FL_ipsl6_ssp585cal_00842,FL_ipsl6_ssp585cal_03255,FL_ipsl6_ssp585cal_03143,FL_ipsl6_ssp585cal_03629,FL_ipsl6_ssp585cal_01741","{""FL_ipsl6_ssp585cal_00842"": 0.9765965201673884, ""FL_ipsl6_ssp585cal_03255"": 0.7986030887706117, ""FL_ipsl6_ssp585cal_03143"": 0.748047283010878, ""FL_ipsl6_ssp585cal_03629"": 0.9171359127543597, ""FL_ipsl6_ssp585cal_01741"": 0.9147775145108845}",220023243.0070042,188385570.67376718,31637672.333237037,31968972.555210374,85602896.3720575,0.0,62193417.53018166,8620284.216317685,31968972.555210374,85602896.3720575,4526635.035961452,27111037.297275584,28.266748858074877,3.9178970814657377,14.529816085927195,38.90629699032862,2.057344021521104,12.3218969626825,62193417.53018166,8620284.216317685,4526635.035961452,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,7303912.099251746,0.0,539937478.65,359958319.1,0.0,4526635.035961452,4526635.035961452,1395853723.0,4526635.035961452,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,10813701.746499343,0.0,1,9464500000.0,9464500000.0,4
year_5,baseline,,"FL_ipsl6_ssp585cal_02868,FL_ipsl6_ssp585cal_01201,FL_ipsl6_ssp585cal_01765,FL_ipsl6_ssp585cal_00126,FL_ipsl6_ssp585cal_03454","{""FL_ipsl6_ssp585cal_02868"": 0.8493694612736804, ""FL_ipsl6_ssp585cal_01201"": 0.9580942990760638, ""FL_ipsl6_ssp585cal_01765"": 0.7907436554716536, ""FL_ipsl6_ssp585cal_00126"": 0.9272035855835594, ""FL_ipsl6_ssp585cal_03454"": 0.9419863999772443}",74058972.4259923,69110910.91769317,4948061.508299132,11121779.712319396,28335010.89844545,0.0,28480386.22341194,1173734.083516392,11121779.712319396,28335010.89844545,827743.747818602,4120317.7604805306,38.456361586535124,1.5848641225603195,15.017464255844864,38.26006487837898,1.1176819238827176,5.563563232798019,28480386.22341194,1173734.083516392,827743.747818602,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,1173734.083516392,0.0,539937478.65,359958319.1,0.0,827743.747818602,827743.747818602,1395853723.0,827743.747818602,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,5
year_6,baseline,,"FL_ipsl6_ssp585cal_03602,FL_ipsl6_ssp585cal_03796,FL_ipsl6_ssp585cal_01101,FL_ipsl6_ssp585cal_03024","{""FL_ipsl6_ssp585cal_03602"": 0.6397976976019587, ""FL_ipsl6_ssp585cal_03796"": 0.912818918980074, ""FL_ipsl6_ssp585cal_01101"": 0.9822579283693215, ""FL_ipsl6_ssp585cal_03024"": 0.9763994505523251}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,0.0,0.0,1395853723.0,0.0,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,6
year_7,baseline,,"FL_ipsl6_ssp585cal_02691,FL_ipsl6_ssp585cal_01016,FL_ipsl6_ssp585cal_02828,FL_ipsl6_ssp585cal_01722,FL_ipsl6_ssp585cal_01542","{""FL_ipsl6_ssp585cal_02691"": 0.8449754006601158, ""FL_ipsl6_ssp585cal_01016"": 0.8406685083274023, ""FL_ipsl6_ssp585cal_02828"": 0.8850672580588927, ""FL_ipsl6_ssp585cal_01722"": 0.9204653664593923, ""FL_ipsl6_ssp585cal_01542"": 0.8306427495343965}",1638790680.5045273,1361249596.7656252,277541083.73890215,139365295.7232787,454231740.3582387,0.0,717758962.4251486,49893598.25895911,139365295.7232787,454231740.3582387,77064931.46837209,200476152.2705301,43.798086660108126,3.0445375881438737,8.50415476370496,27.717495941482678,4.7025487992552195,12.23317624730514,717758962.4251486,49893598.25895911,77064931.46837209,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,77064931.46837209,77064931.46837209,1395853723.0,77064931.46837209,0.0,False,124949.62022400001,124949.62022400001,0.0,1.0,124949.62022400001,0.0,1089999999.9999995,0.0,7,9464500000.0,9464500000.0,7
year_8,baseline,,"FL_ipsl6_ssp585cal_03402,FL_ipsl6_ssp585cal_02349,FL_ipsl6_ssp585cal_03539,FL_ipsl6_ssp585cal_01444","{""FL_ipsl6_ssp585cal_03402"": 0.6443363243912918, ""FL_ipsl6_ssp585cal_02349"": 0.99436340382072, ""FL_ipsl6_ssp585cal_03539"": 0.9023900330290558, ""FL_ipsl6_ssp585cal_01444"": 0.9174120592002382}",1106090538.5236752,1099498952.3393326,6591586.184342716,100201841.61300425,189459493.5548323,0.0,754648334.7370261,55189282.43446999,100201841.61300425,189459493.5548323,1864210.5303670566,4727375.653975659,68.2266332143364,4.989580916959331,9.059099424785423,17.128750943635076,0.1685405005683587,0.42739499971542994,754648334.7370261,55189282.43446999,1864210.5303670566,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,1864210.5303670566,1864210.5303670566,1395853723.0,1864210.5303670566,0.0,False,124949.62022400001,124949.62022400001,0.0,1.0,124949.62022400001,0.0,1090000000.0,0.0,7,9464500000.0,9464500000.0,8
year_9,baseline,,"FL_ipsl6_ssp585cal_00858,FL_ipsl6_ssp585cal_03987,FL_ipsl6_ssp585cal_03467","{""FL_ipsl6_ssp585cal_00858"": 0.7863160095740956, ""FL_ipsl6_ssp585cal_03987"": 0.9202343931942999, ""FL_ipsl6_ssp585cal_03467"": 0.5133061602208053}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,0.0,0.0,1395853723.0,0.0,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,9
year_10,baseline,,"FL_ipsl6_ssp585cal_00034,FL_ipsl6_ssp585cal_00222,FL_ipsl6_ssp585cal_03474,FL_ipsl6_ssp585cal_02945,FL_ipsl6_ssp585cal_02864","{""FL_ipsl6_ssp585cal_00034"": 0.77575857358514, ""FL_ipsl6_ssp585cal_00222"": 0.8193732063874546, ""FL_ipsl6_ssp585cal_03474"": 0.7841669222251626, ""FL_ipsl6_ssp585cal_02945"": 0.8472721395334926, ""FL_ipsl6_ssp585cal_02864"": 0.7530423912595645}",1501589834.0501156,1175809887.7956958,325779946.25441986,202636799.39497274,564017775.4376892,0.0,369531263.30356264,39624049.65947143,202636799.39497274,564017775.4376892,59105575.52266635,266674370.73175353,24.609334381737,2.6388064677154026,13.494816946676913,37.56137412814058,3.936199765234539,17.759468310495585,369531263.30356264,39624049.65947143,59105575.52266635,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,59105575.52266635,59105575.52266635,1395853723.0,59105575.52266635,0.0,False,34653.376294528185,34653.376294528185,0.0,1.0,34653.376294528185,0.0,749155312.9630342,0.0,7,9464500000.0,9464500000.0,10
