scenario,policy_scenario,policy_severity,events,wind_shares,total_damage_usd,wind_total_usd,water_total_usd,underinsured_wind_usd,uninsured_wind_usd,nfip_policyholder_shortfall_usd,wind_insured_private_usd,wind_insured_citizens_usd,wind_underinsured_usd,wind_uninsured_usd,flood_insured_capped_usd,flood_un_derinsured_usd,wind_insured_private_pct,wind_insured_citizens_pct,wind_underinsured_pct,wind_uninsured_pct,flood_insured_capped_pct,flood_un_derinsured_pct,insured_private_wind_pre_usd,insured_citizens_wind_pre_usd,insured_flood_pre_usd,defaults_pre,defaults_post,rescued_defaults,default_companies_pre,default_companies_post,group_contrib_total_usd,group_supported_companies,defaulted_premium_base_pct,largest_entity_deficit_usd,diag_group_shortfall_total_usd,diag_groups_with_shortfall,diag_groups_fully_funded_share,figa_residual_deficit_usd,figa_collected_usd,citizens_residual_deficit_usd,citizens_tier1_usd,citizens_tier2_usd,citizens_tier1_capacity_usd,citizens_tier2_capacity_usd,nfip_borrowed_usd,nfip_claims_paid_usd,nfip_pool_used_usd,nfip_fl_premium_base_usd,nfip_fl_premium_depletion_usd,underinsured_flood_usd,fhcf_cap_binding,fhcf_total_precap_usd,fhcf_total_postcap_usd,fhcf_shortfall_usd,fhcf_scaling_factor,fhcf_recovery_private_usd,fhcf_recovery_citizens_usd,catbond_payout_usd,catbond_unfilled_usd,catbond_triggers,catbond_limit_in_force_usd,catbond_issue_volume_year_usd,year_id
year_1,baseline,,"FL_miroc6_20thcal_00926,FL_miroc6_20thcal_01390","{""FL_miroc6_20thcal_00926"": 0.801681204179031, ""FL_miroc6_20thcal_01390"": 0.7342478771443514}",10391485216.875923,8330658381.873688,2060826835.0022347,1203006144.9123194,5110371898.451924,0.0,1857883639.916216,159396698.5932292,1203006144.9123194,5110371898.451924,274827605.98111546,1785999229.0211189,17.878903748031956,1.5339164254823425,11.57684507849388,49.17845516589492,2.6447384588950906,17.187141123201812,1857883639.916216,159396698.5932292,274827605.98111546,1.0,0,1.0,Castle Key Indemnity Co.,,4374514.335389398,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,73252885.83842096,0.0,539937478.65,359958319.1,0.0,274827605.98111546,274827605.98111546,1395853723.0,274827605.98111546,0.0,False,392579.4182138519,392579.4182138519,0.0,1.0,392579.4182138519,0.0,1090000000.0,0.0,7.0,9464500000.0,9464500000.0,1
year_2,baseline,,"FL_miroc6_20thcal_00434,FL_miroc6_20thcal_00411","{""FL_miroc6_20thcal_00434"": 0.7223936388735638, ""FL_miroc6_20thcal_00411"": 0.9602696181485115}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,0.0,0.0,1395853723.0,0.0,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9464500000.0,9464500000.0,2
year_3,baseline,,FL_miroc6_20thcal_02412,"{""FL_miroc6_20thcal_02412"": 0.8315043287236806}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,0.0,0.0,1395853723.0,0.0,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9464500000.0,9464500000.0,3
year_4,baseline,,"FL_miroc6_20thcal_02250,FL_miroc6_20thcal_03226","{""FL_miroc6_20thcal_02250"": 0.9385337321066677, ""FL_miroc6_20thcal_03226"": 0.8499792402295013}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,0.0,0.0,1395853723.0,0.0,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9464500000.0,9464500000.0,4
year_5,baseline,,"FL_miroc6_20thcal_03482,FL_miroc6_20thcal_00686","{""FL_miroc6_20thcal_03482"": 0.9562507528392832, ""FL_miroc6_20thcal_00686"": 0.902164305457654}",555657.4822362701,501294.3465340333,54363.13570223681,77545.09645092554,231083.48807928513,0.0,183412.28083345355,9253.481170369058,77545.09645092554,231083.48807928513,3390.5030518022286,50972.632650434585,33.008154609077174,1.6653210774968747,13.955556962688883,41.587397896502466,0.6101786010613925,9.173390853173217,183412.28083345355,9253.481170369058,3390.5030518022286,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9253.481170369058,0.0,539937478.65,359958319.1,0.0,3390.5030518022286,3390.5030518022286,1395853723.0,3390.5030518022286,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9464500000.0,9464500000.0,5
year_6,baseline,,"FL_miroc6_20thcal_01250,FL_miroc6_20thcal_01103","{""FL_miroc6_20thcal_01250"": 0.8415153469427282, ""FL_miroc6_20thcal_01103"": 0.8575254557362734}",96467.09251038125,82722.98746851792,13744.105041863317,27459.877112267386,26010.96404345966,0.0,27052.41281684616,2199.733495944717,27459.877112267386,26010.96404345966,3067.3581688980516,10676.746872965268,28.043151413457323,2.2802941798085126,28.465538244881078,26.963561735480425,3.179693809645978,11.06776061672668,27052.41281684616,2199.733495944717,3067.3581688980516,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2199.733495944717,0.0,539937478.65,359958319.1,0.0,3067.3581688980516,3067.3581688980516,1395853723.0,3067.3581688980516,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9464500000.0,9464500000.0,6
year_7,baseline,,FL_miroc6_20thcal_02583,"{""FL_miroc6_20thcal_02583"": 0.8725635574083315}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,0.0,0.0,1395853723.0,0.0,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9464500000.0,9464500000.0,7
year_8,baseline,,FL_miroc6_20thcal_01727,"{""FL_miroc6_20thcal_01727"": 0.8592328984107334}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,0.0,0.0,1395853723.0,0.0,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9464500000.0,9464500000.0,8
year_9,baseline,,FL_miroc6_20thcal_01320,"{""FL_miroc6_20thcal_01320"": 0.9384055547300932}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,0.0,0.0,1395853723.0,0.0,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9464500000.0,9464500000.0,9
year_10,baseline,,"FL_miroc6_20thcal_03166,FL_miroc6_20thcal_01765","{""FL_miroc6_20thcal_03166"": 0.7852089226003471, ""FL_miroc6_20thcal_01765"": 0.9325753297213729}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,0.0,0.0,1395853723.0,0.0,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9464500000.0,9464500000.0,10
