scenario,policy_scenario,policy_severity,events,wind_shares,total_damage_usd,wind_total_usd,water_total_usd,underinsured_wind_usd,uninsured_wind_usd,nfip_policyholder_shortfall_usd,wind_insured_private_usd,wind_insured_citizens_usd,wind_underinsured_usd,wind_uninsured_usd,flood_insured_capped_usd,flood_un_derinsured_usd,wind_insured_private_pct,wind_insured_citizens_pct,wind_underinsured_pct,wind_uninsured_pct,flood_insured_capped_pct,flood_un_derinsured_pct,insured_private_wind_pre_usd,insured_citizens_wind_pre_usd,insured_flood_pre_usd,defaults_pre,defaults_post,rescued_defaults,default_companies_pre,default_companies_post,group_contrib_total_usd,group_supported_companies,defaulted_premium_base_pct,largest_entity_deficit_usd,diag_group_shortfall_total_usd,diag_groups_with_shortfall,diag_groups_fully_funded_share,figa_residual_deficit_usd,figa_collected_usd,citizens_residual_deficit_usd,citizens_tier1_usd,citizens_tier2_usd,citizens_tier1_capacity_usd,citizens_tier2_capacity_usd,nfip_borrowed_usd,nfip_claims_paid_usd,nfip_pool_used_usd,nfip_fl_premium_base_usd,nfip_fl_premium_depletion_usd,underinsured_flood_usd,fhcf_cap_binding,fhcf_total_precap_usd,fhcf_total_postcap_usd,fhcf_shortfall_usd,fhcf_scaling_factor,fhcf_recovery_private_usd,fhcf_recovery_citizens_usd,catbond_payout_usd,catbond_unfilled_usd,catbond_triggers,catbond_limit_in_force_usd,catbond_issue_volume_year_usd,year_id
year_1,building_codes,SENS_W30_F20,"FL_miroc6_ssp245cal_01389,FL_miroc6_ssp245cal_03443,FL_miroc6_ssp245cal_00926","{""FL_miroc6_ssp245cal_01389"": 0.801681204179031, ""FL_miroc6_ssp245cal_03443"": 0.7342478771443514, ""FL_miroc6_ssp245cal_00926"": 0.7670600320252788}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,0.0,0.0,1395853723.0,0.0,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,1
year_2,building_codes,SENS_W30_F20,"FL_miroc6_ssp245cal_01207,FL_miroc6_ssp245cal_02412","{""FL_miroc6_ssp245cal_01207"": 0.9602696181485115, ""FL_miroc6_ssp245cal_02412"": 0.8315043287236806}",63885596.60828842,61347395.88782673,2538200.72046169,9156906.143293727,9717991.69944341,0.0,23382804.288300436,685474.9904411461,9156906.143293727,9717991.69944341,60674.69456082131,1969885.8818085308,36.60105803139167,1.072972668071184,14.333287359651461,15.211553488384597,0.09497398127600715,3.0834585358681,23382804.288300436,685474.9904411461,60674.69456082131,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,685474.9904411461,0.0,539937478.65,359958319.1,0.0,60674.69456082131,60674.69456082131,1395853723.0,60674.69456082131,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,2
year_3,building_codes,SENS_W30_F20,"FL_miroc6_ssp245cal_02249,FL_miroc6_ssp245cal_01973","{""FL_miroc6_ssp245cal_02249"": 0.8584483702458438, ""FL_miroc6_ssp245cal_01973"": 0.8123962527051113}",494899.9944425386,424846.09366387443,70053.90077866417,62315.891104004346,127499.44764103269,0.0,97635.43736528185,9941.489454393197,62315.891104004346,127499.44764103269,2864.2377455206565,53178.88287741069,19.728316520847734,2.008787546177165,12.591612811432281,25.762669038751884,0.57875081383805,10.745379566494446,97635.43736528185,9941.489454393197,2864.2377455206565,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,9941.489454393197,0.0,539937478.65,359958319.1,0.0,2864.2377455206565,2864.2377455206565,1395853723.0,2864.2377455206565,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,3
year_4,building_codes,SENS_W30_F20,"FL_miroc6_ssp245cal_01250,FL_miroc6_ssp245cal_03605,FL_miroc6_ssp245cal_00685","{""FL_miroc6_ssp245cal_01250"": 0.9562507528392832, ""FL_miroc6_ssp245cal_03605"": 0.902164305457654, ""FL_miroc6_ssp245cal_00685"": 0.7296842168898009}",4071345224.944616,3893226936.4219103,178118288.52270553,210579234.08137777,1556387280.0021646,0.0,919112178.8462188,39180162.565575816,210579234.08137777,1556387280.0021646,4697450.623356643,137797180.19480777,22.575147231802774,0.9623394824276735,5.172227419850951,38.22783856466843,0.11537834214047876,3.384561430716853,919112178.8462188,39180162.565575816,4697450.623356643,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,4697450.623356643,4697450.623356643,1395853723.0,4697450.623356643,0.0,False,124949.62022400001,124949.62022400001,0.0,1.0,124949.62022400001,0.0,1090000000.0,0.0,7,9464500000.0,9464500000.0,4
year_5,building_codes,SENS_W30_F20,"FL_miroc6_ssp245cal_01726,FL_miroc6_ssp245cal_01320,FL_miroc6_ssp245cal_02581,FL_miroc6_ssp245cal_01766","{""FL_miroc6_ssp245cal_01726"": 0.8949373427597096, ""FL_miroc6_ssp245cal_01320"": 0.7762718254205047, ""FL_miroc6_ssp245cal_02581"": 0.8680900425306904, ""FL_miroc6_ssp245cal_01766"": 0.8592328984107334}",5327559865.696283,4212695915.69611,1114863950.000173,768538602.9856449,1185089313.3343694,0.0,896280055.502845,98979169.16441745,768538602.9856449,1185089313.3343694,135914251.4484528,755976908.5516857,16.823462862874955,1.8578706135568015,14.425715005742148,22.24450486169215,2.551153903001511,14.189927989722994,896280055.502845,98979169.16441745,135914251.4484528,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,135914251.4484528,135914251.4484528,1395853723.0,135914251.4484528,0.0,False,206580.83087368344,206580.83087368344,0.0,1.0,206580.83087368344,0.0,1090000000.0,0.0,7,9464500000.0,9464500000.0,5
year_6,building_codes,SENS_W30_F20,"FL_miroc6_ssp245cal_01217,FL_miroc6_ssp245cal_01928","{""FL_miroc6_ssp245cal_01217"": 0.8344893982215632, ""FL_miroc6_ssp245cal_01928"": 0.7852089226003471}",637279521.8198063,531803004.6623359,105476517.15747051,82774142.54197986,191146009.32777393,0.0,91600401.56655507,6741549.827326214,82774142.54197986,191146009.32777393,15738600.891759742,68642612.83421665,14.373661545718944,1.0578638723672056,12.988671329907353,29.99406112751593,2.4696542651828537,10.771193877092077,91600401.56655507,6741549.827326214,15738600.891759742,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,3541269.048706887,0.0,539937478.65,359958319.1,0.0,15738600.891759742,15738600.891759742,1395853723.0,15738600.891759742,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,46683902.78776256,0.0,2,9464500000.0,9464500000.0,6
year_7,building_codes,SENS_W30_F20,"FL_miroc6_ssp245cal_00842,FL_miroc6_ssp245cal_03144","{""FL_miroc6_ssp245cal_00842"": 0.9325753297213729, ""FL_miroc6_ssp245cal_03144"": 0.9570459523189867}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,0.0,0.0,1395853723.0,0.0,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,7
year_8,building_codes,SENS_W30_F20,"FL_miroc6_ssp245cal_01741,FL_miroc6_ssp245cal_03845","{""FL_miroc6_ssp245cal_01741"": 0.9147775145108845, ""FL_miroc6_ssp245cal_03845"": 0.8493694612736804}",912775650.5940387,834986640.9564704,77789009.63756838,207177873.88481095,314783404.23675734,0.0,60392690.088979594,2136680.4589814236,207177873.88481095,314783404.23675734,2034204.1368467263,60197003.573208004,6.616378301686263,0.23408604924888848,22.69756798945925,34.48639367536752,0.22285915882208915,6.594939680307149,60392690.088979594,2136680.4589814236,2034204.1368467263,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,2050249.7692752776,0.0,539937478.65,359958319.1,0.0,2034204.1368467263,2034204.1368467263,1395853723.0,2034204.1368467263,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,2529370.547961019,0.0,1,9464500000.0,9464500000.0,8
year_9,building_codes,SENS_W30_F20,"FL_miroc6_ssp245cal_01520,FL_miroc6_ssp245cal_03187,FL_miroc6_ssp245cal_01202","{""FL_miroc6_ssp245cal_01520"": 0.9580942990760638, ""FL_miroc6_ssp245cal_03187"": 0.7907436554716536, ""FL_miroc6_ssp245cal_01202"": 0.9272035855835594}",329005937.79883367,299599073.40563196,29406864.39320173,41707562.72378093,86818132.83483079,0.0,77026026.040124,4167629.785206673,41707562.72378093,86818132.83483079,2311516.4664703463,21213975.04809104,23.41174343401077,1.266733911579102,12.676841944804798,26.388013971928554,0.7025759115276796,6.447900360102936,77026026.040124,4167629.785206673,2311516.4664703463,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,3079770.021075806,0.0,539937478.65,359958319.1,0.0,2311516.4664703463,2311516.4664703463,1395853723.0,2311516.4664703463,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,21193655.825330675,0.0,1,9464500000.0,9464500000.0,9
year_10,building_codes,SENS_W30_F20,"FL_miroc6_ssp245cal_00126,FL_miroc6_ssp245cal_02868,FL_miroc6_ssp245cal_01388","{""FL_miroc6_ssp245cal_00126"": 0.9192649074923438, ""FL_miroc6_ssp245cal_02868"": 0.6397976976019587, ""FL_miroc6_ssp245cal_01388"": 0.912818918980074}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,0.0,0.0,1395853723.0,0.0,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,10
